2,District 17,27.2,1749,40.8,2623,30.5,1958,1.4,93
2,District 18,29.7,2483,43.4,3629,25.5,2134,1.3,111
2,District 19,30.1,1931,39.6,2539,28.7,1840,1.7,109
2,District 20,33.0,2383,40.3,2914,25.2,1823,1.5,105
2,District 21,36.0,2386,36.7,2437,25.5,1693,1.7,116
2,District 22,31.1,2253,43.7,3164,23.7,1713,1.4,103
2,District 23,25.0,1139,46.7,2127,26.7,1217,1.5,67
2,District 24,25.6,1876,46.9,3441,26.3,1930,1.2,91
2,District 25,21.8,1513,46.2,3197,30.6,2122,1.4,95
2,District 26,21.5,1439,40.0,2675,36.2,2419,2.3,153
2,District 27,23.3,1625,39.6,2757,34.4,2401,2.7,187
2,District 28,21.6,1522,35.0,2459,40.2,2825,3.2,228
2,District 29,42.2,3216,28.9,2205,26.6,2026,2.3,176
2,District 30,29.4,1860,38.4,2434,30.2,1912,2.0,127
2,District 31,31.1,1969,35.1,2223,31.4,1992,2.5,156
2,District 32,21.7,1150,44.2,2339,32.6,1724,1.5,80
2,District 33,23.6,1712,42.7,3100,31.4,2278,2.2,162
2,District 34,20.3,1455,47.4,3408,30.6,2201,1.7,119
2,District 35,24.5,1572,39.4,2525,33.3,2139,2.8,179
2,District 36,33.1,1748,39.4,2081,25.0,1322,2.5,133
2,District 37,40.1,1822,37.2,1689,20.4,925,2.4,107
2,District 38,39.0,1897,41.3,2011,17.5,850,2.2,106
2,District 39,39.8,1797,39.3,1777,19.0,860,1.8,82
2,District 40,29.1,1211,42.9,1786,26.9,1122,1.1,47
2,Federal Absentee,37.9,22,48.3,28,13.8,8,0.0,0
4,Apache,61.4,11218,25.1,4588,10.8,1979,2.6,473
4,Cochise,38.3,12701,36.8,12202,23.7,7857,1.2,390
4,Coconino,44.3,18888,32.3,13769,22.0,9363,1.4,598
4,Gila,41.0,7571,31.3,5781,25.4,4694,2.3,432
4,Graham,35.0,3391,43.0,4169,19.2,1860,2.9,279
4,Greenlee,42.4,1695,36.3,1451,19.9,794,1.3,53
4,La Paz,36.4,1808,32.2,1599,30.0,1488,1.3,66
4,Maricopa,32.6,285457,41.1,360049,25.3,221475,1.1,9851
4,Mohave,32.6,13255,33.7,13684,31.3,12706,2.4,971
4,Navajo,44.2,10882,32.4,7994,19.4,4787,4.0,975
4,Pima,45.7,128569,34.5,97036,19.2,53925,0.7,1954
4,Pinal,42.1,15468,31.8,11669,25.1,9231,1.0,371
4,Santa Cruz,43.5,3512,37.4,3024,17.9,1447,1.2,97
4,Yavapai,30.7,18268,39.4,23419,27.6,16409,2.2,1319
4,Yuma,37.0,10367,41.5,11652,20.4,5726,1.1,300
5,Arkansas,59.0,4709,32.5,2594,8.0,639,0.5,38
5,Ashley,61.4,5876,28.1,2686,9.7,931,0.8,74
5,Baxter,44.4,6991,35.9,5640,18.7,2938,1.0,163
5,Benton,36.4,15774,48.8,21126,14.2,6128,0.6,251
5,Boone,42.4,6128,42.2,6094,14.4,2079,0.9,136
5,Bradley,61.1,2954,30.6,1482,8.1,391,0.2,10
5,Calhoun,51.4,1389,38.7,1047,9.5,257,0.3,9
5,Carroll,42.6,3769,39.9,3535,16.9,1500,0.6,53
5,Chicot,68.7,3504,24.4,1242,6.8,347,0.1,6
5,Clark,64.6,5767,26.9,2403,8.0,714,0.4,38
5,Clay,68.5,4848,23.3,1647,8.0,568,0.2,17
5,Cleburne,51.0,5090,35.9,3580,12.7,1263,0.5,47
5,Cleveland,56.0,1893,33.4,1127,10.0,337,0.6,21
5,Columbia,48.3,4747,37.7,3702,11.1,1090,2.9,280
5,Conway,57.8,4898,32.1,2719,9.5,803,0.7,61
5,Craighead,54.4,13931,35.6,9104,8.9,2274,1.1,287
5,Crawford,41.2,6656,42.6,6882,15.1,2442,1.1,185
5,Crittenden,56.6,9683,34.5,5910,5.0,848,3.9,667
5,Cross,58.1,4058,33.0,2303,8.6,602,0.3,23
5,Dallas,53.7,2107,37.1,1458,8.8,345,0.4,15
5,Desha,67.9,3815,22.8,1279,7.0,392,2.4,135
5,Drew,59.5,3748,30.8,1938,9.5,596,0.3,16
5,Faulkner,51.6,13000,37.6,9491,9.7,2437,1.1,287
5,Franklin,47.8,3217,37.0,2495,14.7,987,0.5,37
5,Fulton,59.7,2827,26.6,1258,13.3,631,0.4,20
5,Garland,52.3,18811,35.8,12886,9.7,3475,2.3,823
5,Grant,51.5,3190,36.7,2272,11.3,702,0.5,34
5,Greene,61.2,7541,28.5,3510,9.8,1213,0.5,58
5,Hempstead,61.4,5476,26.8,2387,11.5,1022,0.4,37
5,Hot Spring,59.4,6308,28.6,3036,11.4,1209,0.6,63
5,Howard,55.6,2764,34.7,1728,9.4,466,0.3,17
5,Independence,55.2,7083,33.0,4232,11.2,1444,0.6,81
5,Izard,61.2,3419,27.4,1532,10.8,606,0.6,31
5,Jackson,65.7,4944,24.8,1864,8.9,673,0.6,43
5,Jefferson,68.8,21819,23.7,7525,6.5,2067,0.9,281
5,Johnson,52.1,3951,33.8,2563,13.4,1013,0.7,51
5,Lafayette,57.1,2273,29.9,1188,12.7,504,0.4,14
5,Lawrence,59.8,4146,30.7,2124,9.2,636,0.3,23
5,Lee,67.8,3436,25.5,1293,6.1,308,0.6,29
5,Lincoln,64.5,2805,26.3,1142,9.0,390,0.2,10
5,Little River,58.2,3327,25.9,1483,15.6,890,0.3,18
5,Logan,46.0,3995,39.2,3408,14.0,1220,0.7,64
5,Lonoke,50.3,7963,39.5,6253,9.8,1554,0.3,54
5,Madison,45.8,2415,42.4,2238,11.3,598,0.5,26
5,Marion,44.1,2757,32.4,2023,21.2,1327,2.2,138
5,Miller,48.2,7050,36.1,5273,15.4,2249,0.3,51
5,Mississippi,62.9,10046,29.4,4697,6.1,981,1.5,238
5,Monroe,60.3,2578,31.0,1324,8.3,355,0.4,15
5,Montgomery,51.3,1904,32.5,1205,15.5,576,0.7,27
5,Nevada,56.8,2242,30.8,1217,11.5,455,0.9,34
5,Newton,42.6,1765,41.7,1730,14.7,608,1.0,41
5,Ouachita,59.7,7411,29.9,3711,10.0,1238,0.4,55
5,Perry,54.4,1906,33.2,1162,11.8,412,0.7,24
5,Phillips,65.6,6456,27.4,2695,6.4,634,0.5,52
5,Pike,51.2,2168,37.3,1577,11.2,472,0.4,15
5,Poinsett,62.3,5341,28.3,2425,8.9,761,0.5,44
5,Polk,43.8,3162,38.2,2757,17.0,1225,1.0,73
5,Pope,43.1,7704,45.1,8056,11.1,1989,0.6,113
5,Prairie,59.8,2366,29.2,1154,11.0,434,0.1,2
5,Pulaski,58.0,79482,34.9,47789,6.4,8751,0.7,935
5,Randolph,62.1,3921,28.0,1766,9.2,578,0.8,49
5,St. Francis,61.6,6548,30.9,3289,7.2,766,0.3,32
5,Saline,49.4,12671,39.4,10105,10.7,2751,0.5,134
5,Scott,48.8,2228,37.2,1695,13.4,610,0.6,29
5,Searcy,42.1,1679,44.5,1772,12.6,503,0.8,30
5,Sebastian,41.8,16570,42.4,16817,15.2,6023,0.6,249
5,Sevier,51.0,2558,31.8,1592,12.8,643,4.4,218
5,Sharp,52.3,3761,34.5,2486,12.8,921,0.4,28
5,Stone,52.0,2622,33.2,1672,13.8,697,1.0,48
5,Union,47.3,8786,39.3,7305,10.3,1919,3.1,570
5,Van Buren,51.9,3819,35.5,2612,12.1,888,0.6,42
5,Washington,46.0,22029,42.4,20292,11.1,5304,0.5,255
5,White,48.7,10494,39.6,8538,11.0,2366,0.8,165
5,Woodruff,74.1,2589,19.3,676,6.5,227,0.1,3
5,Yell,54.5,4165,32.8,2506,12.3,940,0.4,32
6,Alameda,63.0,334224,20.6,109292,15.4,81643,0.9,4986
6,Alpine,34.1,215,35.2,222,29.5,186,1.3,8
6,Amador,34.2,5286,35.5,5477,29.5,4553,0.8,118
6,Butte,38.2,32489,37.2,31608,23.8,20231,0.8,686
6,Calaveras,35.2,5989,35.3,6006,28.5,4848,0.9,148
6,Colusa,31.9,1798,45.9,2589,21.4,1206,0.7,42
6,Contra Costa,50.9,194960,29.5,112965,18.9,72518,0.6,2380
6,Del Norte,38.9,3639,33.0,3083,27.5,2575,0.6,56
6,El Dorado,32.4,21012,39.9,25906,27.0,17503,0.7,466
6,Fresno,42.2,92418,40.7,89137,16.6,36299,0.6,1307
6,Glenn,30.2,2666,43.2,3812,25.8,2278,0.7,60
6,Humboldt,48.1,28854,30.5,18299,20.6,12340,0.9,528
6,Imperial,43.9,11109,38.5,9759,16.8,4247,0.8,203
6,Inyo,31.8,2695,43.6,3689,23.6,1999,1.0,81
6,Kern,33.8,60510,45.1,80762,20.6,36891,0.6,1100
6,Kings,38.9,9982,41.6,10673,19.1,4899,0.4,97
6,Lake,45.4,10548,28.8,6678,25.0,5797,0.8,190
6,Lassen,32.7,3388,37.0,3836,29.0,3004,1.3,134
6,Los Angeles,52.5,1446529,29.0,799607,17.7,488624,0.7,18643
6,Madera,35.9,10863,43.2,13066,20.4,6156,0.5,160
6,Marin,58.3,76158,23.3,30479,17.6,22986,0.8,1084
6,Mariposa,36.5,3023,36.0,2982,26.7,2211,0.9,71
6,Mendocino,50.2,18344,21.8,7958,26.7,9753,1.3,483
6,Merced,40.9,20133,36.5,17981,22.1,10914,0.5,256
6,Modoc,32.2,1489,39.0,1803,27.4,1269,1.4,64
6,Mono,34.2,1489,36.1,1570,28.7,1248,1.1,48
6,Monterey,47.0,54861,31.2,36461,21.0,24472,0.8,895
6,Napa,45.3,24215,29.3,15662,24.6,13150,0.8,428
6,Nevada,34.9,15433,39.2,17343,25.0,11072,0.8,353
6,Orange,31.6,306930,43.9,426613,23.9,232394,0.7,6612
6,Placer,33.7,30783,41.9,38298,23.8,21741,0.6,544
6,Plumas,37.6,3742,36.2,3599,25.6,2551,0.6,57
6,Riverside,38.6,166241,37.1,159457,23.8,102233,0.5,2344
6,Sacramento,43.6,197540,35.4,160366,20.2,91412,0.9,4194
6,San Benito,42.0,5354,32.3,4112,25.0,3182,0.7,91
6,San Bernardino,38.7,183634,37.2,176563,23.0,109183,1.0,4690
6,San Diego,37.2,367397,35.7,352125,26.3,259249,0.8,7875
6,San Francisco,72.4,233263,17.8,57352,9.0,29018,0.8,2574
6,San Joaquin,41.3,63655,37.8,58355,20.2,31205,0.6,995
6,San Luis Obispo,38.4,40136,34.8,36384,26.1,27314,0.8,785
6,San Mateo,54.0,149232,27.2,75080,18.3,50465,0.6,1731
6,Santa Barbara,42.5,69215,35.3,57375,21.6,35105,0.7,1061
6,Santa Clara,49.2,296265,28.4,170870,21.4,128895,1.0,6025
6,Santa Cruz,58.1,66183,21.9,24916,19.0,21615,1.1,1278
6,Shasta,31.6,21605,41.2,28190,26.3,17990,0.8,574
6,Sierra,34.8,653,36.9,691,27.7,519,0.6,12
6,Siskiyou,39.9,8254,32.2,6660,26.9,5567,1.0,198
6,Solano,48.7,64320,29.4,38883,21.1,27851,0.8,1057
6,Sonoma,52.8,104334,24.1,47619,22.2,43859,1.0,1879
6,Stanislaus,40.9,52415,36.9,47275,21.6,27651,0.5,664
6,Sutter,30.5,7883,50.1,12956,18.9,4881,0.5,140
6,Tehama,35.8,7508,35.4,7419,28.0,5884,0.8,168
6,Trinity,32.6,1967,31.3,1886,34.7,2092,1.4,84
6,Tulare,35.2,31188,45.7,40482,18.6,16430,0.5,453
6,Tuolumne,38.1,9216,35.3,8525,26.0,6294,0.6,143
6,Ventura,37.0,99011,35.5,94911,26.8,71844,0.7,1881
6,Yolo,53.3,33297,28.1,17574,17.7,11073,0.8,492
6,Yuba,34.2,5785,43.4,7333,21.5,3637,0.8,140
8,Adams,44.0,45357,29.9,30856,25.6,26379,0.5,485
8,Alamosa,41.8,1928,34.0,1572,23.6,1089,0.6,28
8,Arapahoe,36.2,66607,39.3,72221,24.1,44363,0.4,744
8,Archuleta,29.1,819,44.1,1242,26.3,741,0.5,14
8,Baca,27.7,726,47.3,1240,24.7,647,0.3,9
8,Bent,43.6,985,33.6,759,22.4,506,0.3,7
