id,1912,1916,1920,1924,1928,1932,1936,1940,1944,1948,1956,1964,1968,1972,1976,1980,1984,1992,2008,2012
1001,0c26bb,1c04dd,2f02cd,2707d0,6f008f,1702e4,0d01f0,0e01ee,1500e8,15e900,5f1d81,da2400,13b532,bf0638,7b057e,910a62,b20448,8e1f4e,bb0141,b80243
1003,0a26ab,3023ab,4902a1,463483,82017b,3100c0,2503c8,2c02c3,4002bb,38c600,820775,ce3000,1dc419,d10428,930566,a70b4b,c00638,902942,bf023c,c40336
1005,0018e6,0804f1,1c02df,0d07e9,5a02a1,0700f7,0501f8,0901f4,0700f2,0ef000,390abb,cb3300,0cb03c,b40742,6e058a,76047e,890273,6d1876,80017c,7a0182
1007,0827b7,2213c8,2b00c3,2e2ea2,740089,1404e6,1700e6,1502e6,2802d4,17e700,630a91,d62800,0ecc23,c80432,5a01a2,70018c,9c0161,761a6e,b80243,b90242
1009,3e437c,72028a,7d017f,68078f,84007a,3304c6,3502c7,3b02c1,5001ad,4cb200,71038a,a45a00,38b709,ca0331,62029a,880471,ad044c,891e53,d60325,db031f
1011,0002fc,0002fc,0000fe,0002fc,4200bc,0003fb,0001fd,0003fb,0500f9,00fe00,3d1ba5,926c00,0b7e73,780580,4a03b1,4103b3,5103aa,420eac,4100bc,3b00c2
1013,1417d3,0f01ed,1a03e1,1317d4,5c00a2,0701f5,0800f5,0005f9,0a00f4,10ee00,5f128d,cd3100,11c22a,c2013a,660097,74057e,90036a,691a78,90006e,880175
1015,1931b3,2905d0,3f02bd,450dac,8a0073,2201db,1d02de,2000dd,2301da,34ca00,5206a6,a05e00,1db627,c40238,5b039f,7d077a,9b0d55,7a1c62,a70254,a60355
1017,0017e7,1602e5,2301da,1105e8,a1005d,1e00df,0700f7,0600f7,0d00f0,1fdf00,3604c3,a45a00,19bd20,c90430,760484,68088e,970264,6e1b73,890173,840277
1019,0c7476,4d04ac,6f048b,5e059a,a0005e,2803d3,2601d7,2001dd,2f02cd,2ad400,3d00c1,7e8000,0fd614,b70344,3c03be,620795,82027a,581b88,be033c,c30437
1021,0f8363,970561,b0044a,a10855,b0004d,780482,5c01a1,6b0093,680095,718d00,9b055d,c13d00,2dbd10,d30426,740288,920368,b30b40,8f1857,c80234,cb0231
1023,0022dc,0604f3,1200ec,0005f9,4100bd,0700f7,0b00f3,0800f6,1000ed,00fe00,410ab3,da2400,07b144,9a0262,6e018f,6e018e,890075,671084,880175,840179
1025,0005f3,0006f8,0801f5,1103ea,5b00a3,0500f9,0500f9,0003fb,0f00ef,05f900,62009b,d32b00,0eb632,b40445,740486,78087d,940169,77126d,8d0170,890174
1027,077185,5b00a2,7e0080,610598,a70056,4d02af,3b01b7,4801b5,5201aa,41bd00,7a0380,b24c00,23cc0c,e1011c,62019a,7a057e,ad0749,7e1c5b,ba0241,b70343
1029,196183,6d028f,950069,820774,94006a,3800c5,4e01af,3d00c1,5801a5,4eb000,6d0091,c23c00,1ed30a,d90024,5b039f,860473,b30644,761e68,cc042d,d40327
