id,margin,ford,carter,other,hex_color
05019,56.91%, 21.42%, 78.32%, 0.26%,3600c7
05021,49.90%, 25.05%, 74.95%,-,3f00bf
05023,48.30%, 25.77%, 74.07%, 0.17%,4100bc
05025,56.44%, 21.78%, 78.22%,-,3700c7
05027,4.68%, 47.63%, 52.31%, 0.07%,790085
05029,49.44%, 25.23%, 74.67%, 0.10%,4000be
05031,38.03%, 30.98%, 69.02%,-,4e00b0
05033,11.04%, 44.48%, 55.52%,-,71008d
05035,22.63%, 38.63%, 61.26%, 0.10%,62009c
05037,37.30%, 31.11%, 68.40%, 0.49%,4f01ae
05039,52.59%, 23.61%, 76.20%, 0.19%,3c00c2
05041,51.00%, 24.50%, 75.50%,-,3e00c0
05043,36.86%, 31.57%, 68.43%,-,5000ae
05045,49.01%, 25.44%, 74.45%, 0.10%,4000bd
05047,30.48%, 34.76%, 65.24%,-,5800a6
05049,43.93%, 27.94%, 71.87%, 0.19%,4700b7
05051,20.30%, 39.72%, 60.02%, 0.26%,650099
05053,56.77%, 21.61%, 78.39%,-,3700c7
05055,47.14%, 26.39%, 73.54%, 0.07%,4300bb
05057,30.74%, 34.63%, 65.37%,-,5800a6
05059,56.24%, 21.88%, 78.12%,-,3700c7
05061,34.13%, 32.94%, 67.06%,-,5300ab
05063,42.39%, 28.79%, 71.17%, 0.04%,4900b5
05065,40.96%, 29.52%, 70.48%,-,4b00b3
05067,56.72%, 21.64%, 78.36%,-,3700c7
05069,44.66%, 27.67%, 72.33%,-,4600b8
05071,39.78%, 30.11%, 69.89%,-,4c00b2
05073,22.97%, 38.51%, 61.49%,-,62009c
05075,50.26%, 24.82%, 75.08%, 0.10%,3f00bf
05077,37.50%, 31.24%, 68.74%, 0.02%,4f00af
05079,62.66%, 18.67%, 81.33%,-,2f00cf
05081,37.42%, 31.29%, 68.71%,-,4f00af
05083,28.98%, 35.07%, 64.06%, 0.87%,5902a3
05085,50.87%, 24.49%, 75.36%, 0.16%,3e00c0
05087,7.81%, 46.09%, 53.91%,-,750089
05089,18.59%, 40.70%, 59.30%,-,670097
05091,17.35%, 41.23%, 58.58%, 0.19%,690095
05093,26.23%, 36.80%, 63.03%, 0.17%,5d00a0
05095,46.84%, 26.51%, 73.35%, 0.14%,4300bb
05097,44.74%, 27.63%, 72.37%,-,4600b8
05099,45.40%, 27.24%, 72.64%, 0.12%,4500b9
05101,6.64%, 46.68%, 53.32%,-,770087
05103,52.94%, 23.53%, 76.47%,-,3c00c2
05105,47.04%, 26.48%, 73.52%,-,4300bb
05107,39.87%, 30.06%, 69.93%, 0.01%,4c00b2
05109,39.06%, 30.35%, 69.40%, 0.25%,4d00b0
05111,42.95%, 28.50%, 71.45%, 0.05%,4800b6
