id,margin,ford,carter,other,hex_color
13209,44.01%, 28.00%, 72.00%,-,4700b7
13211,43.11%, 28.45%, 71.55%,-,4800b6
13213,59.59%, 20.20%, 79.80%,-,3300cb
13215,28.19%, 35.91%, 64.09%,-,5b00a3
13217,49.31%, 25.35%, 74.65%,-,4000be
13219,30.60%, 34.70%, 65.30%,-,5800a6
13221,39.14%, 30.43%, 69.57%,-,4d00b1
13223,58.20%, 20.90%, 79.10%,-,3500c9
13225,54.85%, 22.57%, 77.43%,-,3900c5
13227,45.09%, 27.45%, 72.55%,-,4500b9
13229,65.70%, 17.15%, 82.85%,-,2b00d3
13231,42.07%, 28.97%, 71.03%,-,4900b5
13233,51.76%, 24.12%, 75.88%,-,3d00c1
13235,65.39%, 17.30%, 82.70%,-,2c00d2
13237,41.91%, 29.04%, 70.96%,-,4a00b4
13239,36.77%, 31.62%, 68.38%,-,5000ae
13241,60.46%, 19.77%, 80.23%,-,3200cc
13243,49.06%, 25.47%, 74.53%,-,4000be
13245,14.66%, 42.67%, 57.33%,-,6c0092
13247,21.88%, 39.06%, 60.94%,-,63009b
13249,49.00%, 25.50%, 74.50%,-,4100bd
13251,29.67%, 35.17%, 64.83%,-,5900a5
13253,50.56%, 24.72%, 75.28%,-,3f00bf
13255,34.01%, 33.00%, 67.00%,-,5400aa
13257,61.16%, 19.42%, 80.58%,-,3100cd
13259,58.06%, 20.97%, 79.03%,-,3500c9
13261,44.37%, 27.81%, 72.19%,-,4600b8
13263,56.14%, 21.93%, 78.07%,-,3700c7
13265,52.03%, 23.98%, 76.02%,-,3d00c1
13267,45.68%, 27.16%, 72.84%,-,4500b9
13269,59.12%, 20.44%, 79.56%,-,3400ca
13271,69.46%, 15.27%, 84.73%,-,2600d8
13273,33.56%, 33.22%, 66.78%,-,5400aa
13275,30.65%, 34.68%, 65.32%,-,5800a6
13277,41.15%, 29.43%, 70.57%,-,4b00b3
13279,31.12%, 34.44%, 65.56%,-,5700a7
13281,20.63%, 39.68%, 60.32%,-,650099
13283,54.23%, 22.88%, 77.12%,-,3a00c4
13285,27.04%, 36.48%, 63.52%,-,5d00a1
13287,68.97%, 15.52%, 84.48%,-,2700d7
13289,66.12%, 16.94%, 83.06%,-,2b00d3
13291,41.55%, 29.22%, 70.78%,-,4a00b4
13293,18.58%, 40.71%, 59.29%,-,670097
13295,24.97%, 37.51%, 62.49%,-,5f009f
13297,52.41%, 23.80%, 76.20%,-,3c00c2
13299,48.73%, 25.64%, 74.36%,-,4100bd
13301,29.93%, 35.04%, 64.96%,-,5900a5
13303,39.99%, 30.01%, 69.99%,-,4c00b2
13305,49.93%, 25.03%, 74.97%,-,3f00bf
13307,58.07%, 20.97%, 79.03%,-,3500c9
13309,60.05%, 19.98%, 80.02%,-,3200cc
13311,54.55%, 22.73%, 77.27%,-,3900c5
13313,39.92%, 30.04%, 69.96%,-,4c00b2
13315,72.31%, 13.85%, 86.15%,-,2300db
13317,39.51%, 30.24%, 69.76%,-,4d00b1
13319,52.02%, 23.99%, 76.01%,-,3d00c1
13321,41.41%, 29.30%, 70.70%,-,4a00b4
15001,1.87%, 48.37%, 50.24%, 1.38%,7b0380
15003,1.50%, 48.56%, 50.07%, 1.37%,7b037f
15005,0%,-,-,-,000000
15007,12.58%, 43.23%, 55.81%, 0.96%,6e028e
15009,7.11%, 45.78%, 52.89%, 1.33%,740386
16001,31.32%, 64.39%, 33.07%, 2.55%,a40654
16003,11.50%, 54.74%, 43.23%, 2.03%,8b056e
16005,11.86%, 53.65%, 41.80%, 2.20%,88056a
16007,36.07%, 66.60%, 30.53%, 0.51%,a9014d
16009,2.97%, 47.58%, 50.55%, 1.86%,790480
16011,24.74%, 60.83%, 36.09%, 3.08%,9b075c
16013,14.75%, 56.13%, 41.37%, 2.50%,8f0669
16015,21.51%, 58.61%, 37.10%, 2.23%,95055e
16017,5.47%, 51.37%, 45.91%, 2.72%,820675
16019,36.02%, 66.44%, 30.41%, 3.15%,a9084d
16021,8.62%, 52.15%, 43.53%, 1.04%,84026f
16023,5.99%, 51.16%, 45.16%, 1.29%,820373
16025,27.65%, 62.20%, 34.56%, 3.24%,9e0858
16027,28.44%, 62.91%, 34.47%, 2.62%,a00657
16029,32.89%, 64.83%, 31.94%, 0.83%,a50251
16031,39.09%, 66.38%, 27.29%, 0.99%,a90245
16033,31.85%, 64.48%, 32.63%, 2.90%,a40753
16035,8.48%, 44.01%, 52.49%, 1.38%,700385
16037,23.70%, 60.33%, 36.62%, 0.21%,99005d
16039,12.72%, 55.46%, 42.74%, 1.80%,8d046c
16041,38.96%, 67.80%, 28.84%, 0.77%,ac0149
16043,27.26%, 61.94%, 34.68%, 0.62%,9d0158
16045,9.29%, 52.75%, 43.45%, 1.21%,86036e
16047,19.84%, 58.54%, 38.70%, 2.76%,950762
16049,15.14%, 55.96%, 40.81%, 1.09%,8e0268
16051,33.56%, 65.14%, 31.58%, 0.43%,a60150
16053,26.91%, 61.81%, 34.90%, 1.11%,9d0258
16055,18.00%, 57.78%, 39.79%, 2.43%,930665
16057,12.29%, 54.90%, 42.61%, 2.49%,8b066c
16059,17.60%, 56.37%, 38.78%, 0.94%,8f0262
16061,4.19%, 46.61%, 50.79%, 2.60%,760681
16063,18.68%, 57.75%, 39.07%, 0.89%,930263
16065,49.58%, 72.38%, 22.80%, 2.18%,b8053a
16067,18.17%, 56.44%, 38.27%, 1.33%,8f0361
16069,1.36%, 48.22%, 49.58%, 2.20%,7a057e
16071,24.57%, 61.14%, 36.57%, 2.30%,9b055d
16073,17.61%, 57.52%, 39.91%, 2.57%,920665
16075,16.96%, 57.44%, 40.48%, 2.08%,920567
16077,3.20%, 49.96%, 46.76%, 3.27%,7f0877
16079,5.12%, 51.67%, 46.55%, 1.78%,830476
16081,27.20%, 63.04%, 35.84%, 1.12%,a0025b
16083,34.18%, 65.82%, 31.64%, 2.54%,a70650
16085,20.60%, 59.33%, 38.73%, 1.94%,970462
16087,9.18%, 53.47%, 44.28%, 2.25%,880570
17001,20.54%, 59.67%, 39.12%, 1.21%,980363
17003,15.85%, 41.52%, 57.37%, 1.11%,690292
17005,0.45%, 49.69%, 49.24%, 1.07%,7e027d
17007,18.16%, 58.38%, 40.23%, 1.39%,940366
17009,0.45%, 48.95%, 49.40%, 1.64%,7c047d
17011,17.63%, 58.20%, 40.57%, 1.22%,940367
17013,6.29%, 46.35%, 52.63%, 1.02%,760286
17015,19.79%, 59.34%, 39.55%, 1.11%,970264
17017,0.91%, 49.33%, 50.24%, 0.43%,7d0180
17019,12.18%, 54.74%, 42.56%, 0.44%,8b016c
17021,10.97%, 43.90%, 54.87%, 1.23%,6f038b
17023,5.05%, 52.26%, 47.22%, 0.52%,850178
17025,0.30%, 49.94%, 49.64%, 0.41%,7f017e
17027,7.10%, 53.00%, 45.90%, 1.10%,870275
17029,11.81%, 54.66%, 42.85%, 0.34%,8b006d
17031,8.75%, 44.69%, 53.44%, 1.88%,710488
17033,4.85%, 51.99%, 47.14%, 0.88%,840278
17035,4.38%, 47.12%, 51.50%, 1.38%,780383
17037,21.67%, 59.21%, 37.54%, 0.85%,96025f
17039,8.61%, 53.97%, 45.36%, 0.68%,890173
17041,9.49%, 54.39%, 44.90%, 0.72%,8a0172
17043,40.43%, 68.77%, 28.34%, 2.89%,af0748
17045,7.11%, 53.01%, 45.89%, 1.10%,870275
17047,17.98%, 58.51%, 40.53%, 0.96%,950267
17049,9.27%, 53.72%, 44.45%, 1.83%,880471
17051,0.67%, 49.33%, 50.00%, 0.66%,7d017f
17053,27.95%, 63.56%, 35.61%, 0.82%,a2025a
17055,26.56%, 36.51%, 63.07%, 0.42%,5d01a0
17057,1.44%, 50.23%, 48.79%, 0.98%,80027c
17059,26.97%, 36.36%, 63.33%, 0.32%,5c00a1
17061,4.48%, 47.35%, 51.83%, 0.82%,780284
17063,15.51%, 57.43%, 41.92%, 0.65%,92016a
17065,10.97%, 44.25%, 55.22%, 0.53%,70018c
17067,12.07%, 55.54%, 43.47%, 0.99%,8d026e
17069,6.93%, 46.17%, 53.10%, 0.73%,750187
17071,1.32%, 50.15%, 48.83%, 1.02%,7f027c
17073,13.20%, 56.03%, 42.83%, 1.15%,8e026d
17075,32.05%, 65.43%, 33.38%, 1.20%,a60355
17077,11.56%, 42.09%, 53.64%, 0.52%,6b0188
17079,0.39%, 49.45%, 49.06%, 1.49%,7e037d
17081,9.49%, 44.93%, 54.41%, 0.66%,72018a
17083,3.92%, 47.57%, 51.49%, 0.95%,790283
17085,15.57%, 56.90%, 41.33%, 1.78%,910469
17087,5.08%, 52.23%, 47.15%, 0.63%,850178
17089,26.44%, 62.15%, 35.71%, 2.14%,9e055b
17091,10.95%, 54.63%, 43.68%, 1.69%,8b046f
17093,36.03%, 67.50%, 31.48%, 1.02%,ac0250
17095,10.01%, 54.39%, 44.38%, 1.23%,8a0371
17097,22.56%, 60.32%, 37.77%, 1.91%,990460
17099,4.11%, 51.39%, 47.28%, 1.32%,830378
17101,3.57%, 51.47%, 47.90%, 0.63%,83017a
17103,17.23%, 57.54%, 40.30%, 2.16%,920566
17105,31.48%, 64.56%, 33.08%, 2.36%,a40654
17107,20.42%, 59.94%, 39.52%, 0.54%,980164
17109,27.16%, 62.33%, 35.17%, 2.49%,9e0659
17111,36.95%, 67.50%, 30.55%, 1.95%,ac044d
17113,25.92%, 62.10%, 36.18%, 1.71%,9e045c
17115,6.25%, 46.44%, 52.69%, 0.86%,760286
17117,7.42%, 45.55%, 52.97%, 1.49%,740387
17119,12.03%, 43.32%, 55.35%, 1.33%,6e038d
17121,5.90%, 46.63%, 52.53%, 0.84%,760285
17123,21.72%, 60.30%, 38.58%, 1.13%,990262
17125,1.27%, 49.01%, 50.29%, 0.70%,7c0180
17127,6.34%, 46.50%, 52.85%, 0.65%,760186
17129,15.26%, 57.25%, 42.00%, 0.75%,91016b
17131,8.08%, 53.62%, 45.54%, 0.85%,880274
17133,16.65%, 57.66%, 41.00%, 1.34%,930368
17135,5.95%, 46.56%, 52.51%, 0.93%,760285
17137,8.99%, 53.88%, 44.90%, 1.22%,890372
17139,8.58%, 45.44%, 54.01%, 0.55%,730189
17141,25.90%, 62.22%, 36.32%, 1.47%,9e035c
17143,14.51%, 56.65%, 42.14%, 1.21%,90036b
17145,6.06%, 46.39%, 52.44%, 1.17%,760285
17147,11.63%, 55.39%, 43.75%, 0.86%,8d026f
17149,0.31%, 49.21%, 49.52%, 1.28%,7d037e
17151,5.14%, 52.18%, 47.03%, 0.79%,850277
17153,15.03%, 42.26%, 57.28%, 0.46%,6b0192
17155,7.71%, 53.13%, 45.42%, 1.45%,870373
17157,2.95%, 48.07%, 51.02%, 0.91%,7a0282
17159,11.78%, 55.03%, 43.25%, 1.71%,8c046e
17161,2.79%, 47.72%, 50.51%, 1.77%,790480
17163,18.65%, 39.91%, 58.55%, 1.54%,650395
17165,11.13%, 44.25%, 55.38%, 0.38%,70008d
17167,6.38%, 52.24%, 45.85%, 1.91%,850474
17169,13.30%, 56.44%, 43.14%, 0.43%,8f016e
17171,11.29%, 55.35%, 44.06%, 0.59%,8d0170
17173,8.16%, 45.54%, 53.70%, 0.76%,740188
17175,30.21%, 63.34%, 33.13%, 1.10%,a10254
17177,23.44%, 61.02%, 37.58%, 1.40%,9b035f
17179,11.68%, 55.14%, 43.47%, 1.39%,8c036e
17181,17.16%, 41.16%, 58.32%, 0.51%,680194
17183,3.41%, 51.24%, 47.83%, 0.93%,820279
17185,9.75%, 54.41%, 44.66%, 0.93%,8a0271
17187,20.50%, 59.25%, 38.75%, 1.99%,970562
17189,16.10%, 57.18%, 41.08%, 1.75%,910468
17191,9.48%, 54.39%, 44.91%, 0.70%,8a0172
17193,7.11%, 46.31%, 53.42%, 0.27%,760088
17195,11.81%, 55.34%, 43.53%, 1.13%,8d026f
17197,9.31%, 53.85%, 44.54%, 1.60%,890471
17199,11.80%, 43.59%, 55.39%, 1.02%,6f028d
17201,10.61%, 54.15%, 43.54%, 2.31%,8a056f
17203,29.34%, 64.00%, 34.66%, 1.34%,a30358
18001,12.14%, 55.55%, 43.41%, 1.04%,8d026e
18003,22.57%, 60.56%, 37.99%, 1.45%,9a0360
18005,13.63%, 56.41%, 42.78%, 0.81%,8f026d
18007,19.53%, 59.09%, 39.57%, 1.34%,960364
18009,4.71%, 47.16%, 51.86%, 0.98%,780284
18011,23.54%, 61.48%, 37.94%, 0.57%,9c0160
18013,1.73%, 50.29%, 48.55%, 1.16%,80027b
18015,14.02%, 56.48%, 42.46%, 1.06%,90026c
18017,14.99%, 56.73%, 41.74%, 1.53%,90036a
18019,13.25%, 42.82%, 56.07%, 1.11%,6d028e
18021,2.14%, 50.37%, 48.23%, 1.40%,80037a
18023,10.27%, 54.80%, 44.52%, 0.68%,8b0171
18025,10.91%, 44.08%, 54.99%, 0.93%,70028c
18027,15.86%, 57.69%, 41.83%, 0.48%,93016a
18029,1.37%, 49.04%, 50.40%, 0.56%,7d0180
18031,11.92%, 55.63%, 43.72%, 0.65%,8d016f
18033,12.00%, 55.17%, 43.18%, 1.65%,8c046e
18035,2.43%, 50.72%, 48.29%, 1.00%,81027b
18037,7.22%, 45.97%, 53.19%, 0.84%,750287
18039,21.37%, 60.07%, 38.70%, 1.23%,990362
18041,1.64%, 50.53%, 48.89%, 0.58%,80017c
18043,6.12%, 46.42%, 52.54%, 1.04%,760285
18045,8.99%, 54.16%, 45.17%, 0.66%,8a0173
18047,4.72%, 51.96%, 47.25%, 0.79%,840278
18049,18.33%, 58.41%, 40.08%, 1.52%,940366
18051,8.49%, 45.55%, 54.04%, 0.41%,740189
18053,11.06%, 55.14%, 44.08%, 0.78%,8c0170
18055,5.93%, 46.54%, 52.47%, 1.00%,760285
18057,46.64%, 72.86%, 26.23%, 0.91%,b90242
18059,23.63%, 61.31%, 37.69%, 1.00%,9c0260
18061,7.23%, 45.90%, 53.14%, 0.96%,750287
18063,29.34%, 64.07%, 34.73%, 1.20%,a30358
18065,6.79%, 53.19%, 46.40%, 0.42%,870176
18067,13.72%, 56.48%, 42.75%, 0.77%,90016d
18069,16.78%, 57.78%, 41.00%, 1.21%,930368
18071,0.03%, 49.58%, 49.55%, 0.87%,7e027e
18073,23.77%, 60.76%, 36.99%, 2.25%,9a055e
18075,5.47%, 52.24%, 46.77%, 0.99%,850277
18077,4.77%, 46.94%, 51.71%, 1.36%,770383
18079,0.83%, 49.99%, 49.16%, 0.85%,7f027d
18081,23.70%, 61.36%, 37.66%, 0.97%,9c0260
18083,2.71%, 48.25%, 50.97%, 0.78%,7b0181
18085,32.44%, 65.56%, 33.12%, 1.32%,a70354
18087,15.37%, 57.24%, 41.86%, 0.90%,91026a
18089,14.37%, 42.36%, 56.74%, 0.90%,6c0290
18091,9.28%, 54.09%, 44.81%, 1.10%,890272
18093,7.86%, 53.20%, 45.34%, 1.46%,870373
18095,4.18%, 51.63%, 47.45%, 0.91%,830278
18097,9.98%, 54.60%, 44.62%, 0.78%,8b0171
18099,20.01%, 59.16%, 39.15%, 1.69%,960463
18101,2.25%, 48.55%, 50.80%, 0.65%,7b0181
18103,13.24%, 54.52%, 41.29%, 1.06%,8b0269
18105,6.52%, 53.06%, 46.53%, 0.41%,870176
18107,27.76%, 63.01%, 35.25%, 1.74%,a00459
18109,20.77%, 59.99%, 39.22%, 0.79%,980264
18111,17.65%, 58.44%, 40.78%, 0.78%,950167
18113,7.76%, 52.91%, 45.15%, 1.94%,860473
18115,11.68%, 43.95%, 55.63%, 0.43%,70018d
18117,4.34%, 51.90%, 47.56%, 0.54%,840179
18119,3.42%, 47.83%, 51.25%, 0.92%,790282
18121,10.79%, 55.00%, 44.20%, 0.80%,8c0270
18123,15.72%, 41.95%, 57.66%, 0.39%,6a0093
18125,11.27%, 44.19%, 55.46%, 0.35%,70008d
18127,21.15%, 59.75%, 38.60%, 1.64%,980462
18129,1.54%, 48.97%, 50.51%, 0.51%,7c0180
18131,11.69%, 54.21%, 42.52%, 0.33%,8a006c
18133,8.38%, 53.67%, 45.29%, 1.04%,880273
18135,12.67%, 55.93%, 43.26%, 0.80%,8e026e
18137,4.93%, 52.11%, 47.18%, 0.71%,840178
18139,21.34%, 60.32%, 38.98%, 0.70%,990163
18141,1.20%, 50.20%, 49.00%, 0.81%,80027c
18143,22.57%, 38.14%, 60.71%, 1.15%,61029a
18145,11.27%, 55.22%, 43.95%, 0.83%,8c0270
18147,7.01%, 46.34%, 53.35%, 0.31%,760088
18149,4.32%, 47.12%, 51.43%, 1.45%,780383
18151,20.48%, 59.23%, 38.75%, 2.02%,970562
18153,16.11%, 41.61%, 57.72%, 0.68%,6a0193
18155,23.52%, 38.07%, 61.59%, 0.34%,61009d
18157,23.82%, 61.33%, 37.51%, 1.16%,9c025f
18159,16.19%, 57.35%, 41.16%, 1.49%,920368
18161,16.82%, 58.25%, 41.43%, 0.32%,940069
18163,4.19%, 51.87%, 47.69%, 0.44%,840179
18165,13.08%, 43.03%, 56.11%, 0.86%,6d028f
18167,2.32%, 48.46%, 50.78%, 0.76%,7b0181
18169,19.74%, 59.51%, 39.78%, 0.71%,970165
18171,10.92%, 55.13%, 44.20%, 0.67%,8c0170
18173,4.00%, 47.69%, 51.70%, 0.61%,790183
18175,7.39%, 45.61%, 53.01%, 1.38%,740387
18177,15.04%, 57.20%, 42.16%, 0.64%,91016b
18179,13.55%, 56.33%, 42.78%, 0.89%,8f026d
18181,22.41%, 60.63%, 38.22%, 1.15%,9a0261
18183,10.58%, 54.34%, 43.77%, 1.89%,8a046f
19001,0.68%, 49.26%, 48.58%, 2.16%,7d057b
19003,4.05%, 47.26%, 51.31%, 1.43%,780382
19005,17.13%, 57.88%, 40.74%, 1.38%,930367
19007,5.92%, 46.29%, 52.21%, 1.49%,760385
19009,3.05%, 47.86%, 50.91%, 1.23%,7a0381
19011,4.67%, 46.85%, 51.52%, 1.64%,770483
19013,2.41%, 50.22%, 47.81%, 1.97%,800579
19015,9.64%, 44.14%, 53.78%, 2.08%,700589
19017,19.18%, 58.51%, 39.34%, 2.15%,950564
19019,5.81%, 51.98%, 46.17%, 1.85%,840475
19021,9.40%, 53.58%, 44.18%, 2.24%,880570
19023,25.03%, 61.79%, 36.77%, 1.44%,9d035d
19025,3.40%, 51.03%, 47.63%, 1.33%,820379
19027,12.90%, 42.61%, 55.51%, 1.88%,6c048d
19029,22.82%, 60.79%, 37.97%, 1.25%,9b0360
19031,12.20%, 55.08%, 42.88%, 2.05%,8c056d
19033,2.64%, 47.77%, 50.41%, 1.82%,790480
19035,8.49%, 53.40%, 44.91%, 1.70%,880472
19037,1.02%, 49.11%, 50.13%, 0.76%,7d017f
19039,14.36%, 41.87%, 56.23%, 1.90%,6a048f
19041,9.08%, 53.51%, 44.42%, 2.07%,880571
19043,11.60%, 54.80%, 43.19%, 2.01%,8b056e
19045,2.67%, 50.55%, 47.88%, 1.58%,80047a
19047,0.30%, 48.80%, 49.11%, 2.09%,7c057d
19049,11.55%, 43.34%, 54.89%, 1.77%,6e048b
19051,19.25%, 39.50%, 58.76%, 1.74%,640495
19053,16.27%, 41.05%, 57.32%, 1.64%,680492
19055,13.27%, 55.62%, 42.35%, 2.03%,8d056b
19057,10.93%, 43.94%, 54.87%, 1.19%,70038b
19059,10.29%, 54.14%, 43.85%, 2.01%,8a056f
19061,7.91%, 44.71%, 52.62%, 0.46%,720186
19063,2.67%, 50.50%, 47.83%, 1.67%,800479
19065,11.55%, 54.69%, 43.13%, 2.18%,8b056d
19067,3.11%, 47.52%, 50.62%, 1.86%,790481
19069,6.40%, 52.30%, 45.90%, 1.80%,850475
19071,4.77%, 51.80%, 47.03%, 1.17%,840277
19073,4.73%, 46.94%, 51.66%, 1.40%,770383
19075,26.47%, 62.66%, 36.19%, 1.16%,9f025c
19077,4.06%, 46.87%, 50.93%, 2.20%,770581
19079,0.26%, 49.00%, 49.26%, 1.74%,7c047d
19081,2.46%, 50.54%, 48.08%, 1.37%,80037a
19083,2.18%, 50.19%, 48.02%, 1.79%,7f047a
19085,3.84%, 51.38%, 47.54%, 1.08%,830279
19087,0.43%, 48.79%, 49.22%, 1.99%,7c057d
19089,5.32%, 46.62%, 51.94%, 1.44%,760384
19091,6.81%, 52.65%, 45.83%, 1.52%,860374
19093,15.85%, 56.86%, 41.01%, 2.13%,900568
19095,7.54%, 52.98%, 45.43%, 1.59%,870473
19097,2.77%, 47.50%, 50.27%, 2.23%,790580
19099,6.28%, 46.04%, 52.32%, 1.64%,750485
19101,5.09%, 51.71%, 46.62%, 1.67%,830476
19103,10.64%, 41.57%, 52.20%, 0.85%,6a0285
19105,2.47%, 50.54%, 48.07%, 1.39%,80037a
19107,8.64%, 44.90%, 53.54%, 1.57%,720488
19109,5.35%, 46.32%, 51.66%, 2.02%,760583
19111,4.71%, 46.92%, 51.63%, 1.45%,770383
19113,2.28%, 47.79%, 50.07%, 2.14%,79057f
19115,4.39%, 51.43%, 47.04%, 1.53%,830377
19117,13.53%, 42.32%, 55.84%, 1.84%,6b048e
19119,30.39%, 64.06%, 33.67%, 2.27%,a30555
19121,7.24%, 45.36%, 52.61%, 2.03%,730586
19123,4.18%, 51.38%, 47.20%, 1.42%,830378
19125,6.72%, 45.79%, 52.51%, 1.70%,740485
19127,4.65%, 51.33%, 46.67%, 2.00%,820577
19129,17.28%, 57.79%, 40.51%, 1.70%,930467
19131,0.32%, 49.00%, 49.32%, 1.68%,7c047d
19133,0.47%, 49.09%, 49.55%, 1.36%,7d037e
19135,19.49%, 39.56%, 59.06%, 1.38%,640396
19137,24.17%, 61.48%, 37.31%, 1.21%,9c035f
19139,7.80%, 53.10%, 45.30%, 1.60%,870473
19141,25.46%, 61.86%, 36.40%, 1.75%,9d045c
19143,19.34%, 58.52%, 39.18%, 2.30%,950563
19145,29.73%, 64.10%, 34.37%, 1.52%,a30357
19147,9.47%, 44.43%, 53.90%, 1.68%,710489
19149,13.04%, 55.81%, 42.77%, 1.42%,8e036d
19151,6.03%, 45.85%, 51.88%, 2.28%,740584
19153,6.97%, 45.23%, 52.20%, 0.51%,730185
19155,7.72%, 53.09%, 45.37%, 1.54%,870373
19157,1.90%, 48.01%, 49.91%, 2.07%,7a057f
19159,5.88%, 46.25%, 52.13%, 1.62%,750484
19161,5.41%, 51.55%, 46.14%, 2.31%,830575
19163,7.96%, 53.11%, 45.15%, 1.74%,870473
19165,7.19%, 52.72%, 45.54%, 1.74%,860474
19167,47.36%, 73.04%, 25.68%, 1.28%,ba0341
19169,7.55%, 51.85%, 44.30%, 0.60%,840170
19171,2.21%, 48.08%, 50.29%, 1.63%,7a0480
19173,2.76%, 50.79%, 48.03%, 1.18%,81037a
19175,1.38%, 48.30%, 49.68%, 2.02%,7b057e
19177,0.08%, 49.14%, 49.22%, 1.63%,7d047d
19179,20.05%, 39.30%, 59.35%, 1.35%,640397
19181,11.02%, 43.23%, 54.25%, 2.52%,6e068a
19183,9.86%, 54.03%, 44.17%, 1.81%,890470
19185,9.11%, 44.58%, 53.69%, 1.73%,710488
19187,7.38%, 45.35%, 52.73%, 1.92%,730486
19189,5.75%, 52.24%, 46.49%, 1.28%,850376
19191,6.63%, 52.08%, 45.45%, 2.47%,840673
19193,7.37%, 52.79%, 45.43%, 1.78%,860473
19195,9.83%, 44.38%, 54.21%, 1.40%,71038a
19197,1.28%, 48.67%, 49.95%, 1.39%,7c037f
20001,8.52%, 53.23%, 44.72%, 2.05%,870572
20003,0.36%, 48.70%, 49.06%, 2.24%,7c057d
20005,0.93%, 48.30%, 49.23%, 2.47%,7b067d
20007,2.38%, 50.43%, 48.05%, 1.51%,80037a
20009,13.80%, 55.63%, 41.83%, 2.54%,8d066a
20011,5.08%, 51.80%, 46.72%, 1.49%,840377
20013,31.69%, 64.96%, 33.27%, 1.77%,a50454
20015,0.87%, 48.45%, 49.32%, 2.23%,7b057d
20017,17.43%, 57.59%, 40.16%, 2.25%,920566
20019,14.10%, 55.77%, 41.67%, 2.55%,8e066a
20021,12.99%, 42.93%, 55.91%, 1.16%,6d028e
20023,13.85%, 55.84%, 41.99%, 2.16%,8e056b
20025,5.51%, 51.80%, 46.29%, 1.91%,840476
20027,30.53%, 63.85%, 33.32%, 2.84%,a20754
20029,0.36%, 48.74%, 49.10%, 2.16%,7c057d
20031,15.75%, 56.70%, 40.95%, 2.35%,900568
20033,6.52%, 52.71%, 46.19%, 1.10%,860275
20035,2.80%, 50.32%, 47.52%, 2.16%,800579
20037,10.88%, 43.78%, 54.66%, 1.56%,6f038b
20039,9.46%, 52.74%, 43.28%, 3.98%,860a6e
20041,12.61%, 55.23%, 42.61%, 2.16%,8c056c
20043,26.23%, 62.21%, 35.98%, 1.81%,9e045b
20045,8.46%, 51.28%, 42.82%, 1.02%,82026d
20047,12.86%, 42.47%, 55.32%, 2.21%,6c058d
20049,11.20%, 54.84%, 43.64%, 1.51%,8b036f
20051,13.89%, 41.98%, 55.87%, 2.14%,6b058e
20053,1.39%, 49.85%, 48.46%, 1.69%,7f047b
20055,1.33%, 48.40%, 49.73%, 1.87%,7b047e
20057,2.59%, 47.61%, 50.21%, 2.18%,790580
20059,13.44%, 55.49%, 42.05%, 2.46%,8d066b
20061,6.25%, 52.13%, 45.88%, 1.99%,840574
20063,0.68%, 48.95%, 48.26%, 2.79%,7c077b
20065,8.43%, 53.26%, 44.83%, 1.92%,870472
20067,3.10%, 50.62%, 47.52%, 1.86%,810479
20069,13.78%, 42.08%, 55.86%, 2.06%,6b058e
20071,10.04%, 43.42%, 53.46%, 3.13%,6e0788
20073,14.04%, 55.96%, 41.92%, 2.12%,8e056a
20075,13.85%, 41.70%, 55.55%, 2.76%,6a078d
20077,2.70%, 50.00%, 47.30%, 2.70%,7f0678
20079,4.78%, 51.00%, 46.22%, 2.77%,820775
20081,5.81%, 51.98%, 46.17%, 1.84%,840475
20083,9.20%, 43.80%, 53.00%, 3.19%,6f0887
20085,12.00%, 54.85%, 42.85%, 2.29%,8b056d
20087,12.90%, 55.12%, 42.22%, 2.67%,8c066b
20089,17.36%, 57.47%, 40.11%, 2.42%,920666
20091,35.21%, 66.41%, 31.19%, 2.40%,a9064f
20093,1.16%, 48.95%, 47.79%, 3.27%,7c0879
20095,7.40%, 44.93%, 52.33%, 2.74%,720685
20097,20.97%, 59.48%, 38.51%, 2.02%,970562
20099,6.43%, 45.59%, 52.02%, 2.39%,740684
20101,0.38%, 48.91%, 48.53%, 2.55%,7c067b
20103,2.29%, 50.11%, 47.81%, 2.08%,7f0579
20105,10.68%, 54.52%, 43.84%, 1.65%,8b046f
20107,5.33%, 52.00%, 46.67%, 1.33%,840377
20109,15.50%, 56.39%, 40.90%, 2.71%,8f0668
20111,10.63%, 52.59%, 41.96%, 2.13%,86056a
20113,16.87%, 57.31%, 40.44%, 2.25%,920567
20115,3.49%, 50.72%, 47.23%, 2.04%,810578
20117,6.92%, 52.17%, 45.24%, 2.59%,850673
20119,5.86%, 51.53%, 45.68%, 2.79%,830774
20121,0.01%, 48.67%, 48.69%, 2.64%,7c067c
20123,10.18%, 53.99%, 43.81%, 2.19%,89056f
20125,10.41%, 54.08%, 43.66%, 2.26%,89056f
20127,11.64%, 54.74%, 43.10%, 2.16%,8b056d
20129,0.20%, 48.91%, 48.71%, 2.39%,7c067c
20131,3.18%, 50.71%, 47.53%, 1.76%,810479
20133,2.44%, 50.32%, 47.88%, 1.79%,80047a
20135,4.12%, 46.52%, 50.64%, 2.84%,760781
20137,23.77%, 60.55%, 36.78%, 2.67%,9a065d
20139,3.26%, 50.53%, 47.27%, 2.20%,800578
20141,13.52%, 55.42%, 41.90%, 2.68%,8d066a
20143,7.66%, 52.86%, 45.20%, 1.95%,860473
20145,7.12%, 45.11%, 52.23%, 2.67%,730685
