id,2008,2012
1001,-47.8,-46
1003,-51.5,-55.6
1005,-1.4,3.1
1007,-45.8,-46.6
1009,-69.5,-74
1011,48.4,52.8
1013,-13.4,-7.5
1015,-32.5,-31.8
1017,-8.4,-5.1
1019,-51.2,-54.9
1021,-57.8,-60.3
1023,-7.4,-4.6
1025,-11.6,-8.2
1027,-47.3,-45.5
1029,-62.3,-68
1031,-48.9,-49.2
1033,-20.2,-20.3
1035,-0.6,1.6
1037,-17.5,-16.2
1039,-58.3,-58.2
1041,-37.9,-35.5
1043,-65.2,-69.3
1045,-44.6,-42.1
1047,34.5,39.7
1049,-51.2,-54.6
1051,-50.9,-48.7
1053,-28.5,-25.5
1055,-38.2,-38.3
1057,-48.8,-53.3
1059,-39.1,-40.4
1061,-62.5,-63
1063,66.6,69.6
1065,21.7,25.5
1067,-29.7,-29
1069,-40.8,-40.2
1071,-37,-41.8
1073,5.1,6
1075,-53.8,-53.1
1077,-28.2,-30.8
1079,-28,-26.9
1081,-19.7,-19.9
1083,-41.9,-43.5
1085,50,53.1
1087,74.1,74.2
1089,-15,-18.6
1091,3.6,7.2
1093,-56.2,-61.4
1095,-56.4,-59.9
1097,-8.7,-9.2
1099,-10.2,-7.7
1101,19.3,24.2
1103,-43.8,-44.4
1105,45.1,50.2
1107,-8.4,-7
1109,-15.3,-13.7
1111,-39.6,-39.8
1113,7.3,11.7
1115,-63.2,-65.9
1117,-53.4,-55.4
1119,50.3,54.5
1121,-18.5,-16
1123,-36.5,-32.3
1125,-15.9,-17.4
1127,-46.4,-52.8
1129,-29.4,-31.7
1131,42.2,48.7
1133,-63.3,-72.2
4001,28.1,34.4
4003,-20.5,-22.3
4005,17,15.5
4007,-27.7,-26.7
4009,-40.5,-37.5
4011,-18.7,-9.4
4012,-28.3,-32
4013,-10.5,-10.7
4015,-32.7,-42.1
4017,-11.6,-7.9
4019,6,6.9
4021,-14.4,-16.3
4023,31.2,37.8
4025,-24.3,-30.3
4027,-13.7,-12.6
5001,-22.5,-22.2
5003,-28.2,-25.3
5005,-31.6,-44.1
5007,-36.5,-40.3
5009,-39.6,-48
5011,-14.4,-18.7
5013,-34.7,-36.7
5015,-18.1,-23.8
5017,17.7,22.4
5019,-3.8,-6.3
5021,-14.3,-29.1
5023,-44.2,-52.1
5025,-43.9,-44.9
5027,-24.1,-23.6
5029,-18.9,-19.5
5031,-24.5,-31
5033,-46,-49.9
5035,14.7,14.9
5037,-25.4,-29.8
5039,-8.7,-10.6
5041,12.2,12.4
5043,-19.1,-18.9
5045,-25.3,-31.6
5047,-39.2,-44.4
5049,-18.9,-33.1
5051,-25,-30
5053,-50.9,-51.8
5055,-29.6,-36.8
5057,-19.1,-26.2
5059,-24.4,-29
5061,-25,-31.8
5063,-37.1,-43.9
5065,-26.9,-38.8
5067,-16.4,-18.3
5069,26.3,29
