id,1948,1956,1968,1992
1001,15e900,5f1d81,13b532,8e1f4e
1003,38c600,820775,1dc419,902942
1005,0ef000,390abb,0cb03c,6d1876
1007,17e700,630a91,0ecc23,761a6e
1009,4cb200,71038a,38b709,891e53
1011,00fe00,3d1ba5,0b7e73,420eac
1013,10ee00,5f128d,11c22a,691a78
1015,34ca00,5206a6,1db627,7a1c62
1017,1fdf00,3604c3,19bd20,6e1b73
1019,2ad400,3d00c1,0fd614,581b88
1021,718d00,9b055d,2dbd10,8f1857
1023,00fe00,410ab3,07b144,671084
1025,05f900,62009b,0eb632,77126d
1027,41bd00,7a0380,23cc0c,7e1c5b
1029,4eb000,6d0091,1ed30a,761e68
1031,0df100,2f06c9,10d219,7c215e
1033,27d700,3303c7,1cb925,5b178a
1035,0bf300,51109c,08b636,63167f
1037,3ec000,6c038e,16bd29,68197b
1039,0df100,4c0ba6,10dd0f,7c225b
1041,06f800,300dc1,09d121,701773
1043,53ab00,70008d,49a310,7e245b
1045,24da00,58079f,0fd516,832752
1047,0bf300,6e2b64,138663,600e8f
1049,6e9000,7e0080,5b8b15,7c2061
1051,10ee00,4c139e,11c325,8e224d
1053,19e500,4910a5,10c823,76205f
1055,35c900,5c049e,23af25,68197b
1057,5ba300,7e017e,21bf1b,6c1e73
1059,708e00,80007e,46a510,671780
1061,22dc00,4906af,08e90b,7d225d
1063,0cf200,4b0aa8,0b638f,2a0ac9
1065,0af400,430dae,0c8e61,541493
1067,0bf300,280ec7,00cb2e,741a6e
1069,22dc00,621587,0fd516,941d4b
1071,41bd00,4700b6,1bc617,4c218f
1073,30ce00,7f0f70,318445,7f126b
1075,1ce200,4102bb,0fe10d,781c69
1077,24da00,3501c7,27b51d,671e78
1079,32cc00,4801b4,13d316,4e238c
1081,20de00,5008a6,2d9536,792062
1083,0ef000,1f00de,15cf15,742a5f
1085,00fe00,453385,128e60,410ead
1087,17e700,7c0b77,0a40b1,2008d3
1089,21dd00,3e02be,409227,79285c
1091,08f600,540f9b,0c9060,65147f
1093,53ab00,770186,2dc20b,6d1a76
1095,41bd00,5202a9,29c20e,742463
1097,31cd00,850b6e,1dab33,811a61
1099,00fe00,410bb2,0db53a,801365
1101,1ce200,762b5d,249542,78166e
1103,1de100,4505b3,22c015,7a2c57
1105,07f700,561f89,0e7f70,5009a2
1107,0fef00,590f95,0cb739,711576
1109,0cf200,420eae,14b82f,7b176a
1111,45b900,5401a8,1fbf18,771c67
1113,0df100,4808ae,0fab3d,5a168c
1115,5aa400,7d057c,2ab916,921e4c
1117,53ab00,840872,28b71a,ad1a36
1119,0bf300,581195,10727b,410eae
1121,28d600,6f048b,1ab72a,7a1967
1123,10ee00,4403b7,19c31c,86195e
1125,1ee000,5c0b97,22a731,781e67
1127,4eb000,660197,22bd19,611c80
1129,05f900,4d08a9,08cb28,66197e
1131,00fe00,562286,0d905f,5008a5
1133,a45a00,a70057,648b0b,8c1c56
2013,000000,000000,0,000000
2016,000000,000000,0,000000
2020,000000,000000,0,000000
2050,000000,000000,0,000000
2060,000000,000000,0,000000
2068,000000,000000,0,000000
2070,000000,000000,0,000000
2090,000000,000000,0,000000
2100,000000,000000,0,000000
2105,000000,000000,0,000000
2110,000000,000000,0,000000
2122,000000,000000,0,000000
2130,000000,000000,0,000000
2150,000000,000000,0,000000
2164,000000,000000,0,000000
2170,000000,000000,0,000000
2180,000000,000000,0,000000
2185,000000,000000,0,000000
2188,000000,000000,0,000000
2195,000000,000000,0,000000
2198,000000,000000,0,000000
2220,000000,000000,0,000000
2230,000000,000000,0,000000
2240,000000,000000,0,000000
2261,000000,000000,0,000000
2270,000000,000000,0,000000
2275,000000,000000,0,000000
2282,000000,000000,0,000000
2290,000000,000000,0,000000
4001,640099,a1005d,7f1865,401b9c
4003,5e0798,8f006f,742464,5d3c61
4005,780284,a1005c,97174e,523871
4007,5105a7,82007c,5e207e,4f4068
4009,5b02a1,950069,782c59,6d3059
4011,3a12b2,650099,4512a5,5c326c
4012,5505a4,000000,772164,524c5c
4013,760682,a0005e,961750,684053
4015,6d048c,9b0062,832456,554f53
4017,660395,a70056,822852,523170
4019,79067e,9f005f,811267,573074
4021,60039a,870077,6c1d74,50406b
4023,6b0390,970067,7a1170,5f2d6e
4025,7a057e,a70057,952047,64464e
4027,5505a4,7a0084,772164,69345e
5001,373f87,7f037b,3c7e43,521496
5003,1426c3,460fa8,2f8d41,47189c
5005,500f9f,890173,7e3848,5b2f71
5007,710c80,a0015c,7f3f40,7c245c
5009,4c0fa2,850178,734a41,6b246c
5011,183fa6,4e03ad,2a874d,4e149b
5013,0c1dd5,4002bc,218d50,621883
5015,69098c,940169,823b41,652b6c
5017,1d5789,4c0aa7,276275,3e11af
5019,2626b1,670394,3a6261,4414a4
5021,480baa,6a0292,605b42,3b14ae
5023,360dba,750088,4f6549,5b2082
5025,143eac,4303b8,20b42a,55198e
5027,125398,6e0986,3b764c,601c7b
5029,2c1ab8,61019b,4d4c64,511893
5031,2537a1,660394,526e3d,5a168a
5033,561395,860176,606737,6c2669
5035,0eb13f,810e6e,3b7053,580c90
5037,176b7b,5705a1,308845,541594
5039,1638af,5a049f,2e7857,5e1688
5041,1339b2,4903b2,2b6e65,3a11ad
5043,165097,59069e,387d48,4e1897
5045,2c16bc,680195,416657,5f1883
5047,2f0dc1,680194,4a753f,5e2579
5049,4607b0,730289,5c534e,432198
5051,512786,9f035b,605747,5b1885
5053,182fb6,610597,2b983b,5d1c83
5055,2511c7,5901a3,5a5f45,48199c
5057,20538b,710389,3e6e51,441d9c
5059,3319b2,72028a,388343,481d97
5061,1e1fc0,790282,516943,58178d
5063,3d18a8,7f017e,5a5a4a,541c8c
5065,2706d0,4b00b2,4f5e50,451b9c
5067,1a12d2,4201ba,31814b,3f16a7
5069,243c9d,740782,336a60,3c10af
5071,3b12b1,770285,535457,562284
5073,146d7d,5d0a96,2f7955,4c2091
5075,2f10be,660394,497342,4e1798
5077,10945a,580a9b,2b636f,410fac
5079,391da8,5102ab,208c51,4216a4
5081,1c4c96,600797,397154,422794
5083,480caa,780185,5b544e,642375
5085,202eb0,5c089a,378442,641980
5087,820379,880076,783551,6c1c74
5089,3e07b9,71008c,6c444d,523670
5091,1b459e,6d0789,3f7946,5b277a
5093,1f4897,630595,476552,4b0fa0
5095,20439b,6a078d,297a5b,4f1599
5097,300ebf,860275,596441,522782
5099,1d3da4,5a02a2,367355,4e1d90
5101,80037b,a3005b,81324b,6a256c
5103,1936af,5803a2,2f6c63,4c1998
5105,2e25aa,6f028c,526646,541d8a
5107,1c8e53,67078f,2f5f6f,4510a7
5109,3012bc,790183,557632,5f1c82
5111,1d3aa6,5903a2,458336,48169e
5113,4214a8,940168,66583f,612b6f
5115,341dad,72018b,61514b,731c6d
5117,273c9b,5f019d,318f3e,4a1b98
5119,3d3a87,820676,545257,581093
5121,240bcf,62019b,4a6152,47179e
5123,157277,720c80,2c765b,4e129d
5125,2224b8,680294,3b7d46,641b7d
5127,2f09c5,8f016d,575c4a,5e227c
5129,740684,b80144,903736,71206b
5131,541892,92016b,71513b,6c266a
