state_index,county_name,d_percent,d_total,r_percent,r_total,o_percent,o_total
4,Pinal,42.0,44254,56.4,59421,1.6,1723
4,Santa Cruz,65.1,8683,33.9,4518,1.1,143
4,Yavapai,36.8,36889,61.1,61192,2.1,2104
4,Yuma,42.4,18559,56.1,24577,1.5,636
5,Arkansas,37.5,2619,60.0,4185,2.5,174
5,Ashley,34.4,2976,62.6,5406,3.0,260
5,Baxter,32.7,6539,64.3,12852,3.0,590
5,Benton,30.7,23331,67.2,51124,2.1,1618
5,Boone,28.7,4435,68.3,10575,3.0,464
5,Bradley,41.6,1680,56.0,2262,2.4,99
5,Calhoun,31.2,691,65.9,1462,2.9,64
5,Carroll,39.4,4172,57.5,6083,3.1,324
5,Chicot,58.4,3043,40.7,2119,0.9,46
5,Clark,46.9,4267,50.7,4608,2.4,219
5,Clay,40.7,2244,55.0,3032,4.3,235
5,Cleburne,26.0,2951,70.2,7962,3.7,425
5,Cleveland,26.0,911,69.9,2451,4.1,143
5,Columbia,37.2,3554,61.3,5861,1.5,143
5,Conway,38.7,3149,57.6,4691,3.7,298
5,Craighead,36.5,11294,61.0,18881,2.6,793
5,Crawford,25.5,5238,71.5,14688,3.0,606
5,Crittenden,56.6,10330,41.9,7650,1.5,275
5,Cross,36.2,2580,61.6,4393,2.2,157
5,Dallas,44.3,1471,53.0,1757,2.7,90
5,Desha,54.9,2569,42.7,1999,2.4,110
5,Drew,39.3,2598,58.4,3860,2.3,152
5,Faulkner,36.3,14955,61.6,25362,2.1,862
5,Franklin,28.9,1869,68.1,4411,3.0,195
5,Fulton,38.9,1819,57.8,2702,3.3,155
5,Garland,36.4,15899,61.4,26825,2.3,995
5,Grant,23.0,1562,73.9,5023,3.1,208
5,Greene,33.4,4541,63.0,8578,3.6,493
5,Hempstead,39.0,2869,58.1,4273,2.8,207
5,Hot Spring,35.9,4288,60.3,7209,3.8,458
5,Howard,36.0,1746,61.0,2957,3.0,143
5,Independence,30.0,3688,67.1,8255,2.9,356
5,Izard,34.3,1792,61.2,3193,4.5,233
5,Jackson,39.5,2207,55.9,3118,4.6,257
5,Jefferson,62.2,18465,35.9,10655,1.9,569
