id,margin,bush,gore,trash1,trash2,other,hex_color
04003,14.50%, 54.69%, 40.19%,-, 3.35%,5.1200000000000045%,8b0d66
04005,6.65%, 42.96%, 49.60%,-, 6.06%,7.439999999999998%,6d127e
04007,8.22%, 51.64%, 43.41%,-, 2.80%,4.950000000000003%,830c6e
04009,27.44%, 62.16%, 34.72%,-,-,3.1200000000000045%,9e0758
04011,13.61%, 54.70%, 41.08%,-, 2.30%,4.219999999999999%,8b0a68
04012,17.27%, 56.73%, 39.46%,-, 2.03%,3.8100000000000023%,900964
04013,10.35%, 53.23%, 42.88%,-, 2.49%,3.8900000000000006%,87096d
04015,15.67%, 55.25%, 39.58%,-, 3.00%,5.170000000000002%,8c0d64
04017,2.35%, 49.25%, 46.90%,-, 2.06%,3.8499999999999943%,7d0977
04019,8.03%, 43.31%, 51.34%,-, 4.30%,5.349999999999994%,6e0d82
04021,1.14%, 48.73%, 47.59%,-, 2.19%,3.680000000000007%,7c0979
04023,21.24%, 37.60%, 58.84%,-, 2.44%,3.5600000000000023%,5f0996
04025,23.57%, 58.84%, 35.27%,-, 4.01%,5.889999999999986%,960f59
04027,12.75%, 54.82%, 42.07%,-,-,3.1099999999999994%,8b076b
05001,7.47%, 52.62%, 45.15%,-,-,2.230000000000004%,860573
05003,4.56%, 46.86%, 51.42%,-,-,1.7199999999999989%,770483
05005,18.09%, 57.09%, 39.00%,-, 2.57%,3.9099999999999966%,910963
05007,32.73%, 64.94%, 32.21%,-,-,2.8499999999999943%,a50752
05009,29.89%, 62.85%, 32.95%,-, 2.12%,4.199999999999989%,a00a54
05011,8.27%, 45.06%, 53.33%,-,-,1.6099999999999994%,720487
05013,5.08%, 51.62%, 46.54%,-,-,1.8400000000000034%,830476
05015,20.45%, 57.94%, 37.49%,-, 3.14%,4.569999999999993%,930b5f
05017,28.21%, 35.13%, 63.34%,-,-,1.5300000000000011%,5903a1
05019,10.26%, 43.77%, 54.03%,-,-,2.1999999999999886%,6f0589
05021,21.58%, 38.20%, 59.78%,-,-,2.019999999999996%,610598
05023,15.77%, 56.14%, 40.36%,-,-,3.5%,8f0866
05025,8.30%, 52.75%, 44.45%,-,-,2.799999999999997%,860771
05027,10.91%, 53.92%, 43.01%,-,-,3.069999999999993%,89076d
05029,0.68%, 49.00%, 48.33%,-,-,2.6700000000000017%,7c067b
05031,0.87%, 48.33%, 49.20%,-,-,2.469999999999999%,7b067d
05033,25.62%, 61.30%, 35.68%,-,-,3.0200000000000102%,9c075a
05035,10.33%, 44.26%, 54.59%,-,-,1.1500000000000057%,70028b
05037,1.01%, 48.80%, 49.81%,-,-,1.3900000000000006%,7c037f
05039,4.18%, 47.25%, 51.43%,-,-,1.3199999999999932%,780383
05041,26.10%, 35.66%, 61.76%,-,-,2.5800000000000125%,5a069d
05043,5.13%, 46.54%, 51.67%,-,-,1.789999999999992%,760483
05045,14.05%, 54.95%, 40.90%,-,-,4.150000000000006%,8c0a68
05047,9.82%, 53.37%, 43.55%,-,-,3.0800000000000125%,88076f
05049,1.46%, 49.56%, 48.10%,-,-,2.3400000000000034%,7e057a
05051,9.07%, 53.15%, 44.08%,-,-,2.7700000000000102%,870770
05053,12.47%, 54.63%, 42.16%,-,-,3.210000000000008%,8b086b
05055,3.91%, 46.71%, 50.62%,-,-,2.6700000000000017%,770681
05057,9.33%, 44.68%, 54.01%,-,-,1.3100000000000023%,710389
05059,4.42%, 45.92%, 50.33%,-,-,3.75%,750980
05061,5.90%, 52.16%, 46.27%,-,-,1.5699999999999932%,850475
05063,8.62%, 53.00%, 44.39%,-,-,2.6099999999999994%,870671
05065,5.68%, 45.73%, 51.41%,-,-,2.8600000000000136%,740783
05067,22.58%, 37.55%, 60.13%,-,-,2.319999999999993%,5f0599
05069,32.91%, 32.22%, 65.13%,-,-,2.6500000000000057%,5206a6
05071,5.40%, 51.07%, 45.66%,-,-,3.2700000000000102%,820874
05073,7.92%, 45.46%, 53.38%,-,-,1.1599999999999966%,730288
05075,10.41%, 43.48%, 53.89%,-,-,2.6299999999999955%,6e0689
05077,33.39%, 32.78%, 66.17%,-,-,1.0499999999999972%,5302a8
05079,12.15%, 43.03%, 55.19%,-,-,1.7800000000000011%,6d048c
05081,11.40%, 43.38%, 54.78%,-,-,1.8400000000000034%,6e048b
05083,14.87%, 55.42%, 40.55%,-,-,4.030000000000001%,8d0a67
05085,20.93%, 59.11%, 38.18%,-,-,2.710000000000008%,960661
05087,23.67%, 60.18%, 36.51%,-,-,3.3100000000000023%,99085d
05089,19.43%, 56.56%, 37.12%,-, 3.66%,6.319999999999993%,90105e
05091,7.26%, 52.94%, 45.67%,-,-,1.3900000000000006%,860374
05093,15.16%, 41.31%, 56.47%,-,-,2.219999999999999%,69058f
05095,17.64%, 40.36%, 58.00%,-,-,1.6400000000000006%,660493
05097,18.45%, 56.91%, 38.46%,-, 2.70%,4.6299999999999955%,910b62
05099,1.90%, 48.05%, 49.95%,-,-,2.0%,7a057f
05101,33.72%, 64.40%, 30.69%,-, 2.85%,4.909999999999997%,a40c4e
05103,6.97%, 45.59%, 52.56%,-,-,1.8499999999999943%,740486
05105,11.63%, 52.76%, 41.13%,-,-,6.109999999999999%,860f68
05107,30.75%, 33.87%, 64.62%,-,-,1.509999999999991%,5603a4
05109,16.90%, 57.29%, 40.39%,-,-,2.319999999999993%,920566
05111,15.40%, 41.30%, 56.70%,-,-,2.0%,690590
05113,31.77%, 63.95%, 32.18%,-,-,3.8700000000000045%,a30952
05115,24.83%, 61.04%, 36.20%,-,-,2.759999999999991%,9b075c
05117,8.53%, 53.09%, 44.57%,-,-,2.3400000000000034%,870571
05119,9.79%, 43.94%, 53.73%,-,-,2.3300000000000125%,700589
05121,5.89%, 45.48%, 51.37%,-,-,3.1500000000000057%,730882
05123,18.50%, 40.18%, 58.69%,-,-,1.1299999999999955%,660295
05125,18.27%, 57.48%, 39.21%,-,-,3.3100000000000023%,920863
05127,23.99%, 60.26%, 36.27%,-,-,3.469999999999999%,99085c
05129,34.03%, 64.32%, 30.29%,-, 2.05%,5.390000000000015%,a40d4d
05131,19.74%, 58.48%, 38.73%,-,-,2.7900000000000063%,950762
05133,0.37%, 49.17%, 48.80%,-,-,2.030000000000001%,7d057c
05135,6.48%, 51.89%, 45.41%,-,-,2.700000000000003%,840673
05137,11.93%, 53.97%, 42.04%,-, 2.02%,3.990000000000009%,890a6b
05139,15.29%, 55.40%, 40.11%,-,-,4.490000000000009%,8d0b66
05141,4.05%, 49.90%, 45.85%,-, 2.19%,4.25%,7f0a74
05143,13.23%, 54.86%, 41.64%,-, 2.35%,3.5%,8b086a
05145,21.80%, 59.46%, 37.66%,-,-,2.8799999999999955%,970760
05147,30.22%, 33.87%, 64.09%,-,-,2.039999999999992%,5605a3
05149,2.48%, 49.75%, 47.26%,-,-,2.990000000000009%,7e0778
06001,45.23%, 24.13%, 69.36%,-, 5.56%,6.510000000000005%,3d10b0
06003,2.73%, 47.95%, 45.22%,-, 4.27%,6.829999999999998%,7a1173
06005,18.49%, 56.69%, 38.19%,-, 3.78%,5.1200000000000045%,900d61
