id,margin,coolidge,davis,other,lafollette,hex_color
53031,12.54%, 51.79%, 8.11%,40.1%, 39.25%,846614
53033,17.08%, 53.51%, 6.56%,36.9%, 36.43%,885e10
53035,2.98%, 45.19%, 5.60%,49.21%, 48.17%,737d0e
53037,4.96%, 47.22%, 9.10%,43.68%, 42.26%,786f17
53039,24.62%, 52.72%, 18.43%,28.85%, 28.10%,86492e
53041,29.82%, 58.07%, 12.86%,29.07%, 28.25%,944a20
53043,9.34%, 46.16%, 16.79%,37.05%, 36.82%,755e2a
53045,8.75%, 49.02%, 9.73%,41.25%, 40.27%,7d6918
53047,15.85%, 50.41%, 14.36%,35.23%, 34.55%,805924
53049,42.10%, 64.57%, 12.11%,23.32%, 22.47%,a43b1e
53051,13.75%, 51.05%, 11.50%,37.449999999999996%, 37.30%,825f1d
53053,6.49%, 47.70%, 9.44%,42.86%, 41.20%,796d18
53055,41.22%, 66.67%, 7.71%,25.63%, 25.45%,aa4113
53057,3.38%, 47.95%, 6.61%,45.44%, 44.57%,7a7310
53059,25.24%, 52.15%, 20.25%,27.59%, 26.91%,844633
53061,7.24%, 48.82%, 7.21%,43.96%, 41.58%,7c7012
53063,11.75%, 49.30%, 12.71%,37.989999999999995%, 37.55%,7d6020
53065,10.70%, 48.94%, 11.52%,39.54%, 38.24%,7c641d
53067,27.22%, 57.77%, 10.63%,31.6%, 30.55%,93501b
53069,32.68%, 60.49%, 10.85%,28.650000000000002%, 27.80%,9a491b
53071,35.95%, 58.83%, 17.89%,23.28%, 22.87%,963b2d
53073,21.12%, 57.19%, 5.75%,37.05%, 36.08%,915e0e
53075,22.84%, 52.12%, 18.34%,29.54%, 29.29%,844b2e
53077,42.88%, 63.72%, 11.34%,21.18%, 20.84%,a2361c
54001,2.16%, 45.41%, 43.25%,11.34%, 11.26%,731c6e
54003,10.40%, 53.18%, 42.78%,4.039999999999999%, 4.02%,870a6d
54005,4.34%, 41.32%, 45.66%,13.01%, 12.89%,692174
54007,10.28%, 44.17%, 54.46%,1.37%,-,70038a
54009,28.01%, 59.34%, 31.33%,9.32%, 8.58%,97174f
54011,1.91%, 47.26%, 49.17%,3.57%, 3.44%,78097d
54013,22.90%, 38.51%, 61.41%,0.08%,-,62009c
54015,4.95%, 47.02%, 51.96%,1.02%,-,770284
54017,26.71%, 62.70%, 35.99%,1.31%,-,9f035b
54019,4.40%, 46.79%, 42.39%,10.82%, 10.69%,771b6c
54021,27.13%, 36.09%, 63.22%,0.69%,-,5c01a1
54023,54.30%, 75.49%, 21.19%,3.32%, 3.19%,c00836
54025,11.34%, 42.24%, 53.58%,4.18%, 3.68%,6b0a88
54027,43.32%, 27.88%, 71.19%,0.93%,-,4702b5
54029,48.73%, 71.08%, 22.35%,6.58%, 6.03%,b51038
54031,31.20%, 33.92%, 65.12%,0.96%,-,5602a6
54033,5.52%, 49.38%, 43.86%,6.75%, 6.54%,7d116f
54035,11.92%, 55.52%, 43.60%,0.88%,-,8d026f
54037,38.83%, 29.07%, 67.90%,3.0300000000000002%, 2.97%,4a07ad
54039,6.22%, 49.14%, 42.92%,7.95%, 7.69%,7d146d
54041,4.53%, 51.10%, 46.57%,2.3299999999999996%, 2.30%,820576
54043,2.86%, 47.29%, 50.15%,2.56%, 2.56%,78067f
54045,2.09%, 46.92%, 49.01%,4.069999999999999%, 3.78%,770a7c
54047,34.77%, 62.95%, 28.18%,8.87%, 8.70%,a01647
54049,11.56%, 50.56%, 39.00%,10.440000000000001%, 10.31%,801a63
54051,20.26%, 55.56%, 35.30%,9.139999999999999%, 8.95%,8d175a
54053,11.33%, 52.22%, 40.89%,6.88%, 6.76%,851168
54055,4.21%, 42.86%, 47.07%,10.08%, 9.93%,6d1978
54057,9.65%, 49.62%, 39.96%,10.430000000000001%, 10.30%,7e1a65
54059,5.93%, 42.06%, 47.99%,9.950000000000001%, 9.73%,6b197a
54061,14.29%, 49.57%, 35.27%,15.16%, 14.93%,7e2659
54063,0.50%, 49.96%, 49.47%,0.57%,-,7f017e
54065,32.31%, 63.10%, 30.80%,6.1%, 5.83%,a00f4e
54067,8.19%, 45.02%, 53.21%,1.76%,-,720487
54069,21.22%, 54.09%, 32.87%,13.040000000000001%, 12.83%,892153
54071,16.39%, 41.68%, 58.07%,0.26%,-,6a0094
54073,1.69%, 48.72%, 50.41%,0.87%,-,7c0280
54075,0.09%, 49.14%, 49.05%,1.8%,-,7d047d
54077,42.14%, 68.22%, 26.08%,5.6899999999999995%, 5.35%,ad0e42
54079,1.37%, 46.74%, 48.11%,5.140000000000001%, 5.11%,770d7a
54081,4.96%, 49.43%, 44.47%,6.1%, 6.05%,7e0f71
54083,18.55%, 36.59%, 55.14%,8.27%, 8.08%,5d158c
54085,26.37%, 62.61%, 36.23%,1.16%,-,9f025c
54087,7.80%, 53.90%, 46.10%,0.0%,-,890075
54089,11.62%, 41.52%, 53.14%,5.34%, 5.22%,690d87
54091,17.18%, 53.45%, 36.27%,10.280000000000001%, 9.96%,881a5c
54093,3.00%, 45.61%, 42.61%,11.780000000000001%, 11.22%,741e6c
54095,22.71%, 60.38%, 37.68%,1.94%,-,990460
54097,42.43%, 70.24%, 27.81%,1.95%,-,b30446
54099,18.26%, 39.03%, 57.29%,3.68%, 3.48%,630992
54101,21.67%, 38.68%, 60.36%,0.96%,-,620299
54103,17.64%, 39.60%, 57.24%,3.16%, 2.75%,640891
54105,3.09%, 48.03%, 51.13%,0.84%,-,7a0282
54107,3.53%, 50.29%, 46.76%,2.95%, 2.69%,800777
54109,15.93%, 54.69%, 38.76%,6.54%, 6.46%,8b1062
55001,35.17%, 28.99%, 6.44%,64.57%, 64.16%,49a410
55003,27.58%, 32.44%, 6.41%,61.150000000000006%, 60.02%,529b10
55005,36.02%, 29.44%, 4.11%,66.45%, 65.47%,4ba90a
55007,20.13%, 36.41%, 4.46%,59.129999999999995%, 56.54%,5c960b
55009,12.02%, 37.90%, 11.59%,50.5%, 49.92%,60801d
55011,28.71%, 33.05%, 4.39%,62.559999999999995%, 61.76%,549f0b
55013,35.78%, 30.34%, 2.41%,67.26%, 66.12%,4dab06
55015,50.83%, 18.59%, 11.28%,70.13%, 69.42%,2fb21c
55017,11.23%, 41.72%, 4.55%,53.730000000000004%, 52.95%,6a890b
55019,30.75%, 31.27%, 5.51%,63.220000000000006%, 62.02%,4fa10e
55021,10.64%, 40.41%, 7.76%,51.83%, 51.05%,678413
55023,22.80%, 29.82%, 16.54%,53.65%, 52.62%,4c882a
55025,31.41%, 31.32%, 5.31%,63.37%, 62.73%,4fa10d
55027,26.18%, 30.45%, 11.90%,57.660000000000004%, 56.63%,4d931e
55029,16.80%, 38.56%, 4.79%,56.64%, 55.36%,62900c
55031,15.75%, 39.14%, 4.24%,56.61%, 54.89%,63900a
55033,15.26%, 40.13%, 3.59%,56.27%, 55.39%,668f09
55035,0.66%, 46.46%, 5.68%,47.87%, 47.12%,767a0e
55037,6.00%, 50.21%, 4.14%,45.65%, 44.21%,80740a
55039,5.18%, 41.62%, 10.86%,47.51%, 46.80%,6a791b
55041,5.72%, 40.74%, 11.03%,48.230000000000004%, 46.46%,677a1c
55043,7.84%, 40.33%, 10.71%,48.96%, 48.17%,667c1b
55045,23.56%, 35.07%, 5.08%,59.85%, 58.64%,59980c
55047,3.75%, 37.45%, 20.53%,42.019999999999996%, 41.19%,5f6b34
55049,10.25%, 40.07%, 8.39%,51.54%, 50.32%,668315
55051,12.98%, 40.17%, 3.19%,54.21%, 53.15%,668a08
55053,29.19%, 32.24%, 4.95%,62.82%, 61.44%,52a00c
55055,26.71%, 31.22%, 10.09%,58.68%, 57.93%,4f9519
55057,30.30%, 31.10%, 6.54%,62.36%, 61.40%,4f9f10
55059,19.55%, 55.45%, 8.13%,36.41%, 35.90%,8d5c14
55061,41.92%, 23.90%, 9.27%,66.83%, 65.82%,3caa17
55063,27.26%, 32.49%, 7.09%,60.410000000000004%, 59.74%,529a12
55065,13.12%, 34.69%, 16.43%,48.88%, 47.81%,587c29
55067,14.07%, 35.98%, 12.95%,51.07%, 50.05%,5b8221
55069,37.70%, 26.84%, 7.27%,65.88000000000001%, 64.54%,44a712
55071,30.50%, 29.54%, 9.78%,60.68%, 60.04%,4b9a18
55073,34.66%, 29.22%, 5.81%,64.97%, 63.88%,4aa50e
55075,16.70%, 54.68%, 6.36%,38.959999999999994%, 37.98%,8b6310
55077,19.99%, 31.19%, 16.51%,52.3%, 51.18%,4f852a
55078,0%,-,-,0.0%,-,000000
55079,20.92%, 34.27%, 9.80%,55.93%, 55.19%,578e18
55081,41.00%, 26.70%, 4.30%,69.0%, 67.71%,44af0a
55083,25.13%, 33.12%, 7.78%,59.09%, 58.25%,549613
55085,26.67%, 33.07%, 6.06%,60.88%, 59.74%,549b0f
55087,21.65%, 35.39%, 6.91%,57.7%, 57.03%,5a9311
55089,45.90%, 20.71%, 12.08%,67.2%, 66.61%,34ab1e
55091,22.29%, 55.88%, 9.39%,34.730000000000004%, 33.59%,8e5817
55093,12.83%, 40.97%, 4.38%,54.65%, 53.80%,688b0b
55095,19.61%, 37.57%, 4.26%,58.16%, 57.18%,5f940a
55097,24.25%, 27.76%, 19.55%,52.68%, 52.01%,468631
55099,26.13%, 32.81%, 6.04%,61.15%, 58.94%,539b0f
55101,6.71%, 50.21%, 5.63%,44.16%, 43.51%,80700e
55103,0.14%, 42.11%, 14.17%,43.72%, 41.97%,6b6f24
55105,28.34%, 60.92%, 5.97%,33.11%, 32.58%,9b540f
55107,15.08%, 39.11%, 5.51%,55.379999999999995%, 54.19%,638d0e
55109,12.05%, 39.68%, 7.91%,52.4%, 51.72%,658514
55111,22.30%, 35.60%, 5.02%,59.379999999999995%, 57.91%,5a970c
55113,18.84%, 37.53%, 5.12%,57.36%, 56.37%,5f920d
55115,47.67%, 23.01%, 5.25%,71.74%, 70.69%,3ab60d
55117,23.49%, 34.56%, 6.69%,58.75%, 58.04%,589511
55119,35.88%, 29.49%, 3.93%,66.58%, 65.37%,4ba90a
55121,30.99%, 31.26%, 5.60%,63.14%, 62.24%,4fa10e
55123,33.36%, 30.41%, 4.62%,64.96000000000001%, 63.78%,4da50b
55125,7.96%, 42.11%, 5.74%,52.14%, 50.07%,6b840e
55127,24.07%, 57.22%, 8.88%,33.9%, 33.14%,915616
55129,16.99%, 38.91%, 4.32%,56.78%, 55.90%,63900b
55131,38.05%, 24.44%, 12.05%,63.510000000000005%, 62.49%,3ea11e
55133,4.39%, 45.45%, 12.71%,41.84%, 41.06%,736a20
55135,25.42%, 33.89%, 6.17%,59.94%, 59.32%,56980f
55137,22.20%, 35.43%, 5.51%,59.07%, 57.63%,5a960e
55139,5.84%, 48.70%, 7.80%,43.5%, 42.86%,7c6e13
55141,33.51%, 30.32%, 4.79%,64.89999999999999%, 63.83%,4da50c
56001,11.82%, 47.72%, 16.38%,35.9%, 35.90%,795b29
56003,21.27%, 54.45%, 12.36%,33.19%, 33.19%,8a541f
56005,25.41%, 52.36%, 26.95%,20.69%, 20.69%,853444
56007,25.80%, 54.56%, 16.68%,28.76%, 28.76%,8b492a
56009,34.35%, 58.46%, 17.43%,24.11%, 24.11%,953d2c
56011,28.41%, 54.48%, 26.07%,19.44%, 19.44%,8a3142
56013,18.08%, 51.73%, 14.61%,33.65%, 33.65%,835525
56015,28.55%, 56.15%, 16.25%,27.6%, 27.60%,8f4629
56017,1.90%, 45.73%, 10.45%,43.83%, 43.83%,746f1a
56019,31.52%, 58.01%, 26.49%,15.49%, 15.49%,932743
56021,21.04%, 53.00%, 15.05%,31.95%, 31.95%,875126
56023,15.13%, 48.25%, 18.62%,33.13%, 33.13%,7b542f
56025,32.06%, 60.10%, 11.86%,28.04%, 28.04%,99471e
56027,8.80%, 48.43%, 11.93%,39.63%, 39.63%,7b651e
56029,29.24%, 55.47%, 18.29%,26.23%, 26.23%,8d422e
56031,14.73%, 49.55%, 15.62%,34.83%, 34.83%,7e5827
56033,4.36%, 42.76%, 18.84%,38.4%, 38.40%,6d6130
56035,45.74%, 67.38%, 21.63%,10.99%, 10.99%,ab1c37
56037,1.99%, 42.16%, 13.69%,44.15%, 44.15%,6b7022
56039,27.00%, 54.63%, 27.64%,17.73%, 17.73%,8b2d46
56041,8.29%, 45.51%, 17.26%,37.23%, 37.23%,745e2c
56043,37.62%, 60.13%, 17.36%,22.51%, 22.51%,99392c
56045,8.79%, 45.35%, 18.10%,36.55%, 36.55%,735d2e
60010,0%,-,-,0.0%,-,000000
60020,0%,-,-,0.0%,-,000000
60030,0%,-,-,0.0%,-,000000
60040,0%,-,-,0.0%,-,000000
60050,0%,-,-,0.0%,-,000000
66010,0%,-,-,0.0%,-,000000
69085,0%,-,-,0.0%,-,000000
69100,0%,-,-,0.0%,-,000000
69110,0%,-,-,0.0%,-,000000
69120,0%,-,-,0.0%,-,000000
72001,0%,-,-,0.0%,-,000000
72003,0%,-,-,0.0%,-,000000
72005,0%,-,-,0.0%,-,000000
72007,0%,-,-,0.0%,-,000000
72009,0%,-,-,0.0%,-,000000
72011,0%,-,-,0.0%,-,000000
72013,0%,-,-,0.0%,-,000000
72015,0%,-,-,0.0%,-,000000
72017,0%,-,-,0.0%,-,000000
72019,0%,-,-,0.0%,-,000000
72021,0%,-,-,0.0%,-,000000
72023,0%,-,-,0.0%,-,000000
72025,0%,-,-,0.0%,-,000000
72027,0%,-,-,0.0%,-,000000
72029,0%,-,-,0.0%,-,000000
72031,0%,-,-,0.0%,-,000000
72033,0%,-,-,0.0%,-,000000
72035,0%,-,-,0.0%,-,000000
72037,0%,-,-,0.0%,-,000000
72039,0%,-,-,0.0%,-,000000
72041,0%,-,-,0.0%,-,000000
72043,0%,-,-,0.0%,-,000000
72045,0%,-,-,0.0%,-,000000
72047,0%,-,-,0.0%,-,000000
72049,0%,-,-,0.0%,-,000000
72051,0%,-,-,0.0%,-,000000
72053,0%,-,-,0.0%,-,000000
72054,0%,-,-,0.0%,-,000000
72055,0%,-,-,0.0%,-,000000
72057,0%,-,-,0.0%,-,000000
72059,0%,-,-,0.0%,-,000000
72061,0%,-,-,0.0%,-,000000
72063,0%,-,-,0.0%,-,000000
72065,0%,-,-,0.0%,-,000000
72067,0%,-,-,0.0%,-,000000
72069,0%,-,-,0.0%,-,000000
72071,0%,-,-,0.0%,-,000000
72073,0%,-,-,0.0%,-,000000
72075,0%,-,-,0.0%,-,000000
72077,0%,-,-,0.0%,-,000000
72079,0%,-,-,0.0%,-,000000
72081,0%,-,-,0.0%,-,000000
72083,0%,-,-,0.0%,-,000000
72085,0%,-,-,0.0%,-,000000
72087,0%,-,-,0.0%,-,000000
72089,0%,-,-,0.0%,-,000000
72091,0%,-,-,0.0%,-,000000
72093,0%,-,-,0.0%,-,000000
72095,0%,-,-,0.0%,-,000000
72097,0%,-,-,0.0%,-,000000
72099,0%,-,-,0.0%,-,000000
72101,0%,-,-,0.0%,-,000000
72103,0%,-,-,0.0%,-,000000
72105,0%,-,-,0.0%,-,000000
72107,0%,-,-,0.0%,-,000000
72109,0%,-,-,0.0%,-,000000
72111,0%,-,-,0.0%,-,000000
72113,0%,-,-,0.0%,-,000000
72115,0%,-,-,0.0%,-,000000
72117,0%,-,-,0.0%,-,000000
72119,0%,-,-,0.0%,-,000000
72121,0%,-,-,0.0%,-,000000
72123,0%,-,-,0.0%,-,000000
72125,0%,-,-,0.0%,-,000000
72127,0%,-,-,0.0%,-,000000
72129,0%,-,-,0.0%,-,000000
72131,0%,-,-,0.0%,-,000000
72133,0%,-,-,0.0%,-,000000
72135,0%,-,-,0.0%,-,000000
72137,0%,-,-,0.0%,-,000000
72139,0%,-,-,0.0%,-,000000
72141,0%,-,-,0.0%,-,000000
72143,0%,-,-,0.0%,-,000000
72145,0%,-,-,0.0%,-,000000
72147,0%,-,-,0.0%,-,000000
72149,0%,-,-,0.0%,-,000000
72151,0%,-,-,0.0%,-,000000
72153,0%,-,-,0.0%,-,000000
74300,0%,-,-,0.0%,-,000000
78010,0%,-,-,0.0%,-,000000
78020,0%,-,-,0.0%,-,000000
78030,0%,-,-,0.0%,-,000000
