id,margin,coolidge,davis,other,lafollette,hex_color
48289,70.72%, 12.99%, 83.71%,3.3%, 3.30%,2108d5
48291,39.61%, 29.19%, 68.80%,2.01%, 2.01%,4a05af
48293,79.96%, 9.62%, 89.58%,0.79%,-,1802e4
48295,2.63%, 42.68%, 45.31%,12.01%, 12.01%,6c1e73
48297,26.98%, 31.92%, 58.89%,9.19%, 9.19%,511796
48299,77.99%, 8.17%, 86.17%,5.66%, 5.66%,140edb
48301,71.43%, 14.29%, 85.71%,0.0%,-,2400da
48303,56.72%, 17.54%, 74.26%,8.19%, 8.19%,2c14bd
48305,54.50%, 20.85%, 75.35%,3.8%, 3.80%,3509c0
48307,45.12%, 26.84%, 71.96%,1.19%,-,4403b7
48309,51.28%, 22.24%, 73.52%,4.24%, 4.24%,380abb
48311,0.90%, 49.78%, 48.88%,1.35%,-,7e037c
48313,82.96%, 8.38%, 91.34%,0.29%,-,1500e8
48315,25.98%, 33.02%, 58.99%,7.99%, 7.99%,541496
48317,55.16%, 21.60%, 76.76%,1.64%,-,3704c3
48319,29.67%, 23.82%, 53.48%,22.7%, 22.70%,3c3988
48321,19.38%, 37.62%, 56.99%,5.39%, 5.39%,5f0d91
48323,12.63%, 53.16%, 40.53%,6.31%, 6.31%,871067
48325,7.46%, 35.81%, 43.26%,20.93%, 20.93%,5b356e
48327,9.86%, 42.73%, 52.60%,4.67%, 4.67%,6c0b86
48329,79.42%, 9.84%, 89.26%,0.89%,-,1902e3
48331,65.63%, 14.68%, 80.31%,5.0%, 5.00%,250ccc
48333,73.53%, 11.55%, 85.08%,3.37%, 3.37%,1d08d8
48335,74.20%, 11.69%, 85.89%,2.42%, 2.42%,1d06db
48337,50.47%, 17.93%, 68.40%,13.67%, 13.67%,2d22ae
48339,78.98%, 9.83%, 88.81%,1.36%,-,1903e2
48341,79.35%, 9.78%, 89.13%,1.09%,-,1802e3
48343,0%,-,-,0.0%,-,000000
48345,74.48%, 11.81%, 86.29%,1.9%,-,1e04dc
48347,87.60%, 5.56%, 93.16%,1.28%,-,0e03ed
48349,72.35%, 13.31%, 85.66%,1.03%,-,2102da
48351,67.19%, 15.30%, 82.49%,2.22%, 2.22%,2705d2
48353,58.91%, 18.32%, 77.23%,4.46%, 4.46%,2e0bc4
48355,0%,-,-,0.0%,-,000000
48357,35.05%, 27.58%, 62.63%,9.79%, 9.79%,46189f
48359,42.65%, 26.10%, 68.75%,5.15%, 5.15%,420daf
48361,45.32%, 26.33%, 71.65%,2.02%, 2.02%,4305b6
48363,55.23%, 17.98%, 73.20%,8.82%, 8.82%,2d16ba
48365,88.18%, 5.33%, 93.51%,1.16%,-,0d02ee
48367,65.56%, 14.70%, 80.26%,5.04%, 5.04%,250ccc
48369,36.07%, 26.69%, 62.76%,10.56%, 10.56%,441aa0
48371,37.46%, 29.00%, 66.47%,4.53%, 4.53%,490ba9
48373,73.16%, 12.70%, 85.85%,1.45%,-,2003da
48375,41.01%, 21.81%, 62.82%,15.38%, 15.38%,3727a0
48377,57.18%, 19.54%, 76.72%,3.74%, 3.74%,3109c3
48379,68.12%, 13.75%, 81.88%,4.37%, 4.37%,230bd0
48381,55.98%, 18.22%, 74.20%,7.57%, 7.57%,2e13bd
48383,55.56%, 21.53%, 77.08%,1.39%,-,3603c4
48385,22.49%, 60.24%, 37.75%,2.01%, 2.01%,990560
48387,81.06%, 8.78%, 89.84%,1.38%,-,1603e5
48389,56.84%, 18.75%, 75.59%,5.66%, 5.66%,2f0ec0
48391,35.22%, 27.41%, 62.63%,9.96%, 9.96%,45199f
48393,39.48%, 29.97%, 69.45%,0.58%,-,4c01b1
48395,77.18%, 10.00%, 87.17%,2.83%, 2.83%,1907de
48397,86.88%, 6.32%, 93.20%,0.48%,-,1001ed
48399,66.60%, 14.48%, 81.09%,4.43%, 4.43%,240bce
48401,64.12%, 17.06%, 81.18%,1.76%,-,2b04cf
48403,89.41%, 5.01%, 94.42%,0.57%,-,0c01f0
48405,89.95%, 5.02%, 94.98%,0.0%,-,0c00f2
48407,68.71%, 14.86%, 83.57%,1.57%,-,2504d5
48409,5.09%, 45.63%, 50.72%,3.65%, 3.65%,740981
48411,80.66%, 9.27%, 89.94%,0.79%,-,1702e5
48413,35.07%, 32.33%, 67.40%,0.27%,-,5200ab
48415,63.54%, 16.71%, 80.25%,3.04%, 3.04%,2a07cc
48417,0.14%, 49.93%, 50.07%,0.0%,-,7f007f
48419,87.83%, 4.33%, 92.16%,3.52%, 3.52%,0b08eb
48421,33.67%, 29.00%, 62.67%,8.33%, 8.33%,49159f
48423,59.30%, 18.85%, 78.16%,2.99%, 2.99%,3007c7
48425,76.97%, 8.96%, 85.93%,5.12%, 5.12%,160ddb
48427,94.09%, 2.95%, 97.05%,0.0%,-,0700f7
48429,68.09%, 13.98%, 82.07%,3.95%, 3.95%,230ad1
48431,81.04%, 9.29%, 90.33%,0.37%,-,1700e6
48433,56.89%, 16.03%, 72.91%,11.06%, 11.06%,281cb9
48435,7.06%, 46.10%, 53.16%,0.74%,-,750187
48437,44.08%, 25.89%, 69.96%,4.15%, 4.15%,420ab2
48439,35.28%, 26.45%, 61.73%,11.82%, 11.82%,431e9d
48441,74.21%, 12.05%, 86.26%,1.69%,-,1e04db
48443,4.11%, 38.61%, 34.49%,26.9%, 26.90%,624457
48445,66.23%, 15.98%, 82.22%,1.8%,-,2804d1
48447,50.76%, 24.20%, 74.97%,0.83%,-,3d02bf
48449,100.00%,-, 100.00%,0.0%,-,0000fe
48451,55.91%, 19.83%, 75.73%,4.44%, 4.44%,320bc1
48453,57.64%, 19.43%, 77.06%,3.51%, 3.51%,3108c4
48455,80.26%, 8.63%, 88.89%,2.48%, 2.48%,1606e2
48457,80.36%, 8.62%, 88.98%,2.39%, 2.39%,1506e2
48459,80.83%, 8.86%, 89.69%,1.44%,-,1603e4
48461,77.50%, 10.00%, 87.50%,2.5%, 2.50%,1906df
48463,56.03%, 20.47%, 76.50%,3.03%, 3.03%,3407c3
48465,2.30%, 45.79%, 43.49%,10.72%, 10.72%,741b6e
48467,100.00%,-, 100.00%,0.0%,-,0000fe
48469,49.38%, 18.98%, 68.36%,12.66%, 12.66%,3020ae
48471,79.71%, 10.07%, 89.78%,0.15%,-,1900e4
48473,70.91%, 13.89%, 84.80%,1.3%,-,2303d8
48475,59.85%, 15.33%, 75.18%,9.49%, 9.49%,2718bf
48477,74.26%, 11.99%, 86.25%,1.76%,-,1e04db
48479,49.28%, 23.91%, 73.19%,2.9%, 2.90%,3c07ba
48481,38.88%, 28.71%, 67.58%,3.71%, 3.71%,4909ac
48483,61.77%, 17.12%, 78.89%,4.0%, 4.00%,2b0ac9
48485,42.94%, 25.81%, 68.75%,5.44%, 5.44%,410daf
48487,60.39%, 17.05%, 77.44%,5.51%, 5.51%,2b0ec5
48489,45.39%, 25.35%, 70.74%,3.92%, 3.92%,4009b4
48491,71.13%, 12.33%, 83.45%,4.22%, 4.22%,1f0ad4
48493,46.37%, 20.17%, 66.54%,13.28%, 13.28%,3321a9
48495,87.50%, 6.25%, 93.75%,0.0%,-,0f00ef
48497,66.63%, 14.61%, 81.24%,4.15%, 4.15%,250acf
