statecounty,margin,nixon,humphrey,wallace,hex_color
05045,5.67, 25.55, 34.39, 40.06,416657
05047,16.94, 29.02, 25.02, 45.96,4a753f
05049,3.58, 36.34, 30.91, 32.76,5c534e
05051,3.54, 37.83, 27.88, 34.29,605747
05053,36.54, 17.07, 23.20, 59.73,2b983b
05055,2.01, 35.40, 27.20, 37.40,5a5f45
05057,11.24, 24.62, 32.07, 43.31,3e6e51
05059,24.85, 22.10, 26.53, 51.38,388343
05061,9.33, 32.09, 26.48, 41.43,516943
05063,0.15, 35.48, 29.19, 35.33,5a5a4a
05065,5.39, 31.16, 31.73, 37.12,4f5e50
05067,21.26, 19.56, 29.59, 50.85,31814b
05069,3.86, 20.22, 37.96, 41.82,336a60
05071,1.06, 32.64, 34.21, 33.15,535457
05073,13.84, 18.75, 33.71, 47.54,2f7955
05075,16.50, 28.77, 25.96, 45.27,497342
05077,4.68, 17.10, 43.79, 39.11,2b636f
05079,23.14, 12.91, 31.98, 55.12,208c51
05081,11.51, 22.51, 32.99, 44.50,397154
05083,2.79, 36.02, 30.74, 33.24,5b544e
05085,25.84, 21.80, 26.18, 52.02,378442
05087,15.16, 47.14, 31.98, 20.89,783551
05089,12.15, 42.59, 30.44, 26.97,6c444d
05091,20.02, 24.99, 27.49, 47.52,3f7946
05093,7.44, 28.17, 32.19, 39.64,476552
05095,12.48, 16.10, 35.71, 48.19,297a5b
05097,4.24, 35.04, 25.69, 39.27,596441
05099,11.86, 21.42, 33.36, 45.22,367355
05101,21.31, 50.83, 29.52, 19.65,81324b
05103,3.61, 18.65, 38.87, 42.48,2f6c63
05105,7.69, 32.31, 27.69, 40.00,526646
05107,6.62, 18.78, 43.92, 37.30,2f5f6f
05109,13.08, 33.51, 19.91, 46.59,557632
05111,24.52, 27.14, 21.20, 51.66,458336
05113,5.43, 40.30, 24.83, 34.87,66583f
05115,6.35, 38.30, 29.75, 31.95,61514b
05117,31.80, 19.35, 24.43, 56.23,318f3e
05119,1.11, 33.32, 34.43, 32.24,545257
05121,5.77, 29.35, 32.44, 38.21,4a6152
05123,10.61, 17.58, 35.91, 46.51,2c765b
05125,21.76, 23.15, 27.55, 49.31,3b7d46
05127,2.24, 34.18, 29.41, 36.41,575c4a
05129,35.22, 56.83, 21.55, 21.61,903736
05131,12.66, 44.65, 23.37, 31.98,71513b
05133,7.38, 31.64, 29.35, 39.02,50634a
05135,4.71, 32.83, 29.62, 37.54,535f4b
05137,0.30, 37.05, 26.20, 36.75,5e5d42
05139,17.06, 28.60, 25.74, 45.66,487441
05141,2.73, 35.83, 31.07, 33.10,5b544f
05143,20.62, 48.67, 28.04, 23.29,7c3b47
