statecounty,margin,nixon,humphrey,wallace,hex_color
13305,36.90, 22.97, 17.15, 59.88,3a982b
13307,48.67, 10.10, 20.62, 69.28,19b034
13309,26.66, 15.00, 29.17, 55.83,268e4a
13311,16.77, 32.36, 18.47, 49.13,527d2f
13313,7.59, 41.95, 23.66, 34.36,6a573c
13315,50.86, 14.28, 17.43, 68.29,24ae2c
13317,21.39, 24.70, 26.96, 48.35,3e7b44
13319,30.76, 20.24, 24.50, 55.26,338c3e
13321,53.29, 13.79, 16.45, 69.74,23b129
15001,24.08, 37.41, 61.49,-,5f009c
15003,20.24, 39.11, 59.35,-,630097
15005,0,-,-,-,000000
15007,25.66, 36.49, 62.15,-,5d009e
15009,23.08, 37.76, 60.84,-,60009b
16001,38.96, 63.04, 24.08, 12.88,a0203d
16003,33.82, 58.98, 25.16, 15.86,962840
16005,5.39, 47.97, 42.58, 9.45,7a186c
16007,26.06, 60.17, 34.12, 5.71,990e57
16009,1.38, 44.41, 45.80, 9.79,711874
16011,32.48, 60.23, 27.76, 12.01,991e46
16013,21.01, 53.82, 32.81, 13.37,892253
16015,30.28, 55.62, 25.34, 19.04,8d3040
16017,2.50, 45.75, 43.25, 11.00,741c6e
16019,39.92, 64.52, 24.60, 10.88,a41b3e
16021,8.75, 47.19, 38.44, 14.37,782462
16023,12.54, 50.96, 38.42, 10.62,811b61
16025,31.74, 56.22, 24.48, 19.29,8f313e
16027,38.82, 62.75, 23.92, 13.33,a0213c
16029,36.05, 62.15, 26.10, 11.74,9e1d42
16031,43.48, 64.17, 20.69, 15.14,a32634
16033,45.21, 66.58, 21.38, 12.04,a91e36
16035,15.89, 37.11, 53.00, 9.89,5e1987
16037,22.91, 49.96, 27.06, 22.98,7f3a45
16039,17.99, 50.62, 32.63, 16.74,812a53
16041,44.22, 66.11, 21.90, 11.99,a81e37
16043,34.04, 58.52, 24.48, 16.99,952b3e
16045,28.30, 57.89, 29.60, 12.51,931f4b
16047,31.48, 55.56, 24.08, 20.36,8d333d
16049,8.83, 47.15, 38.32, 14.53,782561
16051,41.42, 61.48, 20.06, 18.46,9c2f33
16053,39.31, 60.52, 21.21, 18.27,9a2e36
16055,5.99, 48.01, 42.02, 9.97,7a196b
16057,10.15, 51.59, 41.44, 6.97,831169
16059,36.26, 57.61, 21.35, 21.04,923536
16061,12.77, 38.70, 51.47, 9.83,621983
16063,40.26, 62.91, 22.65, 14.43,a02439
16065,47.11, 67.71, 20.60, 11.69,ac1d34
16067,32.72, 56.28, 23.56, 20.16,8f333c
16069,11.79, 39.90, 51.69, 8.41,651583
16071,38.54, 66.15, 27.61, 6.24,a80f46
16073,35.43, 59.62, 24.19, 16.19,98293d
16075,36.64, 61.18, 24.54, 14.29,9c243e
16077,31.56, 60.26, 28.70, 11.05,991c49
16079,10.15, 40.60, 50.74, 8.66,671681
16081,26.54, 57.93, 31.39, 10.68,931b50
16083,41.16, 62.94, 21.78, 15.28,a02637
16085,31.27, 57.94, 26.67, 15.38,932744
16087,28.17, 57.65, 29.48, 12.87,93204b
17001,18.45, 54.33, 35.88, 9.70,8a185b
17003,5.61, 36.63, 42.24, 20.81,5d356b
17005,16.65, 52.84, 36.19, 10.90,861b5c
17007,32.89, 62.27, 29.38, 8.21,9e144a
17009,11.51, 51.50, 39.99, 7.81,831365
17011,26.26, 59.97, 33.71, 6.26,980f55
17013,6.79, 49.12, 42.34, 8.47,7d156b
17015,32.81, 63.69, 30.89, 5.31,a20d4e
17017,1.53, 47.78, 46.25, 5.94,790f75
17019,15.63, 53.50, 37.87, 7.93,881460
17021,5.53, 42.31, 47.84, 9.78,6b1879
17023,23.28, 56.08, 32.80, 11.07,8f1c53
17025,19.42, 55.46, 36.04, 8.41,8d155b
17027,17.28, 53.78, 36.50, 9.67,89185d
17029,15.74, 52.86, 37.12, 9.98,86195e
17031,9.45, 41.11, 50.56, 8.00,681480
17033,24.63, 58.13, 33.50, 8.32,941555
17035,16.77, 53.12, 36.36, 10.18,87195c
17037,32.88, 63.20, 30.32, 5.38,a10d4d
17039,18.18, 54.21, 36.04, 9.69,8a185b
17041,26.17, 59.25, 33.08, 7.63,971354
17043,40.75, 66.61, 25.86, 7.37,a91241
17045,24.36, 56.33, 31.97, 11.59,8f1d51
17047,37.19, 63.68, 26.48, 9.75,a21843
17049,18.39, 55.95, 37.55, 6.49,8e105f
17051,13.82, 52.38, 38.56, 9.03,851762
17053,37.69, 65.38, 27.69, 6.87,a61146
17055,5.03, 42.88, 47.90, 9.16,6d177a
17057,0.20, 46.72, 46.92, 6.02,770f77
17059,4.25, 43.01, 47.26, 9.64,6d1878
17061,11.03, 51.17, 40.14, 8.56,821566
17063,28.82, 59.50, 30.68, 9.77,97184e
17065,17.43, 52.82, 35.39, 11.66,861d5a
17067,27.60, 60.24, 32.64, 7.07,991253
17069,10.16, 51.75, 41.59, 6.49,83106a
17071,14.20, 53.62, 39.42, 6.94,881164
17073,17.90, 55.10, 37.20, 7.59,8c135e
17075,43.59, 67.89, 24.31, 7.64,ad133d
17077,1.41, 46.47, 45.05, 8.37,761572
17079,16.39, 51.78, 35.39, 12.80,84205a
17081,5.76, 47.63, 41.87, 10.42,791a6a
17083,5.61, 46.81, 41.21, 11.94,771e69
17085,24.82, 59.13, 34.31, 6.45,961057
17087,31.77, 60.53, 28.75, 10.59,9a1b49
17089,31.50, 61.94, 30.44, 7.25,9d124d
17091,14.55, 52.35, 37.80, 9.76,851860
17093,48.60, 70.45, 21.85, 7.65,b31337
17095,17.08, 53.86, 36.77, 9.07,89175d
17097,20.99, 56.60, 35.61, 7.17,90125a
17099,6.03, 50.48, 44.45, 5.02,800c71
17101,20.21, 54.58, 34.37, 10.87,8b1b57
17103,31.93, 62.92, 30.99, 6.06,a00f4f
17105,37.05, 65.88, 28.82, 5.23,a70d49
17107,28.60, 60.45, 31.86, 7.58,9a1351
17109,36.45, 65.74, 29.29, 4.86,a70c4a
17111,39.70, 66.15, 26.46, 6.56,a81043
17113,25.26, 59.22, 33.96, 6.25,970f56
17115,4.71, 42.27, 46.98, 10.38,6b1a77
17117,2.09, 43.91, 46.00, 9.95,6f1975
17119,6.69, 39.18, 45.87, 14.82,632574
17121,2.25, 46.09, 43.84, 9.52,75186f
17123,21.60, 58.36, 36.77, 4.69,940b5d
17125,6.80, 49.65, 42.85, 7.28,7e126d
17127,25.50, 55.51, 30.00, 14.37,8d244c
17129,26.83, 59.66, 32.83, 7.45,981253
17131,19.78, 56.33, 36.55, 7.06,8f125d
17133,24.70, 55.48, 30.78, 13.67,8d224e
17135,1.40, 46.19, 44.79, 8.98,751672
17137,16.05, 54.52, 38.47, 6.96,8b1162
17139,10.56, 50.50, 39.94, 9.32,801765
17141,44.04, 68.98, 24.94, 6.01,af0f3f
17143,8.21, 49.96, 41.75, 7.62,7f136a
17145,8.51, 49.02, 40.51, 10.42,7d1a67
17147,21.62, 56.28, 34.66, 9.01,8f1658
17149,8.49, 50.66, 42.17, 7.01,81116b
17151,25.35, 57.63, 32.28, 9.96,921952
17153,7.23, 37.59, 44.82, 17.59,5f2c72
17155,14.49, 53.93, 39.44, 6.47,891064
17157,11.33, 50.37, 39.04, 10.54,801a63
17159,28.09, 58.76, 30.66, 10.48,951a4e
17161,5.85, 43.35, 49.20, 7.21,6e127d
17163,16.14, 34.14, 50.29, 15.13,572680
17165,6.70, 49.92, 43.22, 6.78,7f116e
17167,9.55, 50.02, 40.47, 9.02,7f1767
17169,27.93, 60.00, 32.07, 7.52,991351
17171,20.26, 55.55, 35.29, 9.16,8d1759
17173,8.61, 49.27, 40.66, 10.01,7d1967
17175,31.76, 62.54, 30.78, 6.52,9f104e
17177,23.99, 59.32, 35.33, 5.27,970d5a
17179,4.67, 47.44, 42.77, 9.73,78186d
17181,3.42, 46.45, 43.04, 10.40,761a6d
17183,11.87, 49.26, 37.39, 13.19,7d215f
17185,20.10, 55.21, 35.11, 9.61,8c1859
17187,28.50, 60.00, 31.50, 8.41,991550
17189,35.67, 63.32, 27.65, 8.87,a11646
17191,27.35, 59.59, 32.24, 8.02,971452
17193,15.21, 53.77, 38.56, 7.65,891362
17195,28.72, 61.86, 33.15, 4.81,9d0c54
17197,13.63, 49.32, 35.70, 14.24,7d245b
17199,9.44, 50.39, 40.95, 8.61,801568
17201,12.06, 52.51, 40.45, 6.81,851167
17203,30.37, 61.79, 31.42, 6.72,9d1150
18001,9.83, 51.28, 41.45, 6.77,821169
18003,17.25, 54.34, 37.09, 8.37,8a155e
18005,21.95, 55.80, 33.85, 9.98,8e1956
18007,26.35, 59.54, 33.19, 7.16,971254
18009,2.37, 46.92, 44.56, 8.21,771471
18011,28.25, 58.96, 30.72, 10.04,96194e
18013,14.55, 49.41, 34.86, 15.42,7d2758
18015,23.20, 56.19, 32.99, 10.76,8f1b54
18017,12.55, 51.54, 38.99, 9.16,831763
18019,4.42, 38.33, 42.75, 18.53,612f6d
18021,15.82, 50.83, 35.02, 13.89,812359
18023,15.06, 53.91, 38.85, 7.02,891163
18025,13.93, 49.81, 35.89, 13.76,7f235b
18027,23.92, 56.77, 32.85, 10.28,901a53
18029,10.71, 48.65, 37.95, 13.35,7c2260
18031,19.04, 55.67, 36.63, 7.43,8d125d
18033,21.28, 56.93, 35.65, 6.93,91115a
18035,8.12, 47.56, 39.44, 12.82,792064
18037,6.34, 43.24, 49.58, 7.06,6e127e
18039,24.27, 57.90, 33.63, 8.13,931455
18041,6.54, 46.92, 40.38, 12.54,771f66
18043,4.04, 40.99, 45.02, 13.78,682372
18045,19.44, 53.02, 33.59, 13.28,872155
18047,16.31, 52.28, 35.97, 11.68,851d5b
18049,30.49, 60.72, 30.22, 8.93,9a164d
18051,5.44, 47.91, 42.47, 9.38,7a176c
18053,16.97, 52.46, 35.48, 11.68,851d5a
18055,7.65, 48.37, 40.72, 10.52,7b1a67
18057,45.87, 67.63, 21.77, 10.45,ac1a37
18059,27.04, 56.23, 29.19, 14.19,8f244a
18061,7.04, 45.32, 38.28, 16.00,732861
18063,35.38, 59.89, 24.51, 15.36,98273e
18065,16.21, 52.61, 36.41, 10.71,861b5c
18067,15.46, 50.39, 34.93, 14.28,802459
18069,16.73, 54.48, 37.75, 7.57,8a1360
18071,17.34, 52.02, 34.68, 12.76,842058
18073,33.87, 60.54, 26.67, 12.15,9a1e44
18075,10.93, 51.00, 40.07, 8.58,821566
18077,9.43, 49.31, 39.88, 10.29,7d1a65
18079,16.44, 51.11, 34.68, 14.05,822358
18081,29.10, 57.26, 28.17, 14.31,922447
18083,6.02, 46.97, 40.95, 11.52,771d68
18085,36.93, 63.98, 27.06, 8.61,a31545
18087,30.27, 61.54, 31.27, 7.03,9c114f
18089,10.29, 36.48, 46.77, 16.43,5d2977
18091,11.07, 49.76, 38.69, 11.25,7e1c62
18093,21.42, 54.35, 32.92, 12.28,8a1f53
18095,8.15, 48.39, 40.23, 11.14,7b1c66
18097,15.05, 52.26, 37.22, 10.31,851a5e
18099,23.82, 56.67, 32.85, 10.28,901a53
18101,3.62, 46.22, 42.59, 11.11,751c6c
18103,16.67, 53.42, 36.76, 9.48,88185d
18105,10.94, 50.78, 39.84, 8.72,811665
18107,28.55, 59.87, 31.31, 8.63,98164f
18109,30.39, 55.45, 25.06, 19.36,8d313f
18111,33.22, 61.75, 28.53, 9.48,9d1848
18113,12.45, 51.35, 38.90, 9.60,821863
18115,2.71, 46.04, 43.33, 10.63,751b6e
18117,20.54, 54.82, 34.28, 10.75,8b1b57
18119,17.19, 51.58, 34.39, 13.81,832357
18121,17.77, 52.47, 34.70, 12.73,852058
18123,1.45, 46.23, 47.68, 6.01,750f79
18125,1.97, 45.38, 43.41, 10.95,731b6e
18127,25.82, 53.18, 27.36, 18.80,872f45
18129,11.39, 49.70, 38.32, 11.86,7e1e61
18131,21.03, 54.80, 33.77, 11.10,8b1c56
18133,19.11, 51.47, 32.36, 16.00,832852
18135,25.86, 57.14, 31.28, 11.30,911c4f
18137,15.41, 51.82, 36.42, 11.68,841d5c
18139,28.12, 59.42, 31.30, 9.04,97174f
18141,0.28, 44.09, 44.37, 11.18,701c71
18143,1.99, 42.62, 44.61, 12.51,6c1f71
18145,19.46, 52.84, 33.38, 13.59,862255
18147,9.30, 51.18, 41.89, 6.81,82116a
18149,9.60, 47.95, 38.35, 13.11,7a2161
18151,32.74, 62.51, 29.77, 7.57,9f134b
18153,1.89, 43.20, 45.10, 11.49,6e1d73
18155,1.43, 44.07, 42.64, 13.15,70216c
18157,23.98, 59.44, 35.46, 4.88,970c5a
18159,20.82, 54.73, 33.91, 11.04,8b1c56
18161,25.54, 56.01, 30.47, 13.38,8e224d
18163,8.90, 49.28, 40.38, 9.97,7d1966
18165,2.76, 41.76, 44.52, 13.60,6a2271
18167,1.04, 44.60, 43.56, 11.54,711d6f
18169,28.46, 61.07, 32.61, 5.93,9b0f53
18171,25.33, 57.00, 31.67, 11.12,911c50
18173,7.93, 47.53, 39.60, 12.44,791f64
18175,11.93, 48.61, 36.68, 14.28,7b245d
18177,20.58, 53.66, 33.08, 13.12,882154
18179,15.19, 53.07, 37.89, 8.73,871660
18181,24.62, 57.56, 32.95, 9.36,921754
18183,17.21, 53.27, 36.06, 10.50,871a5b
19001,26.82, 60.82, 33.99, 5.10,9b0d56
19003,27.97, 59.72, 31.75, 8.31,981550
19005,31.00, 62.57, 31.58, 5.72,9f0e50
19007,6.98, 49.58, 42.61, 7.66,7e136c
19009,19.58, 57.55, 37.97, 4.40,920b60
19011,11.13, 52.06, 40.93, 6.25,840f68
19013,9.07, 51.65, 42.57, 5.29,830d6c
19015,0.37, 47.40, 47.03, 5.06,780c77
19017,36.64, 65.75, 29.11, 4.96,a70c4a
19019,10.04, 52.35, 42.31, 5.23,850d6b
19021,28.15, 61.87, 33.71, 4.27,9d0a55
19023,45.20, 70.59, 25.39, 3.82,b40940
19025,20.97, 57.53, 36.56, 5.19,920d5d
19027,9.58, 42.68, 52.26, 4.48,6c0b85
19029,39.78, 67.30, 27.52, 4.75,ab0c46
19031,23.89, 59.02, 35.13, 5.75,960e59
19033,10.37, 52.49, 42.12, 5.10,850d6b
19035,23.09, 59.18, 36.09, 4.54,960b5c
19037,8.04, 51.89, 43.85, 4.23,840a6f
19039,10.10, 51.48, 41.38, 7.15,831269
19041,19.47, 56.70, 37.23, 4.84,900c5e
19043,22.12, 57.81, 35.68, 6.09,930f5a
19045,9.01, 51.92, 42.91, 4.78,840c6d
19047,18.54, 55.36, 36.82, 6.96,8d115d
19049,4.31, 49.16, 44.85, 5.67,7d0e72
19051,2.62, 47.12, 44.51, 8.30,781571
19053,4.45, 49.28, 44.83, 5.71,7d0e72
19055,24.14, 59.39, 35.25, 5.26,970d59
19057,8.57, 42.30, 50.87, 6.60,6b1081
19059,19.28, 56.45, 37.16, 4.57,8f0b5e
19061,12.81, 40.72, 53.54, 4.88,670c88
19063,21.91, 58.90, 36.99, 3.93,960a5e
19065,24.27, 59.34, 35.06, 5.44,970d59
19067,22.27, 58.60, 36.33, 4.77,950c5c
19069,32.18, 63.48, 31.30, 4.23,a10a4f
19071,21.10, 55.85, 34.75, 9.27,8e1758
19073,17.43, 55.93, 38.49, 4.69,8e0b62
19075,46.65, 71.14, 24.49, 4.24,b50a3e
19077,22.31, 58.18, 35.87, 5.83,940e5b
19079,19.36, 57.58, 38.22, 3.76,920961
19081,23.75, 59.57, 35.82, 4.19,970a5b
19083,22.78, 58.11, 35.33, 4.46,940b5a
19085,21.35, 56.66, 35.31, 7.91,90145a
19087,27.17, 60.23, 33.06, 6.57,991054
19089,12.37, 53.90, 41.53, 4.34,890b69
19091,24.01, 59.87, 35.86, 4.01,980a5b
19093,29.15, 62.21, 33.06, 4.70,9e0b54
19095,21.76, 58.12, 36.37, 5.16,940d5c
19097,13.12, 53.02, 39.90, 5.72,870e65
19099,8.82, 51.79, 42.98, 4.86,840c6d
19101,24.77, 59.52, 34.75, 5.43,970d58
19103,8.31, 43.88, 52.19, 2.84,6f0785
19105,13.05, 53.65, 40.60, 5.65,880e67
19107,11.59, 53.26, 41.67, 4.93,870c6a
19109,9.50, 53.03, 43.53, 3.07,87076f
19111,4.47, 49.25, 44.78, 5.83,7d0e72
19113,1.58, 47.99, 46.40, 4.94,7a0c76
19115,20.00, 56.40, 36.40, 7.20,8f125c
19117,12.57, 53.18, 40.61, 6.06,870f67
19119,48.52, 72.91, 24.38, 2.62,b9063e
19121,16.89, 55.49, 38.60, 5.76,8d0e62
19123,19.55, 56.87, 37.32, 4.21,910a5f
19125,10.60, 52.35, 41.75, 5.40,850d6a
19127,18.22, 56.35, 38.13, 4.91,8f0c61
19129,36.39, 62.41, 26.03, 11.39,9f1d42
19131,24.53, 60.60, 36.07, 3.29,9a085b
19133,14.19, 53.12, 38.93, 7.79,871363
19135,2.06, 45.55, 47.61, 6.63,741079
19137,34.92, 64.11, 29.19, 6.56,a3104a
19139,20.47, 57.18, 36.71, 4.99,910c5d
19141,42.74, 69.34, 26.60, 3.99,b00a43
19143,26.72, 61.34, 34.62, 4.00,9c0a58
19145,43.54, 68.06, 24.52, 7.30,ad123e
19147,3.86, 50.04, 46.18, 3.76,7f0975
19149,29.91, 62.13, 32.22, 5.55,9e0e52
19151,10.30, 52.56, 42.26, 4.54,860b6b
19153,0.80, 45.14, 45.94, 8.30,731575
19155,23.04, 56.47, 33.43, 9.71,8f1855
19157,15.04, 55.10, 40.06, 4.52,8c0b66
19159,21.52, 57.05, 35.54, 7.35,91125a
19161,29.58, 62.64, 33.06, 4.19,9f0a54
19163,2.16, 46.86, 44.71, 7.51,771372
19165,22.96, 58.65, 35.69, 4.98,950c5b
19167,62.60, 80.04, 17.44, 2.52,cc062c
19169,16.35, 56.29, 39.94, 3.26,8f0865
19171,12.84, 53.55, 40.71, 5.34,880d67
19173,27.26, 59.64, 32.38, 7.94,981452
19175,20.82, 57.05, 36.23, 6.34,91105c
19177,24.89, 59.29, 34.40, 6.13,970f57
19179,8.31, 41.96, 50.28, 7.27,6a1280
19181,9.01, 50.30, 41.29, 8.23,801469
19183,27.95, 61.68, 33.73, 4.39,9d0b56
19185,18.15, 55.83, 37.68, 6.19,8e0f60
19187,4.07, 48.96, 44.89, 5.37,7c0d72
19189,23.18, 59.51, 36.33, 4.13,970a5c
19191,23.99, 60.09, 36.10, 3.69,99095c
19193,6.88, 50.62, 43.73, 5.15,810d6f
19195,12.85, 53.91, 41.06, 4.84,890c68
19197,17.62, 56.95, 39.33, 3.29,910864
20001,27.88, 59.66, 31.78, 8.34,981551
20003,24.28, 56.84, 32.56, 10.41,901a53
20005,3.35, 46.00, 42.65, 11.21,751c6c
20007,29.81, 60.55, 30.74, 8.47,9a154e
20009,18.32, 54.88, 36.57, 8.33,8b155d
20011,24.87, 56.87, 32.00, 10.98,911b51
20013,47.03, 69.15, 22.12, 8.54,b01538
20015,12.49, 50.79, 38.30, 10.75,811b61
20017,34.74, 62.61, 27.86, 9.29,9f1747
20019,45.14, 65.52, 20.38, 14.02,a72333
20021,6.92, 47.46, 40.54, 11.88,791e67
20023,50.20, 70.66, 20.46, 8.64,b41634
20025,30.02, 58.26, 28.25, 13.30,942148
20027,51.97, 71.95, 19.98, 7.70,b71332
20029,19.68, 56.17, 36.49, 7.05,8f115d
20031,36.60, 63.06, 26.47, 10.41,a01a43
20033,31.47, 62.66, 31.19, 5.88,9f0e4f
20035,20.56, 54.30, 33.74, 11.78,8a1e56
20037,0.94, 45.30, 44.35, 10.20,731a71
20039,39.83, 65.74, 25.91, 8.19,a71442
20041,36.64, 64.32, 27.68, 7.79,a41346
20043,38.06, 63.31, 25.25, 11.20,a11c40
20045,18.37, 53.79, 35.42, 10.62,891b5a
20047,18.15, 54.90, 36.75, 8.04,8b145d
20049,40.14, 64.64, 24.50, 10.52,a41a3e
20051,1.60, 46.72, 45.12, 7.95,771473
20053,23.19, 57.53, 34.34, 7.97,921457
20055,12.24, 52.11, 39.87, 7.84,841365
20057,16.53, 52.80, 36.27, 10.63,861b5c
20059,28.54, 59.17, 30.63, 10.01,96194e
20061,12.46, 50.70, 38.24, 10.73,811b61
20063,27.84, 59.05, 31.21, 9.51,96184f
20065,33.01, 60.72, 27.72, 11.28,9a1c46
20067,25.65, 57.16, 31.51, 11.07,911c50
20069,19.73, 55.25, 35.52, 8.76,8c165a
20071,30.63, 59.85, 29.21, 10.55,981a4a
20073,40.78, 65.99, 25.21, 8.56,a81540
20075,25.54, 56.25, 30.71, 12.73,8f204e
20077,36.36, 63.99, 27.63, 8.08,a31446
20079,30.73, 61.64, 30.91, 7.19,9d124e
20081,20.33, 54.16, 33.83, 11.87,8a1e56
20083,28.90, 59.20, 30.31, 10.18,96194d
20085,32.94, 60.71, 27.77, 11.36,9a1c46
20087,29.01, 56.58, 27.57, 15.75,902846
20089,40.52, 66.18, 25.66, 7.68,a81341
20091,33.02, 62.63, 29.61, 7.55,9f134b
20093,23.97, 58.00, 34.03, 7.64,931356
20095,29.05, 60.29, 31.24, 8.30,99154f
20097,47.90, 70.87, 22.97, 5.87,b40e3a
20099,14.22, 51.19, 36.97, 11.64,821d5e
20101,30.75, 60.64, 29.89, 9.16,9a174c
20103,10.48, 48.35, 37.87, 13.66,7b2260
20105,45.07, 68.16, 23.09, 8.59,ad153a
20107,38.06, 63.11, 25.05, 11.75,a01d3f
20109,40.38, 63.78, 23.41, 12.59,a2203b
20111,22.17, 57.30, 35.12, 7.40,921259
20113,35.70, 64.98, 29.28, 5.50,a50e4a
20115,45.85, 70.37, 24.52, 4.99,b30c3e
20117,28.94, 58.85, 29.91, 11.22,961c4c
20119,41.17, 66.24, 25.08, 8.59,a8153f
20121,11.85, 48.93, 37.08, 13.85,7c235e
20123,33.26, 62.89, 29.63, 7.33,a0124b
20125,25.81, 55.77, 29.97, 14.13,8e244c
20127,29.78, 60.00, 30.22, 9.69,99184d
20129,19.55, 51.03, 31.48, 17.36,822c50
20131,19.39, 54.01, 34.62, 11.29,891c58
20133,16.41, 52.92, 36.51, 10.50,861a5d
20135,25.19, 58.23, 33.03, 8.27,941554
20137,47.46, 70.91, 23.45, 5.38,b40d3b
20139,26.56, 56.15, 29.60, 14.09,8f234b
20141,40.38, 65.39, 25.02, 9.50,a6183f
20143,34.68, 62.66, 27.98, 9.11,9f1747
20145,16.52, 54.19, 37.67, 7.98,8a1460
20147,45.84, 68.29, 22.45, 9.04,ae1739
20149,37.02, 63.68, 26.67, 9.55,a21844
20151,25.59, 57.91, 32.31, 9.43,931852
20153,40.56, 65.90, 25.34, 7.01,a81140
20155,8.23, 50.29, 42.06, 7.28,80126b
20157,38.57, 66.25, 27.68, 5.60,a80e46
20159,19.55, 56.23, 36.68, 6.91,8f115d
20161,30.26, 62.17, 31.91, 5.78,9e0e51
20163,34.70, 63.01, 28.32, 8.59,a01548
20165,23.71, 57.46, 33.75, 8.48,921556
20167,40.43, 67.04, 26.61, 6.12,aa0f43
20169,18.06, 55.43, 37.37, 6.95,8d115f
20171,42.14, 66.25, 24.11, 9.31,a8173d
20173,14.31, 51.80, 37.49, 10.43,841a5f
20175,36.07, 62.32, 26.25, 11.18,9e1c42
20177,15.71, 52.03, 36.32, 11.39,841d5c
20179,25.57, 58.36, 32.79, 8.39,941553
20181,27.09, 57.53, 30.44, 11.74,921d4d
20183,42.72, 67.49, 24.78, 7.36,ac123f
20185,19.46, 55.75, 36.30, 7.62,8e135c
20187,27.83, 59.52, 31.68, 8.58,971550
20189,31.74, 58.38, 26.64, 14.93,942643
20191,19.96, 54.48, 34.52, 10.81,8a1b58
20193,27.22, 59.82, 32.59, 7.31,981253
20195,28.49, 58.67, 30.18, 10.95,951b4c
20197,41.63, 64.17, 22.54, 13.04,a32139
20199,37.75, 61.54, 23.79, 14.57,9c253c
20201,43.98, 68.29, 24.31, 7.14,ae123d
20203,31.34, 60.37, 29.03, 10.37,991a4a
20205,39.15, 63.35, 24.20, 12.14,a11e3d
20207,35.03, 62.63, 27.60, 9.59,9f1846
20209,16.04, 33.38, 49.43, 16.64,552a7e
21001,34.44, 59.43, 24.99, 15.49,97273f
21003,42.28, 61.63, 19.35, 18.89,9d3031
21005,7.23, 44.33, 37.10, 18.27,712e5e
21007,12.63, 16.38, 47.39, 34.76,295878
21009,7.58, 42.84, 35.25, 21.78,6d3759
21011,3.51, 38.34, 41.85, 19.75,61326a
21013,7.46, 47.74, 40.27, 11.72,791d66
21015,14.98, 45.09, 30.11, 24.75,723f4c
21017,13.15, 33.85, 47.00, 18.74,562f77
21019,3.78, 45.43, 41.65, 12.86,73206a
21021,0.77, 40.29, 39.52, 20.12,663364
21023,1.76, 40.81, 39.06, 20.06,683363
21025,34.05, 29.09, 63.15, 7.72,4a13a1
21027,12.86, 47.32, 34.46, 18.17,782e57
21029,0.71, 31.14, 33.84, 34.55,4f5856
21031,49.05, 66.47, 17.42, 15.98,a9282c
21033,13.82, 42.23, 28.41, 28.15,6b4748
21035,13.61, 30.78, 44.39, 24.76,4e3f71
21037,13.95, 48.51, 34.56, 16.84,7b2a58
21039,13.82, 19.65, 46.92, 33.10,325477
21041,28.46, 27.54, 56.00, 16.31,46298e
21043,13.67, 49.67, 36.00, 14.22,7e245b
21045,53.85, 70.64, 16.79, 12.40,b41f2a
21047,1.95, 30.03, 33.94, 35.89,4c5b56
21049,4.60, 39.63, 35.03, 25.29,654059
21051,55.61, 75.16, 19.55, 5.27,bf0d31
21053,58.51, 75.09, 16.58, 8.18,bf142a
21055,31.25, 54.97, 23.72, 21.17,8c353c
21057,47.12, 67.82, 20.71, 11.38,ac1d34
21059,0.65, 40.22, 39.56, 19.95,663264
21061,45.95, 65.44, 19.49, 14.81,a62531
21063,39.89, 23.56, 63.45, 12.81,3c20a1
21065,23.36, 53.57, 30.21, 16.17,88294d
21067,15.97, 49.53, 33.55, 16.58,7e2a55
21069,19.53, 53.28, 33.74, 12.84,872056
21071,36.67, 27.22, 63.89, 8.82,4516a2
21073,17.77, 30.82, 48.58, 20.17,4e337b
21075,8.43, 28.26, 31.53, 39.97,486550
21077,19.33, 29.35, 48.69, 21.61,4a377c
21079,30.69, 56.15, 25.46, 17.19,8f2b40
21081,6.16, 39.35, 33.19, 26.72,644454
21083,10.43, 26.52, 41.78, 31.35,434f6a
21085,34.04, 61.14, 27.10, 11.16,9b1c45
21087,34.65, 58.71, 24.05, 17.07,952b3d
21089,0.08, 43.68, 43.60, 12.69,6f206f
21091,7.75, 44.70, 36.94, 17.85,712d5e
21093,6.74, 41.84, 35.09, 22.34,6a3859
21095,13.89, 34.96, 48.86, 16.05,59287c
21097,15.18, 33.75, 48.93, 17.30,562c7c
21099,21.13, 51.37, 30.23, 18.27,822e4d
21101,14.45, 32.74, 47.19, 19.88,533278
21103,17.82, 32.04, 49.86, 17.92,512d7f
21105,10.20, 23.19, 32.76, 42.96,3b6d53
21107,5.06, 31.94, 37.00, 30.90,514e5e
21109,75.84, 84.09, 8.25, 7.57,d61315
21111,2.56, 43.09, 40.53, 15.97,6d2867
21113,17.46, 45.46, 25.94, 28.00,734742
21115,29.13, 61.90, 32.77, 5.26,9d0d53
21117,6.59, 43.64, 37.05, 19.24,6f315e
21119,45.96, 22.56, 68.52, 8.79,3916ae
21121,28.23, 57.77, 29.55, 12.43,931f4b
21123,15.68, 47.78, 32.10, 19.91,793251
21125,48.59, 67.57, 18.98, 13.36,ac2230
21127,2.85, 45.80, 42.95, 11.20,741c6d
21129,28.94, 58.27, 29.33, 12.40,941f4a
21131,48.57, 71.08, 22.51, 6.41,b51039
21133,3.34, 42.30, 45.64, 12.00,6b1e74
21135,40.94, 64.83, 23.89, 11.09,a51c3c
21137,15.66, 47.45, 31.79, 20.67,783451
21139,5.84, 32.63, 38.46, 28.82,534962
21141,0.73, 39.16, 38.44, 21.65,633762
