id,margin,bush,kerry,other3,other2,other1
05017,26.66%, 36.26%, 62.92%,-,-, 0.82%
05019,9.18%, 44.99%, 54.17%,-,-, 0.84%
05021,8.28%, 45.26%, 53.54%,-,-, 1.20%
05023,22.02%, 60.43%, 38.41%,-,-, 1.16%
05025,15.99%, 57.47%, 41.48%,-,-, 1.06%
05027,16.36%, 57.82%, 41.46%,-,-, 0.73%
05029,0.33%, 49.59%, 49.26%,-,-, 1.15%
05031,7.22%, 53.08%, 45.85%,-,-, 1.07%
05033,32.48%, 65.64%, 33.16%,-,-, 1.21%
05035,8.80%, 45.29%, 54.10%,-,-, 0.61%
05037,10.31%, 54.62%, 44.32%,-,-, 1.06%
05039,0.86%, 50.18%, 49.32%,-,-, 0.50%
05041,24.14%, 37.21%, 61.35%,-,-, 1.44%
05043,4.96%, 52.20%, 47.24%,-,-, 0.56%
05045,19.02%, 58.64%, 39.63%,-,-, 1.73%
05047,16.09%, 57.36%, 41.27%,-,-, 1.37%
05049,3.07%, 50.90%, 47.83%,-,-, 1.27%
05051,9.20%, 54.13%, 44.93%,-,-, 0.95%
05053,24.83%, 62.11%, 37.28%,-,-, 0.61%
05055,4.82%, 51.86%, 47.04%,-,-, 1.10%
05057,3.18%, 48.04%, 51.22%,-,-, 0.74%
05059,0.49%, 49.40%, 48.91%,-,-, 1.69%
05061,11.53%, 55.35%, 43.82%,-,-, 0.83%
05063,15.27%, 57.11%, 41.83%,-,-, 1.06%
05065,4.50%, 51.57%, 47.08%,-,-, 1.35%
05067,14.33%, 42.19%, 56.52%,-,-, 1.29%
05069,31.01%, 33.51%, 64.52%,-,-, 1.97%
05071,8.57%, 53.59%, 45.03%,-,-, 1.38%
05073,1.16%, 50.27%, 49.11%,-,-, 0.63%
05075,8.96%, 44.61%, 53.58%,-,-, 1.81%
05077,25.88%, 36.57%, 62.45%,-,-, 0.98%
05079,5.55%, 46.75%, 52.30%,-,-, 0.95%
05081,1.93%, 48.64%, 50.57%,-,-, 0.79%
05083,20.06%, 59.36%, 39.31%,-,-, 1.33%
05085,31.52%, 65.36%, 33.84%,-,-, 0.81%
05087,22.74%, 60.67%, 37.92%,-,-, 1.41%
05089,22.21%, 60.10%, 37.89%,-,-, 2.01%
05091,15.73%, 57.56%, 41.82%,-,-, 0.62%
05093,10.40%, 43.25%, 53.65%,-,-, 3.10%
05095,12.63%, 43.25%, 55.88%,-,-, 0.87%
05097,21.30%, 59.80%, 38.50%,-,-, 1.69%
05099,1.67%, 50.39%, 48.72%,-,-, 0.89%
05101,29.08%, 63.48%, 34.40%,-,-, 2.12%
05103,1.47%, 50.19%, 48.71%,-,-, 1.10%
05105,11.60%, 54.95%, 43.35%,-,-, 1.69%
05107,27.98%, 35.65%, 63.62%,-,-, 0.73%
05109,20.88%, 59.79%, 38.91%,-,-, 1.31%
05111,6.66%, 46.03%, 52.69%,-,-, 1.28%
05113,34.86%, 66.57%, 31.71%,-,-, 1.72%
05115,31.16%, 65.13%, 33.97%,-,-, 0.90%
05117,12.91%, 56.02%, 43.10%,-,-, 0.88%
05119,10.82%, 44.20%, 55.03%,-,-, 0.77%
05121,3.81%, 47.37%, 51.18%,-,-, 1.45%
05123,19.49%, 39.79%, 59.28%,-,-, 0.93%
05125,27.20%, 63.15%, 35.94%,-,-, 0.91%
05127,25.78%, 62.26%, 36.48%,-,-, 1.26%
05129,29.93%, 64.25%, 34.32%,-,-, 1.43%
05131,24.48%, 61.76%, 37.27%,-,-, 0.97%
05133,10.45%, 54.68%, 44.23%,-,-, 1.09%
05135,11.14%, 54.85%, 43.71%,-,-, 1.45%
05137,16.81%, 57.45%, 40.64%,-,-, 1.91%
05139,19.24%, 58.89%, 39.65%,-,-, 1.45%
