id,margin,landon,roosevelt,other,hex_color
13183,70.75%, 14.21%, 84.96%, 0.84%,2402d8
13185,90.91%, 3.98%, 94.89%, 1.13%,0a02f1
13187,58.82%, 20.59%, 79.41%,-,3400ca
13189,75.03%, 12.11%, 87.14%, 0.74%,1e01de
13191,70.64%, 14.68%, 85.32%,-,2500d9
13193,82.24%, 8.74%, 90.98%, 0.28%,1600e7
13195,62.15%, 18.73%, 80.89%, 0.38%,2f00ce
13197,74.12%, 12.84%, 86.96%, 0.21%,2000dd
13199,89.25%, 5.36%, 94.61%, 0.04%,0d00f1
13201,89.42%, 5.22%, 94.64%, 0.14%,0d00f1
13205,93.15%, 3.32%, 96.47%, 0.21%,0800f5
13207,78.97%, 10.27%, 89.24%, 0.49%,1a01e3
13209,83.56%, 7.83%, 91.39%, 0.77%,1301e9
13211,93.50%, 3.17%, 96.66%, 0.17%,0800f6
13213,32.90%, 33.53%, 66.43%, 0.04%,5500a9
13215,83.24%, 8.32%, 91.56%, 0.13%,1500e9
13217,88.01%, 5.79%, 93.79%, 0.42%,0e01ef
13219,47.04%, 26.25%, 73.29%, 0.46%,4201ba
13221,75.73%, 11.93%, 87.66%, 0.41%,1e01df
13223,36.43%, 31.71%, 68.14%, 0.15%,5000ad
13225,86.61%, 5.91%, 92.52%, 1.57%,0f04eb
13227,7.47%, 46.27%, 53.73%,-,750089
13229,93.54%, 2.91%, 96.45%, 0.65%,0701f5
13231,71.66%, 14.03%, 85.69%, 0.28%,2300da
13233,75.15%, 12.36%, 87.51%, 0.13%,1f00df
13235,90.16%, 4.45%, 94.61%, 0.94%,0b02f1
13237,86.36%, 6.75%, 93.11%, 0.13%,1100ed
13239,89.84%, 5.08%, 94.92%,-,0c00f2
13241,70.75%, 14.58%, 85.33%, 0.09%,2500d9
13243,88.11%, 5.75%, 93.86%, 0.39%,0e00ef
13245,85.63%, 7.06%, 92.69%, 0.26%,1200ec
13247,83.86%, 8.01%, 91.88%, 0.11%,1400ea
13249,81.39%, 9.31%, 90.69%,-,1700e7
13251,86.42%, 6.05%, 92.47%, 1.49%,0f03eb
13253,80.55%, 9.73%, 90.27%,-,1800e6
13255,96.84%,-, 98.28%, 1.72%,0004fa
13257,88.61%, 5.61%, 94.22%, 0.17%,0e00f0
13259,85.02%, 7.20%, 92.22%, 0.59%,1201eb
13261,93.69%, 3.00%, 96.69%, 0.31%,0700f6
13263,89.56%, 4.86%, 94.42%, 0.71%,0c01f0
13265,93.89%, 2.44%, 96.34%, 1.22%,0603f5
13267,65.49%, 16.82%, 82.31%, 0.86%,2a02d1
13269,67.75%, 15.96%, 83.71%, 0.33%,2800d5
13271,81.08%, 9.46%, 90.54%,-,1800e6
13273,91.14%, 4.36%, 95.50%, 0.14%,0b00f3
13275,82.68%, 8.39%, 91.08%, 0.53%,1501e8
13277,81.54%, 8.95%, 90.49%, 0.56%,1601e6
13279,85.23%, 7.20%, 92.43%, 0.37%,1200eb
13281,2.07%, 48.96%, 51.04%,-,7c0082
13283,94.98%, 2.46%, 97.44%, 0.11%,0600f8
13285,88.37%, 5.76%, 94.13%, 0.10%,0e00f0
13287,64.12%, 17.94%, 82.06%,-,2d00d1
13289,79.05%, 10.38%, 89.44%, 0.18%,1a00e4
13291,18.90%, 40.55%, 59.45%,-,670097
13293,82.80%, 8.57%, 91.37%, 0.06%,1500e8
13295,66.82%, 16.50%, 83.32%, 0.18%,2a00d4
13297,87.25%, 6.33%, 93.58%, 0.10%,1000ee
13299,81.71%, 9.06%, 90.77%, 0.18%,1700e7
13301,61.00%, 18.91%, 79.91%, 1.17%,3002cb
13303,78.90%, 10.34%, 89.24%, 0.42%,1a01e3
13305,75.97%, 11.68%, 87.65%, 0.67%,1d01df
13307,76.92%, 11.40%, 88.32%, 0.28%,1d00e1
13309,72.57%, 13.64%, 86.21%, 0.15%,2200db
13311,57.63%, 21.18%, 78.82%,-,3600c8
13313,47.64%, 26.05%, 73.69%, 0.27%,4200bb
13315,68.96%, 15.44%, 84.40%, 0.16%,2700d7
13317,84.94%, 6.95%, 91.89%, 1.16%,1102ea
13319,70.54%, 14.43%, 84.96%, 0.61%,2401d8
13321,78.92%, 10.50%, 89.42%, 0.08%,1a00e4
15001,0%,-,-,-,000000
15003,0%,-,-,-,000000
15005,0%,-,-,-,000000
15007,0%,-,-,-,000000
15009,0%,-,-,-,000000
16001,21.61%, 36.85%, 58.46%,-,5d0095
16003,25.93%, 33.49%, 59.41%,-,550097
16005,41.91%, 28.60%, 70.51%, 0.90%,4802b3
16007,19.33%, 40.28%, 59.61%, 0.11%,660098
16009,34.78%, 30.92%, 65.70%,-,4e00a7
16011,27.56%, 34.86%, 62.42%,-,58009f
16013,29.71%, 34.88%, 64.59%, 0.52%,5801a4
16015,34.62%, 30.92%, 65.55%,-,4e00a7
16017,25.11%, 33.64%, 58.75%,-,550095
16019,41.43%, 28.42%, 69.85%, 1.73%,4804b2
16021,26.46%, 33.86%, 60.31%,-,560099
16023,26.93%, 35.90%, 62.83%, 1.27%,5b03a0
16025,22.98%, 37.48%, 60.47%,-,5f009a
16027,23.24%, 33.75%, 56.99%,-,560091
16029,33.16%, 33.37%, 66.53%, 0.10%,5500a9
16031,30.66%, 33.96%, 64.62%, 1.42%,5603a4
16033,5.52%, 52.41%, 46.90%, 0.69%,850177
16035,39.20%, 27.75%, 66.95%,-,4600aa
16037,24.28%, 37.30%, 61.58%, 1.13%,5f029d
16039,36.93%, 28.91%, 65.84%,-,4900a7
16041,23.41%, 38.04%, 61.44%, 0.52%,61019c
16043,33.92%, 32.59%, 66.51%, 0.89%,5302a9
16045,44.53%, 24.64%, 69.17%,-,3e00b0
16047,16.06%, 40.62%, 56.68%,-,670090
16049,31.83%, 31.14%, 62.97%,-,4f00a0
16051,45.01%, 26.84%, 71.84%, 1.32%,4403b7
16053,28.51%, 34.33%, 62.84%,-,5700a0
16055,35.18%, 28.74%, 63.92%,-,4900a2
16057,20.39%, 38.05%, 58.45%,-,610095
16059,26.44%, 35.37%, 61.82%,-,5a009d
16061,50.97%, 23.39%, 74.35%,-,3b00bd
16063,8.72%, 44.51%, 53.22%,-,710087
16065,37.33%, 31.01%, 68.35%, 0.64%,4f01ae
16067,37.04%, 30.61%, 67.65%, 1.74%,4e04ac
16069,46.55%, 24.90%, 71.45%,-,3f00b6
16071,27.22%, 36.20%, 63.42%, 0.38%,5c00a1
16073,35.07%, 28.94%, 64.00%,-,4900a3
16075,4.18%, 41.61%, 45.78%,-,6a0074
16077,20.25%, 39.07%, 59.33%, 1.60%,630497
16079,42.61%, 28.30%, 70.92%, 0.78%,4801b4
16081,20.72%, 38.47%, 59.19%,-,620096
16083,19.57%, 38.71%, 58.28%,-,620094
16085,34.60%, 29.04%, 63.64%,-,4a00a2
16087,25.67%, 34.70%, 60.38%,-,580099
17001,17.16%, 39.18%, 56.33%, 0.29%,63008f
17003,11.21%, 43.89%, 55.10%, 1.01%,6f028c
17005,6.44%, 51.63%, 45.19%, 3.18%,830873
17007,37.30%, 67.00%, 29.71%, 0.29%,aa004b
17009,28.18%, 34.97%, 63.16%, 1.87%,5904a1
17011,4.66%, 51.48%, 46.83%, 1.69%,830477
17013,4.27%, 45.90%, 50.17%, 0.20%,75007f
17015,5.55%, 52.38%, 46.83%, 0.79%,850277
17017,28.35%, 35.30%, 63.65%, 1.05%,5a02a2
17019,6.93%, 45.77%, 52.71%, 1.52%,740386
17021,15.86%, 39.69%, 55.55%, 0.52%,65018d
17023,3.62%, 47.96%, 51.58%, 0.46%,7a0183
17025,2.39%, 48.25%, 50.64%, 1.11%,7b0281
17027,15.27%, 32.78%, 48.05%, 0.49%,53017a
17029,15.00%, 42.17%, 57.17%, 0.66%,6b0191
17031,27.47%, 34.90%, 62.36%, 0.30%,58009f
17033,2.82%, 48.13%, 50.95%, 0.93%,7a0281
17035,4.31%, 47.45%, 51.76%, 0.79%,780283
17037,10.54%, 53.77%, 43.22%, 0.33%,89006e
17039,11.01%, 44.20%, 55.21%, 0.58%,70018c
17041,4.36%, 47.51%, 51.88%, 0.61%,790184
17043,12.97%, 54.97%, 42.00%, 0.46%,8c016b
17045,5.99%, 46.51%, 52.50%, 0.99%,760285
17047,11.80%, 55.16%, 43.35%, 1.49%,8c036e
17049,16.41%, 40.57%, 56.98%, 0.34%,670091
17051,3.03%, 48.01%, 51.04%, 0.96%,7a0282
17053,9.62%, 53.79%, 44.17%, 2.03%,890570
17055,17.07%, 40.22%, 57.29%, 2.49%,660692
17057,11.67%, 43.25%, 54.92%, 1.83%,6e048c
17059,29.39%, 34.71%, 64.10%, 1.20%,5803a3
17061,24.60%, 37.14%, 61.74%, 1.12%,5e029d
17063,8.63%, 52.63%, 44.00%, 0.14%,860070
17065,11.03%, 44.07%, 55.10%, 0.82%,70028c
17067,2.21%, 47.61%, 49.82%, 0.39%,79007f
17069,0.60%, 50.06%, 49.46%, 0.47%,7f017e
17071,3.20%, 51.02%, 47.82%, 1.17%,820279
17073,1.92%, 49.61%, 47.69%, 0.64%,7e0179
17075,4.34%, 46.05%, 50.39%, 0.24%,750080
17077,1.91%, 50.44%, 48.53%, 1.03%,80027b
17079,12.37%, 42.94%, 55.31%, 1.76%,6d048d
17081,16.70%, 41.26%, 57.96%, 0.78%,690193
17083,13.20%, 42.81%, 56.01%, 1.18%,6d038e
17085,4.93%, 51.32%, 46.38%, 0.21%,820076
17087,17.19%, 58.46%, 41.27%, 0.26%,950069
17089,8.32%, 52.55%, 44.23%, 0.26%,860070
17091,8.39%, 41.21%, 49.60%, 0.24%,69007e
17093,13.36%, 54.86%, 41.50%, 0.05%,8b0069
17095,3.49%, 50.52%, 47.03%, 0.24%,800077
17097,5.63%, 51.32%, 45.69%, 0.42%,820174
17099,9.15%, 43.44%, 52.59%, 0.37%,6e0086
17101,9.72%, 44.39%, 54.11%, 1.49%,710389
17103,12.75%, 54.92%, 42.17%, 0.12%,8c006b
17105,7.92%, 53.12%, 45.20%, 1.69%,870473
17107,5.75%, 46.52%, 52.27%, 1.21%,760385
17109,9.90%, 54.48%, 44.58%, 0.94%,8a0271
17111,25.86%, 60.56%, 34.70%, 0.22%,9a0058
17113,11.96%, 43.00%, 54.96%, 2.04%,6d058c
17115,27.08%, 35.84%, 62.92%, 1.24%,5b03a0
17117,20.87%, 36.76%, 57.62%, 1.95%,5d0492
17119,30.60%, 33.60%, 64.20%, 2.19%,5505a3
17121,12.85%, 42.79%, 55.64%, 1.57%,6d048d
17123,7.80%, 45.67%, 53.47%, 0.86%,740288
17125,21.57%, 38.88%, 60.45%, 0.66%,63019a
17127,12.24%, 55.76%, 43.52%, 0.72%,8e016e
17129,1.35%, 48.86%, 50.22%, 0.92%,7c0280
17131,2.80%, 50.87%, 48.07%, 1.06%,81027a
17133,3.66%, 47.09%, 50.76%, 0.10%,780081
17135,10.50%, 42.92%, 53.43%, 0.82%,6d0288
17137,5.08%, 47.02%, 52.10%, 0.89%,770284
17139,14.29%, 42.41%, 56.70%, 0.90%,6c0290
17141,24.44%, 61.60%, 37.15%, 1.25%,9d035e
17143,30.24%, 33.96%, 64.20%, 1.84%,5604a3
17145,12.23%, 42.94%, 55.16%, 1.90%,6d048c
17147,1.90%, 48.77%, 50.66%, 0.57%,7c0181
17149,18.59%, 40.00%, 58.59%, 1.42%,660395
17151,23.28%, 61.28%, 37.99%, 0.73%,9c0160
17153,0.39%, 49.37%, 49.76%, 0.88%,7d027e
17155,0.07%, 49.47%, 49.53%, 1.00%,7e027e
17157,7.58%, 44.95%, 52.53%, 0.27%,720085
17159,2.68%, 47.57%, 50.26%, 2.17%,790580
17161,24.99%, 36.75%, 61.74%, 1.51%,5d039d
17163,32.90%, 31.86%, 64.75%, 0.54%,5101a5
17165,6.11%, 46.16%, 52.27%, 1.57%,750485
17167,4.27%, 46.43%, 50.70%, 0.31%,760081
17169,12.30%, 43.54%, 55.84%, 0.62%,6f018e
17171,15.18%, 42.14%, 57.32%, 0.54%,6b0192
17173,16.84%, 40.81%, 57.64%, 1.55%,680392
17175,9.60%, 54.38%, 44.78%, 0.85%,8a0272
17177,2.92%, 46.59%, 49.51%, 0.48%,76017e
17179,34.48%, 32.07%, 66.55%, 1.38%,5103a9
17181,20.03%, 39.81%, 59.84%, 0.34%,650098
17183,15.10%, 41.56%, 56.65%, 1.79%,690490
17185,18.74%, 39.59%, 58.33%, 2.08%,640594
17187,12.11%, 55.51%, 43.39%, 1.10%,8d026e
17189,4.75%, 51.20%, 46.45%, 0.32%,820076
17191,1.98%, 48.79%, 50.77%, 0.44%,7c0181
17193,20.07%, 39.62%, 59.68%, 0.70%,650198
17195,22.05%, 59.62%, 37.57%, 0.17%,98005f
17197,5.62%, 45.25%, 50.86%, 0.20%,730081
17199,8.58%, 45.07%, 53.64%, 1.29%,720388
17201,4.08%, 46.30%, 50.38%, 0.60%,760180
17203,2.74%, 48.00%, 50.75%, 1.25%,7a0381
18001,27.94%, 35.28%, 63.23%, 1.49%,5903a1
18003,21.75%, 37.44%, 59.19%, 0.26%,5f0096
18005,13.58%, 42.92%, 56.50%, 0.58%,6d0190
18007,3.51%, 47.21%, 50.72%, 2.07%,780581
18009,19.20%, 39.82%, 59.02%, 1.16%,650296
18011,8.23%, 45.57%, 53.80%, 0.63%,740189
18013,11.99%, 43.74%, 55.73%, 0.53%,6f018e
18015,2.73%, 48.28%, 51.01%, 0.71%,7b0182
18017,10.02%, 43.91%, 53.93%, 2.16%,6f0589
18019,28.81%, 34.83%, 63.64%, 1.53%,5803a2
18021,12.94%, 43.15%, 56.09%, 0.77%,6e018f
18023,6.83%, 46.19%, 53.02%, 0.79%,750287
18025,5.98%, 46.91%, 52.89%, 0.20%,770086
18027,2.89%, 47.95%, 50.84%, 1.21%,7a0381
18029,15.08%, 41.48%, 56.56%, 1.96%,690490
18031,2.36%, 50.72%, 48.35%, 0.93%,81027b
18033,8.61%, 44.89%, 53.50%, 1.60%,720488
18035,14.44%, 42.37%, 56.81%, 0.81%,6c0290
18037,37.80%, 29.07%, 66.87%, 0.27%,4a00aa
18039,1.39%, 49.05%, 47.65%, 0.42%,7d0179
18041,6.31%, 46.39%, 52.70%, 0.91%,760286
18043,20.30%, 38.50%, 58.79%, 0.36%,620095
18045,9.25%, 45.20%, 54.45%, 0.35%,73008a
18047,13.11%, 41.21%, 54.31%, 0.14%,69008a
18049,2.43%, 50.43%, 48.00%, 1.57%,80047a
18051,13.85%, 42.36%, 56.21%, 1.44%,6c038f
18053,7.16%, 44.84%, 52.00%, 0.42%,720184
18055,13.09%, 43.01%, 56.10%, 0.89%,6d028f
18057,14.97%, 56.90%, 41.93%, 1.17%,91026a
18059,17.56%, 41.00%, 58.57%, 0.43%,680195
18061,12.69%, 43.23%, 55.92%, 0.85%,6e028e
18063,4.86%, 52.05%, 47.19%, 0.76%,840178
18065,5.53%, 46.85%, 52.38%, 0.77%,770185
18067,12.32%, 42.67%, 54.99%, 2.34%,6c058c
18069,8.52%, 44.75%, 53.26%, 1.99%,720587
18071,23.53%, 37.98%, 61.50%, 0.52%,60019c
18073,6.41%, 52.67%, 46.26%, 1.07%,860275
18075,10.88%, 43.73%, 54.61%, 1.66%,6f048b
18077,5.05%, 52.12%, 47.08%, 0.80%,840278
18079,6.40%, 52.67%, 46.27%, 1.06%,860275
18081,13.13%, 43.11%, 56.24%, 0.65%,6d018f
18083,22.68%, 38.34%, 61.02%, 0.63%,61019b
18085,8.51%, 53.90%, 45.39%, 0.70%,890173
18087,5.03%, 51.72%, 46.69%, 1.59%,830477
18089,33.60%, 32.47%, 66.07%, 1.46%,5203a8
18091,13.28%, 42.79%, 56.07%, 1.14%,6d028e
18093,10.56%, 54.91%, 44.35%, 0.74%,8c0171
18095,24.05%, 37.41%, 61.46%, 1.13%,5f029c
18097,17.16%, 40.54%, 57.71%, 1.75%,670493
18099,4.11%, 47.17%, 51.28%, 1.56%,780382
18101,6.13%, 46.57%, 52.70%, 0.72%,760186
18103,9.43%, 44.62%, 54.05%, 1.34%,710389
18105,2.09%, 48.82%, 50.91%, 0.27%,7c0081
18107,4.40%, 47.39%, 51.79%, 0.82%,780284
18109,3.02%, 51.14%, 48.12%, 0.74%,82017a
18111,9.38%, 54.31%, 44.93%, 0.76%,8a0172
18113,1.93%, 48.26%, 50.18%, 1.56%,7b037f
18115,14.26%, 42.87%, 57.13%,-,6d0091
18117,5.75%, 52.68%, 46.94%, 0.38%,860077
18119,6.12%, 46.50%, 52.62%, 0.89%,760286
18121,1.53%, 48.89%, 50.42%, 0.69%,7c0180
18123,13.15%, 41.99%, 55.13%, 0.23%,6b008c
18125,12.01%, 43.74%, 55.75%, 0.51%,6f018e
18127,6.02%, 52.60%, 46.58%, 0.82%,860276
18129,28.60%, 34.74%, 63.34%, 1.91%,5804a1
18131,8.07%, 45.42%, 53.50%, 1.08%,730288
18133,10.85%, 44.27%, 55.12%, 0.62%,70018c
18135,1.47%, 50.30%, 48.84%, 0.86%,80027c
18137,5.86%, 45.98%, 51.84%, 2.18%,750584
18139,4.71%, 47.45%, 52.17%, 0.38%,780085
18141,24.63%, 36.69%, 61.32%, 1.99%,5d059c
18143,13.95%, 42.86%, 56.81%, 0.34%,6d0090
18145,17.16%, 40.95%, 58.11%, 0.94%,680294
18147,4.12%, 47.20%, 51.32%, 1.48%,780382
18149,4.92%, 47.18%, 52.11%, 0.71%,780184
18151,7.90%, 52.99%, 45.09%, 1.92%,870472
18153,36.41%, 30.92%, 67.33%, 1.76%,4e04ab
18155,12.40%, 43.66%, 56.06%, 0.28%,6f008e
18157,1.34%, 50.08%, 48.74%, 1.18%,7f037c
18159,10.92%, 43.96%, 54.88%, 1.16%,70028b
18161,0.97%, 49.20%, 50.17%, 0.63%,7d017f
18163,46.89%, 25.79%, 72.68%, 1.52%,4103b9
18165,24.65%, 37.13%, 61.78%, 1.09%,5e029d
18167,31.02%, 34.05%, 65.08%, 0.87%,5602a5
18169,7.51%, 53.02%, 45.51%, 1.47%,870374
18171,10.66%, 55.10%, 44.44%, 0.46%,8c0171
18173,14.58%, 42.08%, 56.67%, 1.25%,6b0390
18175,12.69%, 43.50%, 56.19%, 0.31%,6e008f
18177,5.95%, 45.98%, 51.93%, 2.09%,750584
18179,26.21%, 36.59%, 62.81%, 0.60%,5d01a0
18181,6.68%, 45.89%, 52.57%, 1.54%,750386
18183,12.63%, 43.27%, 55.90%, 0.83%,6e028e
19001,2.85%, 50.81%, 47.95%, 1.24%,81037a
19003,13.36%, 56.06%, 42.69%, 1.25%,8e036c
19005,3.13%, 46.25%, 49.38%, 0.15%,75007d
19007,8.92%, 45.16%, 54.08%, 0.76%,730189
19009,18.91%, 40.14%, 59.05%, 0.80%,660296
19011,14.72%, 41.72%, 56.43%, 1.85%,6a048f
19013,9.87%, 43.14%, 53.01%, 0.28%,6e0087
19015,25.54%, 35.34%, 60.88%, 0.73%,5a019b
19017,21.70%, 38.02%, 59.72%, 0.17%,600098
19019,2.94%, 47.85%, 50.79%, 1.36%,7a0381
19021,22.23%, 37.95%, 60.18%, 1.87%,600499
19023,2.41%, 47.73%, 50.14%, 2.13%,79057f
19025,19.70%, 39.32%, 59.02%, 1.66%,640496
19027,28.81%, 31.03%, 59.84%, 0.10%,4f0098
19029,13.43%, 56.43%, 43.00%, 0.56%,8f016d
19031,8.49%, 44.76%, 53.25%, 1.99%,720587
19033,11.77%, 42.71%, 54.48%, 0.17%,6c008a
19035,23.12%, 36.99%, 60.11%, 0.18%,5e0099
19037,16.72%, 39.96%, 56.67%, 0.29%,650090
19039,0.80%, 48.85%, 49.65%, 1.50%,7c037e
19041,25.27%, 36.57%, 61.84%, 1.60%,5d049d
19043,14.01%, 41.00%, 55.01%, 0.11%,68008c
19045,9.78%, 43.47%, 53.25%, 0.12%,6e0087
19047,23.22%, 36.98%, 60.20%, 0.39%,5e0099
19049,7.51%, 45.45%, 52.96%, 1.59%,730487
19051,10.26%, 44.59%, 54.86%, 0.55%,71018b
19053,10.73%, 44.40%, 55.12%, 0.48%,71018c
19055,1.47%, 49.56%, 48.09%, 0.20%,7e007a
19057,1.58%, 43.06%, 44.64%, 0.78%,6d0171
19059,18.60%, 40.10%, 58.69%, 1.21%,660395
19061,29.28%, 30.22%, 59.50%, 0.27%,4d0097
19063,14.10%, 41.84%, 55.94%, 2.21%,6a058e
19065,9.85%, 43.97%, 53.82%, 2.21%,700589
19067,0.28%, 47.25%, 46.97%, 0.37%,780077
19069,21.82%, 37.73%, 59.55%, 0.34%,600097
19071,13.26%, 43.21%, 56.47%, 0.33%,6e008f
19073,7.63%, 44.77%, 52.40%, 0.20%,720085
19075,18.83%, 39.62%, 58.45%, 1.92%,650495
19077,6.64%, 51.49%, 44.85%, 0.24%,830072
19079,25.78%, 36.24%, 62.02%, 1.74%,5c049e
19081,20.29%, 39.00%, 59.28%, 1.72%,630497
19083,11.31%, 43.35%, 54.66%, 1.99%,6e058b
19085,7.64%, 45.50%, 53.14%, 1.35%,740387
19087,11.34%, 54.17%, 42.82%, 0.31%,8a006d
19089,12.88%, 41.52%, 54.40%, 0.21%,69008a
19091,19.98%, 39.02%, 59.00%, 1.98%,630596
19093,29.31%, 34.39%, 63.70%, 1.91%,5704a2
19095,10.41%, 43.57%, 53.98%, 0.39%,6f0089
19097,14.82%, 40.59%, 55.41%, 0.20%,67008d
19099,16.95%, 40.81%, 57.76%, 1.42%,680393
19101,4.37%, 50.84%, 46.47%, 0.31%,810076
19103,21.47%, 38.18%, 59.65%, 2.17%,610598
19105,9.74%, 44.26%, 54.00%, 1.74%,700489
19107,6.79%, 45.46%, 52.26%, 0.22%,730085
19109,37.95%, 30.09%, 68.04%, 1.88%,4c04ad
19111,3.49%, 46.36%, 49.85%, 0.23%,76007f
19113,1.49%, 48.06%, 49.55%, 0.22%,7a007e
19115,3.63%, 47.28%, 50.92%, 1.80%,780481
19117,4.86%, 46.25%, 51.11%, 0.50%,750182
19119,22.31%, 38.09%, 60.40%, 1.51%,61039a
19121,10.82%, 55.04%, 44.22%, 0.74%,8c0170
19123,7.03%, 44.94%, 51.97%, 0.62%,720184
19125,14.77%, 41.51%, 56.27%, 0.19%,69008f
19127,7.71%, 52.66%, 44.95%, 0.36%,860072
19129,2.63%, 48.40%, 51.02%, 0.58%,7b0182
19131,12.80%, 41.87%, 54.67%, 0.20%,6a008b
19133,27.51%, 35.39%, 62.89%, 1.72%,5a04a0
19135,16.14%, 40.22%, 56.36%, 0.56%,66018f
19137,5.67%, 52.43%, 46.77%, 0.80%,850277
19139,1.96%, 47.56%, 49.52%, 0.45%,79017e
19141,20.77%, 38.90%, 59.67%, 1.43%,630398
19143,28.59%, 34.56%, 63.15%, 0.27%,5800a1
19145,17.47%, 58.50%, 41.03%, 0.47%,950168
19147,25.94%, 35.63%, 61.57%, 0.22%,5a009d
19149,16.26%, 36.11%, 52.37%, 0.18%,5c0085
19151,30.50%, 33.39%, 63.89%, 0.21%,5500a2
19153,13.16%, 42.56%, 55.72%, 1.72%,6c048e
19155,13.96%, 42.28%, 56.23%, 1.49%,6b038f
19157,7.87%, 44.88%, 52.75%, 2.38%,720686
19159,11.69%, 55.31%, 43.62%, 1.07%,8d026f
19161,12.90%, 42.84%, 55.74%, 1.42%,6d038e
19163,23.56%, 37.17%, 60.73%, 2.10%,5e059a
19165,9.40%, 42.40%, 51.80%, 0.10%,6c0084
19167,9.47%, 42.58%, 52.05%, 0.08%,6c0084
19169,4.23%, 46.79%, 51.02%, 2.19%,770582
19171,16.39%, 41.11%, 57.50%, 1.39%,680392
19173,10.71%, 54.94%, 44.23%, 0.83%,8c0270
19175,8.15%, 53.42%, 45.27%, 1.31%,880373
19177,11.38%, 55.05%, 43.66%, 1.29%,8c036f
19179,15.83%, 41.31%, 57.14%, 1.55%,690391
19181,7.17%, 52.72%, 45.55%, 1.73%,860474
19183,2.63%, 50.66%, 48.03%, 1.32%,81037a
19185,2.27%, 48.43%, 50.70%, 0.87%,7b0281
19187,19.74%, 37.81%, 57.56%, 0.33%,600092
19189,9.13%, 43.73%, 52.86%, 0.34%,6f0086
19191,13.34%, 40.15%, 53.48%, 0.27%,660088
19193,29.51%, 32.92%, 62.43%, 0.43%,53019f
19195,20.30%, 39.41%, 59.71%, 0.88%,640298
19197,21.42%, 38.01%, 59.44%, 0.17%,600097
20001,22.14%, 61.05%, 38.90%, 0.05%,9b0063
20003,10.84%, 54.64%, 43.80%, 1.57%,8b046f
20005,4.53%, 47.60%, 52.12%, 0.28%,790084
20007,20.79%, 39.41%, 60.20%, 0.39%,640099
20009,25.68%, 37.13%, 62.81%, 0.05%,5e00a0
20011,2.81%, 48.58%, 51.38%, 0.04%,7b0083
20013,24.88%, 62.38%, 37.50%, 0.12%,9f005f
20015,19.85%, 39.99%, 59.84%, 0.17%,650098
20017,2.89%, 48.42%, 51.31%, 0.27%,7b0082
20019,9.26%, 54.49%, 45.23%, 0.28%,8a0073
20021,18.27%, 40.61%, 58.88%, 0.51%,670196
20023,14.77%, 42.43%, 57.20%, 0.38%,6c0091
20025,23.66%, 38.13%, 61.79%, 0.08%,61009d
20027,1.20%, 50.45%, 49.25%, 0.30%,80007d
20029,3.85%, 47.90%, 51.75%, 0.35%,7a0083
20031,18.82%, 59.29%, 40.47%, 0.24%,970067
20033,20.99%, 39.44%, 60.43%, 0.13%,64009a
20035,12.60%, 43.51%, 56.12%, 0.37%,6e008f
20037,20.23%, 39.73%, 59.96%, 0.31%,650098
20039,15.47%, 42.08%, 57.55%, 0.37%,6b0092
20041,5.52%, 52.61%, 47.09%, 0.30%,860078
20043,15.89%, 57.80%, 41.91%, 0.29%,93006a
20045,25.13%, 62.21%, 37.07%, 0.72%,9e015e
20047,17.50%, 41.21%, 58.71%, 0.09%,690095
20049,6.69%, 53.24%, 46.55%, 0.20%,870076
20051,49.65%, 25.07%, 74.73%, 0.20%,3f00be
20053,18.44%, 40.71%, 59.15%, 0.14%,670096
20055,17.97%, 40.87%, 58.84%, 0.29%,680096
20057,22.42%, 38.69%, 61.11%, 0.19%,62009b
20059,14.27%, 57.00%, 42.73%, 0.27%,91006c
20061,11.01%, 44.38%, 55.39%, 0.22%,71008d
20063,0.76%, 49.75%, 48.99%, 1.26%,7e037c
20065,8.49%, 45.66%, 54.15%, 0.19%,74008a
20067,12.82%, 43.59%, 56.41%,-,6f008f
20069,31.24%, 34.34%, 65.57%, 0.09%,5700a7
20071,1.02%, 50.45%, 49.43%, 0.13%,80007e
20073,0.36%, 49.68%, 50.04%, 0.28%,7e007f
20075,10.21%, 44.55%, 54.76%, 0.68%,71018b
20077,16.23%, 41.70%, 57.93%, 0.38%,6a0093
20079,9.16%, 45.28%, 54.44%, 0.28%,73008a
20081,17.21%, 41.35%, 58.56%, 0.09%,690095
20083,19.58%, 40.13%, 59.71%, 0.15%,660098
20085,5.96%, 52.88%, 46.92%, 0.20%,860077
20087,8.86%, 54.25%, 45.39%, 0.37%,8a0073
20089,16.04%, 57.76%, 41.72%, 0.53%,93016a
20091,15.74%, 57.71%, 41.97%, 0.32%,93006b
20093,9.90%, 44.63%, 54.53%, 0.84%,71028b
20095,29.50%, 35.14%, 64.64%, 0.23%,5900a4
20097,5.06%, 47.32%, 52.38%, 0.30%,780085
20099,9.78%, 44.91%, 54.69%, 0.40%,72018b
20101,10.98%, 43.77%, 54.75%, 1.48%,6f038b
20103,3.23%, 51.39%, 48.17%, 0.44%,83017a
20105,4.93%, 47.42%, 52.35%, 0.24%,780085
20107,18.07%, 58.78%, 40.72%, 0.50%,950167
20109,2.52%, 51.15%, 48.63%, 0.21%,82007c
20111,9.94%, 44.73%, 54.67%, 0.60%,72018b
20113,13.69%, 42.95%, 56.64%, 0.42%,6d0190
20115,0.26%, 49.67%, 49.93%, 0.40%,7e017f
