id,margin,landon,roosevelt,other,hex_color
05017,87.63%, 6.14%, 93.78%, 0.08%,0f00ef
05019,81.78%, 8.92%, 90.71%, 0.37%,1600e7
05021,38.12%, 30.83%, 68.94%, 0.23%,4e00af
05023,46.50%, 26.44%, 72.93%, 0.63%,4301b9
05025,91.81%, 3.96%, 95.77%, 0.26%,0a00f4
05027,93.30%, 3.35%, 96.65%,-,0800f6
05029,73.62%, 13.15%, 86.77%, 0.09%,2100dd
05031,64.56%, 17.46%, 82.02%, 0.52%,2c01d1
05033,47.38%, 26.09%, 73.47%, 0.45%,4201bb
05035,97.66%,-, 98.83%, 1.17%,0002fc
05037,84.08%, 7.40%, 91.49%, 1.11%,1202e9
05039,86.59%, 6.71%, 93.29%,-,1100ed
05041,92.37%, 3.75%, 96.12%, 0.14%,0900f5
05043,89.09%, 5.38%, 94.47%, 0.15%,0d00f0
05045,66.03%, 16.79%, 82.82%, 0.39%,2a00d3
05047,68.76%, 15.35%, 84.11%, 0.53%,2701d6
05049,36.72%, 31.53%, 68.25%, 0.22%,5000ae
05051,40.98%, 29.09%, 70.07%, 0.84%,4a02b2
05053,73.80%, 13.06%, 86.86%, 0.09%,2100dd
05055,62.76%, 18.48%, 81.25%, 0.27%,2f00cf
05057,85.44%, 7.24%, 92.68%, 0.08%,1200ec
05059,55.93%, 21.84%, 77.77%, 0.39%,3700c6
05061,67.68%, 16.02%, 83.69%, 0.29%,2800d5
05063,50.72%, 24.53%, 75.25%, 0.21%,3e00bf
05065,52.89%, 23.56%, 76.44%,-,3c00c2
05067,73.58%, 13.19%, 86.77%, 0.04%,2100dd
05069,87.52%, 6.15%, 93.66%, 0.19%,0f00ee
05071,62.87%, 17.95%, 80.81%, 1.24%,2d03ce
05073,85.31%, 7.24%, 92.55%, 0.22%,1200ec
05075,65.59%, 16.91%, 82.50%, 0.59%,2b01d2
05077,89.89%, 4.98%, 94.87%, 0.15%,0c00f1
05079,91.81%, 4.10%, 95.90%,-,0a00f4
05081,68.84%, 15.30%, 84.14%, 0.56%,2701d6
05083,55.03%, 22.38%, 77.41%, 0.20%,3900c5
05085,79.59%, 10.17%, 89.76%, 0.07%,1900e4
05087,6.16%, 46.86%, 53.02%, 0.13%,770087
05089,38.47%, 30.21%, 68.68%, 1.11%,4d02af
05091,78.32%, 10.69%, 89.01%, 0.30%,1b00e2
05093,88.05%, 5.89%, 93.94%, 0.17%,0f00ef
05095,85.93%, 6.91%, 92.84%, 0.25%,1100ec
05097,37.46%, 30.61%, 68.07%, 1.32%,4e03ad
05099,71.73%, 13.96%, 85.69%, 0.34%,2300da
05101,5.78%, 52.89%, 47.11%,-,860078
05103,82.93%, 8.53%, 91.47%,-,1500e9
05105,56.62%, 21.69%, 78.31%,-,3700c7
05107,91.62%, 3.98%, 95.60%, 0.42%,0a01f3
05109,55.63%, 22.14%, 77.78%, 0.08%,3800c6
05111,71.47%, 13.90%, 85.38%, 0.72%,2301d9
05113,36.48%, 30.95%, 67.44%, 1.61%,4e04ab
05115,76.90%, 11.49%, 88.38%, 0.13%,1d00e1
05117,64.69%, 17.56%, 82.25%, 0.19%,2c00d1
05119,79.20%, 10.29%, 89.49%, 0.22%,1a00e4
05121,60.62%, 19.62%, 80.24%, 0.14%,3200cc
05123,90.13%, 4.59%, 94.72%, 0.68%,0b01f1
05125,61.01%, 18.86%, 79.87%, 1.26%,3003cb
05127,51.53%, 24.17%, 75.70%, 0.13%,3d00c1
05129,13.67%, 56.81%, 43.14%, 0.06%,90006e
05131,59.06%, 20.30%, 79.35%, 0.35%,3300ca
05133,60.73%, 19.27%, 80.00%, 0.73%,3101cc
05135,52.23%, 23.40%, 75.63%, 0.97%,3b02c0
05137,35.36%, 32.12%, 67.49%, 0.39%,5100ac
05139,88.18%, 5.76%, 93.94%, 0.29%,0e00ef
05141,44.74%, 27.48%, 72.22%, 0.30%,4600b8
05143,36.15%, 31.73%, 67.87%, 0.40%,5001ad
05145,64.63%, 17.57%, 82.20%, 0.23%,2c00d1
05147,70.16%, 14.55%, 84.70%, 0.75%,2501d7
05149,76.44%, 11.78%, 88.22%,-,1e00e0
