2,District 38,60.2,4101,33.2,2259,6.7,454
2,District 39,55.6,3645,39.1,2566,5.3,349
2,District 40,64.2,2717,31.8,1347,4.0,171
4,Apache,66.2,17147,31.8,8250,2.0,520
4,Cochise,37.7,18546,60.0,29497,2.4,1158
4,Coconino,56.3,29257,40.8,21220,2.9,1485
4,Gila,35.6,7697,62.3,13455,2.1,443
4,Graham,30.3,3609,67.8,8076,1.8,220
4,Greenlee,43.9,1310,53.3,1592,2.8,84
4,La Paz,32.8,1880,64.8,3714,2.5,141
4,Maricopa,43.6,602288,54.3,749885,2.1,28786
4,Mohave,27.8,19533,69.9,49168,2.3,1627
4,Navajo,45.2,16945,53.1,19884,1.7,636
4,Pima,52.5,201251,45.6,174779,1.9,7143
4,Pinal,40.8,44306,57.1,62079,2.1,2297
4,Santa Cruz,68.2,9486,30.4,4235,1.4,190
4,Yavapai,33.7,33918,64.0,64468,2.3,2281
4,Yuma,42.9,18059,55.5,23352,1.6,662
5,Arkansas,37.8,2455,60.0,3897,2.2,142
5,Ashley,36.1,2859,61.4,4867,2.5,195
5,Baxter,26.7,5172,70.8,13688,2.5,479
5,Benton,28.6,22636,68.9,54646,2.5,1975
5,Boone,24.5,3772,72.5,11159,3.0,460
5,Bradley,39.7,1449,58.4,2134,1.9,69
5,Calhoun,30.4,660,67.1,1458,2.6,56
5,Carroll,36.3,3696,60.1,6125,3.6,362
5,Chicot,60.7,2649,38.3,1670,1.0,42
5,Clark,45.3,3811,51.6,4343,3.0,255
5,Clay,34.0,1738,63.1,3225,2.9,147
5,Cleburne,22.5,2620,74.6,8693,2.9,334
5,Cleveland,25.9,845,70.8,2313,3.3,108
5,Columbia,37.6,3557,61.2,5790,1.1,108
5,Conway,38.9,3005,58.4,4514,2.7,211
5,Craighead,33.2,10527,64.2,20350,2.6,823
5,Crawford,23.7,4881,73.6,15145,2.7,565
5,Crittenden,56.8,9487,41.9,6998,1.4,231
5,Cross,34.1,2279,63.9,4269,2.0,133
5,Dallas,43.4,1337,54.0,1665,2.7,82
5,Desha,55.3,2443,42.9,1896,1.8,81
5,Drew,39.7,2630,58.6,3887,1.7,116
5,Faulkner,32.9,13621,64.5,26722,2.7,1117
5,Franklin,26.4,1726,70.8,4631,2.8,183
5,Fulton,32.1,1452,65.2,2949,2.7,121
5,Garland,33.9,13804,63.9,26014,2.2,910
5,Grant,22.7,1468,74.5,4829,2.8,182
5,Greene,29.1,4000,65.9,9071,5.0,690
5,Hempstead,35.7,2468,61.9,4284,2.4,169
5,Hot Spring,34.0,3830,63.0,7097,3.0,333
5,Howard,33.0,1471,64.8,2892,2.2,99
5,Independence,26.5,3281,70.4,8728,3.1,388
5,Izard,28.9,1524,67.7,3575,3.4,179
5,Jackson,39.2,2095,57.5,3072,3.4,180
5,Jefferson,63.8,17470,34.8,9520,1.4,393
5,Johnson,34.6,2799,62.5,5064,2.9,235
5,Lafayette,40.0,1173,58.5,1713,1.5,43
5,Lawrence,32.3,1788,63.8,3536,3.9,216
5,Lee,61.5,2107,37.4,1280,1.1,37
5,Lincoln,38.2,1425,59.0,2199,2.7,102
5,Little River,30.7,1552,67.0,3385,2.3,114
5,Logan,27.4,2009,69.3,5079,3.3,243
5,Lonoke,23.3,5625,74.1,17880,2.5,609
