id,margin,eisenhower,stevenson,other,hex_color
05019,27.63%, 36.13%, 63.76%, 0.11%,5c00a2
05021,3.90%, 47.75%, 51.66%, 0.59%,790183
05023,6.44%, 46.58%, 53.02%, 0.41%,760187
05025,44.62%, 27.60%, 72.22%, 0.17%,4600b8
05027,26.95%, 36.44%, 63.39%, 0.17%,5c00a1
05029,19.58%, 40.12%, 59.70%, 0.19%,660098
05031,17.41%, 41.16%, 58.57%, 0.27%,680095
05033,5.79%, 52.80%, 47.01%, 0.19%,860077
05035,22.96%, 38.34%, 61.31%, 0.35%,61009c
05037,23.13%, 38.28%, 61.41%, 0.31%,61009c
05039,49.76%, 25.03%, 74.80%, 0.17%,3f00be
05041,50.41%, 24.74%, 75.14%, 0.12%,3f00bf
05043,36.93%, 31.46%, 68.39%, 0.15%,5000ae
05045,26.80%, 36.47%, 63.27%, 0.26%,5c00a1
05047,18.34%, 40.74%, 59.09%, 0.17%,670096
05049,8.15%, 45.92%, 54.08%,-,750089
05051,20.54%, 60.07%, 39.53%, 0.40%,990164
05053,39.81%, 29.84%, 69.65%, 0.52%,4c01b1
05055,31.07%, 34.35%, 65.43%, 0.22%,5700a6
05057,13.42%, 43.28%, 56.70%, 0.02%,6e0090
05059,30.61%, 34.55%, 65.17%, 0.28%,5800a6
05061,22.43%, 38.64%, 61.07%, 0.29%,62009b
05063,0.28%, 49.95%, 49.67%, 0.38%,7f007e
05065,26.59%, 36.68%, 63.27%, 0.06%,5d00a1
05067,48.76%, 25.62%, 74.38%,-,4100bd
05069,16.66%, 41.57%, 58.24%, 0.19%,6a0094
05071,7.78%, 45.90%, 53.68%, 0.42%,750188
05073,37.89%, 30.72%, 68.61%, 0.67%,4e01ae
05075,16.55%, 40.84%, 57.39%, 1.77%,680492
05077,29.08%, 35.27%, 64.36%, 0.37%,5900a4
05079,51.62%, 24.07%, 75.69%, 0.24%,3d00c1
05081,32.02%, 33.93%, 65.94%, 0.13%,5600a8
05083,9.90%, 44.85%, 54.75%, 0.41%,72018b
05085,38.22%, 30.82%, 69.04%, 0.14%,4e00b0
05087,15.20%, 57.51%, 42.31%, 0.18%,92006b
05089,13.01%, 43.06%, 56.07%, 0.87%,6d028e
05091,25.85%, 36.87%, 62.72%, 0.41%,5e019f
05093,20.59%, 39.65%, 60.24%, 0.11%,650099
05095,31.90%, 34.05%, 65.95%,-,5600a8
05097,0.49%, 50.25%, 49.75%,-,80007e
05099,31.02%, 34.41%, 65.43%, 0.17%,5700a6
05101,21.88%, 60.89%, 39.01%, 0.11%,9b0063
05103,46.28%, 26.68%, 72.96%, 0.36%,4400ba
05105,22.90%, 38.32%, 61.22%, 0.46%,61019c
05107,18.12%, 40.88%, 59.01%, 0.11%,680096
05109,21.72%, 38.29%, 60.01%, 1.70%,610499
05111,36.28%, 31.80%, 68.07%, 0.13%,5100ad
05113,12.00%, 55.91%, 43.90%, 0.19%,8e006f
05115,15.38%, 42.27%, 57.65%, 0.08%,6b0093
05117,31.21%, 34.28%, 65.49%, 0.24%,5700a6
05119,2.05%, 48.59%, 50.63%, 0.78%,7b0181
05121,19.64%, 40.01%, 59.65%, 0.34%,660098
05123,15.83%, 42.08%, 57.90%, 0.02%,6b0093
05125,38.87%, 30.12%, 68.99%, 0.89%,4c02af
