id,margin,dewey,roosevelt,other,hex_color
05015,10.91%, 44.55%, 55.45%,-,71008d
05017,70.21%, 14.79%, 84.99%, 0.22%,2500d8
05019,51.28%, 24.30%, 75.58%, 0.11%,3d00c0
05021,15.23%, 42.31%, 57.54%, 0.15%,6b0092
05023,17.88%, 40.50%, 58.39%, 1.11%,670294
05025,72.97%, 13.51%, 86.49%,-,2200dc
05027,68.86%, 15.49%, 84.35%, 0.16%,2700d7
05029,42.32%, 28.77%, 71.09%, 0.14%,4900b5
05031,41.55%, 29.05%, 70.60%, 0.35%,4a00b4
05033,19.60%, 39.87%, 59.47%, 0.66%,650197
05035,61.25%, 19.38%, 80.63%,-,3100cd
05037,58.30%, 20.71%, 79.01%, 0.27%,3400c9
05039,64.50%, 17.65%, 82.15%, 0.20%,2d00d1
05041,72.61%, 13.66%, 86.27%, 0.07%,2200db
05043,62.09%, 18.92%, 81.02%, 0.06%,3000ce
05045,44.30%, 27.69%, 72.00%, 0.31%,4600b7
05047,44.38%, 27.75%, 72.13%, 0.12%,4600b7
05049,11.37%, 44.23%, 55.60%, 0.17%,70008d
05051,26.94%, 36.50%, 63.43%, 0.07%,5d00a1
05053,53.02%, 23.49%, 76.51%,-,3b00c3
05055,46.76%, 26.51%, 73.26%, 0.23%,4300ba
05057,54.97%, 22.37%, 77.34%, 0.29%,3900c5
05059,31.59%, 33.98%, 65.58%, 0.44%,5601a7
05061,45.42%, 27.20%, 72.62%, 0.19%,4500b9
05063,19.70%, 40.00%, 59.70%, 0.30%,660098
05065,35.82%, 31.93%, 67.75%, 0.32%,5100ac
05067,69.69%, 15.15%, 84.85%,-,2600d8
05069,44.34%, 27.80%, 72.15%, 0.05%,4600b7
05071,37.57%, 31.03%, 68.60%, 0.37%,4f00ae
05073,73.32%, 13.34%, 86.66%,-,2200dc
05075,32.23%, 33.83%, 66.06%, 0.11%,5600a8
05077,60.39%, 19.70%, 80.09%, 0.21%,3200cc
05079,76.00%, 12.00%, 88.00%,-,1e00e0
05081,49.26%, 25.29%, 74.55%, 0.16%,4000be
05083,27.85%, 35.98%, 63.83%, 0.20%,5b00a2
05085,49.48%, 25.23%, 74.70%, 0.07%,4000be
05087,8.50%, 54.25%, 45.75%,-,8a0074
05089,33.75%, 32.65%, 66.40%, 0.95%,5302a9
05091,49.36%, 25.24%, 74.60%, 0.16%,4000be
05093,50.54%, 24.68%, 75.22%, 0.10%,3e00bf
05095,63.51%, 18.12%, 81.63%, 0.25%,2e00d0
05097,24.24%, 37.77%, 62.01%, 0.22%,60009e
05099,52.96%, 23.43%, 76.40%, 0.17%,3b00c2
05101,13.58%, 56.61%, 43.03%, 0.36%,90006d
05103,73.90%, 13.04%, 86.93%, 0.03%,2100dd
05105,42.71%, 28.64%, 71.36%,-,4900b5
05107,60.64%, 19.66%, 80.30%, 0.04%,3200cc
05109,36.53%, 31.35%, 67.88%, 0.77%,4f01ad
05111,77.89%, 11.04%, 88.93%, 0.04%,1c00e2
05113,13.25%, 43.09%, 56.35%, 0.56%,6d018f
