id,margin,eisenhower,stevenson,other,hex_color
5029,22.94%,38.22%,61.15%,0.63%,61019b
5031,18.30%,40.11%,58.41%,1.48%,660394
5033,6.28%,52.88%,46.60%,0.52%,860176
5035,7.31%,50.81%,43.51%,5.68%,810e6e
5037,28.94%,34.42%,63.36%,2.22%,5705a1
5039,26.86%,35.63%,62.49%,1.88%,5a049f
5041,41.30%,28.73%,70.03%,1.24%,4903b2
5043,27.02%,35.28%,62.30%,2.42%,59069e
5045,17.56%,40.94%,58.50%,0.56%,680195
5047,17.21%,41.03%,58.25%,0.72%,680194
5049,8.98%,45.12%,54.09%,0.79%,730289
5051,26.47%,62.53%,36.06%,1.41%,9f035b
5053,21.22%,38.24%,59.47%,2.29%,610597
5055,28.87%,35.22%,64.09%,0.69%,5901a3
5057,9.35%,44.57%,53.91%,1.52%,710389
5059,9.26%,44.96%,54.21%,0.83%,72028a
5061,3.55%,47.72%,51.27%,1.01%,790282
5063,0.36%,49.82%,49.46%,0.72%,7f017e
5065,40.15%,29.78%,69.93%,0.29%,4b00b2
5067,46.95%,26.14%,73.09%,0.77%,4201ba
5069,5.44%,45.73%,51.17%,3.10%,740782
5071,5.45%,46.84%,52.30%,0.86%,770285
5073,22.46%,36.67%,59.12%,4.21%,5d0a96
5075,18.21%,40.12%,58.33%,1.55%,660394
5077,26.47%,34.61%,61.09%,4.30%,580a9b
5079,35.30%,31.89%,67.19%,0.92%,5102ab
5081,21.84%,37.67%,59.51%,2.82%,600797
5083,5.12%,47.17%,52.29%,0.54%,780185
5085,24.40%,36.21%,60.61%,3.18%,5c089a
5087,7.19%,53.54%,46.35%,0.11%,880076
5089,10.61%,44.59%,55.20%,0.21%,71008c
5091,10.96%,43.13%,54.09%,2.78%,6d0789
5093,19.71%,38.97%,58.68%,2.35%,630595
5095,13.71%,41.72%,55.43%,2.85%,6a078d
5097,6.51%,52.76%,46.25%,0.99%,860275
5099,28.27%,35.30%,63.57%,1.13%,5a02a2
5101,28.02%,63.95%,35.92%,0.13%,a3005b
5103,29.14%,34.68%,63.82%,1.50%,5803a2
5105,11.27%,43.87%,55.14%,0.99%,6f028c
