id,margin,hughes,wilson,other,other2,hex_color
04023,4.16%, 46.19%, 50.35%,3.46%, 2.91%,750880
04025,23.62%, 34.44%, 58.06%,7.5%, 6.64%,571394
04027,26.56%, 32.46%, 59.02%,8.530000000000001%, 7.90%,521596
05001,29.21%, 35.39%, 64.61%,0.0%,-,5a00a4
05003,53.28%, 23.36%, 76.64%,0.0%,-,3b00c3
05005,48.38%, 25.81%, 74.19%,0.0%,-,4100bd
05007,41.21%, 29.39%, 70.61%,0.0%,-,4a00b4
05009,40.53%, 29.74%, 70.26%,0.0%,-,4b00b3
05011,57.37%, 21.32%, 78.68%,0.0%,-,3600c8
05013,54.47%, 22.76%, 77.24%,0.0%,-,3a00c4
05015,18.77%, 40.61%, 59.39%,0.0%,-,670097
05017,9.20%, 45.40%, 54.60%,0.0%,-,73008b
05019,48.89%, 25.56%, 74.44%,0.0%,-,4100bd
05021,33.42%, 33.29%, 66.71%,0.0%,-,5400aa
05023,52.29%, 23.86%, 76.14%,0.0%,-,3c00c2
05025,66.13%, 16.94%, 83.06%,0.0%,-,2b00d3
05027,48.41%, 25.80%, 74.20%,0.0%,-,4100bd
05029,15.17%, 42.42%, 57.58%,0.0%,-,6c0092
05031,56.56%, 21.72%, 78.28%,0.0%,-,3700c7
05033,15.16%, 42.42%, 57.58%,0.0%,-,6c0092
05035,72.17%, 13.91%, 86.09%,0.0%,-,2300db
05037,57.25%, 21.37%, 78.63%,0.0%,-,3600c8
05039,37.15%, 31.43%, 68.57%,0.0%,-,5000ae
05041,44.47%, 27.77%, 72.23%,0.0%,-,4600b8
05043,32.01%, 34.00%, 66.00%,0.0%,-,5600a8
05045,42.63%, 28.69%, 71.31%,0.0%,-,4900b5
05047,48.52%, 25.74%, 74.26%,0.0%,-,4100bd
05049,47.31%, 26.34%, 73.66%,0.0%,-,4300bb
05051,22.71%, 38.65%, 61.35%,0.0%,-,62009c
05053,66.87%, 16.56%, 83.44%,0.0%,-,2a00d4
05055,62.27%, 18.87%, 81.13%,0.0%,-,3000ce
05057,25.89%, 37.05%, 62.95%,0.0%,-,5e00a0
05059,37.80%, 31.10%, 68.90%,0.0%,-,4f00af
05061,41.46%, 29.27%, 70.73%,0.0%,-,4a00b4
05063,44.56%, 27.72%, 72.28%,0.0%,-,4600b8
05065,63.27%, 18.36%, 81.64%,0.0%,-,2e00d0
05067,47.89%, 26.05%, 73.95%,0.0%,-,4200bc
05069,40.37%, 29.81%, 70.19%,0.0%,-,4c00b2
05071,44.29%, 27.85%, 72.15%,0.0%,-,4700b7
05073,41.88%, 29.06%, 70.94%,0.0%,-,4a00b4
05075,70.26%, 14.87%, 85.13%,0.0%,-,2500d9
05077,41.22%, 29.39%, 70.61%,0.0%,-,4a00b4
05079,30.16%, 34.92%, 65.08%,0.0%,-,5900a5
05081,39.64%, 30.18%, 69.82%,0.0%,-,4c00b2
05083,26.09%, 36.96%, 63.04%,0.0%,-,5e00a0
05085,61.78%, 19.11%, 80.89%,0.0%,-,3000ce
05087,4.45%, 47.78%, 52.22%,0.0%,-,790085
05089,48.06%, 25.97%, 74.03%,0.0%,-,4200bc
05091,55.82%, 22.09%, 77.91%,0.0%,-,3800c6
05093,49.94%, 25.03%, 74.97%,0.0%,-,3f00bf
05095,18.65%, 40.67%, 59.33%,0.0%,-,670097
05097,36.98%, 31.51%, 68.49%,0.0%,-,5000ae
05099,35.37%, 32.32%, 67.68%,0.0%,-,5200ac
05101,10.20%, 55.10%, 44.90%,0.0%,-,8c0072
05103,18.32%, 40.84%, 59.16%,0.0%,-,680096
05105,37.91%, 31.05%, 68.95%,0.0%,-,4f00af
05107,45.29%, 27.35%, 72.65%,0.0%,-,4500b9
05109,32.14%, 33.93%, 66.07%,0.0%,-,5600a8
05111,39.35%, 30.33%, 69.67%,0.0%,-,4d00b1
05113,46.98%, 26.51%, 73.49%,0.0%,-,4300bb
05115,46.57%, 26.71%, 73.29%,0.0%,-,4400ba
05117,23.66%, 38.17%, 61.83%,0.0%,-,61009d
05119,39.70%, 30.15%, 69.85%,0.0%,-,4c00b2
05121,54.45%, 22.77%, 77.23%,0.0%,-,3a00c4
05123,41.70%, 29.15%, 70.85%,0.0%,-,4a00b4
05125,74.30%, 12.85%, 87.15%,0.0%,-,2000de
05127,45.41%, 27.30%, 72.70%,0.0%,-,4500b9
05129,18.73%, 59.37%, 40.63%,0.0%,-,970067
05131,46.27%, 26.86%, 73.14%,0.0%,-,4400ba
05133,67.66%, 16.17%, 83.83%,0.0%,-,2900d5
05135,58.95%, 20.52%, 79.48%,0.0%,-,3400ca
05137,39.18%, 30.41%, 69.59%,0.0%,-,4d00b1
05139,72.20%, 13.90%, 86.10%,0.0%,-,2300db
05141,26.25%, 36.87%, 63.13%,0.0%,-,5e00a0
05143,28.52%, 35.74%, 64.26%,0.0%,-,5b00a3
05145,61.50%, 19.25%, 80.75%,0.0%,-,3100cd
05147,36.20%, 31.90%, 68.10%,0.0%,-,5100ad
05149,45.76%, 27.12%, 72.88%,0.0%,-,4500b9
06001,7.51%, 50.34%, 42.84%,6.819999999999999%, 5.31%,80116d
06003,44.58%, 72.29%, 27.71%,0.0%,-,b80046
06005,17.75%, 38.53%, 56.28%,5.1899999999999995%, 3.98%,620d8f
06007,9.64%, 40.91%, 50.55%,4.51%, 4.51%,680b80
06009,12.15%, 40.91%, 53.06%,6.0200000000000005%, 4.70%,680f87
06011,31.07%, 31.82%, 62.89%,5.29%, 3.87%,510da0
06013,2.77%, 44.05%, 46.82%,6.81%, 6.81%,701177
06015,2.46%, 43.81%, 41.35%,12.64%, 12.64%,6f2069
06017,22.58%, 35.10%, 57.67%,7.23%, 6.15%,591293
06019,8.89%, 41.07%, 49.95%,5.78%, 5.78%,680e7f
06021,13.64%, 40.23%, 53.87%,3.09%, 3.03%,660789
06023,14.88%, 51.14%, 36.27%,9.4%, 9.40%,82175c
06025,8.69%, 40.46%, 49.15%,5.45%, 5.45%,670d7d
06027,5.95%, 41.96%, 47.92%,7.54%, 7.54%,6a137a
06029,24.75%, 35.11%, 59.86%,5.03%, 3.46%,590c98
06031,12.21%, 39.65%, 51.86%,4.57%, 4.57%,650b84
06033,16.70%, 35.42%, 52.13%,8.15%, 8.15%,5a1484
06035,18.79%, 36.96%, 55.75%,7.29%, 6.03%,5e128e
06037,8.02%, 50.59%, 42.58%,3.07%, 3.01%,81076c
06039,16.00%, 38.01%, 54.01%,5.43%, 5.26%,600d89
06041,6.23%, 50.05%, 43.82%,6.130000000000001%, 4.90%,7f0f6f
06043,25.49%, 32.75%, 58.24%,6.9%, 6.90%,531194
06045,1.65%, 46.79%, 45.14%,6.07%, 6.07%,770f73
06047,9.64%, 40.72%, 50.36%,5.44%, 5.44%,670d80
06049,21.64%, 36.61%, 58.25%,5.15%, 3.77%,5d0d94
06051,6.44%, 42.02%, 48.47%,9.51%, 7.98%,6b187b
06053,3.47%, 44.81%, 48.28%,4.53%, 4.53%,720b7b
06055,11.07%, 52.46%, 41.39%,4.07%, 4.07%,850a69
06057,21.36%, 35.22%, 56.58%,8.2%, 6.20%,591490
06059,22.06%, 56.59%, 34.54%,3.43%, 3.43%,900858
06061,24.54%, 33.74%, 58.28%,5.42%, 5.42%,560d94
06063,19.96%, 36.55%, 56.50%,6.94%, 5.62%,5d1190
06065,21.20%, 54.64%, 33.44%,5.79%, 5.79%,8b0e55
06067,14.44%, 40.19%, 54.63%,3.13%, 3.13%,66078b
06069,7.61%, 44.19%, 51.80%,4.02%, 2.79%,700a84
06071,10.76%, 50.68%, 39.92%,3.42%, 3.42%,810865
06073,0.45%, 46.47%, 46.02%,4.41%, 4.41%,760b75
06075,10.15%, 42.30%, 52.45%,5.26%, 4.31%,6b0d85
06077,17.39%, 38.05%, 55.44%,3.82%, 3.82%,61098d
06079,9.65%, 40.20%, 49.85%,7.71%, 7.71%,66137f
06081,6.93%, 50.01%, 43.08%,6.91%, 5.19%,7f116d
06083,7.12%, 42.54%, 49.65%,4.5%, 4.49%,6c0b7e
06085,7.37%, 50.77%, 43.40%,3.11%, 3.08%,81076e
06087,3.00%, 44.76%, 47.76%,4.05%, 4.05%,720a79
06089,15.19%, 37.20%, 52.39%,8.32%, 8.32%,5e1585
06091,22.99%, 35.36%, 58.35%,6.28%, 5.40%,5a1094
06093,23.01%, 34.13%, 57.15%,8.72%, 6.91%,571691
06095,22.02%, 36.35%, 58.37%,5.28%, 3.31%,5c0d94
06097,7.02%, 50.37%, 43.35%,6.289999999999999%, 4.77%,80106e
06099,9.32%, 37.66%, 46.98%,6.24%, 6.24%,600f77
06101,11.52%, 42.00%, 53.52%,4.47%, 2.77%,6b0b88
06103,16.60%, 36.32%, 52.92%,6.98%, 6.98%,5c1186
06105,19.65%, 35.16%, 54.81%,10.03%, 8.62%,59198b
06107,2.92%, 43.96%, 46.87%,5.75%, 5.75%,700e77
06109,18.04%, 36.17%, 54.21%,9.62%, 8.11%,5c188a
06111,15.87%, 55.18%, 39.30%,5.51%, 3.60%,8c0e64
06113,10.69%, 42.43%, 53.12%,4.46%, 3.04%,6c0b87
06115,12.38%, 42.10%, 54.49%,3.41%, 2.56%,6b088a
08001,27.81%, 33.93%, 61.74%,4.34%, 3.64%,560b9d
08003,43.94%, 26.15%, 70.10%,3.75%, 3.43%,4209b2
08005,28.41%, 33.91%, 62.33%,3.76%, 3.03%,56099e
08007,26.94%, 35.70%, 62.64%,1.66%,-,5b049f
08009,19.85%, 35.03%, 54.88%,10.09%, 8.82%,59198b
08011,26.73%, 34.80%, 61.53%,3.6799999999999997%, 2.30%,58099c
08013,28.44%, 33.02%, 61.46%,5.51%, 3.99%,540e9c
08014,0%,-,-,0.0%,-,000000
08015,47.88%, 24.59%, 72.47%,2.93%, 2.22%,3e07b8
08017,16.78%, 38.38%, 55.16%,6.47%, 5.64%,61108c
08019,45.30%, 26.35%, 71.65%,2.0%,-,4305b6
08021,29.69%, 34.74%, 64.43%,0.82%,-,5802a4
08023,26.87%, 34.65%, 61.52%,3.83%,-,58099c
08025,14.95%, 40.47%, 55.42%,4.109999999999999%, 2.44%,670a8d
08027,12.94%, 41.38%, 54.31%,4.31%, 3.59%,690a8a
08029,25.23%, 33.75%, 58.97%,7.28%, 5.90%,561296
08031,28.96%, 33.84%, 62.81%,3.36%, 2.67%,5608a0
08033,62.69%, 14.07%, 76.76%,9.17%, 9.17%,2317c3
08035,14.33%, 42.18%, 56.51%,1.31%,-,6b0390
08037,46.89%, 25.19%, 72.08%,2.7199999999999998%, 2.28%,4006b7
08039,12.14%, 41.37%, 53.50%,5.13%, 3.91%,690d88
08041,7.43%, 43.55%, 50.99%,5.46%, 3.36%,6f0d82
08043,19.08%, 37.84%, 56.92%,5.24%, 4.07%,600d91
08045,35.12%, 29.86%, 64.98%,5.16%, 4.22%,4c0da5
08047,29.89%, 34.17%, 64.06%,1.76%,-,5704a3
08049,24.19%, 37.17%, 61.36%,1.47%,-,5e039c
08051,35.54%, 29.65%, 65.19%,5.15%, 4.63%,4b0da6
08053,27.81%, 31.13%, 58.94%,9.93%, 9.60%,4f1996
08055,12.80%, 42.88%, 55.68%,1.44%,-,6d038d
08057,35.01%, 31.59%, 66.60%,1.81%,-,5004a9
08059,23.82%, 36.60%, 60.42%,2.97%, 2.49%,5d079a
08061,11.66%, 39.57%, 51.23%,9.2%, 7.72%,641782
08063,19.47%, 37.06%, 56.53%,6.41%, 5.29%,5e1090
08065,43.05%, 25.46%, 68.51%,1.15%,-,4002ae
08067,41.07%, 27.07%, 68.14%,4.79%, 4.16%,450cad
08069,25.31%, 34.18%, 59.49%,6.33%, 5.10%,571097
08071,19.77%, 38.81%, 58.58%,2.61%,-,620695
08073,19.19%, 37.81%, 57.00%,5.2%, 3.99%,600d91
08075,29.63%, 33.51%, 63.14%,3.35%, 2.62%,5508a1
08077,29.36%, 30.06%, 59.42%,7.4%, 7.36%,4c1297
08079,30.89%, 29.16%, 60.04%,10.799999999999999%, 10.37%,4a1b99
08081,17.69%, 39.72%, 57.41%,2.87%, 2.40%,650792
08083,52.49%, 21.60%, 74.09%,4.32%, 3.86%,370bbc
08085,30.06%, 31.47%, 61.52%,7.01%, 6.03%,50119c
08087,20.46%, 37.99%, 58.46%,3.5500000000000003%, 2.74%,600995
08089,18.56%, 38.68%, 57.24%,4.09%, 2.41%,620a91
08091,39.55%, 28.08%, 67.63%,4.29%, 3.94%,470aac
08093,27.99%, 34.48%, 62.47%,3.05%, 2.59%,57079f
08095,18.87%, 38.16%, 57.03%,4.81%, 4.02%,610c91
08097,50.82%, 20.50%, 71.32%,8.18%, 7.79%,3414b5
08099,11.66%, 40.48%, 52.14%,7.390000000000001%, 5.87%,671284
08101,22.96%, 36.08%, 59.04%,4.88%, 4.03%,5c0c96
08103,19.73%, 39.46%, 59.19%,1.35%,-,640396
08105,32.02%, 32.61%, 64.63%,2.76%,-,5307a4
08107,38.04%, 28.76%, 66.80%,4.4399999999999995%, 3.86%,490baa
08109,28.79%, 34.22%, 63.02%,2.7600000000000002%, 2.31%,5707a0
08111,48.38%, 21.62%, 70.00%,8.379999999999999%, 7.47%,3715b2
08113,37.65%, 29.13%, 66.78%,4.08%, 3.58%,4a0aaa
08115,0.89%, 46.86%, 45.97%,7.17%, 5.93%,771275
08117,44.02%, 26.27%, 70.29%,3.44%, 2.75%,4208b3
08119,33.36%, 31.00%, 64.37%,4.630000000000001%, 4.23%,4f0ba4
