id,margin,bush,gore,trash,trash2,other
05013,5.08%, 51.62%, 46.54%,-,-, 1.83%
05015,20.45%, 57.94%, 37.49%,-, 3.14%, 1.44%
05017,28.21%, 35.13%, 63.34%,-,-, 1.53%
05019,10.26%, 43.77%, 54.03%,-,-, 2.19%
05021,21.58%, 38.20%, 59.78%,-,-, 2.02%
05023,15.77%, 56.14%, 40.36%,-,-, 3.50%
05025,8.30%, 52.75%, 44.45%,-,-, 2.80%
05027,10.91%, 53.92%, 43.01%,-,-, 3.07%
05029,0.68%, 49.00%, 48.33%,-,-, 2.67%
05031,0.87%, 48.33%, 49.20%,-,-, 2.48%
05033,25.62%, 61.30%, 35.68%,-,-, 3.02%
05035,10.33%, 44.26%, 54.59%,-,-, 1.16%
05037,1.01%, 48.80%, 49.81%,-,-, 1.38%
05039,4.18%, 47.25%, 51.43%,-,-, 1.32%
05041,26.10%, 35.66%, 61.76%,-,-, 2.58%
05043,5.13%, 46.54%, 51.67%,-,-, 1.79%
05045,14.05%, 54.95%, 40.90%,-,-, 4.14%
05047,9.82%, 53.37%, 43.55%,-,-, 3.08%
05049,1.46%, 49.56%, 48.10%,-,-, 2.34%
05051,9.07%, 53.15%, 44.08%,-,-, 2.77%
05053,12.47%, 54.63%, 42.16%,-,-, 3.21%
05055,3.91%, 46.71%, 50.62%,-,-, 2.68%
05057,9.33%, 44.68%, 54.01%,-,-, 1.30%
05059,4.42%, 45.92%, 50.33%,-,-, 3.75%
05061,5.90%, 52.16%, 46.27%,-,-, 1.57%
05063,8.62%, 53.00%, 44.39%,-,-, 2.61%
05065,5.68%, 45.73%, 51.41%,-,-, 2.86%
05067,22.58%, 37.55%, 60.13%,-,-, 2.32%
05069,32.91%, 32.22%, 65.13%,-,-, 2.65%
05071,5.40%, 51.07%, 45.66%,-,-, 3.27%
05073,7.92%, 45.46%, 53.38%,-,-, 1.15%
05075,10.41%, 43.48%, 53.89%,-,-, 2.63%
05077,33.39%, 32.78%, 66.17%,-,-, 1.04%
05079,12.15%, 43.03%, 55.19%,-,-, 1.78%
05081,11.40%, 43.38%, 54.78%,-,-, 1.84%
05083,14.87%, 55.42%, 40.55%,-,-, 4.03%
05085,20.93%, 59.11%, 38.18%,-,-, 2.71%
05087,23.67%, 60.18%, 36.51%,-,-, 3.30%
05089,19.43%, 56.56%, 37.12%,-, 3.66%, 2.66%
05091,7.26%, 52.94%, 45.67%,-,-, 1.39%
05093,15.16%, 41.31%, 56.47%,-,-, 2.22%
05095,17.64%, 40.36%, 58.00%,-,-, 1.64%
05097,18.45%, 56.91%, 38.46%,-, 2.70%, 1.93%
05099,1.90%, 48.05%, 49.95%,-,-, 2.01%
05101,33.72%, 64.40%, 30.69%,-, 2.85%, 2.06%
05103,6.97%, 45.59%, 52.56%,-,-, 1.85%
05105,11.63%, 52.76%, 41.13%,-,-, 6.11%
05107,30.75%, 33.87%, 64.62%,-,-, 1.51%
05109,16.90%, 57.29%, 40.39%,-,-, 2.32%
05111,15.40%, 41.30%, 56.70%,-,-, 2.00%
05113,31.77%, 63.95%, 32.18%,-,-, 3.86%
05115,24.83%, 61.04%, 36.20%,-,-, 2.76%
05117,8.53%, 53.09%, 44.57%,-,-, 2.34%
05119,9.79%, 43.94%, 53.73%,-,-, 2.33%
05121,5.89%, 45.48%, 51.37%,-,-, 3.15%
05123,18.50%, 40.18%, 58.69%,-,-, 1.13%
05125,18.27%, 57.48%, 39.21%,-,-, 3.32%
05127,23.99%, 60.26%, 36.27%,-,-, 3.47%
05129,34.03%, 64.32%, 30.29%,-, 2.05%, 3.35%
05131,19.74%, 58.48%, 38.73%,-,-, 2.79%
05133,0.37%, 49.17%, 48.80%,-,-, 2.03%
05135,6.48%, 51.89%, 45.41%,-,-, 2.69%
05137,11.93%, 53.97%, 42.04%,-, 2.02%, 1.98%
05139,15.29%, 55.40%, 40.11%,-,-, 4.49%
05141,4.05%, 49.90%, 45.85%,-, 2.19%, 2.06%
05143,13.23%, 54.86%, 41.64%,-, 2.35%, 1.16%
05145,21.80%, 59.46%, 37.66%,-,-, 2.88%
05147,30.22%, 33.87%, 64.09%,-,-, 2.04%
05149,2.48%, 49.75%, 47.26%,-,-, 2.99%
06001,45.23%, 24.13%, 69.36%,-, 5.56%, 0.94%
06003,2.73%, 47.95%, 45.22%,-, 4.27%, 2.56%
06005,18.49%, 56.69%, 38.19%,-, 3.78%, 1.35%
06007,17.02%, 54.45%, 37.43%,-, 6.84%, 1.28%
06009,18.57%, 56.15%, 37.58%,-, 4.57%, 1.70%
06011,33.70%, 64.92%, 31.22%,-, 2.70%, 1.16%
06013,21.75%, 37.06%, 58.81%,-, 3.43%, 0.71%
06015,16.99%, 54.57%, 37.58%,-, 5.85%, 2.00%
06017,21.94%, 58.29%, 36.35%,-, 4.18%, 1.19%
06019,10.09%, 53.14%, 43.05%,-, 2.96%, 0.86%
06021,37.85%, 66.53%, 28.68%,-, 3.08%, 1.72%
06023,2.92%, 41.48%, 44.40%,-, 12.68%, 1.43%
