id,margin,willkie,roosevelt,other,hex_color
05017,81.54%, 9.17%, 90.71%, 0.11%,1700e7
05019,72.93%, 13.36%, 86.29%, 0.34%,2200dc
05021,23.28%, 37.03%, 60.31%,-,5e0099
05023,37.77%, 30.71%, 68.47%, 0.82%,4e02ae
05025,88.84%, 5.53%, 94.37%, 0.10%,0e00f0
05027,87.57%, 6.15%, 93.72%, 0.12%,0f00ee
05029,76.71%, 11.62%, 88.33%, 0.04%,1d00e1
05031,55.49%, 21.94%, 77.43%, 0.63%,3701c5
05033,38.40%, 29.81%, 68.21%, 1.98%,4c05ad
05035,92.84%, 3.53%, 96.37%, 0.10%,0900f5
05037,71.79%, 14.00%, 85.80%, 0.20%,2300da
05039,80.23%, 8.04%, 88.28%,-,1400e1
05041,80.21%, 9.57%, 89.78%, 0.66%,1801e4
05043,77.90%, 10.06%, 87.95%, 1.99%,1905e0
05045,65.75%, 16.93%, 82.68%, 0.39%,2b00d2
05047,66.70%, 16.60%, 83.30%, 0.10%,2a00d4
05049,42.69%, 28.15%, 70.84%, 1.01%,4702b4
05051,40.05%, 29.84%, 69.89%, 0.27%,4c00b2
05053,73.40%, 13.30%, 86.70%,-,2100dd
05055,62.52%, 18.65%, 81.17%, 0.18%,2f00ce
05057,74.30%, 12.85%, 87.15%,-,2000de
05059,56.29%, 21.74%, 78.03%, 0.23%,3700c6
05061,56.82%, 21.24%, 78.05%, 0.71%,3601c7
05063,41.86%, 28.82%, 70.68%, 0.50%,4901b4
05065,48.53%, 25.67%, 74.19%, 0.14%,4100bd
05067,70.05%, 14.54%, 84.59%, 0.88%,2502d7
05069,73.20%, 13.25%, 86.45%, 0.29%,2100dc
05071,63.27%, 18.11%, 81.38%, 0.51%,2e01cf
05073,77.67%, 10.35%, 88.02%, 1.63%,1a04e0
05075,48.57%, 25.36%, 73.93%, 0.71%,4001bc
05077,81.77%, 8.99%, 90.76%, 0.25%,1600e7
05079,79.71%, 9.66%, 89.37%, 0.98%,1802e3
05081,59.48%, 19.83%, 79.31%, 0.86%,3202ca
05083,45.33%, 27.34%, 72.66%,-,4500b9
05085,70.83%, 14.52%, 85.35%, 0.13%,2500d9
05087,2.07%, 48.91%, 50.97%, 0.12%,7c0081
05089,45.30%, 26.64%, 71.94%, 1.42%,4303b7
05091,68.24%, 15.64%, 83.88%, 0.47%,2701d5
05093,78.78%, 10.46%, 89.24%, 0.31%,1a00e3
05095,84.11%, 7.88%, 92.00%, 0.12%,1400ea
05097,43.19%, 28.23%, 71.42%, 0.35%,4700b6
05099,72.09%, 13.74%, 85.83%, 0.43%,2301da
05101,7.26%, 53.17%, 45.91%, 0.92%,870275
05103,82.31%, 8.77%, 91.08%, 0.15%,1600e8
05105,58.28%, 20.81%, 79.09%, 0.10%,3500c9
05107,80.24%, 9.88%, 90.12%,-,1900e5
05109,39.03%, 30.09%, 69.13%, 0.78%,4c01b0
05111,72.00%, 13.91%, 85.90%, 0.19%,2300db
05113,36.06%, 31.49%, 67.55%, 0.97%,5002ac
05115,65.67%, 16.88%, 82.55%, 0.57%,2b01d2
05117,52.06%, 23.86%, 75.92%, 0.21%,3c00c1
05119,65.37%, 17.15%, 82.52%, 0.33%,2b00d2
05121,55.67%, 21.75%, 77.42%, 0.83%,3702c5
05123,78.09%, 10.14%, 88.23%, 1.64%,1904e0
05125,75.03%, 12.17%, 87.21%, 0.62%,1f01de
05127,47.23%, 26.09%, 73.32%, 0.59%,4201ba
05129,13.61%, 56.72%, 43.11%, 0.18%,90006d
05131,45.28%, 27.16%, 72.44%, 0.40%,4501b8
05133,64.54%, 17.49%, 82.03%, 0.48%,2c01d1
05135,43.33%, 28.17%, 71.50%, 0.33%,4700b6
05137,22.52%, 38.41%, 60.93%, 0.66%,61019b
05139,81.44%, 9.15%, 90.59%, 0.26%,1700e7
05141,45.31%, 27.35%, 72.65%,-,4500b9
05143,22.19%, 38.29%, 60.48%, 1.22%,61039a
05145,58.16%, 20.64%, 78.80%, 0.57%,3401c8
05147,73.40%, 13.03%, 86.43%, 0.54%,2101dc
05149,81.56%, 9.08%, 90.64%, 0.28%,1700e7
06001,11.64%, 43.56%, 55.21%, 1.23%,6f038c
06003,33.51%, 66.49%, 32.98%, 0.53%,a90154
06005,33.29%, 32.85%, 66.14%, 1.01%,5302a8
06007,17.70%, 40.46%, 58.15%, 1.39%,670394
06009,18.52%, 40.39%, 58.90%, 0.71%,660196
06011,19.74%, 39.74%, 59.48%, 0.78%,650197
06013,24.53%, 37.22%, 61.75%, 1.03%,5e029d
06015,8.64%, 53.56%, 44.92%, 1.52%,880372
06017,34.07%, 32.37%, 66.44%, 1.19%,5203a9
06019,39.27%, 29.79%, 69.07%, 1.14%,4b02b0
06021,11.05%, 43.92%, 54.96%, 1.12%,6f028c
06023,12.98%, 43.00%, 55.98%, 1.02%,6d028e
06025,5.94%, 46.59%, 52.53%, 0.88%,760285
06027,10.12%, 44.53%, 54.65%, 0.81%,71028b
06029,24.47%, 37.30%, 61.78%, 0.92%,5f029d
06031,35.68%, 31.75%, 67.43%, 0.83%,5002ab
06033,7.66%, 53.36%, 45.70%, 0.94%,880274
06035,39.05%, 30.13%, 69.17%, 0.70%,4c01b0
06037,17.56%, 40.58%, 58.13%, 1.29%,670394
06039,36.41%, 31.20%, 67.61%, 1.19%,4f03ac
06041,1.73%, 48.47%, 50.20%, 1.33%,7b0380
06043,29.97%, 34.47%, 64.44%, 1.10%,5702a4
06045,13.60%, 42.53%, 56.13%, 1.34%,6c038f
06047,26.22%, 36.35%, 62.57%, 1.08%,5c029f
06049,23.72%, 37.77%, 61.49%, 0.74%,60019c
06051,6.43%, 46.13%, 52.56%, 1.31%,750386
06053,10.99%, 44.01%, 55.00%, 0.99%,70028c
06055,6.59%, 46.09%, 52.68%, 1.23%,750386
06057,33.33%, 32.69%, 66.01%, 1.30%,5303a8
06059,12.05%, 55.49%, 43.44%, 1.06%,8d026e
06061,36.31%, 31.26%, 67.56%, 1.18%,4f03ac
06063,45.32%, 26.79%, 72.11%, 1.10%,4402b7
06065,4.19%, 51.39%, 47.20%, 1.41%,830378
06067,37.33%, 30.76%, 68.09%, 1.15%,4e02ad
06069,0.70%, 49.29%, 49.99%, 0.72%,7d017f
06071,10.18%, 44.30%, 54.47%, 1.23%,70038a
06073,12.30%, 43.27%, 55.57%, 1.16%,6e028d
06075,20.25%, 39.26%, 59.51%, 1.23%,640397
06077,6.20%, 46.34%, 52.55%, 1.11%,760286
06079,8.13%, 45.25%, 53.39%, 1.36%,730388
06081,5.78%, 46.60%, 52.38%, 1.02%,760285
06083,9.88%, 44.53%, 54.41%, 1.05%,71028a
06085,0.43%, 49.20%, 49.63%, 1.16%,7d027e
06087,3.42%, 50.93%, 47.51%, 1.56%,810379
