id,1948,1968,1992
1001,15e900,13b532,8e1f4e
1003,38c600,1dc419,902942
1005,0ef000,0cb03c,6d1876
1007,17e700,0ecc23,761a6e
1009,4cb200,38b709,891e53
1011,00fe00,0b7e73,420eac
1013,10ee00,11c22a,691a78
1015,34ca00,1db627,7a1c62
1017,1fdf00,19bd20,6e1b73
1019,2ad400,0fd614,581b88
1021,718d00,2dbd10,8f1857
1023,00fe00,07b144,671084
1025,05f900,0eb632,77126d
1027,41bd00,23cc0c,7e1c5b
1029,4eb000,1ed30a,761e68
1031,0df100,10d219,7c215e
1033,27d700,1cb925,5b178a
1035,0bf300,08b636,63167f
1037,3ec000,16bd29,68197b
1039,0df100,10dd0f,7c225b
1041,06f800,09d121,701773
1043,53ab00,49a310,7e245b
1045,24da00,0fd516,832752
1047,0bf300,138663,600e8f
1049,6e9000,5b8b15,7c2061
1051,10ee00,11c325,8e224d
1053,19e500,10c823,76205f
1055,35c900,23af25,68197b
1057,5ba300,21bf1b,6c1e73
1059,708e00,46a510,671780
1061,22dc00,08e90b,7d225d
1063,0cf200,0b638f,2a0ac9
1065,0af400,0c8e61,541493
1067,0bf300,00cb2e,741a6e
1069,22dc00,0fd516,941d4b
1071,41bd00,1bc617,4c218f
1073,30ce00,318445,7f126b
1075,1ce200,0fe10d,781c69
1077,24da00,27b51d,671e78
1079,32cc00,13d316,4e238c
1081,20de00,2d9536,792062
1083,0ef000,15cf15,742a5f
1085,00fe00,128e60,410ead
1087,17e700,0a40b1,2008d3
1089,21dd00,409227,79285c
1091,08f600,0c9060,65147f
1093,53ab00,2dc20b,6d1a76
1095,41bd00,29c20e,742463
1097,31cd00,1dab33,811a61
1099,00fe00,0db53a,801365
1101,1ce200,249542,78166e
1103,1de100,22c015,7a2c57
1105,07f700,0e7f70,5009a2
1107,0fef00,0cb739,711576
1109,0cf200,14b82f,7b176a
1111,45b900,1fbf18,771c67
1113,0df100,0fab3d,5a168c
1115,5aa400,2ab916,921e4c
1117,53ab00,28b71a,ad1a36
1119,0bf300,10727b,410eae
1121,28d600,1ab72a,7a1967
1123,10ee00,19c31c,86195e
1125,1ee000,22a731,781e67
1127,4eb000,22bd19,611c80
1129,05f900,08cb28,66197e
1131,00fe00,0d905f,5008a5
1133,a45a00,648b0b,8c1c56
2013,000000,0,000000
2016,000000,0,000000
2020,000000,0,000000
2050,000000,0,000000
2060,000000,0,000000
2068,000000,0,000000
2070,000000,0,000000
2090,000000,0,000000
2100,000000,0,000000
2105,000000,0,000000
2110,000000,0,000000
2122,000000,0,000000
2130,000000,0,000000
2150,000000,0,000000
2164,000000,0,000000
2170,000000,0,000000
2180,000000,0,000000
2185,000000,0,000000
2188,000000,0,000000
2195,000000,0,000000
2198,000000,0,000000
2220,000000,0,000000
2230,000000,0,000000
2240,000000,0,000000
2261,000000,0,000000
2270,000000,0,000000
2275,000000,0,000000
2282,000000,0,000000
2290,000000,0,000000
4001,640099,7f1865,401b9c
4003,5e0798,742464,5d3c61
4005,780284,97174e,523871
4007,5105a7,5e207e,4f4068
4009,5b02a1,782c59,6d3059
4011,3a12b2,4512a5,5c326c
4012,5505a4,772164,524c5c
4013,760682,961750,684053
4015,6d048c,832456,554f53
4017,660395,822852,523170
4019,79067e,811267,573074
4021,60039a,6c1d74,50406b
4023,6b0390,7a1170,5f2d6e
4025,7a057e,952047,64464e
4027,5505a4,772164,69345e
5001,373f87,3c7e43,521496
5003,1426c3,2f8d41,47189c
5005,500f9f,7e3848,5b2f71
5007,710c80,7f3f40,7c245c
5009,4c0fa2,734a41,6b246c
5011,183fa6,2a874d,4e149b
5013,0c1dd5,218d50,621883
5015,69098c,823b41,652b6c
5017,1d5789,276275,3e11af
5019,2626b1,3a6261,4414a4
5021,480baa,605b42,3b14ae
5023,360dba,4f6549,5b2082
5025,143eac,20b42a,55198e
5027,125398,3b764c,601c7b
5029,2c1ab8,4d4c64,511893
5031,2537a1,526e3d,5a168a
5033,561395,606737,6c2669
5035,0eb13f,3b7053,580c90
5037,176b7b,308845,541594
5039,1638af,2e7857,5e1688
5041,1339b2,2b6e65,3a11ad
5043,165097,387d48,4e1897
5045,2c16bc,416657,5f1883
5047,2f0dc1,4a753f,5e2579
5049,4607b0,5c534e,432198
5051,512786,605747,5b1885
5053,182fb6,2b983b,5d1c83
5055,2511c7,5a5f45,48199c
5057,20538b,3e6e51,441d9c
5059,3319b2,388343,481d97
5061,1e1fc0,516943,58178d
5063,3d18a8,5a5a4a,541c8c
5065,2706d0,4f5e50,451b9c
5067,1a12d2,31814b,3f16a7
5069,243c9d,336a60,3c10af
5071,3b12b1,535457,562284
5073,146d7d,2f7955,4c2091
5075,2f10be,497342,4e1798
5077,10945a,2b636f,410fac
5079,391da8,208c51,4216a4
5081,1c4c96,397154,422794
5083,480caa,5b544e,642375
5085,202eb0,378442,641980
5087,820379,783551,6c1c74
5089,3e07b9,6c444d,523670
5091,1b459e,3f7946,5b277a
5093,1f4897,476552,4b0fa0
5095,20439b,297a5b,4f1599
5097,300ebf,596441,522782
5099,1d3da4,367355,4e1d90
5101,80037b,81324b,6a256c
5103,1936af,2f6c63,4c1998
5105,2e25aa,526646,541d8a
5107,1c8e53,2f5f6f,4510a7
5109,3012bc,557632,5f1c82
5111,1d3aa6,458336,48169e
5113,4214a8,66583f,612b6f
5115,341dad,61514b,731c6d
5117,273c9b,318f3e,4a1b98
5119,3d3a87,545257,581093
5121,240bcf,4a6152,47179e
5123,157277,2c765b,4e129d
5125,2224b8,3b7d46,641b7d
5127,2f09c5,575c4a,5e227c
5129,740684,903736,71206b
5131,541892,71513b,6c266a
5133,2523b6,50634a,512082
5135,330ebd,535f4b,582085
5137,550b9d,5e5d42,542384
5139,1f34aa,487441,641a78
5141,4c0fa3,5b544f,5a1e84
5143,671a7d,7c3b47,6c1c75
