id,margin,dewey,truman,other
5095,34.77%,12.72%,60.89%,26.39%
5097,56.23%,18.99%,75.22%,5.79%
5099,40.74%,11.40%,64.33%,24.27%
5101,1.77%,50.29%,48.51%,1.20%
5103,47.57%,9.88%,68.80%,21.32%
5105,48.58%,18.42%,67.00%,14.58%
5107,22.72%,11.33%,32.85%,55.82%
5109,54.85%,18.95%,73.80%,7.25%
5111,42.81%,11.75%,65.24%,23.01%
5113,40.33%,25.89%,66.21%,7.90%
5115,47.39%,20.56%,67.95%,11.49%
5117,38.20%,15.49%,60.79%,23.72%
5119,29.26%,23.99%,53.25%,22.76%
5121,66.92%,14.32%,81.24%,4.44%
5123,2.51%,8.26%,46.91%,44.83%
5125,58.58%,13.60%,72.18%,14.22%
5127,59.16%,18.47%,77.63%,3.90%
5129,6.06%,45.74%,51.81%,2.45%
5131,24.27%,33.09%,57.36%,9.55%
5133,57.00%,14.53%,71.53%,13.94%
5135,53.89%,20.30%,74.19%,5.51%
5137,28.24%,33.56%,61.80%,4.64%
5139,46.73%,12.46%,67.01%,20.53%
5141,34.15%,29.81%,63.96%,6.23%
5143,8.96%,40.42%,49.38%,10.20%
5145,51.03%,18.01%,69.04%,12.95%
5147,22.69%,11.32%,55.11%,33.57%
5149,60.22%,16.85%,77.08%,6.07%
6001,1.23%,46.57%,47.80%,5.63%
6003,58.70%,76.81%,18.12%,5.07%
6005,18.61%,38.84%,57.45%,3.71%
6007,3.67%,49.36%,45.68%,4.96%
6009,2.65%,46.77%,49.42%,3.81%
6011,5.56%,46.22%,51.78%,2.00%
6013,14.58%,40.45%,55.02%,4.53%
6015,12.99%,54.26%,41.27%,4.47%
6017,8.91%,43.04%,51.95%,5.01%
6019,21.29%,37.20%,58.49%,4.31%
6021,4.36%,50.99%,46.64%,2.37%
6023,1.24%,47.19%,48.43%,4.38%
6025,7.76%,52.64%,44.89%,2.47%
6027,15.57%,55.79%,40.21%,4.00%
6029,14.56%,41.60%,56.16%,2.24%
6031,22.74%,37.23%,59.97%,2.80%
6033,19.78%,57.27%,37.48%,5.25%
6035,28.96%,33.95%,62.91%,3.14%
6037,0.49%,46.51%,47.00%,6.49%
6039,20.15%,38.03%,58.18%,3.79%
6041,18.89%,57.06%,38.17%,4.77%
6043,16.01%,55.86%,39.85%,4.29%
6045,6.47%,50.53%,44.06%,5.41%
6047,12.35%,42.60%,54.95%,2.45%
6049,3.99%,46.54%,50.53%,2.93%
6051,34.25%,64.79%,30.54%,4.67%
6053,4.49%,50.59%,46.10%,3.31%
6055,9.19%,52.82%,43.64%,3.54%
6057,0.04%,47.05%,47.01%,5.94%
6059,24.52%,60.88%,36.36%,2.76%
6061,21.62%,36.87%,58.49%,4.64%
6063,29.02%,32.76%,61.78%,5.46%
6065,15.39%,55.66%,40.28%,4.06%
6067,20.60%,37.78%,58.38%,3.84%
6069,13.62%,55.64%,42.03%,2.33%
6071,0.92%,48.59%,47.68%,3.73%
6073,1.62%,49.43%,47.80%,2.77%
6075,2.16%,45.66%,47.82%,6.52%
