id,margin,bush,dukakis,paul,other
08069,12.36%, 55.34%, 42.98%,-, 1.68%
08071,30.22%, 34.15%, 64.37%,-, 1.48%
08073,21.43%, 60.29%, 38.86%,-, 0.84%
08075,13.83%, 56.24%, 42.41%,-, 1.35%
08077,20.93%, 59.62%, 38.68%,-, 1.70%
08079,10.91%, 55.08%, 44.16%,-, 0.76%
08081,24.85%, 61.01%, 36.16%,-, 2.83%
08083,30.15%, 64.23%, 34.09%,-, 1.68%
08085,22.66%, 60.16%, 37.51%,-, 2.33%
08087,12.29%, 55.24%, 42.95%,-, 1.81%
08089,4.28%, 51.39%, 47.11%,-, 1.49%
08091,29.43%, 63.89%, 34.46%,-, 1.65%
08093,16.86%, 56.87%, 40.01%, 2.50%, 0.63%
08095,17.30%, 57.81%, 40.52%,-, 1.67%
08097,9.79%, 44.28%, 54.06%,-, 1.66%
08099,14.59%, 56.34%, 41.75%,-, 1.91%
08101,23.76%, 37.73%, 61.50%,-, 0.77%
08103,38.24%, 68.41%, 30.17%,-, 1.43%
08105,25.53%, 62.01%, 36.48%,-, 1.51%
08107,5.41%, 51.65%, 46.24%,-, 2.10%
08109,4.37%, 46.94%, 51.32%,-, 1.74%
08111,4.32%, 50.36%, 46.04%, 2.40%, 1.20%
08113,8.86%, 43.39%, 52.26%, 3.86%, 0.49%
08115,20.06%, 59.61%, 39.55%,-, 0.84%
08117,5.30%, 51.44%, 46.14%, 2.04%, 0.37%
08119,38.25%, 68.36%, 30.11%,-, 1.53%
08121,27.59%, 62.87%, 35.29%,-, 1.84%
08123,12.44%, 55.42%, 42.98%,-, 1.59%
08125,15.36%, 56.93%, 41.57%,-, 1.50%
09001,19.12%, 59.04%, 39.91%,-, 1.05%
09003,7.12%, 45.95%, 53.08%,-, 0.97%
09005,13.05%, 55.97%, 42.91%,-, 1.12%
09007,1.06%, 50.01%, 48.95%,-, 1.03%
09009,3.24%, 50.90%, 47.66%,-, 1.45%
09011,3.69%, 51.22%, 47.53%,-, 1.25%
09013,2.67%, 50.80%, 48.13%,-, 1.08%
09015,3.02%, 50.88%, 47.86%,-, 1.26%
10001,20.92%, 60.17%, 39.25%,-, 0.59%
10003,7.77%, 53.52%, 45.75%,-, 0.73%
10005,24.27%, 61.97%, 37.70%,-, 0.32%
11001,68.34%, 14.30%, 82.65%,-, 3.05%
12001,1.26%, 50.08%, 48.82%,-, 1.10%
12003,43.15%, 71.49%, 28.34%,-, 0.17%
12005,46.05%, 72.51%, 26.46%,-, 1.03%
12007,27.65%, 63.61%, 35.96%,-, 0.44%
12009,41.47%, 70.30%, 28.83%,-, 0.87%
12011,0.46%, 50.00%, 49.54%,-, 0.46%
12013,28.88%, 64.01%, 35.12%,-, 0.87%
12015,28.61%, 63.98%, 35.37%,-, 0.65%
12017,26.55%, 62.95%, 36.40%,-, 0.65%
12019,53.70%, 76.67%, 22.97%,-, 0.36%
12021,50.31%, 74.87%, 24.57%,-, 0.56%
12023,30.95%, 65.13%, 34.18%,-, 0.69%
12027,31.90%, 65.64%, 33.74%,-, 0.62%
12029,19.58%, 59.79%, 40.21%,-,-
12031,26.07%, 62.79%, 36.72%,-, 0.49%
12033,36.65%, 68.05%, 31.40%,-, 0.55%
12035,20.96%, 60.32%, 39.36%,-, 0.32%
12037,19.27%, 58.52%, 39.25%,-, 2.23%
12039,3.02%, 47.64%, 50.66%,-, 1.69%
12041,23.84%, 61.59%, 37.75%,-, 0.66%
12043,19.78%, 59.66%, 39.88%,-, 0.46%
12045,27.79%, 62.44%, 34.65%, 2.38%, 0.53%
12047,21.91%, 60.72%, 38.81%,-, 0.47%
12049,35.91%, 66.96%, 31.05%,-, 1.99%
12051,31.96%, 65.70%, 33.74%,-, 0.56%
12053,15.62%, 57.50%, 41.88%,-, 0.63%
12055,34.61%, 67.05%, 32.44%,-, 0.51%
12057,20.40%, 59.89%, 39.49%,-, 0.62%
12059,43.83%, 71.61%, 27.78%,-, 0.61%
12061,40.13%, 69.71%, 29.58%,-, 0.71%
12063,25.14%, 62.20%, 37.06%,-, 0.74%
12065,6.16%, 52.89%, 46.73%,-, 0.39%
12067,33.36%, 66.41%, 33.04%,-, 0.55%
12069,37.68%, 68.40%, 30.72%,-, 0.88%
12071,36.12%, 67.71%, 31.59%,-, 0.70%
12073,3.68%, 51.39%, 47.71%,-, 0.90%
12075,20.69%, 59.75%, 39.06%,-, 1.18%
12077,32.71%, 65.27%, 32.57%,-, 2.16%
12079,13.51%, 56.59%, 43.08%,-, 0.33%
12081,31.45%, 65.53%, 34.08%,-, 0.39%
12083,33.29%, 66.38%, 33.09%,-, 0.53%
12085,45.94%, 72.60%, 26.66%,-, 0.73%
12086,11.01%, 55.26%, 44.26%,-, 0.48%
12087,21.86%, 60.32%, 38.47%,-, 1.21%
12089,33.65%, 66.59%, 32.95%,-, 0.46%
12091,60.71%, 80.04%, 19.33%,-, 0.63%
12093,22.19%, 60.79%, 38.60%,-, 0.62%
12095,36.59%, 67.86%, 31.27%,-, 0.87%
12097,36.78%, 68.05%, 31.27%,-, 0.68%
12099,11.40%, 55.47%, 44.07%,-, 0.47%
12101,11.70%, 55.59%, 43.89%,-, 0.52%
12103,16.05%, 57.76%, 41.72%,-, 0.52%
12105,33.48%, 66.45%, 32.96%,-, 0.59%
12107,15.01%, 57.24%, 42.23%,-, 0.53%
12109,40.85%, 70.14%, 29.29%,-, 0.58%
12111,29.70%, 64.54%, 34.84%,-, 0.63%
12113,56.29%, 77.85%, 21.56%,-, 0.59%
12115,33.36%, 66.40%, 33.04%,-, 0.56%
12117,45.14%, 72.20%, 27.06%,-, 0.74%
12119,20.57%, 59.98%, 39.41%,-, 0.61%
12121,29.97%, 64.27%, 34.30%,-, 1.43%
12123,39.05%, 69.06%, 30.01%,-, 0.94%
12125,40.57%, 69.99%, 29.42%,-, 0.60%
12127,14.27%, 56.56%, 42.28%,-, 1.16%
12129,32.32%, 65.72%, 33.40%,-, 0.87%
12131,39.37%, 69.30%, 29.93%,-, 0.77%
12133,33.97%, 66.64%, 32.66%,-, 0.70%
13001,23.93%, 61.74%, 37.81%,-, 0.45%
13003,11.80%, 55.60%, 43.80%,-, 0.59%
13005,28.58%, 64.13%, 35.55%,-, 0.32%
13007,5.79%, 46.66%, 52.45%,-, 0.89%
13009,18.61%, 59.05%, 40.44%,-, 0.51%
13011,23.47%, 61.58%, 38.11%,-, 0.31%
13013,31.81%, 65.64%, 33.83%,-, 0.53%
13015,24.19%, 61.63%, 37.44%,-, 0.93%
13017,3.52%, 51.17%, 47.65%,-, 1.17%
