id,margin,ford,carter,other
05059,56.24%, 21.88%, 78.12%,-
05061,34.13%, 32.94%, 67.06%,-
05063,42.39%, 28.79%, 71.17%, 0.04%
05065,40.96%, 29.52%, 70.48%,-
05067,56.72%, 21.64%, 78.36%,-
05069,44.66%, 27.67%, 72.33%,-
05071,39.78%, 30.11%, 69.89%,-
05073,22.97%, 38.51%, 61.49%,-
05075,50.26%, 24.82%, 75.08%, 0.10%
05077,37.50%, 31.24%, 68.74%, 0.02%
05079,62.66%, 18.67%, 81.33%,-
05081,37.42%, 31.29%, 68.71%,-
05083,28.98%, 35.07%, 64.06%, 0.87%
05085,50.87%, 24.49%, 75.36%, 0.16%
05087,7.81%, 46.09%, 53.91%,-
05089,18.59%, 40.70%, 59.30%,-
05091,17.35%, 41.23%, 58.58%, 0.19%
05093,26.23%, 36.80%, 63.03%, 0.17%
05095,46.84%, 26.51%, 73.35%, 0.14%
05097,44.74%, 27.63%, 72.37%,-
05099,45.40%, 27.24%, 72.64%, 0.12%
05101,6.64%, 46.68%, 53.32%,-
05103,52.94%, 23.53%, 76.47%,-
05105,47.04%, 26.48%, 73.52%,-
05107,39.87%, 30.06%, 69.93%, 0.01%
05109,39.06%, 30.35%, 69.40%, 0.25%
05111,42.95%, 28.50%, 71.45%, 0.05%
05113,17.99%, 40.76%, 58.75%, 0.49%
05115,31.47%, 34.15%, 65.62%, 0.23%
05117,55.44%, 22.28%, 77.72%,-
05119,25.48%, 37.14%, 62.62%, 0.24%
05121,48.68%, 25.66%, 74.34%,-
05123,30.53%, 34.59%, 65.12%, 0.29%
05125,48.86%, 25.55%, 74.41%, 0.04%
05127,33.70%, 33.09%, 66.79%, 0.12%
05129,8.18%, 45.91%, 54.09%,-
05131,5.69%, 52.79%, 47.11%, 0.10%
05133,39.43%, 30.10%, 69.53%, 0.37%
05135,24.30%, 37.85%, 62.15%,-
05137,45.48%, 27.06%, 72.54%, 0.40%
05139,2.09%, 48.93%, 51.03%, 0.04%
05141,42.29%, 28.86%, 71.14%,-
05143,4.95%, 47.37%, 52.32%, 0.31%
05145,41.17%, 29.42%, 70.58%,-
05147,56.31%, 21.78%, 78.09%, 0.13%
05149,49.93%, 25.04%, 74.96%,-
06001,19.80%, 38.09%, 57.89%, 4.03%
06003,8.05%, 50.34%, 42.28%, 4.47%
06005,4.22%, 46.13%, 50.35%, 3.52%
06007,7.65%, 51.77%, 44.12%, 4.10%
06009,1.17%, 49.08%, 47.91%, 3.00%
06011,7.58%, 52.74%, 45.16%, 2.10%
06013,1.11%, 49.35%, 48.24%, 2.41%
06015,5.62%, 45.29%, 50.91%, 3.80%
06017,1.11%, 47.69%, 48.80%, 3.51%
06019,1.61%, 48.10%, 49.71%, 2.20%
06021,7.63%, 52.67%, 45.04%, 2.29%
06023,12.60%, 41.58%, 54.18%, 4.24%
06025,1.76%, 49.94%, 48.18%, 1.88%
06027,18.94%, 58.23%, 39.29%, 2.48%
06029,6.72%, 52.29%, 45.57%, 2.14%
06031,1.21%, 49.65%, 48.44%, 1.91%
06033,7.42%, 44.46%, 51.88%, 3.65%
06035,11.35%, 42.97%, 54.32%, 2.72%
06037,1.91%, 47.78%, 49.69%, 2.53%
06039,5.24%, 45.96%, 51.20%, 2.84%
06041,9.67%, 52.52%, 42.86%, 4.62%
06043,1.88%, 46.61%, 48.48%, 4.91%
06045,4.04%, 45.49%, 49.53%, 4.98%
06047,5.57%, 46.08%, 51.65%, 2.26%
06049,4.91%, 51.20%, 46.29%, 2.51%
06051,21.13%, 58.80%, 37.67%, 3.53%
06053,5.05%, 51.02%, 45.97%, 3.00%
06055,6.94%, 51.83%, 44.89%, 3.28%
06057,1.45%, 48.40%, 46.95%, 4.65%
06059,26.83%, 62.16%, 35.33%, 2.52%
06061,7.12%, 45.03%, 52.16%, 2.81%
06063,8.30%, 43.94%, 52.25%, 3.81%
06065,0.78%, 49.24%, 48.46%, 2.29%
06067,7.65%, 44.63%, 52.27%, 3.10%
06069,4.13%, 50.87%, 46.74%, 2.40%
06071,1.59%, 49.49%, 47.90%, 2.61%
06073,14.14%, 55.74%, 41.60%, 2.66%
06075,11.75%, 40.31%, 52.06%, 4.97%
06077,1.52%, 49.60%, 48.08%, 2.32%
06079,5.27%, 51.17%, 45.91%, 2.92%
06081,6.23%, 50.63%, 44.40%, 4.97%
06083,4.93%, 50.83%, 45.91%, 3.26%
06085,2.52%, 49.46%, 46.94%, 3.59%
06087,7.98%, 43.09%, 51.06%, 5.85%
06089,5.09%, 45.63%, 50.72%, 3.65%
06091,10.22%, 43.15%, 53.36%, 3.49%
06093,0.07%, 48.37%, 48.31%, 3.32%
06095,12.24%, 42.40%, 54.64%, 2.96%
06097,0.19%, 47.72%, 47.52%, 4.76%
06099,7.50%, 44.83%, 52.34%, 2.83%
06101,11.03%, 54.21%, 43.18%, 2.60%
06103,6.45%, 44.81%, 51.27%, 3.92%
06105,4.20%, 45.66%, 49.86%, 4.48%
06107,10.80%, 54.52%, 43.72%, 1.76%
06109,2.98%, 46.94%, 49.93%, 3.13%
06111,9.10%, 53.20%, 44.10%, 2.70%
06113,11.91%, 42.42%, 54.33%, 3.25%
06115,7.77%, 44.74%, 52.51%, 2.75%
08001,6.60%, 45.30%, 51.90%, 0.72%
08003,11.26%, 53.51%, 42.25%, 0.56%
08005,29.61%, 63.45%, 33.85%, 2.70%
08007,9.50%, 53.63%, 44.13%, 0.21%
08009,5.54%, 51.97%, 46.43%, 1.60%
08011,4.52%, 46.61%, 51.13%, 2.26%
08013,11.75%, 52.71%, 40.96%, 1.09%
08014,0%,-,-,-
08015,16.68%, 56.66%, 39.98%, 1.07%
08017,1.18%, 48.15%, 49.33%, 2.53%
08019,15.29%, 55.36%, 40.07%, 1.57%
08021,8.52%, 44.65%, 53.16%, 2.19%
08023,44.09%, 26.96%, 71.05%, 1.99%
08025,10.99%, 54.90%, 43.91%, 1.18%
08027,29.48%, 62.39%, 32.91%, 1.27%
08029,20.64%, 58.82%, 38.17%, 0.72%
08031,2.76%, 46.73%, 49.50%, 1.40%
08033,4.12%, 45.61%, 49.73%, 1.20%
08035,33.80%, 65.54%, 31.74%, 0.63%
08037,31.64%, 64.18%, 32.53%, 0.89%
08039,8.70%, 52.72%, 44.02%, 0.62%
08041,20.92%, 59.13%, 38.21%, 2.66%
08043,7.07%, 52.44%, 45.38%, 2.18%
08045,23.48%, 59.74%, 36.26%, 1.17%
08047,10.23%, 41.19%, 51.42%, 2.01%
08049,28.76%, 61.77%, 33.01%, 1.12%
08051,31.76%, 61.88%, 30.12%, 1.73%
08053,37.32%, 66.55%, 29.23%, 0.35%
08055,23.70%, 37.35%, 61.04%, 1.61%
