id,margin,bush,dukakis,trash,other,hex_color
04013,31.02%, 64.90%, 33.89%,-,1.2099999999999937%,a50356
04015,26.35%, 62.40%, 36.05%,-,1.5500000000000114%,9f035b
04017,6.96%, 52.82%, 45.86%,-,1.3199999999999932%,860374
04019,1.74%, 50.28%, 48.54%,-,1.1800000000000068%,80037b
04021,3.82%, 51.29%, 47.46%,-,1.25%,820379
04023,0.78%, 49.63%, 48.85%,-,1.519999999999996%,7e037c
04025,30.85%, 64.44%, 33.59%,-,1.9699999999999989%,a40555
04027,19.13%, 58.95%, 39.82%,-,1.2299999999999898%,960365
05001,12.94%, 55.61%, 42.68%,-,1.710000000000008%,8d046c
05003,4.10%, 47.48%, 51.58%,-,0.9399999999999977%,790283
05005,27.99%, 63.35%, 35.36%,-,1.289999999999992%,a1035a
05007,43.67%, 71.23%, 27.55%,-,1.2199999999999989%,b50346
05009,30.20%, 64.04%, 33.84%,-,2.1199999999999903%,a30556
05011,1.83%, 48.93%, 50.76%,-,0.3100000000000023%,7c0081
05013,12.46%, 56.14%, 43.69%,-,0.1700000000000017%,8f006f
05015,26.49%, 62.77%, 36.29%,-,0.9399999999999977%,a0025c
05017,12.08%, 43.74%, 55.82%,-,0.4399999999999977%,6f018e
05019,15.82%, 41.69%, 57.50%,-,0.8100000000000023%,6a0292
05021,10.83%, 44.33%, 55.16%,-,0.5100000000000051%,71018c
05023,18.23%, 58.85%, 40.62%,-,0.5300000000000011%,960167
05025,2.01%, 50.75%, 48.73%,-,0.5200000000000102%,81017c
05027,21.47%, 59.27%, 37.81%,-,2.9199999999999875%,970760
05029,0.83%, 49.35%, 50.18%,-,0.46999999999999886%,7d017f
05031,12.97%, 54.99%, 42.02%,-,2.989999999999995%,8c076b
05033,42.94%, 70.85%, 27.91%,-,1.240000000000009%,b40347
05035,5.14%, 51.73%, 46.59%,-,1.6800000000000068%,830476
05037,3.17%, 51.29%, 48.12%,-,0.5900000000000034%,82017a
05039,1.09%, 49.19%, 50.28%,-,0.5300000000000011%,7d0180
05041,9.66%, 42.94%, 52.60%,-,4.460000000000008%,6d0b86
05043,7.42%, 53.29%, 45.87%,-,0.8400000000000034%,870274
05045,18.47%, 58.42%, 39.95%,-,1.6299999999999955%,940465
05047,18.56%, 58.93%, 40.37%,-,0.7000000000000028%,960166
05049,2.53%, 48.47%, 51.00%,-,0.5300000000000011%,7b0182
05051,24.89%, 60.93%, 36.05%,-,3.0200000000000102%,9b075b
05053,11.73%, 55.40%, 43.68%,-,0.9200000000000017%,8d026f
05055,0.93%, 50.06%, 49.13%,-,0.8100000000000023%,7f027d
05057,1.24%, 50.49%, 49.25%,-,0.2599999999999909%,80007d
