id,margin,hoover,roosevelt,other,hex_color
05015,47.33%, 25.77%, 73.10%, 1.12%,4102ba
05017,88.88%, 5.51%, 94.38%, 0.11%,0e00f0
05019,88.22%, 5.66%, 93.88%, 0.46%,0e01ef
05021,64.79%, 17.22%, 82.00%, 0.78%,2b01d1
05023,78.00%, 10.29%, 88.29%, 1.41%,1a03e1
05025,87.87%, 6.00%, 93.87%, 0.13%,0f00ef
05027,92.84%, 3.38%, 96.22%, 0.40%,0801f5
05029,79.19%, 10.05%, 89.24%, 0.71%,1901e3
05031,75.13%, 11.96%, 87.09%, 0.95%,1e02de
05033,56.30%, 21.16%, 77.46%, 1.39%,3503c5
05035,96.74%,-, 98.25%, 1.75%,0004fa
05037,91.45%, 4.02%, 95.47%, 0.51%,0a01f3
05039,86.63%, 6.53%, 93.16%, 0.30%,1000ed
05041,89.57%, 4.94%, 94.51%, 0.55%,0c01f1
05043,79.33%, 10.06%, 89.39%, 0.56%,1901e3
05045,71.29%, 13.48%, 84.77%, 1.76%,2204d8
05047,72.53%, 12.30%, 84.83%,-,1f00d8
05049,67.75%, 16.09%, 83.84%, 0.07%,2900d5
05051,67.22%, 16.38%, 83.60%, 0.02%,2900d5
05053,93.23%, 3.26%, 96.50%, 0.24%,0800f6
05055,83.79%, 7.65%, 91.43%, 0.92%,1302e9
05057,79.87%, 10.03%, 89.90%, 0.06%,1900e5
05059,82.15%, 8.45%, 90.59%, 0.96%,1502e7
05061,82.20%, 8.82%, 91.02%, 0.16%,1600e8
05063,73.14%, 13.20%, 86.34%, 0.46%,2101dc
05065,71.37%, 13.90%, 85.27%, 0.83%,2302d9
05067,85.49%, 7.09%, 92.58%, 0.33%,1200ec
05069,71.20%, 14.01%, 85.22%, 0.77%,2301d9
05071,66.72%, 14.88%, 81.60%,-,2500d0
05073,81.36%, 9.14%, 90.50%, 0.36%,1700e6
05075,80.96%, 8.58%, 89.54%, 1.88%,1504e4
05077,95.11%, 2.32%, 97.44%, 0.24%,0500f8
05079,92.67%, 3.63%, 96.30%, 0.07%,0900f5
05081,84.06%, 7.74%, 91.80%, 0.46%,1301ea
05083,58.22%, 20.32%, 78.54%, 1.13%,3302c8
05085,88.46%, 5.58%, 94.04%, 0.38%,0e00ef
05087,11.89%, 43.12%, 55.01%, 1.86%,6d048c
05089,65.48%, 14.70%, 80.18%,-,2500cc
