id,margin,bush,clinton,perot,hex_color
05015,2.64%, 39.91%, 42.55%, 16.94%,652b6c
05017,44.36%, 24.36%, 68.72%, 6.81%,3e11af
05019,37.70%, 26.93%, 64.64%, 8.00%,4414a4
05021,45.21%, 23.26%, 68.47%, 8.02%,3b14ae
05023,15.13%, 35.87%, 51.00%, 12.66%,5b2082
05025,22.68%, 33.36%, 56.04%, 9.98%,55198e
05027,10.64%, 37.70%, 48.35%, 11.10%,601c7b
05029,25.69%, 32.06%, 57.75%, 9.47%,511893
05031,18.86%, 35.57%, 54.43%, 8.88%,5a168a
05033,1.40%, 42.57%, 41.18%, 15.11%,6c2669
05035,22.05%, 34.55%, 56.60%, 4.96%,580c90
05037,25.12%, 32.97%, 58.09%, 8.62%,541594
05039,16.54%, 37.15%, 53.68%, 8.79%,5e1688
05041,45.12%, 22.75%, 67.87%, 6.97%,3a11ad
05043,28.74%, 30.77%, 59.51%, 9.46%,4e1897
05045,13.92%, 37.64%, 51.56%, 9.66%,5f1883
05047,10.72%, 37.04%, 47.76%, 14.65%,5e2579
05049,33.13%, 26.56%, 59.69%, 13.32%,432198
05051,16.46%, 35.80%, 52.26%, 9.65%,5b1885
05053,14.81%, 36.66%, 51.47%, 11.33%,5d1c83
05055,32.71%, 28.49%, 61.20%, 9.84%,48199c
05057,34.62%, 26.75%, 61.38%, 11.45%,441d9c
05059,30.82%, 28.60%, 59.42%, 11.39%,481d97
05061,20.82%, 34.73%, 55.56%, 9.37%,58178d
05063,22.20%, 32.96%, 55.16%, 11.25%,541c8c
05065,33.77%, 27.42%, 61.18%, 10.84%,451b9c
05067,40.94%, 24.77%, 65.71%, 8.94%,3f16a7
05069,45.10%, 23.74%, 68.85%, 6.52%,3c10af
05071,18.32%, 33.82%, 52.14%, 13.37%,562284
05073,27.27%, 29.86%, 57.12%, 12.67%,4c2091
05075,29.18%, 30.65%, 59.84%, 9.18%,4e1798
05077,42.30%, 25.52%, 67.82%, 6.08%,410fac
05079,38.26%, 26.27%, 64.53%, 8.97%,4216a4
05081,32.25%, 25.94%, 58.18%, 15.56%,422794
05083,6.76%, 39.23%, 45.99%, 14.04%,642375
05085,10.81%, 39.52%, 50.32%, 9.82%,641980
05087,3.35%, 42.41%, 45.76%, 11.33%,6c1c74
05089,11.75%, 32.39%, 44.15%, 21.25%,523670
05091,12.15%, 36.06%, 48.21%, 15.38%,5b277a
05093,33.51%, 29.43%, 62.94%, 6.15%,4b0fa0
05095,29.35%, 30.99%, 60.35%, 8.31%,4f1599
05097,18.83%, 32.46%, 51.29%, 15.52%,522782
05099,25.96%, 30.83%, 56.79%, 11.52%,4e1d90
05101,0.84%, 41.75%, 42.59%, 14.67%,6a256c
05103,29.80%, 29.89%, 59.69%, 9.97%,4c1998
05105,21.23%, 33.16%, 54.39%, 11.76%,541d8a
05107,38.23%, 27.40%, 65.63%, 6.45%,4510a7
05109,13.97%, 37.26%, 51.23%, 11.15%,5f1c82
05111,34.02%, 28.29%, 62.31%, 8.88%,48169e
05113,5.61%, 38.20%, 43.81%, 16.97%,612b6f
05115,1.97%, 45.10%, 43.13%, 11.14%,731c6d
05117,30.64%, 29.17%, 59.81%, 10.97%,4a1b98
05119,23.14%, 34.89%, 58.03%, 6.39%,581093
05121,34.13%, 27.97%, 62.10%, 9.15%,47179e
05123,30.64%, 30.93%, 61.57%, 7.20%,4e129d
05125,10.00%, 39.38%, 49.38%, 10.72%,641b7d
05127,11.68%, 37.15%, 48.84%, 13.37%,5e227c
05129,2.33%, 44.48%, 42.14%, 12.63%,71206b
05131,0.62%, 42.40%, 41.78%, 15.19%,6c266a
05133,19.28%, 31.77%, 51.05%, 12.83%,512082
05135,17.72%, 34.55%, 52.27%, 12.80%,582085
05137,18.85%, 33.18%, 52.03%, 13.83%,542384
05139,7.97%, 39.32%, 47.29%, 10.33%,641a78
05141,16.40%, 35.48%, 51.88%, 12.06%,5a1e84
05143,3.63%, 42.38%, 46.01%, 11.08%,6c1c75
05145,9.07%, 39.60%, 48.67%, 10.97%,641b7c
05147,54.74%, 19.34%, 74.08%, 6.49%,3110bc
05149,21.71%, 32.79%, 54.49%, 12.30%,531f8a
06001,42.43%, 20.62%, 63.04%, 15.40%,3427a0
06003,1.11%, 35.18%, 34.07%, 29.48%,594b56
06005,1.24%, 35.49%, 34.25%, 29.50%,5a4b57
06007,1.04%, 37.18%, 38.22%, 23.80%,5e3c61
06009,0.10%, 35.35%, 35.25%, 28.53%,5a4859
06011,14.04%, 45.94%, 31.91%, 21.40%,753651
06013,21.42%, 29.51%, 50.93%, 18.94%,4b3081
06015,5.94%, 32.96%, 38.91%, 27.53%,544663
06017,7.54%, 39.92%, 32.38%, 26.97%,654452
06019,1.50%, 40.67%, 42.17%, 16.56%,672a6b
06021,13.00%, 43.24%, 30.24%, 25.84%,6e414d
06023,17.59%, 30.49%, 48.07%, 20.56%,4d347a
06025,5.33%, 38.55%, 43.88%, 16.77%,622a6f
06027,11.74%, 43.58%, 31.84%, 23.62%,6f3c51
06029,11.30%, 45.05%, 33.75%, 20.58%,723456
06031,2.69%, 41.61%, 38.91%, 19.10%,6a3063
06033,16.67%, 28.77%, 45.44%, 24.97%,493f73
06035,4.32%, 37.02%, 32.70%, 28.99%,5e4953
06037,23.50%, 29.04%, 52.54%, 17.75%,4a2d85
06039,7.28%, 43.20%, 35.92%, 20.35%,6e335b
06041,34.95%, 23.32%, 58.27%, 17.59%,3b2c94
06043,0.49%, 35.98%, 36.48%, 26.68%,5b445d
06045,23.51%, 21.78%, 50.21%, 26.69%,374480
06047,4.37%, 36.48%, 40.85%, 22.15%,5d3868
06049,6.79%, 38.98%, 32.19%, 27.44%,634552
06051,1.86%, 36.05%, 34.19%, 28.66%,5b4957
06053,15.77%, 31.25%, 47.01%, 20.97%,4f3577
06055,16.00%, 29.30%, 45.30%, 24.60%,4a3e73
06057,4.32%, 39.24%, 34.92%, 25.05%,643f59
06059,12.31%, 43.87%, 31.56%, 23.90%,6f3c50
06061,8.23%, 41.92%, 33.69%, 23.80%,6a3c55
06063,1.44%, 36.17%, 37.61%, 25.64%,5c415f
06065,1.58%, 37.06%, 38.64%, 23.76%,5e3c62
06067,8.20%, 35.36%, 43.56%, 20.16%,5a336f
06069,9.75%, 32.28%, 42.03%, 24.98%,523f6b
06071,1.49%, 37.24%, 38.74%, 23.03%,5e3a62
06073,1.55%, 35.69%, 37.24%, 26.28%,5b435e
06075,54.60%, 17.80%, 72.40%, 9.01%,2d16b8
06077,3.44%, 37.84%, 41.28%, 20.24%,603369
06079,3.59%, 34.78%, 38.36%, 26.11%,584261
06081,26.82%, 27.15%, 53.97%, 18.25%,452e89
06083,7.27%, 35.25%, 42.53%, 21.57%,59376c
06085,20.83%, 28.38%, 49.21%, 21.41%,48367d
06087,36.20%, 21.86%, 58.06%, 18.96%,373094
06089,9.63%, 41.24%, 31.61%, 26.32%,694350
06091,2.03%, 36.85%, 34.83%, 27.68%,5d4658
06093,7.71%, 32.21%, 39.91%, 26.92%,524465
06095,19.25%, 29.43%, 48.69%, 21.08%,4b357c
06097,28.69%, 24.09%, 52.78%, 22.19%,3d3886
06099,4.02%, 36.93%, 40.95%, 21.60%,5e3768
06101,19.62%, 50.10%, 30.48%, 18.87%,7f304d
06103,0.42%, 35.36%, 35.79%, 28.05%,5a475b
06105,2.07%, 31.28%, 32.63%, 34.70%,4f5853
06107,10.50%, 45.71%, 35.22%, 18.55%,742f59
06109,2.86%, 35.26%, 38.12%, 26.03%,594261
06111,1.53%, 35.46%, 36.99%, 26.84%,5a445e
06113,25.18%, 28.15%, 53.33%, 17.73%,472d87
06115,9.16%, 43.40%, 34.24%, 21.53%,6e3657
08001,14.07%, 29.93%, 44.00%, 25.59%,4c4170
08003,7.71%, 34.05%, 41.76%, 23.59%,563c6a
08005,3.05%, 39.26%, 36.21%, 24.12%,643d5c
08007,15.02%, 44.11%, 29.08%, 26.31%,70434a
08009,19.60%, 47.29%, 27.69%, 24.68%,783e46
08011,10.01%, 33.63%, 43.64%, 22.42%,55396f
08013,24.46%, 26.47%, 50.93%, 21.90%,433781
08014,0%,-,-,-,000000
08015,2.15%, 38.51%, 36.36%, 24.66%,623e5c
08017,25.91%, 50.74%, 24.83%, 24.09%,813d3f
08019,8.70%, 30.40%, 39.10%, 29.33%,4d4a63
08021,15.73%, 33.48%, 49.21%, 16.68%,552a7d
08023,46.43%, 20.88%, 67.31%, 11.35%,351cab
08025,2.19%, 41.29%, 39.09%, 18.93%,693063
08027,20.58%, 47.35%, 24.95%, 26.76%,78443f
08029,8.91%, 41.54%, 32.63%, 25.03%,693f53
08031,30.54%, 25.43%, 55.97%, 17.12%,402b8e
08033,3.55%, 37.23%, 28.61%, 33.69%,5e5548
08035,18.13%, 46.41%, 24.94%, 28.28%,76483f
08037,0.45%, 28.52%, 35.60%, 35.15%,48595a
08039,12.65%, 43.71%, 24.52%, 31.06%,6f4f3e
08041,24.06%, 51.47%, 27.41%, 20.55%,833445
08043,4.00%, 39.40%, 35.40%, 24.51%,643e5a
08045,4.82%, 31.51%, 36.36%, 31.54%,50505c
08047,10.29%, 26.26%, 41.27%, 30.98%,424e69
08049,1.73%, 35.85%, 34.12%, 29.56%,5b4b57
08051,12.47%, 28.86%, 41.48%, 29.02%,494a69
08053,7.77%, 39.50%, 31.72%, 28.57%,644850
08055,23.30%, 29.62%, 52.92%, 16.65%,4b2a86
08057,9.94%, 43.69%, 22.36%, 33.75%,6f5639
08059,0.84%, 37.05%, 36.22%, 26.17%,5e425c
08061,17.67%, 45.83%, 28.16%, 25.92%,744247
08063,23.95%, 49.23%, 25.29%, 25.12%,7d4040
08065,19.26%, 20.70%, 48.79%, 29.52%,344b7c
08067,2.50%, 35.37%, 37.87%, 26.15%,5a4260
08069,2.24%, 36.12%, 38.36%, 24.96%,5c3f61
08071,32.09%, 26.47%, 58.56%, 14.51%,432595
08073,19.04%, 46.79%, 27.75%, 25.20%,774046
08075,8.41%, 40.98%, 32.57%, 26.17%,684253
08077,6.82%, 41.23%, 34.41%, 23.77%,693c57
08079,2.67%, 35.41%, 38.08%, 26.06%,5a4261
08081,1.30%, 35.51%, 27.20%, 36.80%,5a5d45
08083,11.18%, 40.90%, 29.72%, 28.87%,68494b
08085,9.67%, 41.35%, 31.67%, 26.38%,694350
08087,8.28%, 41.70%, 33.43%, 24.36%,6a3e55
08089,4.39%, 37.53%, 41.92%, 19.13%,5f306a
08091,11.81%, 41.25%, 29.12%, 29.44%,694b4a
08093,3.13%, 35.78%, 30.57%, 32.65%,5b534d
08095,16.63%, 46.68%, 30.05%, 22.80%,773a4c
08097,25.61%, 22.57%, 51.14%, 25.53%,394182
08099,11.18%, 44.10%, 32.92%, 22.02%,703853
08101,25.06%, 28.56%, 53.62%, 17.44%,482c88
08103,15.33%, 43.19%, 27.30%, 27.86%,6e4745
08105,8.52%, 42.51%, 34.00%, 23.01%,6c3a56
08107,7.65%, 28.89%, 39.06%, 31.42%,495063
08109,15.46%, 31.05%, 46.50%, 21.67%,4f3776
08111,7.95%, 26.05%, 32.45%, 40.40%,426752
08113,28.01%, 23.58%, 51.82%, 23.81%,3c3c84
08115,4.36%, 39.01%, 34.64%, 25.74%,634158
08117,7.51%, 26.95%, 39.95%, 32.44%,445265
08119,16.24%, 44.11%, 27.09%, 27.87%,704745
08121,22.77%, 48.45%, 25.26%, 25.68%,7b4140
08123,3.08%, 38.79%, 35.71%, 25.12%,62405b
08125,16.65%, 44.82%, 28.17%, 26.57%,724347
09001,3.65%, 42.78%, 39.13%, 17.72%,6d2d63
09003,15.16%, 31.96%, 47.13%, 20.49%,513478
09005,0.86%, 37.00%, 36.14%, 26.43%,5e435c
09007,12.42%, 30.42%, 42.83%, 26.29%,4d436d
09009,5.22%, 36.68%, 41.90%, 20.98%,5d356a
09011,12.94%, 29.35%, 42.29%, 27.80%,4a466b
09013,10.26%, 31.16%, 41.42%, 27.08%,4f4569
09015,9.59%, 30.80%, 40.38%, 28.41%,4e4866
10001,0.49%, 38.67%, 38.18%, 22.16%,623861
10003,12.81%, 33.69%, 46.50%, 19.09%,553076
10005,2.41%, 38.89%, 36.48%, 24.19%,633d5d
11001,75.55%, 9.10%, 84.64%, 4.25%,170ad7
12001,19.74%, 29.87%, 49.61%, 20.03%,4c337e
12003,21.34%, 50.59%, 29.25%, 19.46%,81314a
12005,21.88%, 49.99%, 28.12%, 21.26%,7f3647
12007,7.57%, 44.02%, 36.46%, 18.87%,70305c
12009,12.00%, 43.19%, 31.19%, 25.28%,6e404f
12011,20.92%, 30.92%, 51.85%, 17.06%,4e2b84
12013,1.22%, 37.58%, 36.36%, 25.68%,5f415c
12015,2.26%, 39.17%, 36.91%, 23.72%,633c5e
12017,1.06%, 36.68%, 35.62%, 27.52%,5d465a
12019,34.63%, 57.95%, 23.33%, 18.52%,932f3b
12021,27.32%, 53.44%, 26.13%, 20.18%,883342
12023,6.45%, 43.41%, 36.97%, 19.43%,6e315e
12027,5.71%, 41.32%, 35.62%, 22.71%,69395a
12029,10.38%, 32.04%, 42.42%, 25.02%,513f6c
12031,12.62%, 49.47%, 36.85%, 13.36%,7e225d
12033,19.79%, 50.24%, 30.45%, 18.93%,80304d
12035,2.73%, 38.19%, 40.92%, 20.73%,613468
