id,margin,bush,clinton,perot,hex_color
13171,8.12%, 38.71%, 46.83%, 13.61%,622277
13173,12.32%, 35.03%, 47.34%, 17.40%,592c78
13175,0.27%, 43.72%, 43.99%, 11.39%,6f1d70
13177,21.16%, 51.81%, 30.65%, 17.33%,842c4e
13179,12.93%, 35.87%, 48.80%, 14.90%,5b257c
13181,6.02%, 38.84%, 44.86%, 16.19%,632972
13183,7.92%, 36.74%, 44.66%, 18.14%,5d2e71
13185,5.66%, 46.30%, 40.64%, 12.91%,762067
13187,0.75%, 39.16%, 39.91%, 20.55%,633465
13189,4.87%, 45.69%, 40.82%, 13.30%,742168
13191,25.53%, 29.20%, 54.73%, 15.64%,4a278b
13193,40.65%, 24.80%, 65.45%, 9.54%,3f18a6
13195,13.90%, 48.61%, 34.72%, 16.38%,7b2958
13197,21.11%, 34.58%, 55.69%, 9.63%,58188e
13199,22.38%, 32.30%, 54.67%, 12.87%,52208b
13201,4.87%, 37.26%, 42.13%, 20.52%,5f346b
13205,19.59%, 33.08%, 52.67%, 14.12%,542486
13207,5.69%, 39.28%, 44.97%, 15.39%,642772
13209,6.73%, 38.56%, 45.28%, 15.90%,622873
13211,5.84%, 40.34%, 46.17%, 13.38%,662275
13213,6.82%, 45.13%, 38.31%, 16.44%,732961
13215,7.98%, 41.70%, 49.68%, 8.44%,6a157e
13217,0.05%, 42.49%, 42.54%, 14.63%,6c256c
13219,17.09%, 51.08%, 33.99%, 14.64%,822556
13221,2.67%, 42.94%, 40.26%, 16.74%,6d2a66
13223,13.04%, 47.59%, 34.54%, 17.59%,792c58
13225,19.36%, 33.37%, 52.73%, 13.58%,552286
13227,0.47%, 40.57%, 41.04%, 18.04%,672e68
13229,1.05%, 42.46%, 41.41%, 15.83%,6c2869
13231,4.17%, 44.40%, 40.23%, 15.18%,712666
13233,6.69%, 38.98%, 45.67%, 14.98%,632674
13235,19.73%, 31.15%, 50.88%, 17.79%,4f2d81
13237,8.37%, 37.41%, 45.78%, 16.51%,5f2a74
13239,25.92%, 30.80%, 56.72%, 12.26%,4e1f90
13241,0.52%, 41.15%, 40.63%, 17.85%,682d67
13243,29.37%, 29.98%, 59.34%, 10.65%,4c1b97
13245,7.87%, 40.70%, 48.57%, 10.57%,671a7b
13247,21.78%, 52.64%, 30.86%, 16.15%,86294e
13249,6.94%, 39.43%, 46.37%, 13.89%,642376
13251,5.38%, 39.05%, 44.43%, 16.24%,632971
13253,13.62%, 33.74%, 47.36%, 18.58%,562f78
13255,5.53%, 46.15%, 40.63%, 12.99%,752167
13257,12.61%, 47.65%, 35.04%, 17.05%,792b59
13259,12.17%, 40.77%, 52.94%, 6.02%,670f86
13261,9.52%, 39.44%, 48.96%, 11.41%,641d7c
13263,40.90%, 25.02%, 65.92%, 8.87%,3f16a8
13265,43.94%, 24.32%, 68.26%, 7.23%,3e12ae
13267,3.47%, 43.18%, 39.72%, 16.76%,6e2a65
13269,14.97%, 37.53%, 52.51%, 9.78%,5f1885
13271,21.80%, 31.58%, 53.39%, 14.62%,502588
13273,23.00%, 32.90%, 55.90%, 11.05%,531c8e
13275,5.52%, 46.03%, 40.52%, 13.32%,752167
13277,5.80%, 46.87%, 41.07%, 11.90%,771e68
13279,12.83%, 48.18%, 35.35%, 16.15%,7a295a
13281,5.05%, 45.19%, 40.15%, 14.50%,732466
13283,9.30%, 38.31%, 47.61%, 13.57%,612279
13285,10.01%, 47.64%, 37.63%, 14.60%,79255f
13287,24.24%, 30.95%, 55.19%, 12.24%,4e1f8c
13289,36.67%, 25.15%, 61.82%, 12.74%,40209d
13291,4.05%, 44.78%, 40.74%, 14.21%,722467
13293,3.48%, 45.03%, 41.55%, 13.18%,722169
13295,12.99%, 48.54%, 35.55%, 15.71%,7b285a
13297,6.44%, 45.35%, 38.91%, 15.52%,732763
13299,0.00%, 43.87%, 43.87%, 12.12%,6f1e6f
13301,22.44%, 34.53%, 56.97%, 8.28%,581591
13303,16.71%, 35.45%, 52.16%, 12.19%,5a1f85
13305,4.36%, 44.77%, 40.41%, 14.66%,722567
13307,43.03%, 22.83%, 65.86%, 11.31%,3a1ca7
13309,16.42%, 35.37%, 51.80%, 12.60%,5a2084
13311,13.79%, 47.37%, 33.58%, 18.76%,782f55
13313,20.99%, 53.97%, 32.98%, 12.89%,892054
13315,16.49%, 33.64%, 50.13%, 15.90%,55287f
13317,10.60%, 38.74%, 49.34%, 11.71%,621d7d
13319,25.88%, 30.26%, 56.14%, 12.77%,4d208f
13321,4.01%, 40.16%, 44.17%, 15.50%,662770
15001,20.16%, 30.36%, 50.52%, 17.46%,4d2c80
15003,7.51%, 39.10%, 46.61%, 13.44%,632276
15005,0%,-,-,-,000000
15007,23.22%, 32.80%, 56.02%, 9.18%,53178e
15009,21.13%, 30.17%, 51.31%, 17.94%,4c2d82
16001,15.48%, 44.48%, 28.99%, 25.59%,714149
16003,3.05%, 38.93%, 23.59%, 35.88%,635b3c
16005,2.87%, 37.30%, 34.43%, 25.20%,5f4057
16007,25.75%, 49.72%, 19.69%, 23.97%,7e3d32
16009,1.27%, 33.03%, 34.30%, 31.46%,545057
16011,19.94%, 45.86%, 22.29%, 25.91%,744238
16013,0.42%, 27.96%, 35.71%, 35.29%,47595b
16015,6.81%, 39.31%, 26.85%, 32.50%,645244
16017,2.53%, 28.49%, 36.14%, 33.61%,48555c
16019,17.85%, 46.80%, 19.83%, 28.95%,774932
16021,9.09%, 39.19%, 29.01%, 30.10%,634c49
16023,11.24%, 40.05%, 28.81%, 26.08%,664249
16025,11.73%, 41.56%, 27.57%, 29.84%,694c46
16027,26.75%, 50.78%, 24.03%, 23.71%,813c3d
16029,8.10%, 41.72%, 17.37%, 33.62%,6a552c
16031,29.74%, 53.16%, 17.73%, 23.42%,873b2d
16033,17.97%, 46.10%, 22.46%, 28.13%,754739
16035,7.53%, 30.87%, 38.40%, 29.42%,4e4b61
16037,4.62%, 38.31%, 26.06%, 33.69%,615542
16039,17.71%, 44.80%, 26.97%, 27.10%,724544
16041,30.25%, 52.22%, 12.94%, 21.98%,853820
16043,19.86%, 47.09%, 18.23%, 27.23%,78452e
16045,14.78%, 42.90%, 28.11%, 27.17%,6d4547
16047,10.55%, 39.14%, 27.50%, 28.59%,634846
16049,10.91%, 40.23%, 29.31%, 28.22%,66474a
16051,18.37%, 48.78%, 13.74%, 30.41%,7c4d23
16053,17.92%, 44.23%, 25.88%, 26.31%,704341
16055,4.16%, 35.96%, 31.80%, 31.00%,5b4f51
16057,11.51%, 32.78%, 44.29%, 22.06%,533870
16059,9.55%, 40.30%, 26.07%, 30.75%,664e42
16061,4.56%, 33.35%, 37.91%, 27.62%,554660
16063,8.36%, 38.61%, 30.25%, 25.96%,62424d
16065,34.41%, 59.14%, 9.55%, 24.73%,963f18
16067,19.27%, 44.55%, 24.47%, 25.28%,71403e
16069,9.65%, 32.00%, 41.65%, 25.70%,51416a
16071,6.59%, 38.21%, 18.81%, 31.62%,61502f
16073,19.76%, 47.82%, 22.33%, 28.06%,794738
16075,12.45%, 42.92%, 24.55%, 30.47%,6d4d3e
16077,17.30%, 45.41%, 28.12%, 23.41%,733b47
16079,19.91%, 22.01%, 48.59%, 28.68%,38497b
16081,8.03%, 39.73%, 24.61%, 31.70%,65503e
16083,15.92%, 43.97%, 28.05%, 25.71%,704147
16085,5.66%, 37.27%, 30.32%, 31.62%,5f504d
16087,13.97%, 42.09%, 26.21%, 28.12%,6b4742
17001,5.64%, 42.84%, 37.20%, 19.50%,6d315e
17003,29.00%, 29.83%, 58.83%, 10.87%,4c1b96
17005,9.45%, 35.97%, 45.42%, 18.19%,5b2e73
17007,3.49%, 41.01%, 37.53%, 21.13%,68355f
17009,4.35%, 38.27%, 42.62%, 18.74%,612f6c
17011,3.99%, 38.18%, 42.17%, 19.35%,61316b
17013,27.61%, 26.58%, 54.19%, 18.98%,43308a
17015,5.77%, 42.94%, 37.17%, 19.56%,6d315e
17017,16.10%, 33.53%, 49.64%, 16.63%,552a7e
17019,10.39%, 35.61%, 46.00%, 17.83%,5a2d75
17021,22.48%, 28.92%, 51.40%, 19.33%,493183
17023,2.04%, 39.79%, 41.83%, 18.17%,652e6a
17025,7.38%, 37.15%, 44.53%, 17.93%,5e2d71
17027,5.78%, 36.47%, 42.26%, 20.95%,5c356b
17029,5.85%, 36.31%, 42.16%, 21.11%,5c356b
17031,30.01%, 28.20%, 58.21%, 13.14%,472194
17033,3.70%, 37.29%, 40.99%, 21.32%,5f3668
17035,4.83%, 35.76%, 40.58%, 23.24%,5b3b67
17037,3.18%, 36.97%, 40.15%, 22.44%,5e3966
17039,2.00%, 40.78%, 38.78%, 19.89%,673262
17041,0.39%, 39.98%, 40.37%, 19.33%,653166
17043,17.17%, 48.05%, 30.88%, 20.71%,7a344e
17045,2.29%, 38.77%, 41.06%, 19.74%,623268
17047,8.50%, 45.07%, 36.57%, 17.85%,722d5d
17049,7.40%, 42.25%, 34.85%, 22.39%,6b3958
17051,13.10%, 34.67%, 47.77%, 17.10%,582b79
17053,13.44%, 47.00%, 33.56%, 18.86%,773055
17055,33.70%, 25.62%, 59.33%, 14.80%,412597
17057,26.34%, 28.60%, 54.94%, 16.24%,48298c
17059,35.02%, 25.10%, 60.12%, 14.40%,402499
17061,10.99%, 34.00%, 44.99%, 20.78%,563472
17063,1.38%, 39.02%, 37.64%, 22.90%,633a5f
17065,21.33%, 30.58%, 51.91%, 17.33%,4d2c84
17067,4.96%, 36.89%, 41.84%, 20.77%,5e346a
17069,21.43%, 31.04%, 52.47%, 16.23%,4f2985
17071,17.37%, 32.36%, 49.73%, 17.66%,522d7e
17073,8.57%, 36.88%, 45.45%, 17.36%,5e2c73
17075,17.26%, 47.82%, 30.56%, 21.15%,79354d
17077,26.50%, 28.24%, 54.73%, 16.35%,48298b
17079,5.26%, 36.42%, 41.68%, 21.17%,5c356a
17081,18.00%, 31.24%, 49.24%, 19.34%,4f317d
17083,17.99%, 29.06%, 47.05%, 23.41%,4a3b77
17085,1.96%, 40.64%, 38.68%, 20.11%,673362
17087,3.25%, 39.40%, 42.65%, 17.51%,642c6c
17089,8.69%, 43.52%, 34.84%, 21.24%,6e3658
17091,4.54%, 38.46%, 43.00%, 18.13%,622e6d
17093,16.83%, 46.29%, 29.46%, 23.87%,763c4b
17095,16.58%, 32.93%, 49.51%, 17.22%,532b7e
17097,7.73%, 44.20%, 36.47%, 18.92%,70305c
17099,14.42%, 32.20%, 46.62%, 20.90%,523576
17101,7.87%, 35.80%, 43.67%, 20.01%,5b336f
17103,7.28%, 43.15%, 35.87%, 20.70%,6e345b
17105,11.68%, 46.81%, 35.13%, 17.72%,772d59
17107,9.85%, 46.26%, 36.41%, 17.05%,752b5c
17109,3.71%, 38.05%, 41.76%, 19.90%,61326a
17111,18.77%, 46.84%, 28.07%, 24.71%,773f47
17113,4.45%, 43.39%, 38.95%, 17.34%,6e2c63
17115,15.77%, 33.62%, 49.39%, 16.62%,552a7d
17117,23.38%, 27.55%, 50.93%, 21.21%,463681
17119,23.07%, 28.19%, 51.26%, 20.26%,473382
17121,20.68%, 30.52%, 51.20%, 18.04%,4d2e82
17123,5.05%, 38.35%, 43.40%, 18.00%,612d6e
17125,19.42%, 32.11%, 51.53%, 16.16%,512983
17127,8.40%, 39.03%, 47.43%, 12.64%,632078
17129,9.05%, 44.99%, 35.94%, 18.72%,722f5b
17131,11.79%, 34.93%, 46.72%, 17.97%,592d77
17133,0.69%, 38.33%, 39.02%, 22.43%,613963
17135,20.33%, 29.70%, 50.04%, 19.92%,4b327f
17137,1.32%, 40.29%, 38.97%, 20.35%,663363
17139,15.33%, 31.94%, 47.27%, 20.45%,513478
17141,12.41%, 44.80%, 32.38%, 22.15%,723852
17143,9.08%, 37.77%, 46.85%, 14.99%,602677
17145,26.20%, 28.01%, 54.20%, 17.63%,472c8a
17147,5.26%, 36.42%, 41.67%, 21.57%,5c376a
17149,7.46%, 36.98%, 44.44%, 18.18%,5e2e71
17151,4.65%, 39.44%, 44.09%, 16.22%,642970
17153,23.05%, 32.94%, 55.99%, 10.68%,531b8e
17155,18.29%, 29.29%, 47.58%, 22.73%,4a3979
17157,21.91%, 29.57%, 51.49%, 18.67%,4b2f83
17159,2.89%, 37.87%, 40.76%, 20.95%,603567
17161,19.71%, 32.22%, 51.93%, 14.46%,522484
17163,23.87%, 29.71%, 53.58%, 16.36%,4b2988
17165,27.09%, 27.67%, 54.76%, 17.37%,462c8b
17167,0.42%, 40.93%, 41.35%, 17.41%,682c69
17169,3.45%, 37.85%, 41.30%, 20.40%,603469
17171,2.69%, 40.68%, 37.98%, 21.13%,673560
17173,13.15%, 32.49%, 45.65%, 21.49%,523674
17175,1.43%, 41.30%, 39.87%, 18.65%,692f65
17177,5.11%, 41.58%, 36.47%, 21.60%,6a375c
17179,4.93%, 39.12%, 44.05%, 16.55%,632a70
17181,18.47%, 33.06%, 51.54%, 15.12%,542683
17183,17.37%, 30.43%, 47.80%, 21.22%,4d3679
17185,0.79%, 39.82%, 39.04%, 20.87%,653563
17187,3.98%, 39.37%, 43.35%, 17.00%,642b6e
17189,0.23%, 39.75%, 39.52%, 20.41%,653464
17191,5.38%, 42.93%, 37.56%, 19.18%,6d305f
17193,14.20%, 34.70%, 48.89%, 16.21%,58297c
17195,8.04%, 37.37%, 45.41%, 16.90%,5f2b73
17197,0.85%, 38.35%, 39.20%, 21.55%,613663
17199,17.03%, 32.90%, 49.93%, 16.62%,532a7f
17201,5.42%, 37.63%, 43.04%, 18.92%,5f306d
17203,15.59%, 49.26%, 33.67%, 16.76%,7d2a55
18001,18.65%, 47.83%, 29.18%, 22.54%,79394a
18003,12.65%, 45.24%, 32.60%, 21.23%,733653
18005,17.72%, 47.91%, 30.19%, 21.44%,7a364c
18007,18.71%, 46.96%, 28.24%, 24.43%,773e48
18009,4.48%, 40.62%, 36.14%, 22.83%,673a5c
18011,31.70%, 54.64%, 22.94%, 22.04%,8b383a
18013,9.55%, 41.63%, 32.08%, 25.85%,6a4151
18015,14.47%, 44.38%, 29.91%, 25.38%,71404c
18017,16.41%, 45.70%, 29.30%, 24.29%,743d4a
18019,11.25%, 36.34%, 47.58%, 15.41%,5c2779
18021,13.68%, 46.20%, 32.53%, 21.00%,753552
18023,21.69%, 50.24%, 28.55%, 20.74%,803448
18025,7.15%, 38.11%, 45.25%, 16.40%,612973
18027,22.72%, 53.15%, 30.43%, 16.11%,87294d
18029,11.94%, 44.80%, 32.86%, 21.74%,723753
18031,23.53%, 50.48%, 26.96%, 22.34%,803844
18033,13.51%, 44.48%, 30.97%, 23.66%,713c4e
18035,1.81%, 40.36%, 38.56%, 20.61%,663462
18037,5.67%, 42.44%, 36.76%, 19.98%,6c325d
18039,25.41%, 53.50%, 28.09%, 18.11%,882e47
18041,3.80%, 40.86%, 37.06%, 21.47%,68365e
18043,4.16%, 40.24%, 44.40%, 14.91%,662671
18045,6.68%, 40.32%, 33.64%, 25.71%,664155
18047,16.84%, 46.91%, 30.07%, 22.75%,773a4c
18049,16.77%, 46.70%, 29.93%, 23.02%,773a4c
18051,11.74%, 34.95%, 46.68%, 18.11%,592e77
18053,15.99%, 48.04%, 32.05%, 19.48%,7a3151
18055,0.15%, 39.76%, 39.91%, 19.18%,653065
18057,43.76%, 62.46%, 18.43%, 18.70%,9f2f2e
18059,30.62%, 53.65%, 23.02%, 23.02%,883a3a
18061,2.67%, 39.52%, 42.19%, 18.06%,642e6b
18063,32.76%, 55.45%, 21.34%, 22.69%,8d3936
18065,9.64%, 43.62%, 33.99%, 22.09%,6f3856
18067,14.61%, 44.57%, 29.96%, 24.97%,713f4c
18069,32.71%, 56.79%, 24.07%, 18.53%,902f3d
18071,9.79%, 44.81%, 35.02%, 19.47%,723159
18073,17.96%, 48.62%, 30.67%, 20.41%,7b344e
18075,4.54%, 40.84%, 36.31%, 22.57%,68395c
18077,4.34%, 37.43%, 41.77%, 19.45%,5f316a
18079,8.95%, 42.66%, 33.72%, 23.02%,6c3a55
18081,31.09%, 54.36%, 23.27%, 22.03%,8a383b
18083,0.20%, 38.67%, 38.87%, 21.52%,623663
18085,35.94%, 57.44%, 21.50%, 20.72%,923436
18087,20.03%, 48.15%, 28.12%, 23.32%,7a3b47
18089,26.25%, 28.91%, 55.17%, 15.37%,49278c
18091,6.49%, 35.24%, 41.72%, 22.70%,59396a
18093,12.84%, 45.96%, 33.11%, 20.57%,753454
18095,2.04%, 39.76%, 37.72%, 22.18%,653860
18097,5.91%, 43.66%, 37.75%, 17.88%,6f2d60
18099,18.93%, 48.58%, 29.65%, 21.26%,7b364b
18101,9.29%, 46.40%, 37.11%, 16.24%,76295e
18103,17.60%, 46.10%, 28.50%, 24.63%,753e48
18105,7.00%, 38.22%, 45.22%, 15.93%,612873
18107,28.09%, 52.20%, 23.15%, 24.11%,853d3b
18109,26.36%, 51.83%, 22.22%, 25.47%,844038
18111,10.07%, 42.95%, 32.88%, 23.84%,6d3c53
18113,10.73%, 42.90%, 32.17%, 24.27%,6d3d52
18115,1.55%, 40.14%, 38.58%, 20.96%,663562
18117,9.86%, 46.64%, 36.78%, 16.17%,76295d
18119,8.33%, 42.00%, 33.67%, 23.84%,6b3c55
18121,7.38%, 41.60%, 34.22%, 23.89%,6a3c57
18123,19.78%, 31.69%, 51.47%, 16.63%,502a83
18125,12.62%, 33.84%, 46.46%, 19.43%,563176
18127,2.84%, 39.68%, 36.84%, 22.95%,653a5d
18129,1.72%, 38.72%, 40.44%, 20.58%,623467
18131,12.88%, 45.84%, 32.96%, 20.52%,743454
18133,15.39%, 44.33%, 28.94%, 26.34%,714349
18135,9.05%, 41.90%, 32.84%, 24.94%,6a3f53
18137,14.20%, 46.02%, 31.82%, 22.00%,753851
18139,21.29%, 48.36%, 27.07%, 24.33%,7b3e45
18141,6.96%, 37.27%, 44.23%, 18.02%,5f2d70
18143,18.27%, 33.71%, 51.98%, 13.89%,552384
18145,21.68%, 49.81%, 28.13%, 21.72%,7f3747
18147,5.35%, 39.56%, 44.90%, 15.28%,642672
18149,6.79%, 35.40%, 42.19%, 21.52%,5a366b
18151,10.79%, 42.44%, 31.65%, 25.25%,6c4050
18153,12.64%, 33.29%, 45.93%, 20.26%,543375
18155,9.56%, 35.74%, 45.31%, 18.77%,5b2f73
18157,11.34%, 45.79%, 34.46%, 19.24%,743157
18159,22.59%, 49.55%, 26.96%, 23.04%,7e3a44
18161,16.71%, 46.97%, 30.26%, 22.37%,77394d
18163,4.59%, 39.39%, 43.99%, 16.28%,642970
18165,16.50%, 30.13%, 46.63%, 22.91%,4c3a76
18167,5.26%, 37.56%, 42.81%, 19.31%,5f316d
18169,16.85%, 46.77%, 29.92%, 22.67%,77394c
18171,5.85%, 40.00%, 34.15%, 25.48%,664057
18173,2.55%, 39.23%, 41.78%, 18.73%,642f6a
18175,0.49%, 40.20%, 40.69%, 18.36%,662e67
18177,8.27%, 44.69%, 36.42%, 18.63%,712f5c
18179,20.91%, 48.17%, 27.26%, 24.01%,7a3d45
18181,15.99%, 45.22%, 29.23%, 25.26%,73404a
18183,13.67%, 43.27%, 29.60%, 26.50%,6e434b
19001,1.38%, 40.84%, 39.46%, 19.41%,683164
19003,6.59%, 33.24%, 39.83%, 26.16%,544265
19005,3.97%, 39.33%, 35.36%, 23.10%,643a5a
19007,7.28%, 36.81%, 44.09%, 18.22%,5d2e70
19009,5.58%, 35.45%, 41.03%, 22.90%,5a3a68
19011,9.56%, 33.23%, 42.79%, 23.51%,543b6d
19013,13.30%, 34.77%, 48.06%, 16.54%,582a7a
19015,14.44%, 33.95%, 48.39%, 16.94%,562b7b
19017,2.49%, 38.26%, 40.75%, 19.96%,613267
19019,8.84%, 34.32%, 43.15%, 22.02%,57386e
19021,5.28%, 41.73%, 36.45%, 21.12%,6a355c
19023,9.26%, 44.96%, 35.70%, 18.68%,722f5b
19025,0.55%, 41.13%, 40.58%, 17.94%,682d67
19027,3.81%, 36.30%, 40.11%, 23.13%,5c3a66
19029,13.39%, 45.00%, 31.61%, 22.78%,723a50
19031,4.02%, 35.98%, 40.00%, 23.60%,5b3c66
19033,13.03%, 33.96%, 46.99%, 18.52%,562f77
19035,2.58%, 40.16%, 37.57%, 21.80%,66375f
19037,11.81%, 32.06%, 43.87%, 23.58%,513c6f
19039,11.83%, 33.26%, 45.09%, 21.10%,543572
19041,4.00%, 35.93%, 39.93%, 23.44%,5b3b65
19043,7.60%, 33.12%, 40.72%, 25.13%,544067
19045,11.77%, 35.04%, 46.81%, 17.68%,592d77
19047,4.05%, 35.10%, 39.16%, 24.83%,593f63
19049,6.51%, 37.60%, 44.10%, 17.93%,5f2d70
19051,15.29%, 33.26%, 48.55%, 17.77%,542d7b
19053,13.80%, 33.02%, 46.81%, 19.72%,543277
19055,1.20%, 37.62%, 36.42%, 25.25%,5f405c
19057,23.27%, 30.10%, 53.37%, 15.98%,4c2888
19059,1.08%, 38.49%, 37.40%, 23.77%,623c5f
19061,15.20%, 32.60%, 47.80%, 19.10%,533079
19063,9.74%, 34.76%, 44.50%, 20.07%,583371
19065,4.91%, 35.71%, 40.62%, 22.95%,5b3a67
19067,16.57%, 31.02%, 47.59%, 20.79%,4f3579
19069,1.67%, 40.58%, 38.91%, 19.84%,673263
19071,0.95%, 37.31%, 36.36%, 25.65%,5f415c
19073,8.78%, 36.47%, 45.25%, 17.86%,5c2d73
19075,20.55%, 51.33%, 30.78%, 17.37%,822c4e
19077,4.99%, 35.98%, 40.97%, 22.30%,5b3868
19079,3.01%, 39.46%, 42.47%, 17.55%,642c6c
19081,4.36%, 41.82%, 37.46%, 20.15%,6a335f
19083,2.25%, 39.98%, 42.23%, 17.23%,652b6b
19085,6.03%, 40.23%, 34.20%, 24.62%,663e57
19087,1.26%, 39.81%, 41.08%, 17.64%,652c68
19089,11.99%, 31.18%, 43.17%, 24.54%,4f3e6e
19091,10.30%, 44.34%, 34.04%, 21.08%,713556
19093,6.25%, 40.43%, 34.18%, 25.03%,673f57
19095,1.38%, 38.13%, 36.76%, 24.54%,613e5d
19097,18.79%, 28.73%, 47.51%, 22.53%,493979
19099,6.96%, 38.12%, 45.08%, 16.50%,612a72
19101,0.25%, 30.46%, 30.72%, 14.88%,4d254e
19103,28.23%, 27.12%, 55.35%, 16.66%,452a8d
19105,4.91%, 34.51%, 39.42%, 25.91%,584264
19107,6.24%, 35.52%, 41.76%, 22.20%,5a386a
19109,2.16%, 38.24%, 40.40%, 21.04%,613567
19111,26.75%, 27.85%, 54.61%, 17.02%,472b8b
19113,9.40%, 33.99%, 43.39%, 22.10%,56386e
19115,8.26%, 34.91%, 43.17%, 21.55%,59366e
19117,7.23%, 37.10%, 44.33%, 18.14%,5e2e71
19119,33.90%, 57.14%, 23.24%, 18.65%,912f3b
19121,1.69%, 39.37%, 41.06%, 18.99%,643068
19123,12.09%, 48.34%, 36.24%, 14.72%,7b255c
19125,3.92%, 44.79%, 40.87%, 14.01%,722368
19127,8.31%, 37.09%, 45.40%, 16.95%,5e2b73
19129,14.61%, 43.77%, 29.16%, 26.57%,6f434a
19131,4.56%, 36.15%, 40.71%, 22.42%,5c3967
19133,5.75%, 34.23%, 39.99%, 25.39%,574065
19135,13.38%, 34.98%, 48.36%, 16.18%,59297b
19137,14.99%, 44.78%, 29.78%, 24.98%,723f4b
19139,5.94%, 36.09%, 42.04%, 21.25%,5c366b
19141,23.05%, 51.06%, 28.00%, 20.55%,823447
19143,21.28%, 48.78%, 27.50%, 22.58%,7c3946
19145,23.52%, 50.21%, 26.69%, 22.83%,803a44
19147,10.88%, 33.26%, 44.13%, 22.05%,543870
19149,19.32%, 49.56%, 30.25%, 19.45%,7e314d
19151,3.77%, 37.33%, 41.10%, 20.18%,5f3368
19153,8.89%, 38.09%, 46.98%, 14.44%,612477
19155,6.58%, 42.22%, 35.64%, 21.65%,6b375a
19157,8.96%, 35.87%, 44.83%, 18.57%,5b2f72
19159,13.04%, 33.71%, 46.74%, 19.21%,553077
19161,4.64%, 41.00%, 36.36%, 22.19%,68385c
19163,6.59%, 38.63%, 45.22%, 15.30%,622773
19165,10.93%, 42.92%, 32.00%, 24.66%,6d3e51
19167,57.10%, 72.21%, 15.11%, 12.02%,b81e26
19169,12.16%, 34.98%, 47.14%, 17.28%,592c78
19171,7.50%, 35.39%, 42.89%, 20.98%,5a356d
19173,6.48%, 33.79%, 40.27%, 25.63%,564166
19175,5.59%, 36.45%, 42.04%, 20.98%,5c356b
19177,1.24%, 38.22%, 39.46%, 21.86%,613764
19179,23.74%, 30.17%, 53.91%, 15.63%,4c2789
19181,7.15%, 37.80%, 44.95%, 16.79%,602a72
19183,2.13%, 39.65%, 37.52%, 22.11%,65385f
19185,9.29%, 36.24%, 45.54%, 17.91%,5c2d74
19187,8.30%, 36.95%, 45.25%, 17.29%,5e2c73
19189,1.40%, 39.60%, 38.20%, 21.87%,643761
19191,4.78%, 34.61%, 39.39%, 25.10%,584064
19193,1.75%, 42.34%, 40.59%, 16.76%,6b2a67
19195,14.10%, 31.07%, 45.17%, 23.47%,4f3b73
19197,1.02%, 40.63%, 41.65%, 17.27%,672c6a
20001,0.61%, 36.56%, 35.96%, 27.15%,5d455b
20003,1.74%, 33.03%, 31.95%, 34.77%,545851
20005,5.82%, 33.48%, 39.30%, 26.83%,554464
20007,11.52%, 42.52%, 26.35%, 31.00%,6c4f43
20009,3.97%, 37.65%, 28.32%, 33.68%,605548
20011,5.13%, 40.17%, 35.05%, 24.63%,663e59
20013,11.33%, 41.61%, 27.88%, 30.28%,6a4d47
20015,7.66%, 38.79%, 29.75%, 31.13%,624f4b
20017,0.59%, 36.20%, 27.89%, 35.61%,5c5a47
20019,11.87%, 41.15%, 28.85%, 29.28%,684a49
20021,5.06%, 36.78%, 41.85%, 21.18%,5d366a
20023,21.99%, 49.17%, 23.19%, 27.18%,7d453b
20025,25.51%, 51.49%, 22.32%, 25.97%,834238
20027,16.64%, 47.89%, 20.63%, 31.24%,7a4f34
20029,7.54%, 39.12%, 31.57%, 28.96%,634950
20031,8.86%, 42.44%, 23.76%, 33.57%,6c553c
20033,24.20%, 49.49%, 25.29%, 25.21%,7e4040
20035,0.11%, 34.35%, 34.24%, 31.11%,574f57
20037,11.44%, 32.96%, 44.40%, 22.34%,543871
20039,17.42%, 45.00%, 27.57%, 27.05%,724446
20041,11.04%, 41.76%, 27.31%, 30.72%,6a4e45
20043,9.54%, 39.74%, 29.62%, 30.20%,654d4b
20045,15.36%, 30.64%, 45.99%, 22.78%,4e3a75
20047,9.61%, 39.95%, 29.45%, 30.34%,654d4b
20049,14.06%, 42.94%, 27.84%, 28.87%,6d4946
20051,4.49%, 32.00%, 36.49%, 31.21%,514f5d
20053,5.46%, 36.96%, 31.18%, 31.49%,5e504f
20055,20.74%, 48.28%, 23.89%, 27.54%,7b463c
20057,9.67%, 41.93%, 25.44%, 32.26%,6a5240
20059,5.21%, 37.43%, 30.03%, 32.22%,5f524c
20061,4.88%, 38.75%, 33.87%, 27.22%,624556
20063,15.24%, 46.42%, 22.22%, 31.18%,764f38
20065,7.79%, 39.33%, 28.97%, 31.54%,645049
20067,24.05%, 51.71%, 20.50%, 27.66%,834634
20069,16.24%, 47.81%, 20.39%, 31.57%,795033
20071,35.85%, 57.73%, 21.88%, 20.05%,933337
20073,3.87%, 36.62%, 32.75%, 30.29%,5d4d53
20075,23.95%, 51.96%, 28.01%, 19.67%,843247
20077,6.51%, 40.59%, 25.01%, 34.07%,67563f
20079,8.08%, 41.71%, 33.63%, 24.34%,6a3e55
20081,30.72%, 56.02%, 18.40%, 25.30%,8e402e
20083,22.95%, 50.85%, 20.99%, 27.91%,814735
20085,0.77%, 35.48%, 29.52%, 34.71%,5a584b
20087,0.94%, 33.02%, 32.62%, 33.96%,545653
