id,margin,bush,kerry,trash1,trash2,trash1,other,hex_color
19053,5.71%, 52.06%, 46.35%,-,-, 1.60%,1.5900000000000034%,840476
19055,7.40%, 53.35%, 45.95%,-,-, 0.71%,0.6999999999999886%,880175
19057,20.29%, 39.38%, 59.67%,-,-, 0.94%,0.9499999999999886%,640298
19059,12.53%, 55.87%, 43.34%,-,-, 0.80%,0.789999999999992%,8e026e
19061,13.73%, 42.73%, 56.46%,-,-, 0.81%,0.8100000000000023%,6c028f
19063,5.66%, 52.31%, 46.64%,-,-, 1.05%,1.0499999999999972%,850276
19065,0.55%, 49.35%, 49.89%,-,-, 0.76%,0.7599999999999909%,7d017f
19067,7.40%, 45.86%, 53.25%,-,-, 0.89%,0.8900000000000006%,740287
19069,14.27%, 56.66%, 42.38%,-,-, 0.96%,0.960000000000008%,90026c
19071,21.78%, 60.39%, 38.61%,-,-, 1.00%,1.0%,990262
19073,3.11%, 51.20%, 48.09%,-,-, 0.70%,0.7099999999999937%,82017a
19075,29.83%, 64.67%, 34.84%,-,-, 0.50%,0.4899999999999949%,a40158
19077,11.86%, 55.47%, 43.61%,-,-, 0.92%,0.9200000000000017%,8d026f
19079,5.66%, 52.39%, 46.73%,-,-, 0.88%,0.8799999999999955%,850277
19081,14.97%, 57.04%, 42.07%,-,-, 0.90%,0.8900000000000006%,91026b
19083,9.61%, 54.48%, 44.87%,-,-, 0.66%,0.6500000000000057%,8a0172
19085,23.10%, 60.94%, 37.84%,-,-, 1.22%,1.2199999999999989%,9b0360
19087,11.56%, 55.20%, 43.64%,-,-, 1.16%,1.1599999999999966%,8c026f
19089,12.48%, 43.18%, 55.65%,-,-, 1.17%,1.1700000000000017%,6e028d
19091,18.99%, 59.10%, 40.11%,-,-, 0.79%,0.789999999999992%,960266
19093,24.56%, 62.06%, 37.49%,-,-, 0.45%,0.44999999999998863%,9e015f
19095,8.32%, 53.75%, 45.43%,-,-, 0.82%,0.8199999999999932%,890273
19097,14.12%, 42.37%, 56.50%,-,-, 1.13%,1.1299999999999955%,6c0290
19099,4.83%, 47.16%, 51.99%,-,-, 0.85%,0.8499999999999943%,780284
19101,10.17%, 44.05%, 54.22%,-,-, 1.73%,1.730000000000004%,70048a
19103,29.27%, 34.75%, 64.01%,-,-, 1.24%,1.2399999999999949%,5803a3
19105,2.20%, 48.45%, 50.65%,-,-, 0.90%,0.9000000000000057%,7b0281
19107,15.05%, 56.92%, 41.86%,-,-, 1.22%,1.2199999999999989%,91036a
19109,9.83%, 54.46%, 44.63%,-,-, 0.91%,0.9099999999999966%,8a0271
19111,15.01%, 41.84%, 56.85%,-,-, 1.31%,1.3100000000000023%,6a0390
19113,9.93%, 44.65%, 54.58%,-,-, 0.77%,0.7700000000000102%,71018b
19115,5.59%, 52.32%, 46.72%,-,-, 0.96%,0.960000000000008%,850277
19117,12.16%, 55.63%, 43.47%,-,-, 0.90%,0.9000000000000057%,8d026e
19119,56.52%, 77.87%, 21.36%,-,-, 0.77%,0.769999999999996%,c60136
19121,14.47%, 56.70%, 42.23%,-,-, 1.07%,1.0699999999999932%,90026b
19123,28.60%, 63.93%, 35.33%,-,-, 0.75%,0.7400000000000091%,a3015a
19125,20.46%, 59.83%, 39.37%,-,-, 0.79%,0.8000000000000114%,980264
19127,0.59%, 49.87%, 49.27%,-,-, 0.86%,0.8599999999999994%,7f027d
19129,32.39%, 65.65%, 33.26%,-,-, 1.10%,1.0900000000000034%,a70254
19131,2.54%, 48.28%, 50.82%,-,-, 0.89%,0.9000000000000057%,7b0281
19133,3.55%, 51.32%, 47.77%,-,-, 0.92%,0.9099999999999966%,820279
19135,5.35%, 52.16%, 46.81%,-,-, 1.03%,1.0300000000000011%,850277
19137,30.63%, 64.81%, 34.18%,-,-, 1.01%,1.009999999999991%,a50257
19139,2.79%, 48.19%, 50.98%,-,-, 0.83%,0.8300000000000125%,7a0281
19141,38.78%, 68.92%, 30.14%,-,-, 0.94%,0.9399999999999977%,af024c
19143,41.67%, 70.27%, 28.60%,-,-, 1.13%,1.1299999999999955%,b30248
19145,40.36%, 69.79%, 29.43%,-,-, 0.79%,0.7800000000000011%,b1014b
19147,3.70%, 51.51%, 47.81%,-,-, 0.67%,0.6800000000000068%,830179
19149,28.90%, 63.90%, 35.00%,-,-, 1.10%,1.0999999999999943%,a20259
19151,14.35%, 56.60%, 42.24%,-,-, 1.16%,1.1599999999999966%,90026b
19153,4.63%, 47.29%, 51.93%,-,-, 0.78%,0.7800000000000011%,780184
19155,18.30%, 58.72%, 40.43%,-,-, 0.85%,0.8499999999999943%,950267
19157,0.77%, 49.20%, 49.98%,-,-, 0.82%,0.8199999999999932%,7d027f
19159,6.48%, 52.77%, 46.29%,-,-, 0.94%,0.9399999999999977%,860276
19161,16.99%, 58.21%, 41.22%,-,-, 0.58%,0.5699999999999932%,940169
19163,2.62%, 48.30%, 50.92%,-,-, 0.78%,0.7800000000000011%,7b0181
19165,28.50%, 63.81%, 35.31%,-,-, 0.88%,0.8799999999999955%,a2025a
19167,72.24%, 85.87%, 13.63%,-,-, 0.49%,0.5%,da0122
19169,5.55%, 46.63%, 52.17%,-,-, 1.20%,1.1999999999999886%,760385
19171,0.34%, 49.51%, 49.85%,-,-, 0.64%,0.6400000000000006%,7e017f
19173,20.56%, 59.81%, 39.25%,-,-, 0.94%,0.9399999999999977%,980264
19175,6.99%, 52.94%, 45.95%,-,-, 1.10%,1.1099999999999994%,860275
19177,16.76%, 57.64%, 40.88%,-,-, 1.49%,1.4799999999999898%,920368
19179,10.31%, 44.31%, 54.62%,-,-, 1.07%,1.0699999999999932%,70028b
19181,6.20%, 52.75%, 46.54%,-,-, 0.71%,0.710000000000008%,860176
19183,12.93%, 55.92%, 42.99%,-,-, 1.09%,1.0900000000000034%,8e026d
19185,11.30%, 55.31%, 44.02%,-,-, 0.67%,0.6699999999999875%,8d0170
19187,3.23%, 48.09%, 51.32%,-,-, 0.60%,0.5900000000000034%,7a0182
19189,7.86%, 53.34%, 45.48%,-,-, 1.18%,1.1800000000000068%,880373
19191,0.28%, 49.37%, 49.65%,-,-, 0.98%,0.980000000000004%,7d027e
19193,2.25%, 50.80%, 48.55%,-,-, 0.65%,0.6500000000000057%,81017b
19195,11.91%, 43.54%, 55.45%,-,-, 1.02%,1.009999999999991%,6f028d
19197,10.62%, 54.99%, 44.37%,-,-, 0.64%,0.6400000000000006%,8c0171
20001,33.12%, 65.84%, 32.73%,-,-, 1.43%,1.4300000000000068%,a70353
20003,31.19%, 64.72%, 33.52%,-,-, 1.76%,1.759999999999991%,a50455
20005,10.68%, 54.51%, 43.83%,-,-, 1.66%,1.6599999999999966%,8b046f
20007,49.69%, 74.16%, 24.47%,-,-, 1.37%,1.3700000000000045%,bd033e
20009,49.48%, 74.03%, 24.55%,-,-, 1.42%,1.4200000000000017%,bc033e
20011,32.25%, 65.39%, 33.14%,-,-, 1.47%,1.4699999999999989%,a60354
20013,41.29%, 69.99%, 28.70%,-,-, 1.31%,1.3100000000000023%,b20349
20015,41.64%, 70.16%, 28.52%,-,-, 1.32%,1.3200000000000074%,b20348
20017,42.44%, 70.29%, 27.85%,-,-, 1.87%,1.8599999999999852%,b30447
20019,57.40%, 78.01%, 20.61%,-,-, 1.38%,1.3799999999999955%,c60334
20021,23.78%, 61.36%, 37.59%,-,-, 1.05%,1.0499999999999972%,9c025f
20023,61.05%, 79.96%, 18.91%,-,-, 1.12%,1.1300000000000097%,cb0230
20025,58.64%, 78.54%, 19.91%,-,-, 1.55%,1.5499999999999972%,c80332
20027,59.38%, 79.15%, 19.78%,-,-, 1.07%,1.0699999999999932%,c90232
20029,44.66%, 71.53%, 26.87%,-,-, 1.60%,1.5999999999999943%,b60444
20031,49.14%, 73.93%, 24.80%,-,-, 1.27%,1.269999999999996%,bc033f
20033,58.10%, 78.49%, 20.39%,-,-, 1.12%,1.1200000000000045%,c80233
20035,31.76%, 65.11%, 33.35%,-,-, 1.54%,1.539999999999992%,a60355
20037,6.11%, 52.19%, 46.09%,-,-, 1.72%,1.7199999999999989%,850475
20039,57.47%, 77.87%, 20.40%,-,-, 1.72%,1.7299999999999898%,c60434
20041,44.72%, 71.61%, 26.89%,-,-, 1.50%,1.5%,b60344
20043,39.58%, 69.14%, 29.56%,-,-, 1.30%,1.2999999999999972%,b0034b
20045,16.14%, 41.00%, 57.14%,-,-, 1.86%,1.8599999999999994%,680491
20047,46.66%, 72.46%, 25.80%,-,-, 1.74%,1.740000000000009%,b80441
20049,49.50%, 73.86%, 24.36%,-,-, 1.78%,1.7800000000000011%,bc043e
20051,31.66%, 64.75%, 33.09%,-,-, 2.16%,2.1599999999999966%,a50554
20053,47.00%, 72.82%, 25.82%,-,-, 1.35%,1.3600000000000136%,b90341
20055,51.63%, 75.29%, 23.67%,-,-, 1.04%,1.039999999999992%,bf023c
20057,48.20%, 73.56%, 25.35%,-,-, 1.09%,1.0900000000000034%,bb0240
20059,30.24%, 64.40%, 34.17%,-,-, 1.43%,1.4299999999999926%,a40357
20061,29.64%, 64.18%, 34.54%,-,-, 1.28%,1.2800000000000011%,a30358
20063,64.69%, 81.53%, 16.84%,-,-, 1.64%,1.6299999999999955%,cf042a
20065,51.94%, 75.14%, 23.19%,-,-, 1.67%,1.6700000000000017%,bf043b
20067,58.30%, 78.64%, 20.34%,-,-, 1.02%,1.019999999999996%,c80233
20069,62.72%, 80.89%, 18.17%,-,-, 0.94%,0.9399999999999977%,ce022e
20071,60.68%, 79.46%, 18.78%,-,-, 1.77%,1.7600000000000051%,ca042f
20073,42.26%, 70.35%, 28.08%,-,-, 1.57%,1.5700000000000074%,b30447
20075,58.32%, 78.58%, 20.27%,-,-, 1.15%,1.1500000000000057%,c80233
20077,48.70%, 73.52%, 24.81%,-,-, 1.67%,1.6700000000000017%,bb043f
20079,27.82%, 63.10%, 35.28%,-,-, 1.62%,1.6200000000000045%,a00459
20081,70.61%, 84.80%, 14.20%,-,-, 1.00%,1.0%,d80224
20083,61.71%, 80.56%, 18.85%,-,-, 0.59%,0.5900000000000034%,cd0130
20085,28.29%, 63.35%, 35.05%,-,-, 1.60%,1.5999999999999943%,a10459
20087,24.51%, 61.50%, 37.00%,-,-, 1.50%,1.5%,9c035e
20089,57.96%, 78.07%, 20.10%,-,-, 1.83%,1.8300000000000125%,c70433
20091,23.29%, 61.12%, 37.83%,-,-, 1.05%,1.0500000000000114%,9b0260
20093,62.20%, 80.89%, 18.69%,-,-, 0.41%,0.4200000000000017%,ce012f
20095,50.40%, 74.42%, 24.02%,-,-, 1.57%,1.5600000000000023%,bd033d
20097,65.11%, 81.47%, 16.36%,-,-, 2.17%,2.1700000000000017%,cf0529
20099,19.53%, 59.09%, 39.56%,-,-, 1.36%,1.3499999999999943%,960364
20101,63.31%, 81.16%, 17.85%,-,-, 0.99%,0.9900000000000091%,ce022d
20103,17.96%, 58.35%, 40.39%,-,-, 1.25%,1.259999999999991%,940366
20105,54.28%, 76.00%, 21.72%,-,-, 2.28%,2.280000000000001%,c10537
20107,29.89%, 64.29%, 34.40%,-,-, 1.31%,1.3100000000000023%,a30357
20109,66.12%, 82.40%, 16.28%,-,-, 1.31%,1.3199999999999932%,d20329
20111,20.22%, 59.16%, 38.94%,-,-, 1.90%,1.9000000000000057%,960463
20113,44.93%, 71.78%, 26.85%,-,-, 1.37%,1.3700000000000045%,b70344
20115,48.38%, 73.32%, 24.94%,-,-, 1.74%,1.740000000000009%,ba043f
20117,28.82%, 63.84%, 35.02%,-,-, 1.14%,1.1399999999999864%,a20259
20119,65.63%, 82.41%, 16.78%,-,-, 0.80%,0.8100000000000023%,d2022a
20121,29.79%, 64.31%, 34.52%,-,-, 1.18%,1.1699999999999875%,a30258
20123,57.21%, 77.90%, 20.69%,-,-, 1.40%,1.4099999999999966%,c60334
20125,37.26%, 67.99%, 30.73%,-,-, 1.28%,1.2800000000000011%,ad034e
20127,35.08%, 66.79%, 31.71%,-,-, 1.50%,1.5%,aa0350
20129,64.15%, 81.66%, 17.51%,-,-, 0.82%,0.8299999999999983%,d0022c
20131,48.91%, 73.71%, 24.80%,-,-, 1.48%,1.490000000000009%,bb033f
20133,31.54%, 65.07%, 33.52%,-,-, 1.41%,1.4099999999999966%,a50355
20135,56.38%, 77.39%, 21.01%,-,-, 1.60%,1.5999999999999943%,c50435
20137,62.29%, 80.49%, 18.20%,-,-, 1.31%,1.3100000000000023%,cd032e
20139,30.32%, 64.32%, 33.99%,-,-, 1.69%,1.6899999999999977%,a40456
20141,54.60%, 76.48%, 21.88%,-,-, 1.64%,1.6400000000000006%,c30437
20143,58.50%, 78.53%, 20.03%,-,-, 1.45%,1.4399999999999977%,c80333
20145,46.82%, 72.69%, 25.87%,-,-, 1.44%,1.4399999999999977%,b90341
20147,59.68%, 79.24%, 19.56%,-,-, 1.19%,1.2000000000000028%,ca0331
20149,47.04%, 71.70%, 24.66%,-,-, 1.37%,3.6400000000000006%,b6093e
20151,43.82%, 71.19%, 27.37%,-,-, 1.44%,1.4399999999999977%,b50345
20153,65.41%, 82.21%, 16.80%,-,-, 0.99%,0.9900000000000091%,d1022a
20155,31.60%, 64.95%, 33.36%,-,-, 1.69%,1.6899999999999977%,a50455
20157,56.46%, 77.47%, 21.01%,-,-, 1.52%,1.519999999999996%,c50335
20159,46.89%, 72.71%, 25.82%,-,-, 1.46%,1.4699999999999989%,b90341
20161,22.78%, 60.60%, 37.82%,-,-, 1.58%,1.5799999999999983%,9a0460
20163,58.56%, 78.27%, 19.70%,-,-, 2.03%,2.030000000000001%,c70532
20165,39.63%, 68.53%, 28.90%,-,-, 2.57%,2.569999999999993%,ae0649
20167,52.79%, 75.77%, 22.98%,-,-, 1.25%,1.25%,c1033a
20169,32.93%, 65.58%, 32.65%,-,-, 1.76%,1.7700000000000102%,a70453
20171,68.60%, 83.69%, 15.09%,-,-, 1.22%,1.2199999999999989%,d50326
20173,25.63%, 62.12%, 36.49%,-,-, 1.38%,1.3900000000000006%,9e035d
20175,57.92%, 78.54%, 20.63%,-,-, 0.83%,0.8299999999999983%,c80234
20177,9.71%, 54.17%, 44.45%,-,-, 1.38%,1.3799999999999955%,8a0371
20179,64.37%, 81.37%, 17.00%,-,-, 1.64%,1.6299999999999955%,cf042b
20181,52.72%, 75.60%, 22.88%,-,-, 1.52%,1.5200000000000102%,c0033a
20183,53.29%, 76.08%, 22.78%,-,-, 1.14%,1.1400000000000006%,c2023a
20185,52.29%, 75.43%, 23.15%,-,-, 1.42%,1.4199999999999875%,c0033b
20187,65.32%, 82.40%, 17.08%,-,-, 0.52%,0.519999999999996%,d2012b
20189,71.79%, 85.47%, 13.69%,-,-, 0.84%,0.8400000000000034%,d90222
20191,36.95%, 67.62%, 30.67%,-,-, 1.71%,1.7099999999999937%,ac044e
20193,56.61%, 77.70%, 21.09%,-,-, 1.21%,1.2099999999999937%,c60335
20195,46.92%, 72.66%, 25.74%,-,-, 1.60%,1.6000000000000085%,b90441
20197,42.45%, 70.23%, 27.77%,-,-, 2.00%,2.0%,b30546
20199,71.92%, 84.70%, 12.79%,-,-, 2.51%,2.509999999999991%,d70620
20201,58.15%, 78.31%, 20.16%,-,-, 1.54%,1.5300000000000011%,c70333
20203,64.60%, 81.83%, 17.23%,-,-, 0.94%,0.9399999999999977%,d0022b
20205,50.09%, 74.19%, 24.10%,-,-, 1.71%,1.710000000000008%,bd043d
20207,38.23%, 68.29%, 30.06%,-,-, 1.64%,1.6499999999999915%,ae044c
20209,31.84%, 33.56%, 65.40%,-,-, 1.05%,1.039999999999992%,5502a6
21001,51.89%, 75.57%, 23.69%,-,-, 0.74%,0.7400000000000091%,c0013c
21003,45.78%, 72.62%, 26.85%,-,-, 0.53%,0.5300000000000011%,b90144
21005,33.59%, 66.34%, 32.75%,-,-, 0.91%,0.9099999999999966%,a90253
21007,15.08%, 57.19%, 42.11%,-,-, 0.69%,0.7000000000000028%,91016b
21009,34.73%, 67.05%, 32.32%,-,-, 0.63%,0.6299999999999955%,aa0152
21011,6.89%, 46.13%, 53.02%,-,-, 0.85%,0.8499999999999943%,750287
21013,22.83%, 61.10%, 38.27%,-,-, 0.64%,0.6299999999999955%,9b0161
21015,44.23%, 71.71%, 27.49%,-,-, 0.80%,0.8000000000000114%,b60246
21017,21.36%, 60.28%, 38.92%,-,-, 0.80%,0.7999999999999972%,990263
21019,6.29%, 52.81%, 46.53%,-,-, 0.66%,0.6599999999999966%,860176
21021,24.96%, 62.16%, 37.20%,-,-, 0.64%,0.6400000000000006%,9e015e
21023,31.86%, 65.46%, 33.60%,-,-, 0.94%,0.9399999999999977%,a60255
21025,13.21%, 42.77%, 55.97%,-,-, 1.26%,1.259999999999991%,6d038e
21027,31.64%, 65.49%, 33.85%,-,-, 0.66%,0.6599999999999966%,a60156
21029,36.29%, 67.88%, 31.59%,-,-, 0.53%,0.5300000000000011%,ad0150
21031,47.92%, 73.66%, 25.74%,-,-, 0.59%,0.6000000000000085%,bb0141
21033,28.68%, 64.04%, 35.36%,-,-, 0.60%,0.5999999999999943%,a3015a
21035,23.54%, 61.36%, 37.82%,-,-, 0.82%,0.8199999999999932%,9c0260
21037,28.09%, 63.57%, 35.48%,-,-, 0.95%,0.9500000000000028%,a2025a
21039,22.21%, 60.95%, 38.73%,-,-, 0.32%,0.3199999999999932%,9b0062
21041,12.50%, 55.81%, 43.32%,-,-, 0.87%,0.8700000000000045%,8e026e
21043,1.39%, 48.77%, 50.17%,-,-, 1.06%,1.0600000000000023%,7c027f
21045,62.25%, 80.83%, 18.57%,-,-, 0.60%,0.5999999999999943%,ce012f
21047,33.14%, 66.31%, 33.17%,-,-, 0.52%,0.519999999999996%,a90154
21049,25.32%, 62.28%, 36.96%,-,-, 0.76%,0.7599999999999909%,9e015e
21051,49.76%, 74.49%, 24.73%,-,-, 0.78%,0.7800000000000011%,bd013f
21053,55.54%, 77.41%, 21.88%,-,-, 0.71%,0.710000000000008%,c50137
21055,30.74%, 65.06%, 34.32%,-,-, 0.62%,0.6200000000000045%,a50157
21057,46.56%, 72.74%, 26.18%,-,-, 1.08%,1.0800000000000125%,b90242
21059,23.10%, 61.16%, 38.06%,-,-, 0.78%,0.7800000000000011%,9b0161
21061,31.73%, 65.59%, 33.86%,-,-, 0.55%,0.5499999999999972%,a70156
21063,40.34%, 29.46%, 69.80%,-,-, 0.74%,0.7400000000000091%,4b01b1
21065,30.96%, 65.17%, 34.21%,-,-, 0.63%,0.6200000000000045%,a60157
21067,6.70%, 52.88%, 46.18%,-,-, 0.94%,0.9399999999999977%,860275
21069,21.65%, 60.44%, 38.79%,-,-, 0.77%,0.7700000000000102%,9a0162
21071,25.27%, 36.97%, 62.24%,-,-, 0.79%,0.789999999999992%,5e029e
21073,2.74%, 50.89%, 48.15%,-,-, 0.96%,0.960000000000008%,81027a
21075,6.47%, 52.84%, 46.37%,-,-, 0.80%,0.789999999999992%,860276
21077,22.16%, 60.82%, 38.66%,-,-, 0.52%,0.5200000000000102%,9b0162
21079,44.20%, 71.85%, 27.65%,-,-, 0.50%,0.5%,b70146
21081,35.51%, 67.44%, 31.94%,-,-, 0.62%,0.6200000000000045%,ab0151
21083,22.78%, 61.02%, 38.24%,-,-, 0.74%,0.7399999999999949%,9b0161
21085,42.05%, 70.69%, 28.64%,-,-, 0.67%,0.6700000000000017%,b40149
21087,49.06%, 74.26%, 25.20%,-,-, 0.54%,0.539999999999992%,bd0140
21089,6.49%, 52.91%, 46.43%,-,-, 0.66%,0.6599999999999966%,860176
21091,14.32%, 56.74%, 42.42%,-,-, 0.84%,0.8400000000000034%,90026c
21093,36.00%, 67.58%, 31.58%,-,-, 0.84%,0.8400000000000034%,ac0250
21095,21.02%, 60.15%, 39.13%,-,-, 0.71%,0.7199999999999989%,990163
21097,26.49%, 62.80%, 36.31%,-,-, 0.89%,0.8900000000000006%,a0025c
21099,26.52%, 62.93%, 36.41%,-,-, 0.66%,0.6599999999999966%,a0015c
21101,12.65%, 55.97%, 43.32%,-,-, 0.71%,0.710000000000008%,8e016e
21103,26.59%, 62.99%, 36.41%,-,-, 0.60%,0.5999999999999943%,a0015c
21105,20.03%, 59.56%, 39.54%,-,-, 0.90%,0.9000000000000057%,970264
21107,31.28%, 65.35%, 34.07%,-,-, 0.58%,0.5800000000000125%,a60156
21109,69.52%, 84.38%, 14.85%,-,-, 0.77%,0.7700000000000102%,d70125
21111,1.66%, 48.75%, 50.41%,-,-, 0.84%,0.8400000000000034%,7c0280
21113,40.34%, 69.82%, 29.47%,-,-, 0.71%,0.710000000000008%,b2014b
21115,28.50%, 63.84%, 35.34%,-,-, 0.82%,0.8199999999999932%,a2025a
21117,31.03%, 65.05%, 34.02%,-,-, 0.93%,0.9300000000000068%,a50256
21119,27.55%, 35.81%, 63.36%,-,-, 0.82%,0.8299999999999983%,5b02a1
21121,35.63%, 67.41%, 31.78%,-,-, 0.81%,0.8100000000000023%,ab0251
21123,38.34%, 68.88%, 30.55%,-,-, 0.57%,0.5700000000000074%,af014d
21125,51.75%, 75.54%, 23.79%,-,-, 0.66%,0.6699999999999875%,c0013c
21127,16.12%, 57.65%, 41.53%,-,-, 0.81%,0.8199999999999932%,930269
21129,39.04%, 69.11%, 30.07%,-,-, 0.82%,0.8199999999999932%,b0024c
21131,48.25%, 73.75%, 25.50%,-,-, 0.75%,0.75%,bc0141
21133,6.72%, 52.96%, 46.24%,-,-, 0.79%,0.7999999999999972%,870275
21135,38.49%, 68.89%, 30.40%,-,-, 0.71%,0.710000000000008%,af014d
21137,36.11%, 67.65%, 31.55%,-,-, 0.80%,0.7999999999999972%,ac0250
21139,14.19%, 56.84%, 42.65%,-,-, 0.51%,0.5099999999999909%,90016c
21141,28.63%, 64.03%, 35.40%,-,-, 0.57%,0.5699999999999932%,a3015a
21143,9.25%, 54.32%, 45.07%,-,-, 0.61%,0.6099999999999994%,8a0172
21145,23.01%, 61.14%, 38.13%,-,-, 0.73%,0.7299999999999898%,9b0161
21147,45.51%, 72.39%, 26.88%,-,-, 0.74%,0.730000000000004%,b80144
21149,17.16%, 58.26%, 41.10%,-,-, 0.63%,0.6400000000000006%,940168
21151,24.09%, 61.62%, 37.53%,-,-, 0.85%,0.8499999999999943%,9d025f
21153,0.12%, 49.60%, 49.72%,-,-, 0.68%,0.6800000000000068%,7e017e
21155,6.88%, 53.10%, 46.22%,-,-, 0.68%,0.6800000000000068%,870175
21157,17.18%, 58.30%, 41.12%,-,-, 0.57%,0.5800000000000125%,940168
21159,32.87%, 66.01%, 33.14%,-,-, 0.86%,0.8499999999999943%,a80254
21161,24.54%, 61.89%, 37.35%,-,-, 0.76%,0.7599999999999909%,9d015f
21163,31.30%, 65.31%, 34.01%,-,-, 0.68%,0.6800000000000068%,a60156
21165,2.73%, 48.06%, 50.79%,-,-, 1.15%,1.1500000000000057%,7a0281
21167,35.11%, 67.26%, 32.15%,-,-, 0.59%,0.5900000000000034%,ab0151
21169,28.22%, 63.63%, 35.41%,-,-, 0.96%,0.960000000000008%,a2025a
21171,59.88%, 79.70%, 19.82%,-,-, 0.48%,0.47999999999998977%,cb0132
21173,11.15%, 55.20%, 44.05%,-,-, 0.75%,0.75%,8c0170
21175,2.85%, 50.87%, 48.03%,-,-, 1.10%,1.0999999999999943%,81027a
21177,0.84%, 50.07%, 49.23%,-,-, 0.70%,0.7000000000000028%,7f017d
21179,21.59%, 60.32%, 38.73%,-,-, 0.94%,0.9500000000000028%,990262
21181,12.03%, 55.57%, 43.54%,-,-, 0.88%,0.8900000000000006%,8d026f
21183,26.77%, 62.93%, 36.17%,-,-, 0.90%,0.9000000000000057%,a0025c
21185,39.51%, 69.29%, 29.78%,-,-, 0.93%,0.9299999999999926%,b0024b
21187,30.99%, 65.05%, 34.06%,-,-, 0.89%,0.8900000000000006%,a50256
21189,56.43%, 77.94%, 21.51%,-,-, 0.55%,0.5499999999999972%,c60136
21191,34.94%, 67.14%, 32.20%,-,-, 0.66%,0.6599999999999966%,ab0152
21193,6.75%, 53.08%, 46.33%,-,-, 0.58%,0.5900000000000034%,870176
21195,5.20%, 47.11%, 52.30%,-,-, 0.59%,0.5900000000000034%,780185
21197,8.83%, 54.17%, 45.34%,-,-, 0.48%,0.4899999999999949%,8a0173
21199,53.72%, 76.56%, 22.84%,-,-, 0.60%,0.5999999999999943%,c3013a
21201,23.58%, 61.47%, 37.89%,-,-, 0.64%,0.6400000000000006%,9c0160
21203,56.50%, 77.91%, 21.41%,-,-, 0.68%,0.6800000000000068%,c60136
21205,5.66%, 46.67%, 52.33%,-,-, 1.00%,1.0%,770285
21207,54.17%, 76.83%, 22.66%,-,-, 0.51%,0.5100000000000051%,c30139
21209,25.07%, 62.17%, 37.10%,-,-, 0.73%,0.7299999999999898%,9e015e
21211,34.52%, 66.87%, 32.35%,-,-, 0.78%,0.7800000000000011%,aa0152
21213,21.91%, 60.67%, 38.76%,-,-, 0.57%,0.5699999999999932%,9a0162
21215,41.72%, 70.60%, 28.88%,-,-, 0.53%,0.5200000000000102%,b40149
21217,41.46%, 70.39%, 28.94%,-,-, 0.67%,0.6700000000000017%,b30149
21219,36.83%, 68.20%, 31.36%,-,-, 0.44%,0.4399999999999977%,ad014f
21221,32.35%, 65.83%, 33.48%,-,-, 0.69%,0.6899999999999977%,a70155
21223,23.85%, 61.53%, 37.68%,-,-, 0.79%,0.789999999999992%,9c0260
21225,19.01%, 59.13%, 40.12%,-,-, 0.75%,0.75%,960166
21227,27.13%, 63.21%, 36.08%,-,-, 0.72%,0.710000000000008%,a1015c
21229,33.52%, 66.44%, 32.93%,-,-, 0.63%,0.6299999999999955%,a90153
21231,31.37%, 65.41%, 34.04%,-,-, 0.55%,0.5500000000000114%,a60156
21233,16.28%, 57.82%, 41.54%,-,-, 0.65%,0.6400000000000006%,930169
21235,40.90%, 70.14%, 29.24%,-,-, 0.62%,0.6200000000000045%,b2014a
21237,11.38%, 43.90%, 55.28%,-,-, 0.82%,0.8199999999999932%,6f028c
21239,21.36%, 60.31%, 38.95%,-,-, 0.74%,0.7399999999999949%,990163
22001,28.32%, 63.75%, 35.42%,-,-, 0.83%,0.8299999999999983%,a2025a
22003,14.79%, 56.33%, 41.55%,-,-, 2.12%,2.1200000000000045%,8f0569
22005,27.38%, 63.07%, 35.69%,-,-, 1.24%,1.240000000000009%,a0035b
22007,5.77%, 46.26%, 52.03%,-,-, 1.71%,1.710000000000008%,750484
22009,8.54%, 53.48%, 44.93%,-,-, 1.59%,1.5900000000000034%,880472
22011,43.70%, 71.30%, 27.60%,-,-, 1.09%,1.0999999999999943%,b50246
22013,2.98%, 50.47%, 47.49%,-,-, 2.04%,2.039999999999992%,800579
22015,41.50%, 70.34%, 28.84%,-,-, 0.81%,0.8199999999999932%,b30249
22017,2.40%, 50.93%, 48.54%,-,-, 0.53%,0.5300000000000011%,81017b
22019,16.58%, 57.81%, 41.24%,-,-, 0.95%,0.9499999999999886%,930269
22021,40.49%, 69.61%, 29.12%,-,-, 1.26%,1.269999999999996%,b1034a
22023,39.29%, 68.75%, 29.46%,-,-, 1.79%,1.789999999999992%,af044b
22025,31.21%, 64.98%, 33.77%,-,-, 1.25%,1.25%,a50356
22027,12.82%, 55.87%, 43.05%,-,-, 1.09%,1.0800000000000125%,8e026d
22029,22.06%, 60.43%, 38.37%,-,-, 1.19%,1.2000000000000028%,9a0361
22031,10.45%, 54.79%, 44.34%,-,-, 0.87%,0.8700000000000045%,8b0271
22033,9.61%, 54.42%, 44.81%,-,-, 0.76%,0.769999999999996%,8a0172
22035,18.35%, 39.97%, 58.32%,-,-, 1.71%,1.710000000000008%,650494
22037,10.11%, 54.57%, 44.46%,-,-, 0.97%,0.9699999999999989%,8b0271
