id,margin,nixon,mcgovern,other,other2
17013,13.46%, 56.51%,-, 0.43%,-
17015,40.20%, 69.99%,-, 0.22%,-
17017,22.32%, 61.14%,-, 0.03%,-
17019,15.26%, 57.43%,-, 0.40%,-
17021,14.23%, 56.98%,-, 0.27%,-
17023,31.58%, 65.74%,-, 0.10%,-
17025,29.97%, 64.92%,-, 0.14%,-
17027,24.98%, 62.39%,-, 0.20%,-
17029,26.17%, 62.90%,-, 0.38%,-
17031,7.40%, 53.41%,-, 0.58%,-
17033,30.74%, 65.32%,-, 0.10%,-
17035,21.91%, 60.79%,-, 0.34%,-
17037,20.82%, 60.25%,-, 0.32%,-
17039,30.54%, 65.22%,-, 0.10%,-
17041,37.43%, 68.66%,-, 0.12%,-
17043,50.19%, 75.02%,-, 0.15%,-
17045,29.74%, 64.73%,-, 0.29%,-
17047,48.08%, 73.93%,-, 0.22%,-
17049,32.75%, 66.34%,-, 0.08%,-
17051,22.12%, 61.05%,-, 0.02%,-
17053,49.03%, 74.51%,-, 0.01%,-
17055,8.41%, 54.04%,-, 0.34%,-
17057,24.06%, 61.80%,-, 0.46%,-
17059,7.60%, 53.69%,-, 0.22%,-
17061,24.58%, 62.13%,-, 0.32%,-
17063,41.66%, 70.70%,-, 0.26%,-
17065,24.08%, 61.94%,-, 0.21%,-
17067,35.29%, 67.56%,-, 0.16%,-
17069,25.31%, 62.54%,-, 0.23%,-
17071,21.30%, 60.62%,-, 0.07%,-
17073,27.72%, 63.82%,-, 0.09%,-
17075,52.41%, 75.99%,-, 0.42%,-
17077,2.94%, 48.42%,-, 0.21%,-
17079,23.81%, 61.18%,-, 1.45%,-
17081,19.19%, 59.40%,-, 0.38%,-
17083,21.71%, 60.70%,-, 0.31%,-
17085,26.88%, 63.35%,-, 0.18%,-
17087,37.18%, 68.54%,-, 0.10%,-
17089,40.08%, 69.87%,-, 0.33%,-
17091,33.27%, 66.54%,-, 0.18%,-
17093,57.46%, 78.65%,-, 0.16%,-
17095,29.82%, 64.69%,-, 0.44%,-
17097,31.93%, 65.84%,-, 0.25%,-
17099,18.57%, 59.20%,-, 0.17%,-
17101,30.91%, 65.36%,-, 0.20%,-
17103,37.76%, 68.67%,-, 0.42%,-
17105,44.21%, 72.07%,-, 0.07%,-
17107,40.04%, 69.95%,-, 0.14%,-
17109,34.50%, 67.18%,-, 0.14%,-
17111,49.73%, 74.75%,-, 0.22%,-
17113,35.33%, 67.59%,-, 0.15%,-
17115,18.59%, 59.16%,-, 0.27%,-
17117,16.75%, 58.03%,-, 0.69%,-
17119,12.20%, 55.88%,-, 0.45%,-
17121,21.33%, 60.58%,-, 0.17%,-
17123,35.00%, 67.43%,-, 0.14%,-
17125,25.56%, 62.70%,-, 0.15%,-
17127,40.28%, 69.99%,-, 0.29%,-
17129,39.33%, 69.49%,-, 0.36%,-
17131,22.09%, 60.98%,-, 0.12%,-
17133,37.20%, 68.44%,-, 0.31%,-
17135,13.62%, 56.71%,-, 0.19%,-
17137,32.34%, 66.13%,-, 0.07%,-
17139,14.40%, 57.07%,-, 0.25%,-
17141,47.94%, 73.88%,-, 0.19%,-
17143,29.55%, 64.49%,-, 0.57%,-
17145,26.07%, 62.98%,-, 0.11%,-
17147,35.66%, 67.72%,-, 0.23%,-
17149,20.86%, 60.23%,-, 0.41%,-
17151,30.07%, 64.92%,-, 0.23%,-
17153,19.13%, 59.27%,-, 0.60%,-
17155,19.84%, 59.74%,-, 0.36%,-
17157,20.48%, 60.20%,-, 0.09%,-
17159,36.98%, 68.41%,-, 0.17%,-
17161,7.14%, 53.39%,-, 0.36%,-
17163,3.96%, 51.50%,-, 0.96%,-
17165,18.84%, 59.30%,-, 0.25%,-
17167,32.10%, 65.47%,-, 1.16%,-
17169,32.20%, 66.03%,-, 0.13%,-
17171,32.08%, 66.00%,-, 0.09%,-
17173,24.32%, 62.08%,-, 0.17%,-
17175,43.39%, 71.44%,-, 0.51%,-
17177,35.87%, 67.86%,-, 0.15%,-
17179,34.36%, 67.08%,-, 0.21%,-
17181,18.94%, 59.36%,-, 0.21%,-
17183,26.51%, 63.06%,-, 0.38%,-
17185,36.87%, 68.35%,-, 0.17%,-
17187,40.49%, 70.15%,-, 0.18%,-
17189,37.92%, 68.85%,-, 0.21%,-
17191,39.64%, 69.75%,-, 0.13%,-
17193,24.36%, 62.10%,-, 0.16%,-
17195,37.14%, 68.40%,-, 0.34%,-
17197,31.77%, 65.67%,-, 0.43%,-
17199,20.85%, 60.02%,-, 0.80%,-
17201,23.17%, 61.46%,-, 0.25%,-
17203,45.93%, 72.88%,-, 0.17%,-
18001,30.92%, 65.24%,-, 0.45%,-
18003,32.96%, 66.20%,-, 0.56%,-
18005,42.41%, 70.87%,-, 0.67%,-
18007,40.40%, 70.01%,-, 0.38%,-
18009,25.16%, 62.33%,-, 0.51%,-
18011,50.50%, 75.10%,-, 0.29%,-
18013,30.76%, 65.06%,-, 0.64%,-
18015,45.11%, 72.32%,-, 0.47%,-
18017,40.51%, 69.77%,-, 0.98%,-
18019,19.45%, 59.42%,-, 0.60%,-
18021,31.12%, 65.34%,-, 0.45%,-
18023,39.23%, 69.42%,-, 0.39%,-
18025,18.48%, 58.96%,-, 0.56%,-
18027,41.02%, 70.33%,-, 0.36%,-
18029,29.89%, 64.69%,-, 0.50%,-
18031,38.35%, 68.84%,-, 0.68%,-
18033,33.69%, 66.44%,-, 0.82%,-
18035,28.74%, 64.21%,-, 0.32%,-
18037,2.06%, 50.36%,-, 1.34%,-
18039,41.76%, 70.57%,-, 0.62%,-
18041,34.67%, 67.16%,-, 0.34%,-
18043,17.47%, 58.31%,-, 0.86%,-
18045,33.34%, 66.41%,-, 0.52%,-
18047,33.85%, 66.74%,-, 0.37%,-
18049,48.10%, 73.82%,-, 0.45%,-
18051,23.50%, 61.51%,-, 0.48%,-
18053,45.09%, 72.41%,-, 0.27%,-
18055,30.69%, 64.80%,-, 1.09%,-
18057,65.78%, 82.74%,-, 0.29%,-
18059,56.18%, 77.87%,-, 0.44%,-
18061,20.05%, 59.77%,-, 0.52%,-
18063,60.10%, 79.89%,-, 0.32%,-
18065,44.18%, 71.94%,-, 0.30%,-
18067,47.88%, 73.67%,-, 0.54%,-
18069,37.53%, 68.48%,-, 0.56%,-
18071,31.06%, 64.99%,-, 1.08%,-
18073,53.24%, 76.21%,-, 0.81%,-
18075,28.90%, 64.21%,-, 0.47%,-
18077,22.11%, 60.54%,-, 1.03%,-
18079,27.62%, 63.21%,-, 1.20%,-
18081,54.88%, 77.17%,-, 0.53%,-
18083,32.16%, 65.62%,-, 0.92%,-
18085,58.33%, 78.93%,-, 0.47%,-
18087,42.71%, 71.11%,-, 0.50%,-
18089,13.13%, 56.24%,-, 0.66%,-
18091,32.74%, 65.98%,-, 0.78%,-
18093,43.56%, 71.55%,-, 0.46%,-
18095,30.12%, 64.92%,-, 0.29%,-
18097,33.54%, 66.52%,-, 0.50%,-
18099,46.35%, 73.02%,-, 0.31%,-
18101,26.30%, 62.99%,-, 0.33%,-
18103,41.55%, 70.46%,-, 0.62%,-
18105,13.24%, 56.05%,-, 1.13%,-
18107,52.28%, 75.99%,-, 0.30%,-
18109,55.65%, 77.62%,-, 0.42%,-
18111,50.10%, 75.00%,-, 0.10%,-
18113,29.99%, 64.75%,-, 0.49%,-
18115,19.40%, 59.50%,-, 0.39%,-
18117,32.08%, 65.89%,-, 0.31%,-
18119,38.89%, 69.25%,-, 0.39%,-
18121,38.72%, 69.16%,-, 0.40%,-
18123,9.75%, 54.72%,-, 0.30%,-
18125,23.12%, 61.28%,-, 0.56%,-
18127,49.78%, 74.60%,-, 0.58%,-
18129,30.69%, 65.24%,-, 0.20%,-
18131,38.72%, 69.04%,-, 0.65%,-
18133,40.38%, 70.08%,-, 0.22%,-
18135,43.70%, 71.57%,-, 0.56%,-
18137,29.25%, 64.45%,-, 0.35%,-
18139,54.19%, 76.95%,-, 0.30%,-
18141,21.65%, 60.55%,-, 0.56%,-
18143,12.19%, 55.77%,-, 0.66%,-
18145,45.41%, 72.44%,-, 0.52%,-
18147,17.54%, 58.61%,-, 0.32%,-
18149,29.49%, 64.43%,-, 0.62%,-
18151,40.06%, 69.80%,-, 0.47%,-
18153,19.04%, 59.30%,-, 0.43%,-
18155,7.43%, 53.53%,-, 0.37%,-
18157,36.59%, 68.08%,-, 0.44%,-
18159,45.84%, 72.67%,-, 0.50%,-
18161,45.35%, 72.50%,-, 0.35%,-
18163,37.30%, 68.32%,-, 0.66%,-
18165,15.01%, 57.24%,-, 0.53%,-
18167,22.13%, 60.73%,-, 0.67%,-
18169,36.91%, 68.29%,-, 0.32%,-
18171,40.31%, 69.96%,-, 0.38%,-
18173,32.64%, 65.84%,-, 0.97%,-
18175,21.11%, 60.06%,-, 0.98%,-
18177,47.53%, 73.60%,-, 0.33%,-
18179,32.56%, 65.77%,-, 1.02%,-
18181,46.80%, 73.19%,-, 0.42%,-
18183,32.02%, 65.67%,-, 0.68%,-
19001,29.26%, 63.59%,-, 2.07%,-
19003,21.44%, 59.57%,-,-, 2.30%
19005,28.63%, 63.24%,-, 0.09%, 2.06%
19007,30.21%, 64.04%,-, 0.09%, 2.03%
19009,24.06%, 61.61%,-, 0.83%,-
19011,10.17%, 54.09%,-, 1.99%,-
19013,17.12%, 57.51%,-, 2.10%,-
19015,10.51%, 54.29%,-, 1.93%,-
19017,33.41%, 65.89%,-, 1.62%,-
19019,18.44%, 58.32%,-, 1.79%,-
19021,23.97%, 61.25%,-, 1.47%,-
19023,45.64%, 71.82%,-, 2.01%,-
19025,21.59%, 60.00%,-, 1.59%,-
19027,2.08%, 47.55%,-, 0.09%, 2.74%
19029,45.59%, 72.06%,-, 1.46%,-
19031,28.29%, 63.39%,-, 1.51%,-
19033,11.05%, 54.65%,-, 1.74%,-
19035,25.63%, 62.23%,-, 1.16%,-
19037,9.99%, 54.57%,-, 0.85%,-
19039,16.00%, 56.75%,-,-, 2.49%
19041,21.79%, 59.30%,-, 0.13%, 3.05%
19043,23.00%, 60.20%,-, 0.19%, 2.41%
19045,12.51%, 55.60%,-, 1.31%,-
19047,19.24%, 58.60%,-, 2.03%,-
19049,9.25%, 53.72%,-, 1.82%,-
19051,11.49%, 54.61%,-, 0.02%, 2.24%
19053,16.50%, 57.44%,-, 1.63%,-
19055,24.04%, 61.21%,-, 1.62%,-
19057,6.96%, 52.77%,-, 1.41%,-
19059,21.41%, 58.60%,-, 0.16%, 4.06%
19061,3.14%, 47.29%,-, 0.07%, 2.21%
19063,26.84%, 62.92%,-, 1.01%,-
19065,23.87%, 60.83%,-, 0.14%, 2.07%
19067,16.94%, 57.69%,-, 1.56%,-
19069,28.64%, 62.96%,-, 0.07%, 2.64%
19071,36.65%, 67.62%,-, 1.41%,-
19073,21.46%, 59.35%,-, 0.05%, 2.71%
19075,43.20%, 71.03%,-, 1.13%,-
19077,23.20%, 60.69%,-, 1.81%,-
19079,23.95%, 60.87%,-, 0.05%, 2.15%
19081,22.14%, 60.47%,-, 1.21%,-
19083,24.62%, 61.42%,-, 1.79%,-
19085,32.80%, 65.83%,-, 1.13%,-
19087,29.74%, 64.26%,-, 1.23%,-
19089,9.87%, 54.37%,-, 1.13%,-
19091,26.93%, 62.53%,-, 1.86%,-
19093,30.49%, 64.67%,-, 1.15%,-
19095,23.32%, 60.34%,-, 0.07%, 2.57%
19097,14.24%, 55.75%,-, 0.09%, 2.66%
19099,12.87%, 55.31%,-, 0.05%, 2.20%
19101,31.74%, 64.83%,-, 0.07%, 2.02%
19103,16.83%, 40.91%,-, 1.36%,-
19105,17.53%, 58.23%,-, 1.07%,-
19107,18.46%, 58.35%,-, 1.75%,-
19109,13.98%, 56.39%,-, 1.20%,-
19111,12.70%, 55.33%,-, 2.04%,-
19113,7.42%, 52.78%,-, 1.86%,-
19115,24.01%, 61.31%,-, 1.40%,-
19117,23.28%, 60.79%,-, 1.71%,-
19119,45.34%, 72.12%,-, 1.09%,-
19121,21.25%, 59.35%,-, 0.03%, 2.52%
19123,29.96%, 63.82%,-, 0.12%, 2.20%
19125,16.82%, 57.09%,-, 0.13%, 2.51%
19127,23.56%, 60.85%,-, 1.85%,-
19129,52.44%, 74.94%,-, 0.15%, 2.42%
19131,16.00%, 57.44%,-, 1.13%,-
19133,19.07%, 58.91%,-, 1.26%,-
19135,14.95%, 56.73%,-, 1.49%,-
19137,46.88%, 72.69%,-, 1.51%,-
19139,25.80%, 61.84%,-, 2.12%,-
19141,39.18%, 68.87%,-, 1.44%,-
19143,26.13%, 62.56%,-, 1.02%,-
19145,54.36%, 76.43%,-, 1.50%,-
19147,4.88%, 51.78%,-, 1.32%,-
19149,22.03%, 60.57%,-, 0.90%,-
19151,16.35%, 57.19%,-, 1.97%,-
19153,8.35%, 52.95%,-, 0.19%, 2.25%
19155,40.94%, 69.32%,-, 0.09%, 2.21%
19157,12.34%, 55.33%,-, 1.68%,-
19159,38.18%, 68.54%,-, 1.09%,-
19161,23.93%, 61.41%,-, 1.10%,-
19163,17.37%, 57.41%,-, 0.12%, 2.42%
19165,27.85%, 62.93%,-, 1.99%,-
19167,57.34%, 78.27%,-, 0.80%,-
19169,8.53%, 53.56%,-, 1.41%,-
19171,15.37%, 56.96%,-, 1.45%,-
19173,41.40%, 70.16%,-, 1.08%,-
19175,27.14%, 62.47%,-, 0.13%, 2.06%
19177,27.92%, 63.18%,-, 1.56%,-
19179,5.24%, 51.19%,-, 0.18%, 2.70%
19181,17.10%, 57.26%,-, 0.07%, 2.50%
19183,29.71%, 64.12%,-, 1.46%,-
19185,25.60%, 62.00%,-, 1.60%,-
19187,13.95%, 55.96%,-, 2.02%,-
19189,29.63%, 64.48%,-, 0.67%,-
19191,14.12%, 56.23%,-, 1.66%,-
19193,16.37%, 57.34%,-, 1.69%,-
19195,11.43%, 55.31%,-, 0.82%,-
19197,20.92%, 59.73%,-, 1.45%,-
20001,41.07%, 69.47%,-, 2.13%,-
20003,43.87%, 70.86%,-, 2.16%,-
20005,38.02%, 67.83%,-, 2.37%,-
20007,50.87%, 74.26%,-, 0.29%, 2.06%
20009,40.59%, 68.87%,-, 0.32%, 2.54%
20011,42.03%, 70.09%,-, 1.85%,-
20013,59.93%, 78.92%,-, 2.09%,-
20015,38.90%, 67.39%,-, 0.59%, 3.53%
20017,55.81%, 76.04%,-, 0.71%, 3.02%
20019,58.93%, 78.00%,-, 0.15%, 2.77%
20021,35.78%, 67.03%,-, 1.73%,-
20023,54.59%, 75.51%,-, 0.31%, 3.25%
20025,55.33%, 76.03%,-, 0.87%, 2.40%
20027,58.89%, 78.42%,-, 2.05%,-
20029,35.09%, 66.38%,-, 2.34%,-
20031,53.51%, 75.70%,-, 2.10%,-
20033,56.57%, 77.18%,-, 2.20%,-
20035,46.00%, 70.51%,-, 0.60%, 4.37%
20037,17.85%, 58.02%,-, 1.82%,-
20039,44.88%, 70.22%,-, 0.66%, 3.78%
20041,52.71%, 75.34%,-, 2.02%,-
20043,59.46%, 78.40%,-, 0.25%, 2.42%
20045,13.33%, 55.64%,-, 2.05%,-
20047,32.69%, 64.54%,-, 0.46%, 3.16%
20049,54.65%, 76.02%,-, 0.25%, 2.35%
20051,13.76%, 55.67%,-, 0.32%, 2.10%
20053,33.08%, 65.20%,-, 0.56%, 2.12%
20055,34.43%, 65.66%,-, 0.45%, 2.65%
20057,36.92%, 67.12%,-, 0.53%, 2.15%
20059,47.84%, 72.71%,-, 2.42%,-
20061,42.20%, 70.02%,-, 2.17%,-
20063,43.30%, 69.86%,-, 0.57%, 3.02%
20065,48.47%, 73.32%,-, 1.83%,-
20067,49.48%, 73.19%,-, 0.75%, 2.34%
20069,40.54%, 69.15%,-, 0.17%, 2.07%
20071,45.77%, 68.49%,-, 0.64%, 8.15%
20073,52.05%, 74.49%,-, 0.73%, 2.34%
20075,39.10%, 67.26%,-, 0.79%, 3.79%
20077,54.71%, 75.71%,-, 0.72%, 2.56%
20079,38.39%, 67.23%,-, 0.52%, 3.42%
20081,45.10%, 71.55%,-, 2.00%,-
20083,41.86%, 68.40%,-, 1.12%, 3.93%
20085,46.49%, 71.98%,-, 0.39%, 2.14%
20087,48.25%, 72.69%,-, 0.63%, 2.23%
20089,50.40%, 74.04%,-, 2.31%,-
20091,50.46%, 74.14%,-, 2.18%,-
20093,44.58%, 70.87%,-, 0.65%, 2.18%
20095,41.23%, 68.90%,-, 0.40%, 3.03%
20097,56.46%, 76.35%,-, 1.13%, 2.64%
20099,32.27%, 64.76%,-, 0.38%, 2.37%
20101,50.39%, 73.21%,-, 0.78%, 3.18%
20103,37.96%, 67.70%,-, 0.25%, 2.31%
20105,53.76%, 75.57%,-, 0.14%, 2.47%
20107,48.61%, 73.41%,-, 1.78%,-
20109,44.26%, 69.99%,-, 0.18%, 4.09%
20111,41.37%, 69.67%,-, 2.02%,-
20113,43.51%, 70.56%,-, 2.40%,-
20115,47.78%, 72.17%,-, 0.23%, 3.20%
20117,37.78%, 67.68%,-, 0.15%, 2.28%
20119,51.66%, 74.56%,-, 0.52%, 2.00%
20121,40.81%, 69.04%,-, 0.22%, 2.51%
20123,45.54%, 71.59%,-, 0.28%, 2.07%
20125,50.49%, 73.66%,-, 0.29%, 2.89%
20127,54.44%, 76.12%,-, 2.19%,-
20129,50.03%, 72.68%,-, 0.56%, 4.12%
20131,30.79%, 64.06%,-, 0.13%, 2.55%
20133,31.99%, 65.06%,-, 1.87%,-
20135,39.40%, 68.37%,-, 0.49%, 2.18%
20137,53.92%, 75.80%,-, 0.20%, 2.12%
20139,44.54%, 71.11%,-, 0.24%, 2.08%
20141,49.06%, 73.42%,-, 2.22%,-
20143,48.04%, 72.94%,-, 2.15%,-
20145,35.00%, 65.83%,-, 0.61%, 2.72%
20147,54.58%, 76.15%,-, 0.18%, 2.09%
20149,49.34%, 73.51%,-, 0.15%, 2.16%
20151,44.63%, 71.20%,-, 2.23%,-
20153,45.05%, 70.46%,-, 0.18%, 3.95%
20155,30.58%, 63.81%,-, 0.94%, 2.03%
20157,45.77%, 71.80%,-, 2.16%,-
20159,34.78%, 66.22%,-, 2.33%,-
20161,34.43%, 66.16%,-, 2.12%,-
20163,45.34%, 71.74%,-, 1.87%,-
20165,33.16%, 65.25%,-, 2.67%,-
20167,50.26%, 73.81%,-, 0.33%, 2.31%
20169,39.23%, 68.74%,-, 1.75%,-
20171,52.74%, 74.30%,-, 0.86%, 3.27%
20173,35.03%, 65.74%,-, 0.50%, 3.05%
20175,57.51%, 77.27%,-, 0.44%, 2.52%
20177,35.64%, 66.75%,-, 2.13%,-
20179,33.05%, 64.40%,-, 0.34%, 3.92%
20181,45.25%, 69.92%,-, 0.25%, 5.15%
20183,50.90%, 74.26%,-, 2.37%,-
20185,43.36%, 70.35%,-, 2.65%,-
20187,46.96%, 71.54%,-, 0.38%, 3.51%
20189,52.65%, 74.48%,-, 0.59%, 3.10%
20191,41.75%, 68.08%,-, 0.46%, 5.12%
20193,39.96%, 67.73%,-, 0.27%, 4.24%
20195,36.56%, 66.91%,-, 0.34%, 2.39%
20197,56.17%, 76.83%,-, 0.25%, 2.25%
20199,53.18%, 73.22%,-, 0.28%, 6.46%
20201,52.46%, 75.13%,-, 2.21%,-
20203,44.54%, 69.89%,-, 0.26%, 4.49%
20205,52.94%, 74.80%,-, 0.48%, 2.85%
20207,47.51%, 72.59%,-, 2.33%,-
20209,9.18%, 52.70%,-, 0.87%, 2.91%
21001,40.66%, 69.77%,-, 1.12%,-
21003,40.77%, 69.83%,-, 1.11%,-
21005,27.14%, 62.62%,-, 1.91%,-
21007,4.24%, 49.92%,-, 0.26%, 4.14%
21009,27.70%, 62.60%,-, 0.12%, 2.37%
21011,17.43%, 58.47%,-, 0.49%,-
21013,33.43%, 66.06%,-, 1.32%,-
21015,46.30%, 71.55%,-, 0.14%, 3.07%
21017,25.75%, 62.02%,-, 1.70%,-
21019,32.81%, 65.92%,-, 0.98%,-
21021,28.34%, 63.66%,-, 1.02%,-
21023,29.82%, 64.30%,-, 1.22%,-
21025,18.30%, 40.65%,-, 0.40%,-
21027,29.71%, 64.25%,-, 1.22%,-
21029,22.38%, 59.80%,-, 0.24%, 2.53%
21031,55.16%, 77.03%,-, 1.10%,-
21033,36.10%, 66.32%,-, 0.34%, 3.12%
21035,19.46%, 59.17%,-, 1.11%,-
21037,38.85%, 68.01%,-, 0.22%, 2.62%
21039,14.16%, 55.75%,-, 0.38%, 2.29%
21041,3.11%, 47.71%,-, 1.48%,-
21043,22.16%, 60.68%,-, 0.80%,-
21045,59.52%, 78.83%,-, 1.86%,-
21047,28.63%, 63.34%,-, 1.95%,-
21049,37.75%, 68.43%,-, 0.90%,-
21051,40.43%, 69.99%,-, 0.45%,-
21053,59.66%, 79.59%,-, 0.48%,-
21055,44.19%, 71.52%,-, 1.15%,-
21057,53.56%, 76.42%,-, 0.73%,-
21059,34.53%, 65.64%,-, 0.37%, 2.88%
21061,52.21%, 75.70%,-, 0.81%,-
21063,31.21%, 34.04%,-, 0.70%,-
21065,39.37%, 69.42%,-, 0.52%,-
21067,35.39%, 66.54%,-, 0.25%, 2.07%
21069,25.84%, 62.38%,-, 1.08%,-
21071,10.47%, 44.20%,-, 1.14%,-
21073,15.94%, 56.88%,-, 2.17%,-
21075,26.57%, 61.32%,-, 0.17%, 3.77%
21077,7.94%, 53.38%,-, 1.19%,-
21079,36.55%, 67.49%,-, 1.57%,-
21081,31.68%, 64.03%,-, 0.21%, 3.41%
21083,23.73%, 60.38%,-, 0.35%, 2.63%
21085,37.90%, 67.99%,-, 1.91%,-
21087,38.62%, 68.82%,-, 0.97%,-
21089,20.43%, 59.70%,-, 1.03%,-
21091,32.33%, 64.61%,-, 0.37%, 2.73%
21093,35.30%, 65.93%,-, 0.20%, 3.24%
21095,19.83%, 59.42%,-, 0.99%,-
21097,20.80%, 59.70%,-, 1.40%,-
21099,21.47%, 60.31%,-, 0.84%,-
21101,22.81%, 60.68%,-, 1.45%,-
21103,6.32%, 52.49%,-, 1.34%,-
21105,17.99%, 56.66%,-, 0.20%, 4.48%
21107,38.54%, 68.67%,-, 1.21%,-
21109,84.60%, 92.18%,-, 0.24%,-
21111,23.03%, 60.41%,-, 0.18%, 2.02%
21113,48.68%, 72.91%,-, 0.32%, 2.54%
21115,45.16%, 72.25%,-, 0.66%,-
21117,36.10%, 66.66%,-, 0.28%, 2.50%
21119,30.21%, 34.50%,-, 0.79%,-
21121,46.69%, 72.93%,-, 0.83%,-
21123,24.27%, 61.53%,-, 1.21%,-
21125,52.00%, 75.63%,-, 0.73%,-
21127,21.82%, 60.48%,-, 0.86%,-
21129,37.06%, 68.22%,-, 0.63%,-
21131,56.33%, 77.88%,-, 0.57%,-
21133,18.13%, 58.54%,-, 1.06%,-
21135,44.08%, 71.57%,-, 0.94%,-
21137,31.25%, 65.03%,-, 1.18%,-
21139,21.79%, 59.96%,-, 1.86%,-
21141,18.04%, 57.86%,-, 0.26%, 2.06%
21143,19.49%, 58.52%,-, 0.11%, 2.33%
21145,18.92%, 57.69%,-, 0.25%, 3.29%
21147,63.36%, 80.56%,-, 0.20%, 2.04%
21149,31.36%, 65.10%,-, 1.16%,-
21151,32.81%, 65.60%,-, 1.61%,-
21153,5.12%, 52.39%,-, 0.33%,-
21155,0.40%, 49.74%,-, 0.92%,-
21157,20.46%, 59.16%,-, 0.12%, 2.03%
21159,57.24%, 77.87%,-, 1.50%,-
21161,17.72%, 58.46%,-, 0.81%,-
21163,23.25%, 60.93%,-, 1.39%,-
21165,10.01%, 43.89%,-, 0.15%, 2.06%
21167,34.53%, 66.08%,-, 0.18%, 2.18%
21169,18.16%, 58.55%,-, 1.05%,-
21171,65.75%, 82.57%,-, 0.61%,-
21173,26.45%, 62.63%,-, 1.18%,-
21175,8.31%, 45.56%,-, 0.56%,-
21177,26.18%, 62.33%,-, 1.51%,-
21179,10.22%, 53.54%,-, 0.37%, 2.77%
21181,14.21%, 56.22%,-, 1.78%,-
21183,44.57%, 71.75%,-, 1.08%,-
21185,38.69%, 68.00%,-, 0.22%, 2.46%
21187,11.13%, 54.92%,-, 1.28%,-
21189,67.86%, 83.68%,-, 0.50%,-
21191,36.17%, 67.28%,-, 1.61%,-
21193,19.58%, 59.37%,-, 0.84%,-
21195,13.61%, 56.46%,-, 0.68%,-
21197,17.72%, 58.40%,-, 0.93%,-
21199,54.63%, 76.99%,-, 0.64%,-
21201,3.91%, 51.01%,-, 1.90%,-
21203,55.53%, 77.31%,-, 0.92%,-
21205,19.71%, 59.45%,-, 0.81%,-
21207,54.08%, 76.48%,-, 1.13%,-
21209,32.09%, 64.76%,-, 0.20%, 2.37%
21211,29.99%, 64.19%,-, 1.62%,-
21213,26.29%, 62.57%,-, 1.15%,-
21215,39.23%, 68.75%,-, 1.72%,-
21217,36.56%, 67.79%,-, 0.97%,-
21219,22.38%, 59.25%,-, 0.36%, 3.53%
21221,7.58%, 52.95%,-, 1.68%,-
21223,10.40%, 54.61%,-, 1.17%,-
21225,18.38%, 58.67%,-, 1.04%,-
21227,35.03%, 66.78%,-, 1.48%,-
21229,20.39%, 58.70%,-, 0.37%, 2.62%
21231,30.65%, 64.83%,-, 0.98%,-
21233,16.43%, 57.57%,-, 1.30%,-
21235,50.64%, 74.91%,-, 0.83%,-
21237,1.10%, 48.83%,-, 1.25%,-
21239,43.82%, 70.34%,-, 0.10%, 3.03%
22001,34.83%, 63.83%,-, 1.78%, 5.40%
22003,25.75%, 59.41%,-, 1.61%, 5.33%
22005,19.57%, 54.48%,-, 1.92%, 8.69%
22007,26.49%, 58.93%,-,-, 6.36%
22009,26.26%, 57.76%,-,-, 7.84%
22011,45.20%, 69.41%,-, 1.58%, 4.80%
22013,26.04%, 58.99%,-, 1.31%, 6.76%
22015,60.81%, 78.63%,-, 0.83%, 2.72%
22017,47.92%, 71.68%,-, 0.48%, 4.08%
22019,22.01%, 57.72%,-, 1.05%, 5.52%
22021,60.03%, 76.99%,-, 1.64%, 4.41%
22023,28.55%, 60.90%,-, 1.44%, 5.30%
22025,50.71%, 73.15%,-,-, 2.02%
22027,35.12%, 64.08%,-, 1.08%, 5.88%
22029,33.87%, 64.37%,-, 1.78%, 3.35%
22031,19.87%, 56.16%,-, 1.20%, 6.35%
22033,36.04%, 65.37%,-, 0.89%, 4.42%
22035,2.09%, 48.40%,-, 1.23%, 4.07%
22037,9.56%, 48.98%,-,-, 9.29%
22039,28.30%, 60.03%,-, 1.76%, 6.49%
22041,54.87%, 73.76%,-, 1.89%, 5.46%
22043,58.39%, 76.51%,-, 1.67%, 3.69%
22045,37.17%, 65.84%,-, 1.63%, 3.86%
22047,3.80%, 46.92%,-, 1.45%, 8.52%
22049,45.07%, 69.96%,-, 1.65%, 3.50%
22051,53.38%, 73.99%,-, 1.17%, 4.24%
22053,37.46%, 65.96%,-, 1.15%, 4.38%
22055,42.77%, 69.10%,-, 1.24%, 3.33%
22057,39.65%, 67.20%,-, 1.76%, 3.49%
22059,67.76%, 81.51%,-,-, 2.73%
22061,42.57%, 69.15%,-, 0.93%, 3.34%
22063,54.45%, 72.96%,-, 1.97%, 6.55%
22065,3.48%, 49.22%,-, 1.22%, 3.82%
22067,39.62%, 66.94%,-, 1.14%, 4.61%
22069,35.31%, 64.74%,-, 1.46%, 4.36%
22071,16.90%, 54.55%,-, 1.72%, 6.08%
22073,53.93%, 74.74%,-, 1.34%, 3.12%
22075,70.58%, 83.05%,-, 1.17%, 3.31%
22077,0.86%, 46.58%,-, 1.28%, 6.42%
22079,43.37%, 69.68%,-, 0.52%, 3.48%
22081,37.84%, 65.95%,-, 0.76%, 5.17%
22083,48.84%, 70.80%,-,-, 5.08%
22085,53.94%, 73.88%,-,-, 4.07%
