id,margin,nixon,kennedy,other,hex_color
04025,22.32%, 61.12%, 38.80%,0.0800000000000125%,9b0062
04027,8.97%, 45.45%, 54.42%,0.12999999999999545%,73008a
05001,14.03%, 38.42%, 52.44%,9.14%,611785
05003,36.41%, 25.63%, 62.04%,12.329999999999998%,411f9e
05005,10.67%, 54.34%, 43.67%,1.9899999999999949%,8a056f
05007,36.35%, 67.58%, 31.23%,1.1899999999999977%,ac034f
05009,9.85%, 54.36%, 44.51%,1.1299999999999955%,8a0271
05011,49.57%, 20.74%, 70.31%,8.950000000000003%,3416b3
05013,53.57%, 18.46%, 72.03%,9.509999999999991%,2f18b7
05015,33.14%, 65.95%, 32.81%,1.2399999999999949%,a80353
05017,27.01%, 32.09%, 59.10%,8.810000000000002%,511696
05019,38.13%, 26.70%, 64.82%,8.480000000000004%,4415a5
05021,13.90%, 55.67%, 41.77%,2.5600000000000023%,8d066a
05023,5.17%, 44.96%, 50.13%,4.909999999999997%,720c7f
05025,53.99%, 16.91%, 70.90%,12.189999999999998%,2b1fb4
05027,0.98%, 42.32%, 43.30%,14.379999999999995%,6b246e
05029,25.33%, 35.13%, 60.47%,4.400000000000006%,590b9a
05031,3.35%, 48.97%, 45.61%,5.420000000000002%,7c0d74
05033,15.96%, 57.10%, 41.14%,1.759999999999991%,910468
05035,8.68%, 43.56%, 52.24%,4.199999999999989%,6f0a85
05037,22.16%, 35.60%, 57.76%,6.640000000000001%,5a1093
05039,37.48%, 25.20%, 62.68%,12.120000000000005%,401e9f
05041,36.56%, 27.01%, 63.57%,9.420000000000002%,4418a2
05043,36.12%, 26.36%, 62.49%,11.150000000000006%,431c9f
05045,21.09%, 36.71%, 57.80%,5.490000000000009%,5d0d93
05047,10.50%, 43.48%, 53.99%,2.530000000000001%,6e0689
05049,22.93%, 60.95%, 38.02%,1.0300000000000011%,9b0260
05051,6.25%, 51.66%, 45.42%,2.9200000000000017%,830773
05053,36.62%, 24.81%, 61.44%,13.75%,3f239c
05055,2.08%, 47.73%, 49.81%,2.460000000000008%,79067f
05057,13.62%, 40.93%, 54.55%,4.52000000000001%,680b8b
05059,29.42%, 29.59%, 59.00%,11.409999999999997%,4b1d96
05061,5.16%, 44.79%, 49.95%,5.259999999999991%,720d7f
05063,2.87%, 49.90%, 47.02%,3.0799999999999983%,7f0777
05065,23.67%, 35.94%, 59.61%,4.450000000000003%,5b0b98
05067,16.94%, 38.50%, 55.44%,6.060000000000002%,620f8d
05069,23.65%, 31.76%, 55.41%,12.829999999999998%,50208d
05071,12.72%, 42.29%, 55.01%,2.700000000000003%,6b068c
05073,24.65%, 30.67%, 55.31%,14.019999999999996%,4e238d
05075,6.74%, 44.28%, 51.02%,4.699999999999989%,700b82
05077,13.88%, 38.28%, 52.17%,9.549999999999997%,611885
05079,43.61%, 23.66%, 67.27%,9.070000000000007%,3c17ab
05081,35.39%, 29.79%, 65.17%,5.039999999999992%,4b0ca6
05083,13.06%, 42.28%, 55.33%,2.3900000000000006%,6b068d
05085,26.76%, 29.17%, 55.93%,14.900000000000006%,4a258e
05087,17.69%, 58.20%, 40.51%,1.289999999999992%,940367
05089,2.39%, 50.60%, 48.21%,1.1899999999999977%,81037a
05091,17.70%, 38.35%, 56.06%,5.590000000000003%,610e8e
05093,1.46%, 47.08%, 48.54%,4.3799999999999955%,780b7b
05095,33.34%, 27.15%, 60.50%,12.349999999999994%,451f9a
05097,2.86%, 49.85%, 46.99%,3.1599999999999966%,7f0877
05099,24.28%, 34.06%, 58.34%,7.599999999999994%,561394
05101,36.10%, 67.51%, 31.41%,1.0799999999999983%,ac0250
05103,33.33%, 29.77%, 63.10%,7.1299999999999955%,4b12a0
05105,20.79%, 36.17%, 56.97%,6.859999999999999%,5c1191
05107,29.01%, 32.47%, 61.48%,6.050000000000011%,520f9c
05109,0.76%, 48.19%, 47.43%,4.3799999999999955%,7a0b78
05111,7.11%, 44.64%, 51.75%,3.6099999999999994%,710983
05113,6.80%, 51.82%, 45.02%,3.1599999999999966%,840872
05115,3.35%, 46.04%, 49.38%,4.579999999999998%,750b7d
05117,35.89%, 27.85%, 63.73%,8.420000000000002%,4715a2
05119,6.97%, 39.70%, 46.67%,13.629999999999995%,652277
05121,1.95%, 49.42%, 47.47%,3.1099999999999994%,7e0779
05123,14.30%, 39.53%, 53.83%,6.640000000000001%,641089
05125,25.08%, 32.32%, 57.40%,10.280000000000001%,521a92
05127,0.93%, 50.22%, 49.29%,0.4900000000000091%,80017d
05129,38.05%, 68.55%, 30.50%,0.9500000000000028%,ae024d
05131,14.58%, 56.75%, 42.16%,1.0900000000000034%,90026b
05133,15.49%, 40.25%, 55.73%,4.02000000000001%,660a8e
05135,5.82%, 51.01%, 45.18%,3.8100000000000023%,820973
05137,3.19%, 49.36%, 46.17%,4.469999999999999%,7d0b75
05139,6.41%, 41.51%, 47.92%,10.569999999999993%,691a7a
05141,6.57%, 44.51%, 51.08%,4.409999999999997%,710b82
05143,29.96%, 64.34%, 34.38%,1.2800000000000011%,a40357
05145,12.80%, 40.52%, 53.33%,6.150000000000006%,670f87
05147,37.32%, 26.31%, 63.63%,10.060000000000002%,4319a2
05149,20.54%, 37.96%, 58.49%,3.549999999999997%,600995
06001,8.41%, 45.61%, 54.02%,0.37000000000000455%,740089
06003,53.49%, 76.74%, 23.26%,0.0%,c3003b
06005,10.54%, 44.51%, 55.04%,0.45000000000000284%,71018c
06007,15.69%, 57.60%, 41.92%,0.47999999999998977%,92016a
06009,5.80%, 52.60%, 46.80%,0.5999999999999943%,860177
06011,3.07%, 51.37%, 48.30%,0.3300000000000125%,82007b
06013,6.04%, 46.82%, 52.86%,0.3199999999999932%,770086
06015,3.19%, 48.05%, 51.24%,0.710000000000008%,7a0182
06017,0.89%, 49.16%, 50.05%,0.7900000000000063%,7d027f
06019,10.89%, 44.32%, 55.21%,0.46999999999999886%,71018c
06021,6.81%, 53.17%, 46.36%,0.46999999999999886%,870176
06023,5.99%, 46.71%, 52.70%,0.5900000000000034%,770186
06025,7.51%, 53.55%, 46.04%,0.4099999999999966%,880175
06027,9.58%, 54.65%, 45.07%,0.28000000000000114%,8b0072
06029,1.30%, 50.43%, 49.13%,0.4399999999999977%,80017d
06031,14.82%, 42.31%, 57.13%,0.5600000000000023%,6b0191
06033,17.99%, 58.74%, 40.75%,0.5099999999999909%,950167
06035,18.84%, 40.24%, 59.08%,0.6800000000000068%,660196
06037,0.80%, 49.45%, 50.25%,0.29999999999999716%,7e0080
06039,16.06%, 41.75%, 57.81%,0.4399999999999977%,6a0193
06041,14.82%, 57.29%, 42.47%,0.2400000000000091%,92006c
06043,8.81%, 53.97%, 45.16%,0.8700000000000045%,890273
06045,0.93%, 49.29%, 50.21%,0.5%,7d0180
06047,12.86%, 43.37%, 56.23%,0.4000000000000057%,6e018f
06049,4.17%, 51.80%, 47.63%,0.5699999999999932%,840179
06051,33.09%, 66.33%, 33.24%,0.4300000000000068%,a90154
06053,12.83%, 56.26%, 43.43%,0.3100000000000023%,8f006e
06055,5.65%, 52.56%, 46.91%,0.5300000000000011%,860177
06057,7.75%, 53.44%, 45.69%,0.8700000000000045%,880274
06059,21.87%, 60.81%, 38.95%,0.23999999999999488%,9b0063
06061,12.01%, 43.75%, 55.75%,0.5%,6f018e
06063,24.51%, 37.47%, 61.97%,0.5600000000000023%,5f019e
06065,12.77%, 56.15%, 43.38%,0.46999999999999886%,8f016e
06067,13.06%, 43.26%, 56.32%,0.4200000000000017%,6e018f
06069,3.03%, 51.40%, 48.38%,0.21999999999999886%,83007b
06071,4.49%, 52.00%, 47.51%,0.4900000000000091%,840179
06073,13.10%, 56.41%, 43.31%,0.28000000000000114%,8f006e
06075,15.99%, 41.79%, 57.78%,0.4300000000000068%,6a0193
06077,6.09%, 52.85%, 46.76%,0.39000000000000057%,860077
06079,8.73%, 54.04%, 45.30%,0.6599999999999966%,890173
06081,3.67%, 51.70%, 48.04%,0.2599999999999909%,83007a
06083,13.74%, 56.73%, 42.99%,0.28000000000000114%,90006d
06085,5.63%, 52.67%, 47.05%,0.28000000000000114%,860077
06087,19.66%, 59.61%, 39.95%,0.4399999999999977%,980165
06089,21.52%, 38.94%, 60.45%,0.6099999999999994%,63019a
06091,5.77%, 46.79%, 52.56%,0.6500000000000057%,770186
06093,13.45%, 42.95%, 56.40%,0.6500000000000057%,6d018f
06095,17.93%, 40.88%, 58.81%,0.3100000000000023%,680095
06097,8.58%, 54.10%, 45.52%,0.37999999999999545%,890074
06099,0.15%, 49.62%, 49.77%,0.6099999999999994%,7e017e
06101,26.28%, 62.91%, 36.63%,0.46000000000000796%,a0015d
06103,0.35%, 49.96%, 49.61%,0.4300000000000068%,7f017e
06105,22.82%, 38.35%, 61.17%,0.47999999999998977%,61019b
06107,8.37%, 53.97%, 45.60%,0.4300000000000068%,890174
06109,1.20%, 49.11%, 50.31%,0.5799999999999983%,7d0180
06111,0.37%, 49.59%, 49.96%,0.44999999999998863%,7e017f
06113,10.14%, 44.73%, 54.87%,0.4000000000000057%,72018b
06115,4.02%, 51.72%, 47.71%,0.5699999999999932%,830179
08001,6.82%, 46.36%, 53.19%,0.45000000000000284%,760187
08003,11.26%, 55.58%, 44.32%,0.09999999999999432%,8d0071
08005,20.45%, 60.07%, 39.62%,0.3100000000000023%,990065
08007,7.38%, 46.26%, 53.64%,0.09999999999999432%,750088
08009,31.13%, 65.48%, 34.34%,0.1799999999999926%,a60057
08011,15.25%, 57.54%, 42.29%,0.1700000000000017%,92006b
08013,23.34%, 61.47%, 38.13%,0.4000000000000057%,9c0161
08014,0%,-,-,0,000000
08015,4.38%, 52.14%, 47.76%,0.09999999999999432%,840079
08017,31.54%, 65.69%, 34.15%,0.1599999999999966%,a70057
08019,16.71%, 58.35%, 41.65%,0.0%,94006a
08021,19.93%, 38.80%, 58.73%,2.469999999999999%,620695
08023,35.68%, 31.83%, 67.52%,0.6500000000000057%,5101ac
08025,21.83%, 60.89%, 39.06%,0.04999999999999716%,9b0063
08027,23.69%, 61.85%, 38.15%,0.0%,9d0061
08029,26.62%, 63.24%, 36.62%,0.14000000000000057%,a1005d
08031,0.09%, 49.59%, 49.68%,0.7299999999999898%,7e017e
