id,margin,nixon,kennedy,other,hex_color
13115,9.23%, 45.39%, 54.61%,0.0%,73008b
13117,46.60%, 26.70%, 73.30%,0.0%,4400ba
13119,82.49%, 8.76%, 91.24%,0.0%,1600e8
13121,1.70%, 49.15%, 50.85%,0.0%,7d0081
13123,11.38%, 55.69%, 44.31%,0.0%,8e0070
13125,24.84%, 37.58%, 62.42%,0.0%,5f009f
13127,10.11%, 44.95%, 55.05%,0.0%,72008c
13129,30.45%, 34.78%, 65.22%,0.0%,5800a6
13131,62.21%, 18.90%, 81.10%,0.0%,3000ce
13133,71.56%, 14.22%, 85.78%,0.0%,2400da
13135,47.00%, 26.50%, 73.50%,0.0%,4300bb
13137,47.74%, 26.13%, 73.87%,0.0%,4200bc
13139,36.93%, 31.53%, 68.47%,0.0%,5000ae
13141,46.34%, 26.83%, 73.17%,0.0%,4400ba
13143,19.65%, 40.18%, 59.82%,0.0%,660098
13145,29.90%, 35.05%, 64.95%,0.0%,5900a5
13147,87.02%, 6.49%, 93.51%,0.0%,1000ee
13149,74.23%, 12.88%, 87.12%,0.0%,2000de
13151,47.92%, 26.04%, 73.96%,0.0%,4200bc
13153,39.31%, 30.35%, 69.65%,0.0%,4d00b1
13155,64.39%, 17.80%, 82.20%,0.0%,2d00d1
13157,77.12%, 11.44%, 88.56%,0.0%,1d00e1
13159,55.57%, 22.21%, 77.79%,0.0%,3800c6
13161,34.47%, 32.76%, 67.24%,0.0%,5300ab
13163,12.59%, 43.71%, 56.29%,0.0%,6f008f
13165,62.45%, 18.78%, 81.22%,0.0%,2f00cf
13167,45.35%, 27.32%, 72.68%,0.0%,4500b9
13169,48.63%, 25.68%, 74.32%,0.0%,4100bd
13171,47.99%, 26.00%, 74.00%,0.0%,4200bc
13173,68.24%, 15.88%, 84.12%,0.0%,2800d6
13175,42.31%, 28.84%, 71.16%,0.0%,4900b5
13177,35.80%, 32.10%, 67.90%,0.0%,5100ad
13179,26.24%, 36.88%, 63.12%,0.0%,5e00a0
13181,54.50%, 22.75%, 77.25%,0.0%,3a00c4
13183,52.72%, 76.36%, 23.64%,0.0%,c2003c
13185,10.70%, 44.65%, 55.35%,0.0%,71008d
13187,27.74%, 36.13%, 63.87%,0.0%,5c00a2
13189,1.89%, 49.06%, 50.94%,0.0%,7d0081
13191,27.55%, 36.22%, 63.78%,0.0%,5c00a2
13193,54.52%, 22.74%, 77.26%,0.0%,3900c5
13195,84.37%, 7.82%, 92.18%,0.0%,1300eb
13197,61.45%, 19.27%, 80.73%,0.0%,3100cd
13199,62.90%, 18.55%, 81.45%,0.0%,2f00cf
13201,89.47%, 5.26%, 94.74%,0.0%,0d00f1
13205,76.72%, 11.64%, 88.36%,0.0%,1d00e1
13207,47.73%, 26.14%, 73.86%,0.0%,4200bc
13209,58.41%, 20.80%, 79.20%,0.0%,3500c9
13211,59.91%, 20.04%, 79.96%,0.0%,3300cb
13213,33.95%, 33.02%, 66.98%,0.0%,5400aa
13215,5.65%, 52.83%, 47.17%,0.0%,860078
13217,63.63%, 18.19%, 81.81%,0.0%,2e00d0
13219,60.79%, 19.60%, 80.40%,0.0%,3100cd
13221,81.65%, 9.17%, 90.83%,0.0%,1700e7
13223,49.38%, 25.31%, 74.69%,0.0%,4000be
13225,39.06%, 30.47%, 69.53%,0.0%,4d00b1
13227,13.76%, 56.88%, 43.12%,0.0%,91006d
13229,45.41%, 27.30%, 72.70%,0.0%,4500b9
13231,60.25%, 19.88%, 80.12%,0.0%,3200cc
13233,42.73%, 28.64%, 71.36%,0.0%,4900b5
13235,55.17%, 22.42%, 77.58%,0.0%,3900c5
13237,56.71%, 21.65%, 78.35%,0.0%,3700c7
13239,70.55%, 14.73%, 85.27%,0.0%,2500d9
13241,53.97%, 23.02%, 76.98%,0.0%,3a00c4
13243,51.72%, 24.14%, 75.86%,0.0%,3d00c1
13245,9.66%, 54.83%, 45.17%,0.0%,8b0073
13247,56.13%, 21.94%, 78.06%,0.0%,3700c7
13249,54.38%, 22.81%, 77.19%,0.0%,3a00c4
13251,21.78%, 39.11%, 60.89%,0.0%,63009b
13253,90.70%, 4.65%, 95.35%,0.0%,0b00f3
13255,43.26%, 28.37%, 71.63%,0.0%,4800b6
13257,58.23%, 20.89%, 79.11%,0.0%,3500c9
13259,36.29%, 31.86%, 68.14%,0.0%,5100ad
13261,40.54%, 29.73%, 70.27%,0.0%,4b00b3
13263,57.67%, 21.17%, 78.83%,0.0%,3500c9
13265,63.14%, 18.43%, 81.57%,0.0%,2e00d0
13267,37.41%, 31.29%, 68.71%,0.0%,4f00af
13269,53.38%, 23.31%, 76.69%,0.0%,3b00c3
13271,57.39%, 21.30%, 78.70%,0.0%,3600c8
13273,65.18%, 17.41%, 82.59%,0.0%,2c00d2
13275,17.07%, 41.46%, 58.54%,0.0%,690095
13277,35.13%, 32.44%, 67.56%,0.0%,5200ac
13279,36.06%, 31.97%, 68.03%,0.0%,5100ad
13281,9.47%, 54.73%, 45.27%,0.0%,8b0073
13283,62.20%, 18.90%, 81.10%,0.0%,3000ce
13285,34.34%, 32.83%, 67.17%,0.0%,5300ab
13287,64.98%, 17.51%, 82.49%,0.0%,2c00d2
13289,52.53%, 23.74%, 76.26%,0.0%,3c00c2
13291,12.93%, 56.47%, 43.53%,0.0%,8f006f
13293,53.04%, 23.48%, 76.52%,0.0%,3b00c3
13295,6.27%, 46.86%, 53.14%,0.0%,770087
13297,76.96%, 11.52%, 88.48%,0.0%,1d00e1
13299,39.05%, 30.47%, 69.53%,0.0%,4d00b1
13301,11.35%, 44.33%, 55.67%,0.0%,71008d
13303,35.41%, 32.30%, 67.70%,0.0%,5200ac
13305,34.81%, 32.60%, 67.40%,0.0%,5300ab
13307,58.82%, 20.59%, 79.41%,0.0%,3400ca
13309,62.21%, 18.90%, 81.10%,0.0%,3000ce
13311,45.87%, 27.06%, 72.94%,0.0%,4500b9
13313,7.02%, 53.51%, 46.49%,0.0%,880076
13315,69.70%, 15.15%, 84.85%,0.0%,2600d8
13317,63.78%, 18.11%, 81.89%,0.0%,2e00d0
13319,35.45%, 32.28%, 67.72%,0.0%,5200ac
13321,72.39%, 13.81%, 86.19%,0.0%,2300db
15001,2.91%, 51.46%, 48.54%,0.0%,83007b
15003,2.51%, 48.75%, 51.25%,0.0%,7c0082
15005,0%,-,-,0,000000
15007,9.90%, 54.95%, 45.05%,0.0%,8c0072
15009,9.57%, 54.79%, 45.21%,0.0%,8b0073
16001,23.90%, 61.95%, 38.05%,0.0%,9d0061
16003,4.92%, 52.46%, 47.54%,0.0%,850079
16005,15.77%, 42.11%, 57.89%,0.0%,6b0093
16007,11.34%, 55.67%, 44.33%,0.0%,8d0071
16009,15.91%, 42.05%, 57.95%,0.0%,6b0093
16011,10.12%, 55.06%, 44.94%,0.0%,8c0072
16013,1.46%, 49.27%, 50.73%,0.0%,7d0081
16015,2.70%, 51.35%, 48.65%,0.0%,82007c
16017,6.40%, 46.80%, 53.20%,0.0%,770087
16019,11.35%, 55.68%, 44.32%,0.0%,8d0071
16021,9.64%, 45.18%, 54.82%,0.0%,73008b
16023,19.10%, 40.45%, 59.55%,0.0%,670097
16025,6.27%, 46.86%, 53.14%,0.0%,770087
16027,24.21%, 62.10%, 37.90%,0.0%,9e0060
16029,8.85%, 54.42%, 45.58%,0.0%,8a0074
16031,27.47%, 63.73%, 36.27%,0.0%,a2005c
16033,23.31%, 61.66%, 38.34%,0.0%,9d0061
16035,33.72%, 33.14%, 66.86%,0.0%,5400aa
16037,12.56%, 43.72%, 56.28%,0.0%,6f008f
16039,4.59%, 47.71%, 52.29%,0.0%,790085
16041,32.15%, 66.07%, 33.93%,0.0%,a80056
16043,8.33%, 54.17%, 45.83%,0.0%,8a0074
16045,10.26%, 55.13%, 44.87%,0.0%,8c0072
16047,11.44%, 55.72%, 44.28%,0.0%,8e0070
16049,18.31%, 40.84%, 59.16%,0.0%,680096
16051,5.02%, 52.51%, 47.49%,0.0%,850079
16053,16.98%, 58.49%, 41.51%,0.0%,950069
16055,7.20%, 46.40%, 53.60%,0.0%,760088
16057,1.62%, 50.81%, 49.19%,0.0%,81007d
16059,2.73%, 51.36%, 48.64%,0.0%,82007c
16061,29.42%, 35.29%, 64.71%,0.0%,5900a5
16063,10.67%, 55.33%, 44.67%,0.0%,8d0071
16065,17.18%, 58.59%, 41.41%,0.0%,950069
16067,15.33%, 57.66%, 42.34%,0.0%,93006b
16069,20.85%, 39.58%, 60.42%,0.0%,64009a
16071,16.34%, 58.17%, 41.83%,0.0%,94006a
16073,14.11%, 57.06%, 42.94%,0.0%,91006d
16075,23.89%, 61.94%, 38.06%,0.0%,9d0061
16077,5.19%, 52.59%, 47.41%,0.0%,860078
16079,18.61%, 40.70%, 59.30%,0.0%,670097
16081,11.30%, 55.65%, 44.35%,0.0%,8d0071
16083,24.30%, 62.15%, 37.85%,0.0%,9e0060
16085,12.55%, 56.28%, 43.72%,0.0%,8f006f
16087,11.71%, 55.86%, 44.14%,0.0%,8e0070
17001,11.47%, 55.70%, 44.22%,0.0799999999999983%,8e0070
17003,3.87%, 47.96%, 51.83%,0.21000000000000796%,7a0084
17005,20.12%, 60.00%, 39.88%,0.12000000000000455%,990065
17007,43.08%, 71.51%, 28.43%,0.060000000000002274%,b60048
17009,1.07%, 50.51%, 49.44%,0.05000000000001137%,80007e
17011,23.58%, 61.73%, 38.15%,0.12000000000000455%,9d0061
17013,1.41%, 50.63%, 49.22%,0.15000000000000568%,81007d
17015,33.82%, 66.70%, 32.88%,0.4199999999999875%,aa0153
17017,4.19%, 52.04%, 47.85%,0.10999999999999943%,84007a
17019,23.50%, 61.16%, 37.66%,1.1800000000000068%,9b0360
17021,4.84%, 47.54%, 52.38%,0.0799999999999983%,790085
17023,14.77%, 57.36%, 42.59%,0.04999999999999716%,92006c
17025,20.38%, 60.13%, 39.75%,0.12000000000000455%,990065
17027,4.02%, 47.96%, 51.99%,0.04999999999999716%,7a0084
17029,16.99%, 58.45%, 41.46%,0.09000000000000341%,950069
17031,13.03%, 43.33%, 56.37%,0.30000000000001137%,6e008f
17033,23.19%, 61.58%, 38.39%,0.030000000000001137%,9d0061
17035,9.91%, 54.91%, 45.00%,0.09000000000000341%,8c0072
17037,39.32%, 69.62%, 30.30%,0.0799999999999983%,b1004d
17039,16.88%, 58.40%, 41.51%,0.09000000000000341%,940069
17041,23.97%, 61.95%, 37.98%,0.06999999999999318%,9d0060
17043,39.02%, 69.45%, 30.43%,0.12000000000000455%,b1004d
17045,18.78%, 59.37%, 40.59%,0.03999999999999204%,970067
17047,38.88%, 69.36%, 30.47%,0.1700000000000017%,b0004d
17049,6.07%, 53.01%, 46.94%,0.05000000000001137%,870077
17051,14.59%, 57.25%, 42.65%,0.09999999999999432%,91006c
17053,36.34%, 68.16%, 31.82%,0.020000000000010232%,ad0051
17055,2.12%, 50.98%, 48.86%,0.1599999999999966%,81007c
17057,8.11%, 53.93%, 45.81%,0.2599999999999909%,890074
17059,4.53%, 47.68%, 52.21%,0.10999999999999943%,790085
17061,7.67%, 53.78%, 46.10%,0.12000000000000455%,890075
17063,23.80%, 61.88%, 38.08%,0.03999999999999204%,9d0061
17065,18.05%, 58.94%, 40.89%,0.1700000000000017%,960068
17067,23.78%, 61.86%, 38.08%,0.060000000000002274%,9d0061
17069,14.03%, 56.96%, 42.92%,0.12000000000000455%,91006d
17071,20.48%, 60.19%, 39.71%,0.09999999999999432%,990065
17073,15.90%, 57.91%, 42.01%,0.0800000000000125%,93006b
17075,32.27%, 66.09%, 33.82%,0.09000000000000341%,a80056
17077,10.68%, 55.30%, 44.62%,0.0800000000000125%,8d0071
17079,5.70%, 52.84%, 47.14%,0.01999999999999602%,860078
17081,11.67%, 55.84%, 44.16%,0.0%,8e0070
17083,1.92%, 50.90%, 48.99%,0.10999999999999943%,81007c
17085,17.45%, 58.66%, 41.21%,0.12999999999999545%,950069
17087,32.52%, 66.19%, 33.67%,0.14000000000000057%,a80055
17089,27.79%, 63.84%, 36.05%,0.10999999999999943%,a2005b
17091,8.53%, 54.23%, 45.70%,0.06999999999999318%,8a0074
17093,45.37%, 72.62%, 27.25%,0.12999999999999545%,b90045
17095,20.26%, 60.09%, 39.83%,0.0799999999999983%,990065
17097,18.16%, 59.02%, 40.85%,0.12999999999999545%,960068
17099,0.04%, 49.98%, 49.94%,0.0800000000000125%,7f007f
17101,25.03%, 62.45%, 37.42%,0.12999999999999545%,9f005f
17103,29.51%, 64.73%, 35.22%,0.04999999999999716%,a50059
17105,32.84%, 66.42%, 33.57%,0.009999999999990905%,a90055
17107,24.47%, 62.18%, 37.71%,0.10999999999999943%,9e0060
17109,34.86%, 67.39%, 32.53%,0.0799999999999983%,ab0052
17111,34.09%, 66.97%, 32.87%,0.1599999999999966%,aa0053
17113,27.83%, 63.87%, 36.04%,0.09000000000000341%,a2005b
17115,2.11%, 50.95%, 48.85%,0.19999999999998863%,81007c
17117,5.58%, 47.12%, 52.70%,0.18000000000000682%,780086
17119,12.06%, 43.90%, 55.96%,0.14000000000000057%,6f008e
17121,9.90%, 54.92%, 45.02%,0.060000000000002274%,8c0072
17123,16.38%, 58.14%, 41.76%,0.09999999999999432%,94006a
17125,6.27%, 53.02%, 46.75%,0.22999999999998977%,870077
17127,26.17%, 63.05%, 36.87%,0.0800000000000125%,a0005e
17129,20.26%, 60.08%, 39.82%,0.09999999999999432%,990065
17131,23.24%, 61.60%, 38.36%,0.03999999999999204%,9d0061
17133,16.39%, 58.17%, 41.78%,0.04999999999999716%,94006a
17135,2.02%, 50.97%, 48.95%,0.0799999999999983%,81007c
17137,14.84%, 57.38%, 42.54%,0.0799999999999983%,92006c
17139,9.85%, 54.93%, 45.07%,0.0%,8c0072
17141,46.79%, 73.38%, 26.59%,0.030000000000001137%,bb0043
17143,7.64%, 53.77%, 46.13%,0.09999999999999432%,890075
17145,14.99%, 57.47%, 42.48%,0.05000000000001137%,92006c
17147,21.85%, 60.90%, 39.05%,0.05000000000001137%,9b0063
17149,4.41%, 52.16%, 47.75%,0.09000000000000341%,850079
17151,26.94%, 63.38%, 36.44%,0.18000000000000682%,a1005c
17153,6.03%, 52.83%, 46.81%,0.35999999999999943%,860077
17155,11.34%, 55.63%, 44.29%,0.0799999999999983%,8d0070
17157,4.20%, 52.05%, 47.85%,0.09999999999999432%,84007a
17159,27.70%, 63.80%, 36.09%,0.10999999999999943%,a2005c
17161,1.92%, 48.96%, 50.88%,0.1599999999999966%,7c0081
17163,23.07%, 38.31%, 61.38%,0.3100000000000023%,61009c
17165,12.85%, 56.36%, 43.52%,0.12000000000000455%,8f006e
17167,7.36%, 53.64%, 46.28%,0.0799999999999983%,880076
17169,18.05%, 59.00%, 40.96%,0.03999999999999204%,960068
17171,18.98%, 59.44%, 40.46%,0.09999999999999432%,970067
17173,9.14%, 54.53%, 45.39%,0.0799999999999983%,8b0073
17175,35.74%, 67.80%, 32.06%,0.14000000000000057%,ac0051
17177,26.45%, 63.07%, 36.62%,0.3100000000000023%,a0005d
17179,7.74%, 53.83%, 46.09%,0.0799999999999983%,890075
17181,1.27%, 50.58%, 49.31%,0.10999999999999943%,80007d
17183,14.82%, 57.34%, 42.51%,0.15000000000000568%,92006c
17185,17.15%, 58.55%, 41.40%,0.05000000000001137%,950069
17187,30.60%, 65.25%, 34.66%,0.09000000000000341%,a60058
17189,24.03%, 61.95%, 37.92%,0.12999999999999545%,9d0060
17191,25.42%, 62.67%, 37.25%,0.0799999999999983%,9f005e
17193,9.97%, 54.93%, 44.97%,0.09999999999999432%,8c0072
17195,31.30%, 65.56%, 34.27%,0.1699999999999875%,a70057
17197,1.81%, 50.86%, 49.04%,0.09999999999999432%,81007d
17199,9.55%, 54.72%, 45.17%,0.10999999999999943%,8b0073
17201,10.53%, 55.20%, 44.67%,0.12999999999999545%,8c0071
17203,29.58%, 64.76%, 35.18%,0.060000000000002274%,a50059
18001,23.09%, 61.11%, 38.02%,0.8700000000000045%,9b0260
18003,20.95%, 60.33%, 39.39%,0.28000000000000114%,990064
18005,18.74%, 59.09%, 40.35%,0.5600000000000023%,960166
18007,20.34%, 60.11%, 39.77%,0.12000000000000455%,990065
18009,7.28%, 53.33%, 46.06%,0.6099999999999994%,870175
18011,24.99%, 62.28%, 37.30%,0.4200000000000017%,9e015f
18013,4.50%, 51.76%, 47.26%,0.980000000000004%,830278
18015,24.15%, 61.88%, 37.73%,0.39000000000000057%,9d0060
18017,16.86%, 58.19%, 41.33%,0.480000000000004%,940169
18019,5.96%, 46.89%, 52.85%,0.2599999999999909%,770086
18021,16.30%, 57.92%, 41.62%,0.46000000000000796%,93016a
18023,19.04%, 59.32%, 40.28%,0.4000000000000057%,970166
18025,11.61%, 55.47%, 43.86%,0.6700000000000017%,8d016f
18027,20.72%, 60.20%, 39.48%,0.3199999999999932%,990064
18029,10.13%, 54.99%, 44.87%,0.14000000000000057%,8c0072
18031,20.83%, 60.17%, 39.34%,0.4899999999999949%,990164
18033,25.74%, 62.66%, 36.92%,0.4200000000000017%,9f015e
18035,5.85%, 52.75%, 46.90%,0.3499999999999943%,860077
18037,23.19%, 38.32%, 61.51%,0.1700000000000017%,61009c
18039,26.38%, 62.77%, 36.39%,0.8400000000000034%,a0025c
18041,12.33%, 55.97%, 43.63%,0.4000000000000057%,8e016f
18043,2.98%, 48.38%, 51.36%,0.2599999999999909%,7b0082
18045,17.70%, 58.71%, 41.01%,0.28000000000000114%,950068
18047,7.65%, 53.73%, 46.08%,0.18999999999999773%,890075
18049,32.75%, 66.11%, 33.36%,0.5300000000000011%,a80155
18051,8.29%, 53.89%, 45.61%,0.5%,890174
18053,16.38%, 57.92%, 41.54%,0.539999999999992%,930169
18055,16.31%, 57.81%, 41.51%,0.6800000000000068%,930169
18057,41.60%, 70.63%, 29.03%,0.3400000000000034%,b4004a
18059,20.86%, 60.21%, 39.35%,0.4399999999999977%,990164
18061,8.09%, 53.80%, 45.71%,0.4900000000000091%,890174
18063,31.52%, 65.51%, 33.99%,0.5%,a70156
18065,17.52%, 58.44%, 40.92%,0.6400000000000006%,950168
18067,14.36%, 56.94%, 42.58%,0.480000000000004%,91016c
18069,19.49%, 59.44%, 39.95%,0.6099999999999994%,970165
18071,10.98%, 55.27%, 44.29%,0.4399999999999977%,8c0170
18073,28.84%, 64.32%, 35.48%,0.20000000000001705%,a4005a
18075,14.10%, 56.73%, 42.63%,0.6400000000000006%,90016c
18077,10.56%, 55.11%, 44.54%,0.3499999999999943%,8c0071
18079,13.59%, 56.63%, 43.03%,0.3400000000000034%,90006d
18081,25.23%, 62.38%, 37.15%,0.46999999999999886%,9f015e
18083,7.31%, 53.40%, 46.10%,0.5%,880175
18085,39.30%, 69.11%, 29.80%,1.0900000000000034%,b0024b
18087,38.43%, 69.03%, 30.60%,0.37000000000000455%,b0004e
18089,25.68%, 37.04%, 62.72%,0.2400000000000091%,5e009f
18091,5.61%, 52.71%, 47.10%,0.18999999999999773%,860078
18093,22.78%, 61.15%, 38.37%,0.480000000000004%,9b0161
18095,4.95%, 52.31%, 47.36%,0.3299999999999983%,850078
18097,15.57%, 57.67%, 42.10%,0.22999999999998977%,93006b
18099,25.38%, 62.47%, 37.09%,0.4399999999999977%,9f015e
18101,3.20%, 51.55%, 48.35%,0.09999999999999432%,83007b
18103,17.53%, 58.45%, 40.92%,0.6299999999999955%,950168
18105,31.46%, 65.42%, 33.97%,0.6099999999999994%,a60156
18107,33.19%, 66.36%, 33.17%,0.46999999999999886%,a90154
18109,27.19%, 63.36%, 36.17%,0.46999999999999886%,a1015c
18111,30.49%, 65.12%, 34.62%,0.2599999999999909%,a60058
18113,20.95%, 60.27%, 39.32%,0.4099999999999966%,990164
18115,12.80%, 56.25%, 43.45%,0.29999999999999716%,8f006e
18117,18.76%, 59.19%, 40.44%,0.37000000000000455%,960067
18119,21.56%, 60.38%, 38.82%,0.7999999999999972%,990262
18121,16.17%, 57.94%, 41.77%,0.28999999999999204%,93006a
18123,5.89%, 46.97%, 52.86%,0.1700000000000017%,770086
18125,20.22%, 59.69%, 39.48%,0.8300000000000125%,980264
18127,18.63%, 59.18%, 40.54%,0.28000000000000114%,960067
18129,9.25%, 54.47%, 45.22%,0.3100000000000023%,8a0073
18131,17.12%, 57.67%, 40.56%,1.769999999999996%,930467
18133,15.63%, 57.63%, 42.00%,0.37000000000000455%,92006b
18135,30.61%, 64.92%, 34.31%,0.769999999999996%,a50157
18137,12.23%, 55.95%, 43.72%,0.3299999999999983%,8e006f
18139,27.59%, 63.54%, 35.94%,0.5200000000000102%,a2015b
18141,8.45%, 45.64%, 54.09%,0.269999999999996%,740089
18143,2.36%, 50.99%, 48.63%,0.37999999999999545%,82007c
18145,13.91%, 56.75%, 42.83%,0.4200000000000017%,90016d
18147,7.97%, 53.88%, 45.91%,0.21000000000000796%,890075
18149,6.93%, 53.28%, 46.35%,0.37000000000000455%,870076
18151,35.60%, 67.63%, 32.03%,0.3400000000000034%,ac0051
18153,0.31%, 49.85%, 49.54%,0.6099999999999994%,7f017e
18155,0.67%, 49.40%, 50.06%,0.539999999999992%,7d017f
18157,27.23%, 63.55%, 36.31%,0.14000000000000057%,a2005c
18159,19.76%, 59.88%, 40.12%,0.0%,980066
18161,27.69%, 63.73%, 36.03%,0.2400000000000091%,a2005b
18163,6.10%, 52.90%, 46.80%,0.30000000000001137%,860077
18165,5.80%, 46.92%, 52.71%,0.37000000000000455%,770086
18167,0.33%, 49.70%, 50.03%,0.269999999999996%,7e007f
18169,36.82%, 68.12%, 31.30%,0.5799999999999983%,ad014f
18171,29.03%, 64.29%, 35.26%,0.44999999999998863%,a30159
18173,12.46%, 56.10%, 43.64%,0.2599999999999909%,8f006f
18175,13.87%, 56.74%, 42.87%,0.39000000000000057%,90006d
18177,21.62%, 60.66%, 39.05%,0.29000000000000625%,9a0063
18179,18.61%, 58.91%, 40.30%,0.7900000000000063%,960266
18181,26.05%, 62.93%, 36.88%,0.18999999999999773%,a0005e
18183,21.52%, 60.50%, 38.98%,0.5200000000000102%,9a0163
19001,20.21%, 60.09%, 39.88%,0.030000000000001137%,990065
19003,14.16%, 57.08%, 42.92%,0.0%,91006d
19005,25.73%, 62.78%, 37.05%,0.1700000000000017%,a0005e
19007,19.08%, 59.43%, 40.35%,0.21999999999999886%,970066
19009,6.15%, 53.05%, 46.91%,0.04000000000000625%,870077
19011,12.75%, 56.33%, 43.58%,0.09000000000000341%,8f006f
19013,8.29%, 54.11%, 45.82%,0.06999999999999318%,890074
19015,8.00%, 53.97%, 45.97%,0.060000000000002274%,890075
19017,33.57%, 66.76%, 33.20%,0.03999999999999204%,aa0054
19019,9.84%, 54.90%, 45.07%,0.030000000000001137%,8b0072
19021,27.15%, 63.54%, 36.38%,0.0799999999999983%,a2005c
19023,40.40%, 70.18%, 29.78%,0.03999999999999204%,b2004b
19025,17.89%, 58.90%, 41.01%,0.09000000000000341%,960068
19027,20.61%, 39.66%, 60.27%,0.06999999999999318%,650099
19029,34.54%, 67.24%, 32.70%,0.060000000000002274%,ab0053
19031,23.91%, 61.92%, 38.02%,0.060000000000002274%,9d0060
19033,12.17%, 56.05%, 43.88%,0.06999999999999318%,8e006f
19035,18.28%, 59.10%, 40.82%,0.0799999999999983%,960068
19037,3.05%, 48.45%, 51.50%,0.04999999999999716%,7b0083
19039,15.93%, 57.82%, 41.89%,0.28999999999999204%,93006a
19041,20.08%, 60.03%, 39.95%,0.01999999999999602%,990065
19043,16.54%, 58.25%, 41.71%,0.03999999999999204%,94006a
19045,13.52%, 56.71%, 43.19%,0.09999999999999432%,90006e
19047,12.57%, 56.25%, 43.67%,0.0799999999999983%,8f006f
19049,7.96%, 53.93%, 45.97%,0.09999999999999432%,890075
19051,6.83%, 53.36%, 46.53%,0.10999999999999943%,880076
19053,11.51%, 55.69%, 44.18%,0.12999999999999545%,8e0070
19055,15.25%, 57.62%, 42.38%,0.0%,92006c
19057,3.91%, 51.86%, 47.94%,0.20000000000000284%,84007a
19059,14.01%, 56.99%, 42.98%,0.030000000000001137%,91006d
19061,26.66%, 36.64%, 63.30%,0.060000000000002274%,5d00a1
19063,25.11%, 62.51%, 37.40%,0.09000000000000341%,9f005f
19065,22.58%, 61.20%, 38.62%,0.18000000000000682%,9c0062
19067,18.51%, 59.24%, 40.73%,0.030000000000001137%,970067
19069,29.13%, 64.52%, 35.39%,0.09000000000000341%,a4005a
19071,13.49%, 56.73%, 43.23%,0.04000000000000625%,90006e
19073,17.03%, 58.43%, 41.40%,0.1700000000000017%,940069
19075,39.28%, 69.62%, 30.34%,0.03999999999999204%,b1004d
19077,16.55%, 58.22%, 41.68%,0.09999999999999432%,94006a
19079,14.82%, 57.39%, 42.57%,0.03999999999999204%,92006c
19081,20.50%, 60.24%, 39.74%,0.01999999999999602%,990065
19083,24.69%, 62.32%, 37.64%,0.03999999999999204%,9e005f
19085,15.50%, 57.70%, 42.20%,0.09999999999999432%,93006b
19087,32.14%, 66.03%, 33.89%,0.0799999999999983%,a80056
19089,0.41%, 49.79%, 50.21%,0.0%,7e0080
19091,13.31%, 56.66%, 43.34%,0.0%,90006e
19093,25.59%, 62.77%, 37.19%,0.03999999999999204%,a0005e
19095,27.16%, 63.47%, 36.30%,0.23000000000000398%,a1005c
19097,7.83%, 53.89%, 46.06%,0.04999999999999716%,890075
19099,12.60%, 56.27%, 43.67%,0.060000000000002274%,8f006f
19101,28.00%, 64.00%, 36.00%,0.0%,a3005b
19103,1.69%, 50.80%, 49.11%,0.09000000000000341%,81007d
19105,17.08%, 58.52%, 41.44%,0.03999999999999204%,950069
19107,15.88%, 57.88%, 42.00%,0.12000000000000455%,93006b
19109,3.91%, 51.95%, 48.05%,0.0%,84007a
19111,4.00%, 52.00%, 48.00%,0.0%,84007a
19113,10.65%, 55.30%, 44.65%,0.05000000000001137%,8d0071
19115,21.38%, 60.67%, 39.29%,0.03999999999999204%,9a0064
19117,19.91%, 59.88%, 39.97%,0.15000000000000568%,980065
19119,47.41%, 73.65%, 26.24%,0.10999999999999943%,bb0042
19121,16.57%, 58.26%, 41.69%,0.05000000000001137%,94006a
19123,31.03%, 65.40%, 34.36%,0.23999999999999488%,a60057
19125,24.13%, 61.99%, 37.87%,0.14000000000000057%,9e0060
19127,20.56%, 60.23%, 39.67%,0.09999999999999432%,990065
19129,30.75%, 65.37%, 34.63%,0.0%,a60058
19131,15.33%, 57.59%, 42.26%,0.15000000000000568%,92006b
19133,9.28%, 54.64%, 45.36%,0.0%,8b0073
19135,8.59%, 54.20%, 45.61%,0.18999999999999773%,8a0074
19137,30.39%, 65.19%, 34.80%,0.010000000000005116%,a60058
19139,16.46%, 58.21%, 41.74%,0.04999999999999716%,94006a
19141,37.36%, 68.66%, 31.30%,0.04000000000000625%,af004f
19143,24.07%, 62.00%, 37.93%,0.06999999999999318%,9e0060
19145,39.46%, 69.69%, 30.23%,0.0799999999999983%,b1004d
19147,1.99%, 48.99%, 50.97%,0.03999999999999204%,7c0081
19149,15.86%, 57.93%, 42.07%,0.0%,93006b
19151,0.54%, 50.23%, 49.69%,0.0800000000000125%,80007e
19153,7.54%, 53.74%, 46.20%,0.060000000000002274%,890075
19155,15.63%, 57.79%, 42.17%,0.03999999999999204%,93006b
19157,17.53%, 58.76%, 41.23%,0.010000000000005116%,950069
19159,17.52%, 58.74%, 41.22%,0.03999999999999204%,950069
19161,22.72%, 61.36%, 38.64%,0.0%,9c0062
19163,9.10%, 54.50%, 45.40%,0.09999999999999432%,8a0073
19165,10.24%, 55.08%, 44.83%,0.09000000000000341%,8c0072
19167,59.08%, 79.51%, 20.43%,0.060000000000002274%,ca0034
19169,30.60%, 65.26%, 34.66%,0.0799999999999983%,a60058
19171,5.58%, 52.78%, 47.21%,0.009999999999990905%,860078
