id,margin,dole,clinton,perot,nader,other,hex_color
02220,0%,-,-,-,-,0,000000
02230,0%,-,-,-,-,0,000000
02240,0%,-,-,-,-,0,000000
02261,0%,-,-,-,-,0,000000
02270,0%,-,-,-,-,0,000000
02275,0%,-,-,-,-,0,000000
02282,0%,-,-,-,-,0,000000
02290,0%,-,-,-,-,0,000000
04001,40.85%, 25.48%, 66.33%, 6.94%,-,8.189999999999998%,4014a9
04003,1.83%, 45.00%, 43.17%, 10.48%,-,11.829999999999998%,721e6e
04005,17.75%, 35.40%, 53.15%, 9.52%,-,11.450000000000003%,5a1d87
04007,12.46%, 36.80%, 49.26%, 12.70%,-,13.939999999999998%,5d237d
04009,3.06%, 45.42%, 42.36%, 11.12%,-,12.219999999999999%,731f6c
04011,17.57%, 34.16%, 51.72%, 12.56%,-,14.120000000000005%,572483
04012,1.38%, 42.33%, 43.71%, 13.29%,-,13.960000000000008%,6b236f
04013,2.69%, 47.22%, 44.53%, 7.15%,-,8.25%,781571
04015,3.29%, 43.33%, 40.04%, 15.33%,-,16.629999999999995%,6e2a66
04017,14.64%, 37.14%, 51.78%, 9.87%,-,11.079999999999998%,5e1c84
04019,12.80%, 39.36%, 52.16%, 7.11%,-,8.480000000000004%,641585
04021,17.74%, 35.33%, 53.07%, 10.77%,-,11.599999999999994%,5a1d87
04023,36.55%, 27.62%, 64.17%, 7.35%,-,8.209999999999994%,4614a3
04025,13.65%, 50.29%, 36.64%, 11.18%,-,13.069999999999993%,80215d
04027,2.70%, 47.03%, 44.33%, 7.80%,-,8.64%,771671
05001,34.49%, 28.52%, 63.00%, 6.91%,-,8.480000000000004%,4815a0
05003,31.19%, 29.32%, 60.51%, 8.50%,-,10.170000000000002%,4a199a
05005,1.12%, 44.35%, 43.23%, 10.14%,-,12.420000000000002%,711f6e
05007,14.30%, 51.89%, 37.59%, 9.06%,-,10.519999999999996%,841a5f
05009,2.62%, 45.94%, 43.32%, 8.54%,-,10.740000000000009%,751b6e
05011,35.79%, 28.88%, 64.67%, 5.57%,-,6.450000000000003%,4910a4
05013,25.26%, 31.72%, 56.98%, 10.34%,-,11.300000000000011%,501c91
05015,3.04%, 44.85%, 41.81%, 11.18%,-,13.340000000000003%,72226a
05017,46.25%, 24.01%, 70.26%, 5.30%,-,5.72999999999999%,3d0eb3
05019,39.02%, 26.00%, 65.02%, 6.98%,-,8.980000000000004%,4216a5
05021,39.84%, 25.79%, 65.63%, 7.91%,-,8.580000000000013%,4115a7
05023,7.06%, 40.23%, 47.28%, 10.79%,-,12.490000000000009%,661f78
05025,24.83%, 32.74%, 57.57%, 8.86%,-,9.689999999999998%,531892
05027,15.07%, 37.59%, 52.66%, 7.55%,-,9.75%,5f1886
05029,24.00%, 31.68%, 55.69%, 10.24%,-,12.629999999999995%,50208e
05031,16.57%, 37.47%, 54.04%, 7.23%,-,8.490000000000009%,5f1589
05033,2.74%, 45.42%, 42.68%, 10.64%,-,11.900000000000006%,731e6c
05035,26.29%, 32.83%, 59.11%, 3.89%,-,8.060000000000002%,531496
05037,26.48%, 32.47%, 58.94%, 7.56%,-,8.590000000000003%,521596
05039,31.35%, 30.31%, 61.66%, 6.87%,-,8.030000000000001%,4d149d
05041,49.46%, 21.48%, 70.94%, 5.42%,-,7.579999999999998%,3613b4
05043,33.71%, 29.20%, 62.91%, 6.96%,-,7.890000000000001%,4a14a0
05045,7.69%, 42.19%, 49.88%, 6.33%,-,7.930000000000007%,6b147f
05047,16.53%, 36.30%, 52.83%, 10.12%,-,10.870000000000005%,5c1b86
05049,23.92%, 31.99%, 55.91%, 10.77%,-,12.100000000000009%,511e8e
05051,15.33%, 37.73%, 53.06%, 7.65%,-,9.210000000000008%,601787
05053,18.48%, 34.77%, 53.25%, 10.06%,-,11.97999999999999%,581e87
05055,24.92%, 32.68%, 57.61%, 8.82%,-,9.710000000000008%,531892
05057,39.23%, 26.76%, 65.99%, 6.63%,-,7.25%,4412a8
05059,30.90%, 28.20%, 59.10%, 11.06%,-,12.700000000000003%,472096
05061,27.27%, 31.91%, 59.18%, 7.97%,-,8.909999999999997%,511696
05063,19.08%, 34.58%, 53.66%, 9.68%,-,11.760000000000005%,581d88
05065,22.30%, 32.82%, 55.11%, 10.58%,-,12.069999999999993%,531e8c
05067,42.75%, 23.46%, 66.22%, 9.40%,-,10.319999999999993%,3b1aa8
05069,48.31%, 22.87%, 71.18%, 4.64%,-,5.949999999999989%,3a0fb5
05071,17.83%, 34.64%, 52.47%, 11.08%,-,12.89%,582085
05073,38.88%, 25.25%, 64.14%, 9.73%,-,10.61%,401ba3
05075,29.78%, 29.69%, 59.47%, 9.92%,-,10.840000000000003%,4b1b97
