id,margin,goldwater,johnson,other,hex_color
05045,30.34%, 34.61%, 64.95%,-,5800a5
05047,25.71%, 36.76%, 62.47%,-,5d009f
05049,33.55%, 33.09%, 66.64%,-,5400a9
05051,7.58%, 46.01%, 53.59%,-,750088
05053,12.14%, 42.93%, 55.07%,-,6d008c
05055,35.11%, 32.27%, 67.39%,-,5200ab
05057,14.63%, 42.32%, 56.95%,-,6b0091
05059,21.70%, 38.70%, 60.40%,-,62009a
05061,10.74%, 53.84%, 43.10%,-,89006d
05063,28.52%, 35.49%, 64.01%,-,5a00a3
05065,40.63%, 29.20%, 69.83%,-,4a00b2
05067,36.76%, 31.36%, 68.12%,-,4f00ad
05069,12.64%, 43.40%, 56.04%,-,6e008e
05071,34.00%, 32.78%, 66.77%,-,5300aa
05073,0.27%, 49.75%, 50.02%,-,7e007f
05075,26.81%, 36.35%, 63.16%,-,5c00a1
05077,16.63%, 41.59%, 58.21%,-,6a0094
05079,27.25%, 36.32%, 63.58%,-,5c00a2
05081,28.15%, 35.72%, 63.87%,-,5b00a2
05083,22.71%, 38.42%, 61.13%,-,61009b
05085,2.43%, 48.63%, 51.06%,-,7c0082
05087,15.19%, 42.26%, 57.45%,-,6b0092
05089,20.77%, 39.43%, 60.20%,-,640099
05091,9.87%, 44.81%, 54.68%,-,72008b
05093,16.53%, 41.67%, 58.20%,-,6a0094
05095,6.84%, 46.45%, 53.29%,-,760087
05097,23.89%, 37.78%, 61.67%,-,60009d
05099,21.63%, 38.79%, 60.41%,-,62009a
05101,0.61%, 49.01%, 49.62%,-,7c007e
05103,32.57%, 33.39%, 65.96%,-,5500a8
05105,11.40%, 43.90%, 55.30%,-,6f008d
05107,18.95%, 40.48%, 59.43%,-,670097
05109,10.41%, 44.53%, 54.93%,-,71008c
05111,30.00%, 34.92%, 64.93%,-,5900a5
05113,12.00%, 43.88%, 55.88%,-,6f008e
05115,29.83%, 34.07%, 63.91%,-,5600a2
05117,10.15%, 44.59%, 54.74%,-,71008b
05119,2.80%, 48.32%, 51.12%,-,7b0082
05121,34.12%, 32.73%, 66.85%,-,5300aa
05123,3.89%, 47.98%, 51.88%,-,7a0084
05125,21.23%, 38.96%, 60.18%,-,630099
05127,24.19%, 37.82%, 62.01%,-,60009e
05129,4.46%, 52.13%, 47.68%,-,840079
05131,11.97%, 55.80%, 43.84%,-,8e006f
05133,25.84%, 36.92%, 62.75%,-,5e00a0
05135,19.53%, 39.88%, 59.40%,-,650097
05137,18.46%, 40.26%, 58.72%,-,660095
05139,9.78%, 54.38%, 44.60%,-,8a0071
05141,23.39%, 37.89%, 61.28%,-,60009c
05143,19.39%, 40.16%, 59.55%,-,660097
05145,13.21%, 42.99%, 56.20%,-,6d008f
05147,25.48%, 36.99%, 62.47%,-,5e009f
05149,38.00%, 30.86%, 68.86%,-,4e00af
06001,32.96%, 33.46%, 66.42%,-,5500a9
06003,15.35%, 57.67%, 42.33%,-,93006b
06005,33.90%, 32.99%, 66.89%,-,5400aa
06007,3.11%, 48.43%, 51.54%,-,7b0083
06009,16.69%, 41.58%, 58.27%,-,6a0094
06011,21.25%, 39.32%, 60.57%,-,64009a
06013,26.96%, 36.47%, 63.44%,-,5c00a1
06015,27.54%, 36.23%, 63.77%,-,5c00a2
06017,20.77%, 39.53%, 60.30%,-,640099
06019,31.24%, 34.33%, 65.57%,-,5700a7
