id,margin,reagan,carter,anderson,other
05029,6.02%, 45.11%, 51.13%, 2.52%, 1.24%
05031,8.29%, 51.31%, 43.02%, 3.30%, 2.36%
05033,35.62%, 66.22%, 30.61%,-, 3.17%
05035,5.60%, 45.20%, 50.80%,-, 4.00%
05037,8.87%, 44.59%, 53.47%,-, 1.94%
05039,27.36%, 35.16%, 62.52%,-, 2.31%
05041,28.01%, 34.07%, 62.08%,-, 3.84%
05043,24.01%, 36.74%, 60.75%,-, 2.51%
05045,5.76%, 44.19%, 49.95%, 4.50%, 1.36%
05047,11.39%, 53.66%, 42.27%, 3.07%, 1.01%
05049,1.50%, 49.35%, 47.85%,-, 2.80%
05051,10.85%, 52.96%, 42.11%, 3.51%, 1.42%
05053,20.30%, 38.04%, 58.34%,-, 3.62%
05055,13.67%, 41.64%, 55.31%, 2.02%, 1.03%
05057,9.49%, 44.65%, 54.14%,-, 1.22%
05059,30.84%, 32.92%, 63.76%, 2.26%, 1.06%
05061,3.52%, 47.12%, 50.63%,-, 2.25%
05063,5.46%, 45.63%, 51.08%, 2.48%, 0.81%
05065,9.21%, 43.13%, 52.34%, 3.05%, 1.48%
05067,18.07%, 39.49%, 57.55%, 2.15%, 0.80%
05069,21.95%, 35.60%, 57.55%, 2.67%, 2.10%
05071,1.18%, 47.39%, 48.57%, 2.45%, 1.58%
05073,5.06%, 46.50%, 51.56%,-, 1.93%
05075,4.34%, 46.60%, 50.94%,-, 2.46%
05077,28.55%, 35.09%, 63.64%,-, 1.27%
05079,33.10%, 32.29%, 65.39%,-, 2.31%
05081,7.15%, 45.22%, 52.37%,-, 2.41%
05083,4.63%, 50.61%, 45.98%,-, 3.41%
05085,0.12%, 48.50%, 48.38%, 2.12%, 0.99%
05087,12.78%, 54.50%, 41.71%, 2.16%, 1.63%
05089,18.91%, 57.11%, 38.20%, 2.99%, 1.70%
05091,5.99%, 52.40%, 46.41%,-, 1.20%
05093,10.59%, 43.67%, 54.26%,-, 2.06%
05095,13.65%, 41.98%, 55.62%,-, 2.40%
05097,8.11%, 43.88%, 51.99%, 2.38%, 1.74%
05099,21.04%, 38.22%, 59.26%,-, 2.52%
05101,24.47%, 60.08%, 35.61%, 2.48%, 1.83%
05103,23.12%, 35.46%, 58.58%, 2.03%, 3.92%
05105,4.61%, 45.79%, 50.41%, 2.29%, 1.51%
05107,21.28%, 38.31%, 59.59%,-, 2.10%
05109,4.34%, 46.77%, 51.11%,-, 2.12%
05111,9.30%, 44.01%, 53.31%,-, 2.68%
05113,20.16%, 58.51%, 38.35%, 2.04%, 1.10%
05115,5.99%, 50.72%, 44.72%, 3.31%, 1.25%
05117,1.87%, 47.63%, 49.50%,-, 2.88%
05119,2.40%, 46.15%, 48.56%, 4.12%, 1.17%
05121,8.28%, 43.50%, 51.78%, 2.11%, 0.19%
05123,12.69%, 42.77%, 55.46%,-, 1.77%
05125,10.42%, 42.60%, 53.02%, 3.29%, 1.09%
05127,0.17%, 48.16%, 48.34%,-, 3.50%
05129,22.07%, 58.79%, 36.72%, 2.41%, 2.08%
05131,35.96%, 63.46%, 27.50%, 2.77%, 0.86%
05133,6.40%, 45.52%, 51.92%,-, 2.57%
05135,10.07%, 53.30%, 43.24%, 2.49%, 0.97%
05137,4.40%, 45.11%, 49.51%, 3.35%, 2.04%
05139,14.94%, 55.10%, 40.16%,-, 4.75%
05141,1.94%, 49.11%, 47.17%, 2.43%, 1.29%
05143,24.03%, 58.69%, 34.66%, 4.90%, 1.75%
05145,3.88%, 46.66%, 50.54%,-, 2.80%
05147,33.23%, 32.06%, 65.28%,-, 2.66%
05149,7.22%, 44.65%, 51.87%, 2.54%, 0.94%
06001,10.34%, 37.96%, 48.30%, 9.78%, 3.96%
06003,26.25%, 55.10%, 28.85%, 10.85%, 2.60%
06005,22.85%, 55.85%, 33.00%, 8.15%, 0.85%
06007,28.28%, 57.85%, 29.57%, 9.25%, 3.33%
06009,28.98%, 58.92%, 29.94%, 7.55%, 0.99%
06011,25.87%, 58.00%, 32.13%, 6.51%, 0.92%
06013,12.77%, 50.12%, 37.35%, 9.81%, 2.72%
06015,24.02%, 57.48%, 33.46%, 6.96%, 2.10%
06017,28.73%, 58.27%, 29.53%, 9.02%, 0.82%
06019,10.70%, 51.13%, 40.43%, 6.65%, 1.79%
06021,38.01%, 64.80%, 26.79%, 6.46%, 1.95%
06023,14.24%, 49.39%, 35.15%, 11.17%, 2.03%
06025,19.03%, 55.92%, 36.89%, 5.57%, 1.61%
06027,38.88%, 64.79%, 25.91%, 6.42%, 2.88%
06029,25.99%, 59.65%, 33.65%, 4.75%, 1.95%
06031,16.99%, 55.37%, 38.37%, 4.74%, 1.52%
06033,17.75%, 53.64%, 35.90%, 6.95%, 0.98%
06035,18.58%, 54.45%, 35.87%, 6.62%, 3.05%
06037,10.03%, 50.18%, 40.15%, 7.21%, 2.46%
06039,14.24%, 53.58%, 39.35%, 5.12%, 1.95%
06041,9.63%, 45.78%, 36.16%, 12.72%, 0.29%
06043,21.27%, 54.96%, 33.68%, 8.17%, 3.19%
06045,5.84%, 44.05%, 38.21%, 9.73%, 0.66%
06047,5.83%, 48.77%, 42.94%, 6.26%, 2.03%
06049,38.33%, 64.48%, 26.15%, 7.33%, 2.05%
06051,37.04%, 62.32%, 25.29%, 8.83%, 0.85%
06053,21.16%, 54.67%, 33.51%, 9.23%, 2.59%
06055,19.83%, 53.67%, 33.83%, 9.58%, 0.87%
06057,28.95%, 57.91%, 28.96%, 8.51%, 1.23%
06059,45.26%, 67.90%, 22.65%, 7.09%, 2.36%
06061,21.13%, 54.78%, 33.65%, 8.47%, 0.73%
06063,15.57%, 51.24%, 35.67%, 9.59%, 3.49%
06065,28.36%, 59.87%, 31.51%, 6.73%, 1.90%
06067,7.35%, 47.72%, 40.37%, 9.21%, 2.70%
06069,17.17%, 53.33%, 36.16%, 7.26%, 0.75%
06071,28.01%, 59.68%, 31.67%, 6.59%, 2.06%
06073,33.55%, 60.81%, 27.26%, 9.41%, 2.52%
06075,20.56%, 31.87%, 52.43%, 11.56%, 2.11%
06077,19.82%, 55.38%, 35.56%, 7.20%, 1.86%
06079,26.07%, 55.56%, 29.50%, 12.09%, 2.85%
06081,12.22%, 48.82%, 36.60%, 11.73%, 2.86%
06083,22.47%, 53.98%, 31.51%, 11.46%, 3.05%
06085,13.01%, 48.02%, 35.01%, 13.73%, 0.93%
06087,5.83%, 43.53%, 37.70%, 12.34%, 0.59%
06089,25.69%, 58.09%, 32.40%, 6.79%, 0.69%
06091,11.87%, 49.77%, 37.89%, 9.08%, 3.26%
06093,21.91%, 55.75%, 33.84%, 7.58%, 2.83%
06095,12.35%, 50.72%, 38.37%, 8.32%, 2.59%
06097,12.01%, 48.20%, 36.19%, 11.17%, 2.14%
06099,9.40%, 49.41%, 40.01%, 8.47%, 2.11%
