id,margin,reagan,carter,anderson,other
13181,33.24%, 33.03%, 66.27%,-, 0.70%
13183,39.47%, 29.49%, 68.96%,-, 1.55%
13185,4.90%, 51.29%, 46.38%,-, 2.33%
13187,30.05%, 33.19%, 63.24%, 2.69%, 0.88%
13189,15.78%, 41.17%, 56.95%,-, 1.88%
13191,40.28%, 28.73%, 69.01%,-, 2.26%
13193,53.56%, 22.47%, 76.02%,-, 1.51%
13195,12.03%, 43.14%, 55.17%,-, 1.68%
13197,34.24%, 31.98%, 66.22%,-, 1.80%
13199,35.11%, 31.66%, 66.77%,-, 1.57%
13201,11.06%, 43.84%, 54.90%,-, 1.27%
13205,22.80%, 38.10%, 60.89%,-, 1.01%
13207,33.68%, 32.18%, 65.85%,-, 1.97%
13209,27.08%, 35.91%, 62.99%,-, 1.10%
13211,25.96%, 36.04%, 62.00%,-, 1.96%
13213,33.10%, 32.72%, 65.82%,-, 1.47%
13215,20.39%, 38.42%, 58.82%, 2.05%, 0.71%
13217,26.56%, 35.40%, 61.96%,-, 2.64%
13219,1.74%, 47.29%, 49.03%, 2.43%, 1.26%
13221,14.85%, 41.56%, 56.41%,-, 2.03%
13223,23.86%, 36.87%, 60.72%,-, 2.41%
13225,34.29%, 31.76%, 66.05%,-, 2.19%
13227,18.30%, 39.54%, 57.84%,-, 2.62%
13229,29.85%, 34.41%, 64.25%,-, 1.34%
13231,15.64%, 41.08%, 56.72%,-, 2.20%
13233,28.87%, 34.44%, 63.31%,-, 2.24%
13235,26.11%, 35.67%, 61.79%,-, 2.54%
13237,24.71%, 36.70%, 61.41%,-, 1.89%
13239,41.70%, 28.67%, 70.37%,-, 0.96%
13241,35.97%, 30.62%, 66.58%,-, 2.80%
13243,35.80%, 32.05%, 67.85%,-, 0.11%
13245,10.00%, 43.72%, 53.72%,-, 2.56%
13247,8.99%, 52.65%, 43.66%, 2.18%, 1.52%
13249,14.75%, 41.75%, 56.50%,-, 1.75%
13251,17.11%, 40.67%, 57.78%,-, 1.56%
13253,23.06%, 38.04%, 61.10%,-, 0.85%
13255,19.20%, 39.00%, 58.19%, 2.01%, 0.79%
13257,37.12%, 30.56%, 67.68%,-, 1.76%
13259,39.72%, 29.28%, 69.00%,-, 1.72%
13261,24.80%, 36.69%, 61.49%,-, 1.82%
13263,47.39%, 25.50%, 72.89%,-, 1.60%
13265,41.93%, 28.30%, 70.23%,-, 1.47%
13267,15.63%, 41.62%, 57.26%,-, 1.12%
13269,38.18%, 30.21%, 68.38%,-, 1.41%
13271,38.75%, 29.76%, 68.51%,-, 1.73%
13273,18.48%, 40.29%, 58.77%,-, 0.94%
13275,13.79%, 42.26%, 56.05%,-, 1.69%
13277,16.11%, 40.89%, 56.99%,-, 2.12%
13279,6.78%, 45.75%, 52.53%,-, 1.73%
13281,1.14%, 48.12%, 49.27%,-, 2.61%
13283,31.89%, 33.33%, 65.22%,-, 1.45%
13285,17.26%, 40.20%, 57.46%,-, 2.35%
13287,37.38%, 30.74%, 68.13%,-, 1.13%
13289,49.19%, 25.07%, 74.26%,-, 0.67%
13291,4.65%, 46.69%, 51.34%,-, 1.96%
13293,25.21%, 36.52%, 61.73%,-, 1.76%
13295,1.97%, 50.16%, 48.18%,-, 1.66%
13297,26.11%, 35.85%, 61.96%,-, 2.19%
13299,25.57%, 36.65%, 62.22%,-, 1.13%
13301,31.80%, 33.56%, 65.36%,-, 1.08%
13303,30.39%, 33.97%, 64.35%,-, 1.68%
13305,26.47%, 35.94%, 62.42%,-, 1.64%
13307,31.49%, 33.19%, 64.68%,-, 2.13%
13309,47.99%, 25.16%, 73.15%,-, 1.69%
13311,25.62%, 35.75%, 61.36%,-, 2.89%
13313,20.00%, 38.96%, 58.95%,-, 2.09%
13315,36.24%, 31.44%, 67.68%,-, 0.87%
13317,31.41%, 33.45%, 64.86%,-, 1.68%
13319,35.36%, 31.60%, 66.96%,-, 1.44%
13321,10.46%, 44.22%, 54.68%,-, 1.11%
15001,9.43%, 39.73%, 49.16%, 8.62%, 2.49%
15003,1.39%, 44.27%, 42.88%, 11.26%, 1.60%
15005,0%,-,-,-,-
15007,19.24%, 35.39%, 54.64%, 8.13%, 1.84%
15009,8.99%, 40.23%, 49.22%, 8.69%, 1.87%
16001,39.15%, 63.79%, 24.64%, 9.23%, 0.18%
16003,31.58%, 62.68%, 31.10%, 4.64%, 1.58%
16005,32.95%, 61.88%, 28.93%, 6.35%, 0.25%
16007,68.21%, 82.45%, 14.24%,-, 3.31%
16009,19.50%, 54.89%, 35.39%, 7.44%, 0.10%
16011,57.13%, 76.07%, 18.94%, 3.16%, 1.83%
16013,15.84%, 49.12%, 33.28%, 14.02%, 0.18%
16015,33.37%, 61.43%, 28.06%, 5.96%, 0.16%
16017,22.34%, 56.34%, 34.00%, 7.37%, 0.19%
16019,61.70%, 77.55%, 15.85%, 4.25%, 0.20%
16021,28.49%, 59.44%, 30.94%, 6.40%, 0.20%
16023,48.22%, 72.24%, 24.02%,-, 3.74%
16025,40.57%, 67.92%, 27.36%, 3.02%, 1.70%
16027,42.21%, 67.68%, 25.47%, 4.99%, 1.86%
16029,70.73%, 83.09%, 12.36%, 2.72%, 1.82%
16031,62.26%, 78.84%, 16.58%, 2.57%, 2.02%
16033,60.46%, 78.47%, 18.01%, 2.28%, 1.24%
16035,11.10%, 50.49%, 39.38%, 6.75%, 0.39%
16037,52.58%, 73.50%, 20.93%, 3.36%, 0.11%
16039,36.28%, 64.87%, 28.59%, 5.05%, 1.49%
16041,73.42%, 85.31%, 11.88%,-, 2.81%
16043,61.70%, 79.33%, 17.63%, 2.06%, 0.99%
16045,37.60%, 65.77%, 28.17%, 3.81%, 2.25%
16047,42.42%, 68.43%, 26.01%, 3.83%, 1.74%
16049,33.18%, 62.56%, 29.38%, 5.78%, 2.28%
16051,72.51%, 84.52%, 12.02%,-, 3.46%
16053,54.25%, 74.90%, 20.65%, 2.69%, 1.77%
16055,35.30%, 63.25%, 27.95%, 6.72%, 2.08%
16057,12.96%, 46.78%, 33.82%, 16.55%, 0.23%
16059,50.07%, 71.53%, 21.47%, 4.51%, 0.19%
16061,15.29%, 53.00%, 37.70%, 7.79%, 1.51%
16063,44.44%, 69.12%, 24.68%, 4.43%, 1.76%
16065,78.59%, 88.41%, 9.82%,-, 1.77%
16067,53.45%, 74.22%, 20.77%, 3.20%, 1.81%
16069,5.91%, 47.61%, 41.70%, 8.54%, 2.16%
16071,52.13%, 74.16%, 22.03%, 2.54%, 1.27%
16073,48.57%, 71.88%, 23.31%, 2.96%, 1.85%
16075,39.92%, 67.14%, 27.23%, 3.77%, 1.86%
16077,47.98%, 71.11%, 23.13%, 3.79%, 1.97%
16079,11.62%, 52.04%, 40.42%, 5.30%, 2.24%
16081,51.42%, 72.78%, 21.35%, 3.97%, 1.90%
16083,53.10%, 73.50%, 20.39%, 4.12%, 1.99%
16085,34.08%, 62.38%, 28.30%, 7.49%, 1.83%
16087,32.58%, 63.58%, 30.99%, 3.75%, 1.68%
17001,28.94%, 62.17%, 33.23%, 3.77%, 0.84%
17003,4.84%, 46.67%, 51.51%,-, 1.81%
17005,20.76%, 58.39%, 37.63%, 3.24%, 0.74%
17007,30.33%, 57.66%, 27.34%, 13.59%, 1.41%
17009,26.37%, 61.66%, 35.29%, 2.19%, 0.85%
17011,30.83%, 61.79%, 30.95%, 5.88%, 1.38%
17013,13.23%, 54.96%, 41.73%, 2.63%, 0.69%
17015,36.52%, 63.37%, 26.85%, 8.79%, 1.00%
17017,21.00%, 58.57%, 37.56%, 2.94%, 0.93%
17019,18.84%, 50.99%, 32.16%, 15.26%, 1.59%
17021,13.38%, 54.69%, 41.31%, 3.11%, 0.89%
17023,30.24%, 63.19%, 32.94%, 2.80%, 1.06%
17025,25.60%, 61.20%, 35.60%, 2.57%, 0.62%
17027,29.65%, 62.53%, 32.88%, 3.88%, 0.70%
17029,25.40%, 58.02%, 32.62%, 8.35%, 1.01%
17031,12.39%, 39.60%, 51.99%, 6.92%, 1.49%
17033,25.97%, 60.70%, 34.73%, 3.51%, 1.06%
17035,23.96%, 59.73%, 35.77%, 3.59%, 0.91%
17037,24.56%, 53.91%, 29.35%, 14.91%, 1.83%
17039,32.49%, 63.29%, 30.80%, 5.01%, 0.90%
17041,33.35%, 64.26%, 30.91%, 4.15%, 0.68%
17043,39.80%, 64.02%, 24.23%, 10.47%, 1.28%
17045,30.86%, 63.14%, 32.28%, 3.80%, 0.78%
17047,40.39%, 68.14%, 27.75%, 3.15%, 0.96%
17049,35.31%, 65.93%, 30.63%, 2.85%, 0.59%
17051,27.95%, 62.67%, 34.72%, 2.20%, 0.40%
17053,44.65%, 69.64%, 24.99%, 4.55%, 0.82%
17055,1.54%, 49.01%, 47.47%, 2.81%, 0.72%
17057,14.95%, 54.42%, 39.46%, 4.42%, 1.70%
17059,0.63%, 49.05%, 48.41%, 2.25%, 0.29%
17061,22.71%, 59.33%, 36.62%, 3.09%, 0.97%
17063,33.53%, 63.59%, 30.07%, 5.31%, 1.03%
17065,23.17%, 59.64%, 36.47%, 3.13%, 0.75%
17067,29.05%, 62.32%, 33.27%, 3.62%, 0.78%
17069,13.07%, 55.27%, 42.20%,-, 2.54%
17071,19.64%, 57.54%, 37.89%, 3.37%, 1.20%
17073,26.97%, 59.93%, 32.95%, 5.95%, 1.17%
17075,51.45%, 73.38%, 21.94%, 3.86%, 0.82%
17077,0.90%, 44.08%, 43.19%, 10.60%, 2.13%
17079,30.33%, 63.22%, 32.89%, 2.80%, 1.09%
17081,13.53%, 54.91%, 41.38%, 3.10%, 0.62%
17083,21.61%, 58.61%, 36.99%, 3.49%, 0.90%
17085,27.96%, 57.81%, 29.85%, 10.96%, 1.38%
17087,33.04%, 65.49%, 32.45%,-, 2.07%
17089,33.81%, 61.77%, 27.96%, 8.84%, 1.43%
17091,22.47%, 58.25%, 35.78%, 4.41%, 1.55%
17093,48.06%, 69.99%, 21.94%, 6.83%, 1.24%
17095,23.51%, 56.90%, 33.40%, 7.90%, 1.81%
17097,29.16%, 58.45%, 29.29%, 10.75%, 1.51%
17099,21.96%, 57.12%, 35.16%, 6.36%, 1.37%
17101,18.11%, 56.68%, 38.57%, 3.73%, 1.02%
17103,53.14%, 73.67%, 20.53%, 5.06%, 0.74%
17105,44.18%, 68.62%, 24.44%, 5.83%, 1.12%
17107,40.13%, 67.39%, 27.26%, 4.52%, 0.83%
17109,33.60%, 61.66%, 28.06%, 8.43%, 1.86%
17111,41.37%, 64.95%, 23.58%, 9.52%, 1.94%
17113,33.53%, 61.13%, 27.60%, 10.08%, 1.19%
17115,11.07%, 52.45%, 41.38%, 5.20%, 0.98%
17117,13.49%, 54.27%, 40.78%, 4.03%, 0.92%
17119,7.29%, 51.10%, 43.81%, 4.20%, 0.90%
17121,21.30%, 58.73%, 37.42%, 3.04%, 0.81%
17123,36.45%, 64.80%, 28.36%, 5.01%, 1.83%
17125,25.53%, 60.37%, 34.84%, 3.47%, 1.33%
17127,20.12%, 58.91%, 38.79%,-, 2.30%
17129,36.74%, 65.45%, 28.71%, 4.95%, 0.89%
17131,19.47%, 56.18%, 36.71%, 5.90%, 1.21%
17133,32.18%, 63.63%, 31.45%, 4.08%, 0.84%
17135,20.93%, 58.04%, 37.11%, 3.96%, 0.88%
17137,28.96%, 61.22%, 32.26%, 5.30%, 1.22%
17139,18.88%, 56.73%, 37.85%, 4.54%, 0.88%
17141,44.86%, 66.41%, 21.55%, 10.82%, 1.21%
17143,23.40%, 57.26%, 33.86%, 7.39%, 1.50%
17145,14.62%, 55.49%, 40.88%, 3.01%, 0.62%
17147,31.29%, 62.25%, 30.97%, 5.72%, 1.06%
17149,17.16%, 56.63%, 39.47%, 3.24%, 0.66%
17151,25.30%, 61.14%, 35.85%, 2.36%, 0.65%
17153,3.12%, 50.82%, 47.69%,-, 1.49%
17155,23.46%, 57.38%, 33.92%, 6.88%, 1.82%
17157,17.80%, 56.86%, 39.06%, 3.32%, 0.76%
17159,34.19%, 64.50%, 30.31%, 4.41%, 0.79%
17161,6.61%, 48.47%, 41.86%, 8.11%, 1.57%
17163,3.96%, 45.76%, 49.71%, 3.85%, 0.68%
17165,11.11%, 53.95%, 42.84%, 2.42%, 0.78%
17167,23.50%, 57.95%, 34.45%, 6.38%, 1.21%
17169,30.36%, 62.76%, 32.40%, 3.48%, 1.37%
17171,34.48%, 65.42%, 30.93%, 2.63%, 1.02%
17173,22.52%, 59.12%, 36.61%, 3.50%, 0.77%
17175,45.92%, 69.76%, 23.85%, 4.35%, 2.04%
17177,22.48%, 52.87%, 30.39%, 15.43%, 1.32%
17179,32.87%, 62.84%, 29.97%, 5.68%, 1.51%
17181,6.02%, 50.81%, 44.79%, 3.45%, 0.95%
17183,20.42%, 57.07%, 36.64%, 5.33%, 0.96%
17185,27.34%, 61.18%, 33.84%, 3.94%, 1.05%
17187,32.09%, 62.47%, 30.38%, 5.39%, 1.75%
17189,41.17%, 68.98%, 27.80%, 2.64%, 0.58%
17191,28.83%, 62.92%, 34.09%, 2.32%, 0.67%
17193,20.02%, 58.19%, 38.17%, 3.02%, 0.62%
17195,39.13%, 66.72%, 27.59%, 4.77%, 0.93%
17197,22.65%, 57.44%, 34.79%, 6.51%, 1.26%
17199,14.00%, 55.10%, 41.10%, 3.02%, 0.78%
17201,15.64%, 46.46%, 30.82%, 21.50%, 1.22%
17203,47.41%, 70.68%, 23.26%, 4.66%, 1.40%
18001,14.15%, 53.16%, 39.01%, 6.40%, 1.42%
18003,25.87%, 57.63%, 31.76%, 8.72%, 1.88%
18005,24.25%, 58.58%, 34.33%, 5.95%, 1.15%
18007,33.63%, 64.26%, 30.63%, 3.77%, 1.35%
18009,12.36%, 53.14%, 40.77%, 4.33%, 1.76%
18011,37.51%, 66.11%, 28.60%, 4.29%, 1.00%
18013,16.44%, 54.51%, 38.06%, 4.48%, 2.95%
18015,26.39%, 60.49%, 34.10%, 3.89%, 1.53%
18017,30.98%, 62.93%, 31.95%, 3.81%, 1.31%
18019,4.40%, 49.74%, 45.34%, 3.53%, 1.39%
18021,22.16%, 59.09%, 36.94%, 2.63%, 1.34%
18023,20.77%, 58.43%, 37.66%, 3.06%, 0.85%
18025,8.72%, 52.51%, 43.79%, 2.55%, 1.15%
18027,25.71%, 60.89%, 35.18%, 2.99%, 0.94%
18029,17.60%, 56.36%, 38.76%, 3.50%, 1.38%
18031,21.84%, 58.48%, 36.64%, 3.79%, 1.10%
18033,21.33%, 56.53%, 35.20%, 6.33%, 1.94%
18035,14.09%, 53.83%, 39.74%, 5.21%, 1.21%
18037,0.53%, 47.46%, 46.93%, 4.05%, 1.56%
18039,31.02%, 61.40%, 30.38%, 6.65%, 1.58%
18041,15.84%, 55.94%, 40.10%, 2.73%, 1.22%
18043,3.59%, 48.91%, 45.33%, 4.11%, 1.65%
18045,28.73%, 62.18%, 33.45%, 3.29%, 1.08%
18047,22.30%, 59.10%, 36.80%, 3.04%, 1.06%
18049,30.59%, 62.53%, 31.94%, 4.00%, 1.52%
18051,5.33%, 50.32%, 44.99%, 3.89%, 0.80%
18053,28.11%, 61.72%, 33.61%, 3.37%, 1.29%
18055,10.11%, 52.86%, 42.75%, 2.12%, 2.27%
18057,54.30%, 74.22%, 19.92%, 4.91%, 0.95%
18059,38.42%, 66.67%, 28.25%, 4.11%, 0.96%
18061,12.26%, 54.23%, 41.96%, 2.94%, 0.87%
18063,42.52%, 68.88%, 26.36%, 3.73%, 1.03%
18065,24.05%, 60.03%, 35.98%, 2.65%, 1.34%
18067,23.27%, 59.24%, 35.97%, 3.69%, 1.11%
18069,25.61%, 59.59%, 33.98%, 5.17%, 1.26%
18071,15.54%, 55.85%, 40.30%, 2.70%, 1.15%
18073,40.66%, 68.09%, 27.43%, 3.05%, 1.43%
18075,22.73%, 58.06%, 35.33%, 5.25%, 1.37%
18077,10.20%, 52.20%, 42.00%, 3.64%, 2.16%
18079,15.95%, 55.98%, 40.02%, 2.86%, 1.14%
18081,38.35%, 66.34%, 27.99%, 4.47%, 1.20%
18083,11.98%, 53.57%, 41.59%, 3.28%, 1.56%
18085,43.77%, 68.78%, 25.01%, 5.12%, 1.10%
18087,31.75%, 62.49%, 30.74%, 5.53%, 1.23%
18089,2.77%, 46.02%, 48.78%, 3.99%, 1.21%
18091,17.36%, 55.32%, 37.96%, 5.13%, 1.60%
18093,29.02%, 62.71%, 33.68%, 2.20%, 1.41%
18095,19.37%, 57.31%, 37.93%, 3.85%, 0.91%
18097,13.55%, 53.67%, 40.13%, 5.00%, 1.20%
18099,31.05%, 62.21%, 31.16%, 5.09%, 1.54%
18101,10.43%, 53.33%, 42.90%, 2.58%, 1.19%
18103,26.18%, 60.63%, 34.44%, 3.55%, 1.38%
18105,13.33%, 49.42%, 36.09%, 10.63%, 1.76%
18107,38.73%, 66.61%, 27.87%, 4.17%, 1.35%
18109,40.55%, 68.53%, 27.98%, 2.56%, 0.93%
18111,38.19%, 66.81%, 28.61%, 3.37%, 1.21%
18113,21.86%, 57.40%, 35.54%, 5.64%, 1.42%
18115,7.85%, 52.23%, 44.38%, 2.36%, 1.03%
18117,21.56%, 59.28%, 37.72%, 2.11%, 0.89%
18119,21.04%, 58.47%, 37.43%, 3.03%, 1.08%
18121,29.57%, 62.82%, 33.25%, 2.65%, 1.29%
18123,2.01%, 45.94%, 47.95%, 4.73%, 1.37%
18125,0.04%, 48.09%, 48.13%, 2.73%, 1.05%
18127,36.71%, 64.20%, 27.49%, 6.54%, 1.78%
18129,14.36%, 53.69%, 39.33%, 5.87%, 1.11%
18131,28.91%, 62.06%, 33.15%, 2.77%, 2.01%
18133,26.34%, 60.35%, 34.01%, 4.26%, 1.37%
18135,30.16%, 62.65%, 32.49%, 3.44%, 1.43%
18137,17.08%, 56.39%, 39.30%, 2.96%, 1.35%
18139,32.50%, 64.29%, 31.79%, 2.98%, 0.93%
18141,6.20%, 49.08%, 42.88%, 6.75%, 1.29%
18143,3.57%, 46.83%, 50.40%,-, 2.77%
18145,27.03%, 61.20%, 34.17%, 3.58%, 1.04%
18147,11.65%, 54.45%, 42.79%, 2.02%, 0.74%
18149,15.59%, 55.27%, 39.68%, 3.26%, 1.79%
18151,34.01%, 62.94%, 28.93%, 6.68%, 1.44%
18153,1.43%, 49.05%, 47.62%, 2.33%, 1.00%
18155,3.57%, 47.14%, 50.71%,-, 2.14%
18157,26.72%, 56.92%, 30.20%, 10.61%, 2.28%
18159,32.25%, 63.81%, 31.56%, 3.53%, 1.10%
18161,31.22%, 63.53%, 32.30%, 3.31%, 0.86%
18163,8.90%, 51.07%, 42.17%, 5.85%, 0.92%
18165,4.79%, 49.94%, 45.15%, 3.20%, 1.70%
18167,10.47%, 51.87%, 41.40%, 5.34%, 1.39%
18169,28.66%, 60.82%, 32.15%, 5.55%, 1.48%
18171,33.15%, 64.11%, 30.96%, 3.49%, 1.44%
18173,11.08%, 52.39%, 41.31%, 5.37%, 0.93%
18175,16.90%, 56.30%, 39.40%, 2.05%, 2.25%
18177,26.32%, 60.53%, 34.22%, 4.19%, 1.06%
18179,20.14%, 56.14%, 36.00%, 6.86%, 1.00%
18181,34.56%, 64.48%, 29.91%, 4.29%, 1.32%
18183,20.66%, 55.74%, 35.08%, 7.24%, 1.95%
19001,29.15%, 60.16%, 31.01%, 7.59%, 1.24%
19003,28.12%, 59.62%, 31.50%, 7.17%, 1.71%
19005,27.79%, 60.73%, 32.95%, 5.21%, 1.11%
19007,11.52%, 52.68%, 41.16%, 5.25%, 0.92%
19009,22.44%, 57.96%, 35.52%, 5.77%, 0.76%
19011,10.40%, 50.11%, 39.71%, 8.91%, 1.27%
19013,3.43%, 46.49%, 43.07%, 9.18%, 1.26%
19015,5.01%, 47.42%, 42.41%, 8.94%, 1.22%
19017,28.09%, 59.25%, 31.16%, 8.57%, 1.02%
19019,15.24%, 53.50%, 38.26%, 7.31%, 0.92%
19021,18.64%, 54.49%, 35.84%, 7.97%, 1.71%
19023,38.18%, 65.90%, 27.73%, 5.46%, 0.91%
19025,23.44%, 57.41%, 33.98%, 6.43%, 2.18%
19027,11.63%, 51.53%, 39.90%, 7.56%, 1.02%
19029,39.56%, 66.34%, 26.78%, 5.85%, 1.03%
19031,23.20%, 56.41%, 33.21%, 8.94%, 1.45%
19033,8.00%, 49.01%, 41.02%, 8.87%, 1.10%
19035,18.24%, 54.49%, 36.25%, 7.99%, 1.27%
19037,13.37%, 52.86%, 39.49%, 6.73%, 0.93%
19039,18.23%, 54.88%, 36.65%, 7.04%, 1.43%
19041,14.83%, 51.11%, 36.27%, 11.31%, 1.31%
19043,19.75%, 55.56%, 35.81%, 7.27%, 1.36%
19045,13.20%, 51.66%, 38.47%, 8.49%, 1.38%
19047,29.78%, 61.02%, 31.24%, 6.36%, 1.37%
19049,7.61%, 48.57%, 40.96%, 9.26%, 1.22%
19051,7.99%, 50.97%, 42.98%, 5.09%, 0.97%
19053,3.53%, 47.67%, 44.14%, 6.85%, 1.34%
19055,21.11%, 55.38%, 34.27%, 9.33%, 1.03%
19057,4.01%, 44.85%, 48.87%, 5.10%, 1.18%
19059,18.92%, 54.13%, 35.21%, 9.23%, 1.44%
19061,0.10%, 44.90%, 44.99%, 8.93%, 1.19%
19063,15.88%, 53.49%, 37.61%, 7.79%, 1.10%
19065,17.33%, 55.32%, 37.98%, 5.61%, 1.08%
19067,11.31%, 51.16%, 39.86%, 7.98%, 1.00%
19069,24.11%, 57.90%, 33.79%, 7.15%, 1.16%
19071,36.07%, 65.19%, 29.12%, 4.62%, 1.07%
19073,15.89%, 53.11%, 37.21%, 8.59%, 1.09%
19075,39.50%, 66.10%, 26.60%, 6.26%, 1.04%
19077,24.45%, 58.29%, 33.84%, 6.96%, 0.91%
19079,24.24%, 57.40%, 33.16%, 8.21%, 1.22%
19081,28.94%, 60.42%, 31.48%, 7.58%, 0.51%
19083,15.85%, 53.72%, 37.87%, 7.36%, 1.05%
19085,33.32%, 63.83%, 30.51%, 4.41%, 1.25%
19087,13.15%, 52.35%, 39.20%, 7.43%, 1.02%
19089,13.65%, 53.35%, 39.71%, 6.03%, 0.91%
19091,29.41%, 60.60%, 31.19%, 6.68%, 1.53%
19093,36.52%, 64.88%, 28.36%, 5.83%, 0.92%
19095,20.57%, 55.21%, 34.65%, 8.87%, 1.28%
19097,10.98%, 51.17%, 40.19%, 7.11%, 1.54%
19099,6.06%, 48.84%, 42.78%, 7.20%, 1.18%
19101,20.85%, 56.16%, 35.31%, 6.92%, 1.62%
19103,15.07%, 31.73%, 46.80%, 18.84%, 2.63%
19105,11.05%, 50.56%, 39.50%, 8.52%, 1.42%
19107,12.64%, 52.64%, 40.00%, 6.18%, 1.19%
19109,17.13%, 54.26%, 37.13%, 7.55%, 1.06%
19111,3.22%, 48.14%, 44.92%, 5.73%, 1.21%
19113,5.50%, 46.35%, 40.84%, 11.22%, 1.59%
19115,18.11%, 55.19%, 37.09%, 6.35%, 1.37%
19117,12.25%, 52.61%, 40.35%, 5.90%, 1.14%
19119,47.00%, 70.05%, 23.05%, 6.04%, 0.85%
19121,12.85%, 51.79%, 38.93%, 7.88%, 1.40%
19123,16.23%, 54.52%, 38.29%, 5.82%, 1.37%
19125,8.69%, 49.30%, 40.61%, 9.11%, 0.97%
19127,18.31%, 54.56%, 36.25%, 7.85%, 1.35%
19129,45.09%, 69.09%, 24.00%, 5.42%, 1.49%
19131,23.21%, 58.00%, 34.79%, 6.16%, 1.06%
19133,30.43%, 61.85%, 31.42%, 5.20%, 1.53%
19135,3.33%, 48.65%, 45.32%, 5.25%, 0.78%
19137,42.27%, 67.97%, 25.70%, 4.97%, 1.35%
19139,14.74%, 51.69%, 36.96%, 10.05%, 1.30%
19141,35.14%, 63.61%, 28.48%, 6.91%, 1.01%
19143,32.30%, 62.45%, 30.15%, 6.71%, 0.69%
19145,49.24%, 71.93%, 22.69%, 4.56%, 0.82%
19147,9.42%, 50.69%, 41.27%, 6.90%, 1.14%
19149,34.31%, 62.97%, 28.66%, 7.31%, 1.06%
19151,21.72%, 56.17%, 34.45%, 6.98%, 2.39%
19153,1.51%, 44.63%, 43.12%, 11.00%, 1.25%
19155,28.68%, 60.96%, 32.29%, 5.64%, 1.11%
19157,11.74%, 50.52%, 38.77%, 9.02%, 1.69%
19159,22.58%, 57.95%, 35.37%, 5.88%, 0.80%
19161,27.92%, 59.47%, 31.55%, 7.46%, 1.53%
19163,12.23%, 51.09%, 38.85%, 8.48%, 1.58%
19165,34.82%, 64.03%, 29.21%, 5.74%, 1.02%
19167,56.96%, 76.01%, 19.04%, 4.31%, 0.64%
19169,6.15%, 42.36%, 36.20%, 19.41%, 2.04%
19171,20.82%, 56.27%, 35.45%, 6.89%, 1.40%
19173,35.34%, 64.44%, 29.10%, 5.70%, 0.76%
19175,19.90%, 56.40%, 36.49%, 6.15%, 0.95%
19177,22.58%, 58.21%, 35.63%, 4.97%, 1.20%
19179,8.20%, 42.31%, 50.50%, 5.94%, 1.25%
19181,4.83%, 47.43%, 42.59%, 8.82%, 1.16%
19183,14.29%, 52.01%, 37.72%, 9.22%, 1.05%
19185,14.47%, 54.12%, 39.64%, 5.31%, 0.93%
19187,6.83%, 49.63%, 42.80%, 6.59%, 0.97%
19189,24.70%, 58.77%, 34.08%, 6.44%, 0.71%
19191,19.69%, 54.10%, 34.40%, 10.08%, 1.42%
19193,17.62%, 54.43%, 36.81%, 7.36%, 1.40%
19195,12.20%, 52.13%, 39.93%, 6.98%, 0.95%
19197,18.06%, 55.07%, 37.01%, 6.95%, 0.97%
20001,28.53%, 60.33%, 31.80%, 6.02%, 1.85%
20003,31.62%, 62.63%, 31.01%, 4.88%, 1.48%
20005,13.47%, 53.87%, 40.40%, 4.55%, 1.17%
20007,32.00%, 62.53%, 30.53%, 5.61%, 1.34%
20009,39.59%, 66.03%, 26.44%, 5.72%, 1.80%
20011,23.03%, 59.22%, 36.19%, 3.49%, 1.11%
20013,41.86%, 67.61%, 25.74%, 5.37%, 1.28%
20015,18.07%, 55.33%, 37.26%, 5.50%, 1.91%
20017,41.17%, 66.94%, 25.76%, 5.74%, 1.56%
20019,46.78%, 71.60%, 24.83%, 2.61%, 0.96%
20021,13.73%, 54.81%, 41.08%, 2.92%, 1.19%
20023,54.00%, 73.89%, 19.89%, 4.50%, 1.72%
20025,33.24%, 63.59%, 30.35%, 4.73%, 1.34%
20027,53.93%, 73.90%, 19.97%, 4.65%, 1.48%
20029,30.74%, 61.56%, 30.82%, 5.91%, 1.70%
20031,43.11%, 69.16%, 26.04%, 3.55%, 1.25%
20033,36.12%, 65.45%, 29.33%, 3.73%, 1.49%
20035,21.39%, 57.14%, 35.75%, 5.66%, 1.46%
20037,2.37%, 47.81%, 45.43%, 5.03%, 1.73%
20039,53.29%, 72.98%, 19.69%, 5.56%, 1.78%
20041,42.42%, 67.64%, 25.22%, 5.61%, 1.53%
20043,40.92%, 67.84%, 26.92%, 3.93%, 1.32%
20045,16.49%, 49.01%, 32.52%, 16.57%, 1.90%
20047,35.98%, 63.93%, 27.95%, 5.76%, 0.27%
20049,43.44%, 69.68%, 26.24%, 2.94%, 1.14%
20051,15.80%, 52.54%, 36.74%, 8.61%, 2.12%
20053,38.81%, 65.90%, 27.09%, 5.11%, 1.90%
20055,25.98%, 58.59%, 32.61%, 6.44%, 0.19%
20057,25.79%, 58.86%, 33.06%, 6.44%, 1.65%
20059,31.78%, 62.73%, 30.95%, 4.90%, 1.42%
20061,18.67%, 56.06%, 37.39%, 5.27%, 1.28%
20063,48.82%, 71.11%, 22.30%, 5.12%, 1.46%
20065,47.78%, 70.90%, 23.13%, 4.79%, 1.17%
20067,39.66%, 66.01%, 26.35%, 5.79%, 1.85%
20069,35.34%, 63.68%, 28.34%, 5.98%, 1.99%
