id,margin,romney,obama,other,hex_color
05017,22.45%, 38.29%, 60.74%, 0.96%,61029a
05019,6.33%, 51.65%, 45.32%, 3.03%,830773
05021,29.10%, 63.11%, 34.01%, 2.88%,a00756
05023,52.14%, 74.64%, 22.50%, 2.87%,be0739
05025,44.95%, 70.82%, 25.87%, 3.31%,b40841
05027,23.62%, 61.24%, 37.62%, 1.14%,9c025f
05029,19.52%, 58.40%, 38.87%, 2.73%,940663
05031,30.99%, 64.20%, 33.21%, 2.60%,a30654
05033,49.85%, 73.55%, 23.70%, 2.74%,bb063c
05035,14.89%, 41.86%, 56.75%, 1.38%,6a0390
05037,29.79%, 63.90%, 34.11%, 1.99%,a20556
05039,10.64%, 53.99%, 43.35%, 2.66%,89066e
05041,12.38%, 42.90%, 55.27%, 1.83%,6d048c
05043,18.95%, 58.60%, 39.65%, 1.75%,950465
05045,31.60%, 64.45%, 32.85%, 2.69%,a40653
05047,44.42%, 70.81%, 26.39%, 2.80%,b40743
05049,33.10%, 65.21%, 32.11%, 2.68%,a60651
05051,29.98%, 63.87%, 33.89%, 2.23%,a20556
05053,51.88%, 74.53%, 22.66%, 2.81%,be0739
05055,36.85%, 65.92%, 29.07%, 1.88%,a8044a
05057,26.24%, 61.90%, 35.66%, 2.44%,9d065a
05059,29.01%, 63.03%, 34.01%, 2.96%,a00756
05061,31.85%, 64.81%, 32.97%, 2.22%,a50554
05063,43.94%, 70.40%, 26.47%, 3.13%,b30743
05065,38.86%, 67.73%, 28.87%, 3.39%,ac0849
05067,18.27%, 57.45%, 39.18%, 3.37%,920863
05069,29.03%, 34.77%, 63.80%, 1.44%,5803a2
05071,27.97%, 62.53%, 34.56%, 2.90%,9f0758
05073,18.44%, 58.48%, 40.05%, 1.47%,950366
05075,31.55%, 63.83%, 32.27%, 1.71%,a20452
05077,24.15%, 37.38%, 61.54%, 1.08%,5f029c
05079,20.77%, 59.02%, 38.24%, 2.74%,960661
05081,36.29%, 67.02%, 30.73%, 2.26%,aa054e
05083,41.88%, 69.28%, 27.40%, 3.31%,b00845
05085,50.82%, 74.15%, 23.33%, 2.53%,bd063b
05087,32.95%, 64.91%, 31.96%, 3.14%,a50851
05089,38.82%, 67.71%, 28.89%, 1.29%,ac0349
05091,39.82%, 69.29%, 29.47%, 1.23%,b0034b
05093,1.02%, 49.37%, 48.35%, 2.28%,7d057b
05095,0.06%, 49.07%, 49.01%, 1.92%,7d047c
05097,42.57%, 69.59%, 27.03%, 3.38%,b10844
05099,20.15%, 58.98%, 38.83%, 2.19%,960563
05101,41.38%, 68.51%, 27.12%, 2.05%,ae0545
05103,8.61%, 53.52%, 44.92%, 1.56%,880372
05105,35.40%, 65.54%, 30.14%, 1.83%,a7044c
05107,32.84%, 32.76%, 65.60%, 1.64%,5304a7
05109,52.69%, 75.16%, 22.47%, 2.38%,bf0639
05111,34.18%, 65.79%, 31.61%, 2.59%,a70650
05113,56.94%, 77.08%, 20.14%, 2.78%,c40733
05115,47.15%, 72.23%, 25.08%, 2.69%,b8063f
05117,40.53%, 68.55%, 28.02%, 3.44%,ae0847
05119,11.46%, 43.28%, 54.74%, 1.98%,6e058b
05121,27.79%, 62.14%, 34.35%, 1.48%,9e0357
05123,18.44%, 40.28%, 58.72%, 1.00%,660295
05125,42.70%, 70.04%, 27.34%, 2.61%,b20645
05127,47.64%, 72.28%, 24.64%, 3.08%,b8073e
05129,51.03%, 73.06%, 22.04%, 2.33%,ba0538
05131,37.08%, 67.27%, 30.19%, 2.54%,ab064c
05133,48.36%, 72.42%, 24.06%, 3.51%,b8083d
05135,38.84%, 67.57%, 28.72%, 1.57%,ac0449
05137,45.20%, 70.53%, 25.33%, 1.51%,b30340
05139,26.22%, 62.29%, 36.07%, 1.64%,9e045b
05141,39.39%, 67.88%, 28.49%, 1.42%,ad0348
05143,16.25%, 56.33%, 40.07%, 1.26%,8f0366
05145,53.73%, 75.47%, 21.74%, 2.78%,c00737
05147,4.21%, 45.70%, 49.91%, 2.05%,74057f
05149,38.83%, 67.66%, 28.82%, 3.52%,ac0849
06001,60.56%, 18.12%, 78.69%, 3.19%,2e08c8
06003,23.39%, 36.09%, 59.48%, 4.43%,5c0b97
06005,19.50%, 58.11%, 38.60%, 3.29%,940862
06007,1.99%, 48.87%, 46.88%, 4.26%,7c0a77
06009,16.90%, 56.56%, 39.66%, 3.78%,900965
06011,21.29%, 59.57%, 38.28%, 2.15%,970561
06013,35.14%, 31.09%, 66.23%, 2.69%,4f06a8
06015,9.38%, 52.61%, 43.23%, 4.16%,860a6e
06017,17.76%, 57.27%, 39.51%, 3.21%,920864
06019,1.79%, 47.94%, 49.72%, 2.34%,7a057e
06021,25.23%, 60.97%, 35.73%, 3.30%,9b085b
06023,27.10%, 32.63%, 59.73%, 3.29%,530898
06025,32.05%, 33.13%, 65.18%, 1.69%,5404a6
06027,11.42%, 54.01%, 42.58%, 3.41%,89086c
06029,16.71%, 56.99%, 40.28%, 2.73%,910666
06031,14.93%, 56.24%, 41.31%, 2.44%,8f0669
06033,16.94%, 39.33%, 56.27%, 4.39%,640b8f
06035,39.56%, 68.03%, 28.47%, 3.51%,ad0848
06037,41.86%, 27.83%, 69.69%, 2.48%,4606b1
06039,17.11%, 57.23%, 40.11%, 2.66%,910666
06041,51.23%, 22.92%, 74.14%, 2.94%,3a07bd
06043,18.17%, 56.87%, 38.70%, 4.43%,910b62
06045,38.52%, 27.49%, 66.01%, 3.67%,4609a8
06047,8.72%, 44.33%, 53.04%, 2.63%,710687
06049,41.45%, 69.10%, 27.64%, 3.26%,b00846
06051,8.65%, 44.10%, 52.75%, 3.15%,700886
06053,36.86%, 30.27%, 67.13%, 2.60%,4d06ab
06055,28.69%, 34.28%, 62.97%, 2.76%,5707a0
06057,0.63%, 48.35%, 47.73%, 3.92%,7b0979
06059,6.23%, 51.87%, 45.65%, 2.48%,840674
06061,19.28%, 58.19%, 38.91%, 2.90%,940763
06063,16.82%, 56.76%, 39.94%, 3.30%,900865
06065,1.65%, 47.97%, 49.62%, 2.40%,7a067e
06067,18.93%, 39.13%, 58.06%, 2.81%,630794
06069,20.61%, 38.48%, 59.10%, 2.42%,620696
06071,7.33%, 45.01%, 52.34%, 2.65%,720685
06073,7.56%, 44.95%, 52.51%, 2.53%,720685
06075,70.38%, 13.01%, 83.40%, 3.59%,2109d4
06077,13.66%, 41.91%, 55.57%, 2.52%,6a068d
06079,1.02%, 47.61%, 48.63%, 3.76%,79097c
06081,46.66%, 25.46%, 72.13%, 2.41%,4006b7
06083,18.01%, 39.42%, 57.44%, 3.14%,640892
06085,42.83%, 27.14%, 69.97%, 2.89%,4507b2
06087,55.45%, 19.98%, 75.43%, 4.60%,320bc0
06089,29.08%, 62.83%, 33.75%, 3.42%,a00856
06091,22.40%, 58.70%, 36.30%, 5.00%,950c5c
06093,15.16%, 55.40%, 40.24%, 4.35%,8d0b66
06095,29.24%, 34.08%, 63.32%, 2.59%,5606a1
06097,45.72%, 25.26%, 70.99%, 3.75%,4009b5
06099,2.74%, 47.14%, 49.88%, 2.97%,78077f
06101,19.08%, 58.30%, 39.22%, 2.47%,940664
06103,27.42%, 61.95%, 34.53%, 3.52%,9d0858
06105,0.73%, 47.33%, 46.59%, 6.08%,780f76
06107,15.01%, 56.24%, 41.22%, 2.54%,8f0669
06109,15.68%, 56.06%, 40.38%, 3.55%,8e0966
06111,7.01%, 45.15%, 52.16%, 2.69%,730685
06113,33.94%, 31.29%, 65.24%, 3.47%,4f08a6
06115,18.04%, 57.06%, 39.02%, 3.92%,910963
08001,16.78%, 40.12%, 56.90%, 2.98%,660791
08003,16.47%, 40.28%, 56.75%, 2.96%,660790
08005,9.92%, 43.99%, 53.90%, 2.11%,700589
08007,17.72%, 57.50%, 39.78%, 2.72%,920665
08009,51.85%, 74.03%, 22.17%, 3.80%,bc0938
08011,13.39%, 55.36%, 41.97%, 2.68%,8d066b
08013,41.84%, 27.84%, 69.69%, 2.47%,4606b1
08014,5.96%, 45.67%, 51.62%, 2.71%,740683
08015,0.15%, 48.46%, 48.61%, 2.92%,7b077b
08017,65.60%, 81.34%, 15.74%, 2.93%,cf0728
08019,12.00%, 42.31%, 54.31%, 3.38%,6b088a
08021,9.22%, 44.75%, 53.96%, 1.29%,720389
08023,48.67%, 24.28%, 72.95%, 2.78%,3d07ba
08025,25.90%, 61.52%, 35.62%, 2.86%,9c075a
08027,33.89%, 65.86%, 31.97%, 2.17%,a70551
08029,39.52%, 68.54%, 29.02%, 2.44%,ae064a
08031,49.24%, 24.18%, 73.41%, 2.41%,3d06bb
08033,42.17%, 69.00%, 26.83%, 4.18%,af0a44
08035,25.76%, 62.11%, 36.35%, 1.54%,9e035c
08037,14.92%, 41.52%, 56.43%, 2.05%,69058f
08039,47.00%, 72.41%, 25.41%, 2.18%,b80540
08041,20.38%, 58.91%, 38.54%, 2.55%,960662
08043,31.69%, 64.53%, 32.84%, 2.64%,a40653
08045,5.04%, 51.36%, 46.32%, 2.33%,820576
08047,16.36%, 40.32%, 56.68%, 3.00%,660790
08049,6.95%, 51.95%, 45.00%, 3.05%,840772
08051,19.65%, 38.55%, 58.20%, 3.25%,620894
08053,20.67%, 58.83%, 38.17%, 3.00%,960761
08055,8.25%, 44.21%, 52.46%, 3.33%,700885
08057,45.28%, 70.75%, 25.47%, 3.77%,b40940
08059,4.85%, 46.36%, 51.21%, 2.43%,760682
08061,68.09%, 82.46%, 14.37%, 3.17%,d20824
08063,52.59%, 75.23%, 22.64%, 2.13%,bf0539
08065,24.38%, 36.12%, 60.49%, 3.39%,5c089a
08067,9.20%, 43.65%, 52.85%, 3.50%,6f0886
08069,5.76%, 45.72%, 51.47%, 2.81%,740783
08071,2.65%, 47.55%, 50.20%, 2.24%,790580
08073,49.63%, 73.76%, 24.14%, 2.10%,bc053d
08075,38.00%, 67.72%, 29.72%, 2.55%,ac064b
08077,32.39%, 65.08%, 32.69%, 2.23%,a50553
08079,8.15%, 52.92%, 44.77%, 2.31%,860572
08081,54.56%, 76.12%, 21.56%, 2.32%,c20536
08083,23.21%, 60.08%, 36.87%, 3.04%,99075e
08085,36.83%, 67.32%, 30.49%, 2.19%,ab054d
08087,24.96%, 61.26%, 36.30%, 2.44%,9c065c
08089,8.97%, 53.49%, 44.52%, 1.99%,880571
08091,5.15%, 46.25%, 51.41%, 2.34%,750583
08093,14.67%, 55.90%, 41.23%, 2.86%,8e0769
08095,46.31%, 72.27%, 25.96%, 1.77%,b80442
08097,37.97%, 30.01%, 67.98%, 2.00%,4c05ad
08099,35.18%, 66.42%, 31.24%, 2.34%,a9054f
08101,13.95%, 41.74%, 55.68%, 2.58%,6a068d
08103,64.00%, 80.85%, 16.86%, 2.29%,ce052a
08105,7.95%, 52.74%, 44.79%, 2.48%,860672
08107,15.60%, 41.07%, 56.67%, 2.26%,680590
08109,30.73%, 32.88%, 63.61%, 3.51%,5308a2
08111,10.67%, 41.90%, 52.57%, 2.57%,6a0686
08113,43.19%, 27.11%, 70.30%, 2.58%,4506b3
08115,34.53%, 65.84%, 31.32%, 2.84%,a7074f
08117,24.66%, 36.38%, 61.04%, 2.57%,5c069b
08119,32.43%, 64.59%, 32.16%, 3.25%,a40852
08121,62.06%, 80.12%, 18.06%, 1.81%,cc042e
08123,12.66%, 54.84%, 42.18%, 2.98%,8b076b
08125,54.69%, 76.25%, 21.56%, 2.18%,c20536
09001,10.63%, 44.22%, 54.85%, 0.93%,70028b
09003,25.85%, 36.52%, 62.37%, 1.11%,5d029f
09005,3.62%, 51.07%, 47.45%, 1.48%,820378
09007,15.88%, 41.41%, 57.29%, 1.31%,690392
09009,22.33%, 38.32%, 60.65%, 1.02%,61029a
09011,18.27%, 40.07%, 58.33%, 1.60%,660494
09013,12.56%, 42.89%, 55.45%, 1.66%,6d048d
09015,13.28%, 42.43%, 55.72%, 1.85%,6c048e
10001,4.94%, 46.79%, 51.73%, 1.48%,770383
10003,34.07%, 32.23%, 66.30%, 1.47%,5203a9
10005,13.03%, 55.90%, 42.88%, 1.22%,8e036d
11001,83.63%, 7.28%, 90.91%, 1.81%,1204e7
12001,17.31%, 40.40%, 57.71%, 1.89%,670493
12003,58.51%, 78.80%, 20.29%, 0.91%,c80233
12005,43.48%, 71.01%, 27.53%, 1.47%,b50346
12007,41.96%, 70.46%, 28.51%, 1.03%,b30248
12009,12.68%, 55.62%, 42.94%, 1.44%,8d036d
12011,34.89%, 32.23%, 67.12%, 0.65%,5201ab
12013,43.70%, 70.61%, 26.91%, 2.47%,b40644
12015,14.24%, 56.52%, 42.28%, 1.20%,90036b
12017,21.84%, 60.22%, 38.37%, 1.41%,990361
12019,45.72%, 72.33%, 26.61%, 1.06%,b80243
12021,30.02%, 64.64%, 34.62%, 0.74%,a40158
12023,36.61%, 67.69%, 31.08%, 1.23%,ac034f
12027,14.29%, 56.51%, 42.22%, 1.27%,90036b
12029,46.76%, 72.60%, 25.84%, 1.57%,b90441
12031,3.60%, 51.27%, 47.67%, 1.06%,820279
12033,20.49%, 59.55%, 39.06%, 1.39%,970363
12035,7.42%, 53.19%, 45.77%, 1.05%,870274
12037,31.40%, 64.98%, 33.58%, 1.44%,a50355
12039,40.58%, 29.43%, 70.01%, 0.55%,4b01b2
12041,50.80%, 74.55%, 23.75%, 1.70%,be043c
12043,18.51%, 58.54%, 40.03%, 1.42%,950366
12045,41.83%, 70.10%, 28.26%, 1.64%,b20448
12047,16.79%, 57.90%, 41.11%, 1.00%,930268
12049,30.83%, 64.83%, 34.00%, 1.17%,a50256
12051,5.91%, 52.42%, 46.51%, 1.07%,850276
12053,8.47%, 53.54%, 45.07%, 1.38%,880372
12055,22.96%, 60.92%, 37.96%, 1.12%,9b0260
12057,6.68%, 46.04%, 52.71%, 1.25%,750386
12059,68.21%, 83.46%, 15.25%, 1.29%,d40326
12061,22.29%, 60.70%, 38.41%, 0.89%,9a0261
12063,28.98%, 64.00%, 35.02%, 0.99%,a30259
12065,1.75%, 48.70%, 50.45%, 0.86%,7c0280
12067,58.16%, 78.33%, 20.17%, 1.50%,c70333
12069,17.10%, 57.99%, 40.89%, 1.13%,930268
12071,16.51%, 57.83%, 41.32%, 0.85%,930269
12073,23.59%, 37.54%, 61.13%, 1.34%,5f039b
12075,32.16%, 65.31%, 33.15%, 1.54%,a60354
12077,41.32%, 69.96%, 28.64%, 1.40%,b20349
12079,3.41%, 51.27%, 47.85%, 0.88%,82027a
12081,12.43%, 55.65%, 43.22%, 1.13%,8d026e
12083,16.21%, 57.53%, 41.32%, 1.15%,920269
12085,22.87%, 60.96%, 38.09%, 0.95%,9b0261
12086,23.71%, 37.87%, 61.58%, 0.54%,60019d
12087,0.43%, 49.12%, 49.56%, 1.32%,7d037e
12089,48.44%, 73.67%, 25.23%, 1.10%,bb0240
12091,49.17%, 73.80%, 24.63%, 1.56%,bc033e
12093,19.99%, 59.25%, 39.27%, 1.48%,970364
12095,18.21%, 40.36%, 58.56%, 1.08%,660295
12097,24.46%, 37.27%, 61.73%, 1.00%,5f029d
12099,17.00%, 41.13%, 58.14%, 0.73%,680194
12101,6.61%, 52.48%, 45.86%, 1.66%,850474
12103,5.63%, 46.45%, 52.08%, 1.47%,760384
12105,6.80%, 52.75%, 45.95%, 1.30%,860375
12107,24.37%, 61.50%, 37.13%, 1.37%,9c035e
12109,37.66%, 68.25%, 30.59%, 1.16%,ae024e
12111,7.84%, 45.58%, 53.42%, 1.00%,740288
12113,52.45%, 75.51%, 23.06%, 1.44%,c0033a
12115,7.40%, 53.14%, 45.74%, 1.12%,870274
12117,6.45%, 52.57%, 46.12%, 1.31%,860375
12119,34.89%, 67.13%, 32.25%, 0.62%,ab0152
12121,44.77%, 71.63%, 26.85%, 1.52%,b60344
12123,38.13%, 68.37%, 30.24%, 1.39%,ae034d
12125,48.84%, 73.59%, 24.76%, 1.65%,bb043f
12127,1.17%, 49.94%, 48.78%, 1.28%,7f037c
12129,28.00%, 63.21%, 35.21%, 1.58%,a10459
12131,51.85%, 75.19%, 23.34%, 1.47%,bf033b
12133,47.26%, 72.79%, 25.54%, 1.67%,b90441
13001,48.99%, 73.78%, 24.78%, 1.44%,bc033f
13003,34.67%, 66.67%, 31.99%, 1.34%,aa0351
13005,58.49%, 78.58%, 20.10%, 1.32%,c80333
13007,0.57%, 49.34%, 49.91%, 0.75%,7d017f
13009,5.49%, 46.64%, 52.14%, 1.22%,760384
13011,73.73%, 86.30%, 12.57%, 1.13%,dc0220
13013,50.25%, 74.10%, 23.85%, 2.05%,bc053c
13015,51.48%, 74.87%, 23.39%, 1.74%,be043b
13017,14.81%, 56.88%, 42.08%, 1.04%,91026b
13019,57.36%, 77.81%, 20.45%, 1.74%,c60434
13021,20.00%, 39.54%, 59.54%, 0.92%,640297
13023,47.11%, 72.91%, 25.79%, 1.30%,b90341
13025,66.86%, 82.46%, 15.60%, 1.94%,d20427
13027,6.16%, 52.62%, 46.46%, 0.92%,860276
13029,43.43%, 70.94%, 27.51%, 1.55%,b40346
13031,18.98%, 58.73%, 39.75%, 1.52%,950365
13033,11.27%, 43.92%, 55.19%, 0.89%,6f028c
13035,35.51%, 67.09%, 31.57%, 1.34%,ab0350
13037,18.96%, 40.34%, 59.30%, 0.37%,660097
13039,27.51%, 62.84%, 35.33%, 1.83%,a0045a
13043,33.62%, 66.38%, 32.77%, 0.85%,a90253
13045,37.42%, 67.86%, 30.45%, 1.69%,ad044d
13047,52.51%, 75.06%, 22.55%, 2.39%,bf0639
13049,35.33%, 67.12%, 31.79%, 1.09%,ab0251
13051,11.98%, 43.38%, 55.36%, 1.26%,6e038d
13053,0.40%, 49.23%, 48.83%, 1.94%,7d047c
13055,40.92%, 69.28%, 28.36%, 2.35%,b00548
13057,57.57%, 77.73%, 20.16%, 2.12%,c60533
13059,28.67%, 34.10%, 62.77%, 0.79%,5602a0
13061,23.16%, 38.28%, 61.44%, 0.29%,61009c
13063,69.95%, 14.72%, 84.67%, 0.61%,2501d7
13065,30.14%, 64.57%, 34.42%, 1.01%,a40257
13067,12.42%, 55.25%, 42.83%, 1.93%,8c046d
13069,28.96%, 63.89%, 34.94%, 1.17%,a20259
13071,39.48%, 69.25%, 29.77%, 0.98%,b0024b
13073,42.85%, 70.70%, 27.85%, 1.45%,b40347
13075,31.34%, 65.14%, 33.80%, 1.06%,a60256
13077,43.94%, 71.17%, 27.22%, 1.61%,b50445
13079,32.31%, 65.47%, 33.16%, 1.36%,a60354
13081,13.72%, 56.51%, 42.80%, 0.69%,90016d
13083,50.60%, 73.94%, 23.33%, 0.50%,bc013b
13085,74.10%, 86.19%, 12.09%, 1.71%,db041e
13087,11.74%, 55.47%, 43.72%, 0.81%,8d026f
13089,56.65%, 20.98%, 77.63%, 1.38%,3503c5
13091,35.75%, 67.24%, 31.49%, 1.26%,ab0350
