id,margin,harding,cox,other,other2,hex_color
05001,1.80%, 50.23%, 48.43%,1.34%,-,80037b
05003,28.37%, 35.04%, 63.41%,1.55%,-,5903a1
05005,17.68%, 38.38%, 56.07%,0.0%,-,61008e
05007,18.93%, 39.34%, 58.28%,0.0%,-,640094
05009,25.26%, 35.61%, 60.87%,0.0%,-,5a009b
05011,34.49%, 30.73%, 65.22%,0.0%,-,4e00a6
05013,35.03%, 29.59%, 64.62%,0.0%,-,4b00a4
05015,0.22%, 48.71%, 48.93%,0.0%,-,7c007c
05017,28.72%, 35.28%, 64.00%,0.72%,-,5901a3
05019,19.13%, 40.06%, 59.19%,0.75%,-,660196
05021,6.84%, 43.99%, 50.83%,0.0%,-,700081
05023,18.16%, 38.06%, 56.22%,0.0%,-,61008f
05025,25.71%, 36.57%, 62.28%,1.15%,-,5d029e
05027,40.84%, 29.29%, 70.13%,0.58%,-,4a01b2
05029,17.84%, 40.48%, 58.32%,1.2%,-,670394
05031,31.50%, 32.64%, 64.15%,0.0%,-,5300a3
05033,10.71%, 44.06%, 54.77%,1.18%,-,70038b
05035,68.33%, 15.46%, 83.80%,0.74%,-,2701d5
05037,28.87%, 34.00%, 62.87%,0.0%,-,5600a0
05039,26.41%, 36.19%, 62.60%,1.21%,-,5c039f
05041,43.46%, 27.40%, 70.85%,1.75%,-,4504b4
05043,28.39%, 35.17%, 63.56%,1.27%,-,5903a2
05045,25.32%, 35.31%, 60.63%,0.0%,-,5a009a
05047,30.64%, 32.15%, 62.79%,0.0%,-,5100a0
05049,20.34%, 39.13%, 59.47%,1.4%,-,630397
05051,6.26%, 45.45%, 51.71%,0.0%,-,730083
05053,44.97%, 26.59%, 71.56%,1.85%,-,4304b6
05055,26.28%, 35.53%, 61.82%,0.0%,-,5a009d
05057,12.07%, 43.65%, 55.72%,0.62%,-,6f018e
05059,7.46%, 44.96%, 52.42%,0.0%,-,720085
05061,9.08%, 44.94%, 54.02%,1.04%,-,720289
05063,17.31%, 39.74%, 57.05%,0.0%,-,650091
05065,26.33%, 35.87%, 62.20%,1.92%,-,5b049e
05067,15.83%, 40.34%, 56.17%,0.0%,-,66008f
05069,42.88%, 27.70%, 70.58%,1.72%,-,4604b3
05071,21.16%, 36.15%, 57.31%,0.0%,-,5c0092
05073,31.10%, 34.25%, 65.34%,0.41%,-,5701a6
05075,40.55%, 28.72%, 69.27%,0.0%,-,4900b0
05077,50.27%, 23.60%, 73.87%,0.0%,-,3c00bc
05079,5.31%, 52.41%, 47.11%,0.48%,-,850178
05081,15.45%, 40.63%, 56.08%,0.0%,-,67008f
05083,0.82%, 49.51%, 48.69%,1.8%,-,7e047c
05085,40.87%, 28.09%, 68.96%,0.0%,-,4700af
05087,7.80%, 53.10%, 45.29%,1.61%,-,870473
05089,28.76%, 28.60%, 57.36%,0.0%,-,480092
05091,28.75%, 33.90%, 62.65%,0.0%,-,56009f
05093,25.47%, 35.23%, 60.70%,0.0%,-,59009a
05095,4.39%, 51.35%, 46.96%,1.69%,-,820477
05097,16.53%, 54.96%, 38.43%,0.0%,-,8c0061
05099,2.82%, 50.65%, 47.82%,1.53%,-,810379
05101,24.89%, 60.26%, 35.37%,0.0%,-,99005a
05103,6.71%, 46.12%, 52.83%,1.05%,-,750286
05105,10.68%, 43.31%, 53.99%,0.0%,-,6e0089
05107,38.60%, 30.54%, 69.14%,0.32%,-,4d00b0
05109,3.96%, 50.69%, 46.73%,0.0%,-,810077
05111,29.55%, 32.93%, 62.49%,0.0%,-,53009f
05113,1.38%, 46.27%, 47.65%,0.0%,-,750079
05115,29.41%, 34.24%, 63.65%,0.0%,-,5700a2
05117,6.50%, 45.64%, 52.14%,0.0%,-,740084
05119,26.96%, 35.80%, 62.76%,1.45%,-,5b03a0
05121,36.33%, 31.17%, 67.50%,1.34%,-,4f03ac
05123,15.78%, 40.82%, 56.60%,0.0%,-,680090
05125,48.08%, 24.13%, 72.22%,0.0%,-,3d00b8
05127,1.25%, 46.88%, 48.13%,0.0%,-,77007a
05129,27.05%, 60.80%, 33.75%,0.0%,-,9b0056
05131,4.75%, 46.03%, 50.78%,0.0%,-,750081
05133,31.90%, 29.99%, 61.89%,0.0%,-,4c009d
05135,39.30%, 26.42%, 65.72%,0.0%,-,4300a7
05137,15.94%, 39.25%, 55.19%,0.0%,-,64008c
05139,54.84%, 21.29%, 76.12%,0.0%,-,3600c2
05141,49.84%, 72.98%, 23.13%,0.0%,-,ba003a
05143,10.64%, 43.41%, 54.05%,0.0%,-,6e0089
05145,20.23%, 37.82%, 58.06%,0.0%,-,600094
05147,5.22%, 46.41%, 51.62%,1.97%,-,760583
05149,28.99%, 34.21%, 63.20%,0.0%,-,5700a1
