statecounty,margin,dole,clinton,perot,nader,other
05087,3.75%, 43.01%, 46.76%, 8.61%,-, 1.62%
05089,6.91%, 37.75%, 44.65%, 12.47%,-, 5.13%
05091,12.75%, 38.97%, 51.73%, 8.34%,-, 0.96%
05093,32.83%, 29.36%, 62.19%, 7.61%,-, 0.83%
05095,36.84%, 28.14%, 64.98%, 5.84%,-, 1.04%
05097,20.03%, 32.86%, 52.89%, 12.34%,-, 1.91%
05099,35.70%, 26.74%, 62.44%, 9.45%,-, 1.37%
05101,7.13%, 46.39%, 39.26%, 11.99%,-, 2.36%
05103,32.98%, 29.56%, 62.54%, 6.91%,-, 0.99%
05105,20.96%, 32.83%, 53.79%, 11.34%,-, 2.04%
05107,40.96%, 25.73%, 66.69%, 5.38%,-, 2.21%
05109,22.54%, 32.86%, 55.41%, 10.34%,-, 1.38%
05111,35.71%, 27.39%, 63.09%, 8.71%,-, 0.81%
05113,0.42%, 42.70%, 42.28%, 13.12%,-, 1.90%
05115,1.01%, 43.75%, 44.76%, 10.04%,-, 1.45%
05117,33.17%, 28.67%, 61.85%, 8.53%,-, 0.95%
05119,23.72%, 35.06%, 58.78%, 4.71%,-, 1.45%
05121,25.28%, 31.76%, 57.04%, 9.96%,-, 1.24%
05123,35.16%, 29.19%, 64.35%, 5.85%,-, 0.61%
05125,8.13%, 40.77%, 48.90%, 9.11%,-, 1.22%
05127,19.39%, 33.19%, 52.57%, 11.94%,-, 2.30%
05129,2.95%, 45.00%, 42.05%, 9.60%,-, 3.35%
05131,2.74%, 46.63%, 43.89%, 8.20%,-, 1.28%
05133,26.53%, 31.16%, 57.69%, 10.08%,-, 1.06%
05135,13.46%, 37.80%, 51.26%, 9.86%,-, 1.08%
05137,15.78%, 34.36%, 50.15%, 13.04%,-, 2.45%
05139,14.55%, 37.97%, 52.53%, 6.73%,-, 2.77%
05141,17.29%, 34.48%, 51.77%, 12.20%,-, 1.54%
05143,2.14%, 44.30%, 46.44%, 7.13%,-, 2.14%
05145,7.36%, 41.25%, 48.61%, 8.71%,-, 1.43%
05147,50.70%, 20.97%, 71.67%, 6.52%,-, 0.84%
05149,24.65%, 31.77%, 56.43%, 10.75%,-, 1.05%
06001,42.71%, 23.07%, 65.77%, 5.25%, 4.42%, 1.48%
06003,0.98%, 43.00%, 42.02%, 10.26%, 3.09%, 1.63%
06005,6.93%, 47.54%, 40.60%, 8.77%,-, 3.09%
06007,10.45%, 48.98%, 38.53%, 8.04%, 3.03%, 1.43%
06009,9.49%, 48.12%, 38.63%, 9.37%,-, 3.89%
06011,17.69%, 54.29%, 36.60%, 7.20%,-, 1.91%
06013,20.58%, 35.15%, 55.73%, 5.79%, 2.08%, 1.24%
06015,0.20%, 41.29%, 41.08%, 13.78%, 2.24%, 1.61%
06017,15.51%, 51.84%, 36.33%, 8.03%, 2.28%, 1.53%
06019,2.09%, 47.42%, 45.32%, 5.26%,-, 2.00%
06021,24.81%, 56.86%, 32.04%, 8.89%,-, 2.21%
06023,8.65%, 35.52%, 44.17%, 10.42%, 8.34%, 1.55%
06025,18.51%, 36.76%, 55.27%, 6.73%,-, 1.23%
06027,17.48%, 51.84%, 34.36%, 10.71%,-, 3.08%
06029,17.21%, 53.77%, 36.56%, 7.85%,-, 1.83%
06031,4.32%, 47.91%, 43.59%, 6.76%,-, 1.74%
06033,13.94%, 34.96%, 48.90%, 11.90%, 2.73%, 1.51%
06035,19.00%, 52.60%, 33.60%, 10.94%,-, 2.87%
06037,28.37%, 30.96%, 59.34%, 6.54%,-, 3.16%
06039,17.14%, 53.85%, 36.70%, 7.15%,-, 2.30%
06041,29.87%, 28.17%, 58.04%, 5.65%, 6.34%, 1.81%
06043,13.28%, 50.02%, 36.73%, 9.17%, 2.42%, 1.66%
06045,15.87%, 29.87%, 45.74%, 11.27%, 11.04%, 2.09%
06047,2.00%, 44.41%, 46.41%, 7.30%,-, 1.87%
06049,21.31%, 53.10%, 31.79%, 12.27%,-, 2.84%
06051,7.38%, 46.00%, 38.62%, 10.93%, 2.35%, 2.10%
06053,16.49%, 36.66%, 53.15%, 6.67%, 2.20%, 1.32%
06055,14.80%, 36.09%, 50.89%, 8.80%, 2.57%, 1.65%
06057,14.84%, 50.40%, 35.56%, 7.70%, 4.85%, 1.48%
06059,13.79%, 51.67%, 37.88%, 7.66%,-, 2.80%
06061,15.70%, 52.75%, 37.05%, 6.93%,-, 3.28%
06063,14.00%, 50.31%, 36.31%, 9.43%, 2.19%, 1.76%
06065,2.56%, 45.61%, 43.05%, 9.06%,-, 2.28%
06067,9.07%, 40.76%, 49.83%, 5.86%, 2.24%, 1.31%
06069,11.84%, 38.72%, 50.55%, 7.51%,-, 3.22%
06071,0.78%, 43.58%, 44.36%, 9.51%,-, 2.54%
06073,1.46%, 45.57%, 44.11%, 7.13%,-, 3.20%
06075,56.58%, 15.66%, 72.24%, 3.33%, 7.39%, 1.38%
06077,1.46%, 44.87%, 46.34%, 6.68%,-, 2.11%
06079,6.31%, 46.50%, 40.19%, 8.16%, 3.83%, 1.31%
06081,31.33%, 29.22%, 60.55%, 5.98%, 2.92%, 1.33%
06083,4.47%, 42.40%, 46.87%, 6.27%, 3.17%, 1.29%
06085,24.72%, 32.16%, 56.88%, 6.67%, 2.35%, 1.94%
06087,29.58%, 26.94%, 56.52%, 6.36%, 7.57%, 2.61%
06089,22.06%, 55.17%, 33.11%, 9.33%,-, 2.39%
06091,17.81%, 51.38%, 33.57%, 9.96%, 2.34%, 0.53%
06093,8.92%, 47.30%, 38.39%, 10.27%, 2.03%, 2.01%
06095,20.38%, 34.74%, 55.12%, 7.40%,-, 2.74%
06097,26.03%, 29.54%, 55.57%, 7.65%, 5.27%, 1.98%
06099,1.14%, 44.79%, 45.93%, 7.14%,-, 2.14%
06101,23.28%, 57.64%, 34.37%, 6.20%,-, 1.79%
06103,14.68%, 50.34%, 35.66%, 11.37%,-, 2.62%
06105,5.55%, 42.93%, 37.38%, 14.53%, 2.70%, 2.46%
06107,15.85%, 53.90%, 38.06%, 5.95%,-, 2.10%
06109,6.54%, 47.27%, 40.73%, 8.76%,-, 3.24%
06111,0.63%, 43.47%, 44.10%, 9.18%,-, 3.25%
06113,24.49%, 32.38%, 56.88%, 5.42%, 4.09%, 1.23%
06115,14.10%, 51.53%, 37.42%, 8.46%,-, 2.60%
08001,12.36%, 38.92%, 51.28%, 7.65%,-, 2.15%
08003,5.91%, 41.23%, 47.14%, 8.84%,-, 2.79%
08005,8.88%, 50.79%, 41.91%, 5.20%,-, 2.11%
08007,28.11%, 57.11%, 29.01%, 10.47%,-, 3.40%
08009,29.83%, 59.53%, 29.70%, 9.15%,-, 1.62%
08011,5.87%, 41.70%, 47.57%, 9.50%,-, 1.23%
08013,17.63%, 34.55%, 52.17%, 5.64%, 5.58%, 2.06%
08014,0%,-,-,-,-,-
08015,4.36%, 46.85%, 42.49%, 8.26%,-, 2.41%
08017,34.95%, 62.84%, 27.89%, 7.74%,-, 1.53%
08019,2.81%, 41.97%, 44.78%, 8.77%,-, 4.47%
08021,18.11%, 36.06%, 54.17%, 7.69%,-, 2.07%
08023,50.88%, 20.29%, 71.18%, 6.83%,-, 1.71%
08025,8.83%, 49.60%, 40.77%, 8.32%,-, 1.31%
08027,32.52%, 58.90%, 26.38%, 10.50%,-, 4.23%
08029,22.19%, 54.48%, 32.29%, 9.55%, 2.14%, 1.55%
08031,31.71%, 30.04%, 61.76%, 4.51%,-, 3.69%
08033,17.47%, 51.67%, 34.20%, 11.77%,-, 2.35%
08035,30.57%, 61.80%, 31.23%, 5.12%,-, 1.85%
08037,4.03%, 40.89%, 44.92%, 10.52%, 2.32%, 1.36%
08039,33.01%, 61.04%, 28.03%, 7.50%,-, 3.43%
08041,26.86%, 59.04%, 32.19%, 6.44%,-, 2.33%
08043,14.42%, 51.24%, 36.82%, 9.91%,-, 2.03%
08045,3.95%, 44.43%, 40.47%, 11.05%, 2.61%, 1.44%
08047,6.54%, 38.12%, 44.66%, 10.29%, 4.81%, 2.12%
08049,5.15%, 46.30%, 41.15%, 9.67%,-, 2.88%
08051,9.67%, 37.04%, 46.70%, 9.47%, 4.72%, 2.08%
08053,19.01%, 52.83%, 33.82%, 10.24%, 2.56%, 0.55%
08055,17.54%, 35.88%, 53.42%, 7.56%, 2.23%, 0.90%
08057,31.69%, 58.34%, 26.65%, 12.85%,-, 2.16%
08059,5.73%, 48.41%, 42.67%, 6.18%,-, 2.74%
08061,34.20%, 61.96%, 27.77%, 8.35%,-, 1.92%
08063,28.99%, 60.26%, 31.26%, 6.85%,-, 1.63%
08065,24.90%, 29.71%, 54.61%, 11.18%, 2.33%, 2.16%
08067,8.94%, 46.52%, 37.58%, 8.10%, 6.46%, 1.35%
08069,5.10%, 47.14%, 42.04%, 7.00%,-, 3.82%
08071,28.24%, 31.53%, 59.76%, 7.07%,-, 1.64%
08073,24.65%, 57.74%, 33.09%, 7.44%,-, 1.72%
08075,16.70%, 53.15%, 36.45%, 8.03%,-, 2.37%
08077,16.41%, 53.12%, 36.72%, 7.95%,-, 2.21%
08079,2.91%, 40.04%, 42.95%, 15.44%,-, 1.57%
08081,17.18%, 50.99%, 33.81%, 13.42%,-, 1.78%
08083,20.39%, 53.31%, 32.92%, 10.56%, 2.06%, 1.15%
08085,22.15%, 54.99%, 32.84%, 9.70%,-, 2.48%
08087,13.90%, 52.34%, 38.44%, 7.89%,-, 1.33%
08089,0.40%, 45.13%, 45.53%, 7.81%,-, 1.53%
08091,23.13%, 54.85%, 31.72%, 9.31%, 2.90%, 1.23%
08093,15.59%, 50.77%, 35.18%, 10.19%,-, 3.85%
08095,26.45%, 58.76%, 32.31%, 7.14%,-, 1.78%
08097,28.35%, 28.19%, 56.54%, 7.66%, 5.23%, 2.39%
08099,16.32%, 53.83%, 37.51%, 7.35%,-, 1.31%
08101,22.64%, 34.60%, 57.24%, 6.71%,-, 1.46%
08103,35.58%, 62.50%, 26.92%, 8.95%,-, 1.62%
08105,9.51%, 49.50%, 39.99%, 8.81%,-, 1.70%
08107,8.18%, 38.52%, 46.70%, 10.96%,-, 3.82%
08109,13.17%, 36.48%, 49.64%, 8.20%, 3.84%, 1.84%
08111,5.41%, 41.35%, 35.95%, 13.51%, 5.14%, 4.05%
08113,27.78%, 28.18%, 55.96%, 8.42%, 4.23%, 3.21%
08115,14.44%, 52.69%, 38.25%, 7.44%,-, 1.62%
08117,8.42%, 38.73%, 47.16%, 9.78%, 2.23%, 2.10%
08119,27.89%, 57.93%, 30.05%, 9.19%,-, 2.83%
08121,37.58%, 64.18%, 26.60%, 7.79%,-, 1.43%
08123,9.73%, 49.67%, 39.94%, 8.14%,-, 2.25%
08125,26.08%, 58.72%, 32.64%, 7.24%,-, 1.41%
09001,7.87%, 41.06%, 48.93%, 7.76%,-, 2.25%
09003,25.78%, 31.26%, 57.04%, 9.44%,-, 2.25%
09005,7.04%, 38.88%, 45.92%, 11.85%, 2.58%, 0.78%
09007,20.53%, 31.98%, 52.51%, 12.73%, 2.15%, 0.63%
09009,22.00%, 32.72%, 54.72%, 10.27%,-, 2.29%
09011,20.70%, 32.05%, 52.74%, 12.53%, 2.00%, 0.68%
09013,18.10%, 33.08%, 51.18%, 12.22%, 2.86%, 0.66%
09015,20.68%, 30.97%, 51.65%, 14.49%, 2.23%, 0.67%
10001,6.10%, 40.59%, 46.69%, 11.99%,-, 0.73%
10003,21.11%, 33.94%, 55.05%, 9.88%,-, 1.12%
10005,1.93%, 42.66%, 44.59%, 12.05%,-, 0.71%
11001,75.85%, 9.34%, 85.19%,-, 2.57%, 2.90%
12001,19.92%, 33.97%, 53.90%, 10.83%,-, 1.30%
12003,21.29%, 55.54%, 34.25%, 10.05%,-, 0.17%
12005,21.85%, 54.87%, 33.02%, 11.46%,-, 0.65%
12007,8.28%, 48.97%, 40.69%, 9.93%,-, 0.41%
12009,3.88%, 45.11%, 41.23%, 12.94%,-, 0.72%
12011,35.22%, 28.29%, 63.51%, 7.71%,-, 0.49%
12013,1.85%, 41.29%, 43.15%, 15.15%,-, 0.41%
12015,1.15%, 44.18%, 43.03%, 12.35%,-, 0.44%
12017,3.87%, 40.57%, 44.44%, 14.61%,-, 0.37%
12019,36.34%, 64.49%, 28.16%, 6.97%,-, 0.38%
12021,26.76%, 58.74%, 31.97%, 8.72%,-, 0.58%
12023,5.49%, 46.48%, 40.98%, 12.07%,-, 0.47%
12027,0.71%, 43.71%, 43.01%, 12.89%,-, 0.39%
12029,8.82%, 36.82%, 45.63%, 17.18%,-, 0.37%
12031,5.76%, 49.96%, 44.20%, 5.45%,-, 0.39%
12033,21.46%, 56.52%, 35.06%, 7.97%,-, 0.46%
12035,6.73%, 41.01%, 47.74%, 10.88%,-, 0.37%
12037,11.66%, 34.20%, 45.86%, 19.21%,-, 0.72%
12039,39.37%, 26.88%, 66.25%, 6.61%,-, 0.26%
12041,0.96%, 40.44%, 41.40%, 17.54%,-, 0.63%
12043,4.93%, 39.67%, 44.59%, 15.19%,-, 0.55%
12045,0.83%, 40.55%, 41.39%, 17.59%,-, 0.47%
12047,5.85%, 41.38%, 47.24%, 11.05%,-, 0.33%
12049,8.23%, 47.18%, 38.95%, 13.71%,-, 0.16%
12051,0.34%, 43.32%, 43.66%, 12.75%,-, 0.27%
12053,11.16%, 37.97%, 49.12%, 12.52%,-, 0.39%
12055,4.05%, 46.32%, 42.27%, 11.09%,-, 0.32%
12057,2.47%, 44.33%, 46.80%, 8.16%,-, 0.71%
12059,13.77%, 47.75%, 33.98%, 17.75%,-, 0.51%
12061,14.42%, 51.66%, 37.24%, 10.55%,-, 0.56%
12063,3.36%, 46.34%, 42.98%, 10.33%,-, 0.35%
12065,14.41%, 38.49%, 52.90%, 8.17%,-, 0.44%
12067,14.51%, 50.22%, 35.70%, 13.61%,-, 0.47%
12069,7.23%, 47.48%, 40.25%, 11.92%,-, 0.35%
12071,9.16%, 48.75%, 39.59%, 11.08%,-, 0.58%
12073,17.60%, 36.99%, 54.59%, 7.28%,-, 1.14%
12075,5.77%, 38.85%, 44.63%, 16.03%,-, 0.49%
12077,2.08%, 42.19%, 40.11%, 17.38%,-, 0.32%
12079,10.72%, 39.29%, 50.01%, 10.35%,-, 0.36%
12081,2.32%, 45.56%, 43.24%, 10.70%,-, 0.50%
12083,4.84%, 45.92%, 41.08%, 12.58%,-, 0.42%
12085,14.03%, 52.18%, 38.16%, 9.16%,-, 0.50%
12086,19.47%, 37.87%, 57.34%, 4.47%,-, 0.32%
12087,9.76%, 37.11%, 46.86%, 14.82%,-, 1.21%
12089,22.98%, 57.36%, 34.38%, 7.83%,-, 0.43%
12091,38.42%, 64.53%, 26.11%, 8.62%,-, 0.74%
12093,14.16%, 34.38%, 48.55%, 16.76%,-, 0.31%
12095,0.22%, 45.89%, 45.66%, 7.87%,-, 0.58%
12097,7.61%, 39.44%, 47.05%, 13.10%,-, 0.40%
12099,24.38%, 33.68%, 58.06%, 7.74%,-, 0.53%
12101,13.58%, 36.23%, 49.80%, 13.50%,-, 0.47%
12103,8.66%, 40.44%, 49.10%, 9.83%,-, 0.63%
12105,0.81%, 45.26%, 44.45%, 9.98%,-, 0.31%
12107,8.84%, 38.91%, 47.75%, 13.01%,-, 0.33%
12109,21.84%, 56.27%, 34.43%, 8.66%,-, 0.64%
12111,9.84%, 39.10%, 48.94%, 11.48%,-, 0.48%
12113,36.23%, 62.02%, 25.79%, 11.70%,-, 0.50%
12115,3.72%, 46.46%, 42.73%, 10.03%,-, 0.78%
12117,12.83%, 52.04%, 39.21%, 8.14%,-, 0.60%
12119,6.86%, 38.70%, 45.56%, 15.42%,-, 0.31%
12121,10.40%, 47.28%, 36.88%, 15.43%,-, 0.40%
12123,4.94%, 39.86%, 44.80%, 14.26%,-, 1.08%
12125,7.16%, 47.26%, 40.09%, 12.28%,-, 0.38%
12127,9.88%, 39.39%, 49.28%, 10.81%,-, 0.52%
12129,1.72%, 40.91%, 42.63%, 15.22%,-, 1.24%
12131,15.25%, 49.68%, 34.42%, 15.09%,-, 0.81%
12133,6.77%, 44.83%, 38.06%, 16.37%,-, 0.74%
13001,9.85%, 50.44%, 40.60%, 8.75%,-, 0.22%
13003,2.14%, 42.94%, 45.07%, 11.77%,-, 0.22%
13005,6.55%, 47.07%, 40.51%, 11.97%,-, 0.45%
13007,37.08%, 27.66%, 64.75%, 7.12%,-, 0.47%
13009,10.44%, 40.79%, 51.23%, 7.58%,-, 0.41%
13011,9.54%, 47.23%, 37.68%, 14.60%,-, 0.49%
13013,13.67%, 51.65%, 37.98%, 9.11%,-, 1.26%
13015,13.30%, 51.32%, 38.02%, 9.82%,-, 0.84%
13017,16.68%, 37.08%, 53.77%, 8.76%,-, 0.39%
13019,2.55%, 42.87%, 45.42%, 11.54%,-, 0.18%
13021,11.91%, 41.61%, 53.53%, 4.54%,-, 0.32%
13023,8.07%, 49.33%, 41.26%, 9.07%,-, 0.33%
13025,6.71%, 47.83%, 41.11%, 10.62%,-, 0.44%
13027,5.90%, 42.87%, 48.77%, 7.75%,-, 0.62%
13029,22.73%, 57.06%, 34.33%, 8.18%,-, 0.43%
13031,9.59%, 50.97%, 41.38%, 7.20%,-, 0.44%
13033,19.17%, 37.47%, 56.63%, 5.63%,-, 0.27%
13035,5.13%, 42.61%, 47.74%, 8.75%,-, 0.90%
13037,36.19%, 28.96%, 65.15%, 5.67%,-, 0.21%
13039,6.81%, 49.75%, 42.94%, 6.74%,-, 0.57%
13043,1.36%, 45.22%, 43.86%, 10.56%,-, 0.36%
13045,12.49%, 51.25%, 38.76%, 9.20%,-, 0.79%
13047,20.71%, 55.89%, 35.18%, 8.53%,-, 0.41%
13049,0.20%, 45.33%, 45.13%, 9.24%,-, 0.30%
13051,5.32%, 44.88%, 50.20%, 4.25%,-, 0.67%
13053,15.43%, 36.78%, 52.22%, 10.63%,-, 0.37%
13055,7.75%, 39.72%, 47.47%, 12.58%,-, 0.22%
13057,35.49%, 63.41%, 27.93%, 7.43%,-, 1.23%
13059,17.19%, 38.41%, 55.61%, 4.39%,-, 1.59%
13061,43.22%, 25.63%, 68.85%, 5.42%,-, 0.09%
13063,18.21%, 37.34%, 55.55%, 6.32%,-, 0.79%
13065,9.43%, 40.42%, 49.85%, 9.32%,-, 0.41%
13067,20.16%, 56.93%, 36.77%, 5.20%,-, 1.10%
13069,6.53%, 48.72%, 42.19%, 8.80%,-, 0.28%
13071,7.13%, 48.51%, 41.38%, 9.78%,-, 0.33%
13073,40.04%, 67.18%, 27.14%, 5.39%,-, 0.29%
13075,12.50%, 39.74%, 52.25%, 7.84%,-, 0.18%
13077,22.92%, 56.85%, 33.93%, 8.48%,-, 0.74%
13079,7.86%, 41.57%, 49.44%, 8.70%,-, 0.29%
13081,3.46%, 43.83%, 47.28%, 8.40%,-, 0.49%
13083,11.95%, 49.16%, 37.21%, 13.24%,-, 0.39%
13085,21.11%, 54.41%, 33.30%, 10.98%,-, 1.30%
13087,3.09%, 44.65%, 47.74%, 7.31%,-, 0.29%
13089,37.47%, 29.08%, 66.55%, 3.25%,-, 1.12%
13091,3.77%, 42.86%, 46.64%, 10.15%,-, 0.35%
13093,30.41%, 31.33%, 61.74%, 6.55%,-, 0.38%
13095,15.99%, 39.98%, 55.97%, 3.85%,-, 0.20%
13097,18.37%, 54.75%, 36.37%, 7.97%,-, 0.91%
13099,8.37%, 41.98%, 50.35%, 7.52%,-, 0.15%
13101,3.63%, 45.09%, 41.45%, 13.06%,-, 0.40%
13103,22.50%, 56.76%, 34.26%, 8.69%,-, 0.29%
13105,8.66%, 40.86%, 49.51%, 9.42%,-, 0.20%
13107,8.45%, 41.73%, 50.18%, 7.66%,-, 0.43%
13109,3.51%, 47.52%, 44.01%, 8.04%,-, 0.43%
13111,9.12%, 48.67%, 39.55%, 11.28%,-, 0.49%
13113,33.52%, 63.25%, 29.74%, 6.07%,-, 0.94%
13115,7.73%, 48.96%, 41.23%, 9.24%,-, 0.56%
13117,39.10%, 64.83%, 25.72%, 8.16%,-, 1.30%
13119,0.48%, 43.79%, 43.30%, 12.32%,-, 0.59%
13121,22.00%, 36.93%, 58.93%, 3.17%,-, 0.96%
13123,10.33%, 49.06%, 38.74%, 11.40%,-, 0.80%
13125,18.25%, 52.78%, 34.52%, 12.70%,-,-
13127,19.66%, 56.96%, 37.30%, 5.26%,-, 0.47%
13129,9.18%, 48.35%, 39.18%, 11.87%,-, 0.60%
13131,3.04%, 43.23%, 46.27%, 10.23%,-, 0.26%
13133,10.29%, 42.39%, 52.68%, 4.31%,-, 0.62%
13135,26.26%, 59.29%, 33.03%, 6.28%,-, 1.40%
13137,17.13%, 51.93%, 34.80%, 12.62%,-, 0.65%
13139,27.68%, 59.84%, 32.16%, 7.20%,-, 0.79%
13141,64.13%, 16.55%, 80.69%, 2.68%,-, 0.08%
13143,5.90%, 46.89%, 40.99%, 11.62%,-, 0.50%
13145,14.72%, 53.70%, 38.97%, 6.86%,-, 0.48%
13147,8.39%, 40.22%, 48.61%, 10.70%,-, 0.47%
13149,2.74%, 41.14%, 43.88%, 14.28%,-, 0.70%
13151,25.69%, 58.36%, 32.67%, 7.98%,-, 0.99%
13153,13.13%, 52.18%, 39.05%, 8.35%,-, 0.42%
13155,5.51%, 42.72%, 48.23%, 8.82%,-, 0.24%
13157,10.91%, 50.38%, 39.46%, 9.47%,-, 0.68%
13159,4.02%, 44.00%, 48.02%, 7.51%,-, 0.46%
13161,5.77%, 47.08%, 41.31%, 11.22%,-, 0.39%
13163,22.91%, 35.86%, 58.77%, 5.15%,-, 0.22%
13165,15.47%, 38.77%, 54.24%, 6.74%,-, 0.24%
13167,16.81%, 36.14%, 52.95%, 10.73%,-, 0.18%
13169,1.10%, 46.80%, 45.70%, 7.11%,-, 0.40%
13171,3.01%, 43.75%, 46.76%, 9.00%,-, 0.48%
13173,19.91%, 34.55%, 54.46%, 10.65%,-, 0.33%
13175,2.55%, 47.79%, 45.24%, 6.39%,-, 0.59%
13177,30.37%, 61.15%, 30.78%, 7.77%,-, 0.29%
13179,17.47%, 37.42%, 54.89%, 7.13%,-, 0.55%
13181,1.94%, 47.33%, 45.39%, 7.08%,-, 0.20%
13183,7.35%, 40.11%, 47.46%, 11.97%,-, 0.46%
13185,5.12%, 48.92%, 43.79%, 7.02%,-, 0.27%
13187,12.14%, 49.86%, 37.73%, 11.38%,-, 1.03%
13189,8.29%, 50.96%, 42.68%, 6.19%,-, 0.17%
13191,20.53%, 35.35%, 55.89%, 8.50%,-, 0.26%
13193,42.52%, 26.54%, 69.06%, 4.19%,-, 0.21%
13195,19.01%, 53.40%, 34.39%, 11.61%,-, 0.60%
13197,16.42%, 37.23%, 53.65%, 8.73%,-, 0.38%
13199,19.72%, 36.13%, 55.85%, 7.68%,-, 0.35%
13201,3.11%, 42.43%, 45.54%, 11.77%,-, 0.25%
13205,20.26%, 36.39%, 56.66%, 6.66%,-, 0.29%
13207,4.51%, 48.19%, 43.67%, 7.70%,-, 0.44%
13209,2.61%, 43.31%, 45.92%, 10.58%,-, 0.19%
13211,0.15%, 45.92%, 45.77%, 7.89%,-, 0.41%
13213,6.01%, 46.17%, 40.16%, 13.17%,-, 0.51%
13215,11.91%, 41.86%, 53.77%, 4.09%,-, 0.28%
13217,3.33%, 47.10%, 43.77%, 8.15%,-, 0.98%
13219,24.10%, 58.05%, 33.95%, 6.98%,-, 1.02%
13221,6.73%, 48.03%, 41.29%, 9.71%,-, 0.97%
13223,25.25%, 57.57%, 32.32%, 9.09%,-, 1.02%
13225,13.42%, 39.63%, 53.05%, 6.98%,-, 0.34%
13227,5.30%, 46.31%, 41.01%, 11.93%,-, 0.75%
13229,21.99%, 56.73%, 34.74%, 8.15%,-, 0.39%
13231,14.83%, 52.52%, 37.69%, 9.13%,-, 0.66%
13233,1.76%, 43.25%, 45.01%, 11.27%,-, 0.48%
13235,11.82%, 39.47%, 51.29%, 8.84%,-, 0.40%
13237,0.66%, 44.81%, 45.47%, 9.21%,-, 0.51%
13239,36.39%, 28.11%, 64.49%, 7.40%,-,-
13241,5.66%, 46.42%, 40.76%, 12.27%,-, 0.55%
13243,26.10%, 34.24%, 60.34%, 5.29%,-, 0.13%
13245,12.43%, 41.62%, 54.05%, 4.06%,-, 0.27%
13247,23.57%, 57.31%, 33.73%, 7.71%,-, 1.25%
13249,9.06%, 40.17%, 49.23%, 10.51%,-, 0.09%
13251,5.33%, 44.13%, 49.47%, 6.23%,-, 0.17%
13253,10.38%, 39.74%, 50.12%, 9.90%,-, 0.24%
13255,9.35%, 50.74%, 41.39%, 7.29%,-, 0.58%
13257,10.25%, 48.77%, 38.51%, 12.27%,-, 0.45%
13259,45.63%, 23.67%, 69.30%, 6.85%,-, 0.18%
13261,10.93%, 41.64%, 52.57%, 5.59%,-, 0.20%
13263,39.51%, 27.79%, 67.31%, 4.73%,-, 0.17%
13265,42.89%, 26.52%, 69.41%, 4.06%,-,-
13267,2.74%, 46.23%, 43.49%, 9.93%,-, 0.35%
13269,16.89%, 37.77%, 54.66%, 7.35%,-, 0.23%
13271,21.40%, 34.30%, 55.70%, 9.66%,-, 0.33%
13273,14.45%, 40.33%, 54.77%, 4.68%,-, 0.22%
13275,4.05%, 49.04%, 45.00%, 5.79%,-, 0.16%
13277,13.38%, 53.07%, 39.69%, 6.88%,-, 0.36%
13279,12.55%, 51.81%, 39.26%, 8.55%,-, 0.37%
13281,8.76%, 48.58%, 39.82%, 10.98%,-, 0.62%
13283,10.74%, 41.10%, 51.85%, 6.94%,-, 0.11%
13285,17.54%, 55.06%, 37.52%, 6.89%,-, 0.54%
13287,14.18%, 37.64%, 51.81%, 10.02%,-, 0.53%
13289,31.16%, 30.80%, 61.96%, 6.75%,-, 0.48%
13291,9.25%, 48.70%, 39.45%, 11.28%,-, 0.56%
13293,3.63%, 47.08%, 43.45%, 9.10%,-, 0.37%
13295,11.79%, 50.10%, 38.32%, 11.19%,-, 0.39%
13297,15.42%, 52.82%, 37.40%, 8.81%,-, 0.97%
13299,6.00%, 49.55%, 43.54%, 6.64%,-, 0.27%
13301,24.12%, 35.82%, 59.94%, 4.04%,-, 0.19%
13303,24.70%, 33.94%, 58.64%, 7.05%,-, 0.38%
13305,13.68%, 52.05%, 38.37%, 9.33%,-, 0.25%
13307,35.72%, 28.55%, 64.28%, 7.17%,-,-
13309,21.44%, 33.90%, 55.34%, 10.39%,-, 0.37%
13311,20.20%, 54.59%, 34.39%, 10.26%,-, 0.76%
13313,21.30%, 56.69%, 35.39%, 7.50%,-, 0.42%
13315,8.72%, 41.56%, 50.28%, 8.06%,-, 0.09%
13317,15.45%, 39.51%, 54.96%, 5.13%,-, 0.39%
13319,24.20%, 34.08%, 58.28%, 7.34%,-, 0.31%
13321,7.90%, 48.07%, 40.17%, 9.10%,-,-
15001,28.07%, 27.60%, 55.66%, 10.49%, 5.08%, 1.17%
15003,22.73%, 33.61%, 56.33%, 6.81%, 2.38%, 0.87%
15005,0%,-,-,-,-,-
15007,38.21%, 25.33%, 63.54%, 7.46%, 2.54%, 1.13%
15009,32.34%, 26.74%, 59.08%, 9.36%, 3.66%, 1.16%
16001,15.94%, 52.50%, 36.55%, 9.49%,-, 1.46%
16003,26.48%, 54.03%, 27.55%, 15.96%,-, 2.46%
16005,3.99%, 44.80%, 40.81%, 13.25%,-, 1.13%
16007,27.71%, 56.37%, 28.67%, 14.10%,-, 0.85%
16009,4.57%, 42.54%, 37.97%, 17.89%,-, 1.61%
16011,27.46%, 56.39%, 28.92%, 13.58%,-, 1.11%
16013,10.19%, 36.55%, 46.73%, 14.52%,-, 2.20%
16015,23.56%, 53.26%, 29.71%, 14.87%,-, 2.16%
16017,6.32%, 43.00%, 36.67%, 18.49%,-, 1.84%
