statecounty,Margin,Reagan,Mondale,Hall,Other
05033,51.02%, 75.20%, 24.18%,-, 0.62%
05035,1.03%, 47.82%, 46.79%,-, 5.39%
05037,18.33%, 59.04%, 40.71%,-, 0.26%
05039,7.29%, 52.80%, 45.51%,-, 1.70%
05041,3.78%, 45.87%, 49.64%,-, 4.49%
05043,12.66%, 56.10%, 43.44%,-, 0.46%
05045,23.24%, 60.89%, 37.65%,-, 1.47%
05047,28.98%, 64.04%, 35.06%,-, 0.91%
05049,11.01%, 55.15%, 44.14%,-, 0.71%
05051,28.65%, 62.47%, 33.82%, 2.28%, 1.43%
05053,19.04%, 59.16%, 40.13%,-, 0.71%
05055,13.17%, 56.17%, 43.00%,-, 0.83%
05057,19.07%, 59.31%, 40.24%,-, 0.45%
05059,1.79%, 48.75%, 50.55%,-, 0.70%
05061,27.59%, 63.72%, 36.13%,-, 0.14%
05063,25.30%, 62.36%, 37.07%,-, 0.57%
05065,7.40%, 53.08%, 45.68%,-, 1.25%
05067,1.72%, 48.88%, 50.60%,-, 0.53%
05069,10.84%, 44.10%, 54.95%,-, 0.95%
05071,21.26%, 60.30%, 39.04%,-, 0.65%
05073,14.85%, 57.15%, 42.30%,-, 0.55%
05075,21.64%, 60.50%, 38.86%,-, 0.64%
05077,9.33%, 44.54%, 53.87%,-, 1.59%
05079,12.78%, 43.54%, 56.32%,-, 0.14%
05081,20.11%, 59.58%, 39.47%,-, 0.94%
05083,27.39%, 63.14%, 35.75%,-, 1.11%
05085,28.83%, 64.11%, 35.28%,-, 0.62%
05087,24.25%, 61.65%, 37.40%,-, 0.95%
05089,28.96%, 64.17%, 35.21%,-, 0.62%
05091,27.63%, 63.43%, 35.80%,-, 0.76%
05093,14.81%, 57.30%, 42.49%,-, 0.21%
05095,1.91%, 50.45%, 48.54%,-, 1.01%
05097,19.27%, 59.12%, 39.85%,-, 1.04%
05099,13.70%, 56.65%, 42.94%,-, 0.41%
05101,31.99%, 65.88%, 33.88%,-, 0.24%
05103,6.43%, 51.19%, 44.76%,-, 4.06%
05105,18.48%, 58.82%, 40.34%,-, 0.83%
05107,11.75%, 43.70%, 55.45%,-, 0.85%
05109,29.67%, 64.72%, 35.04%,-, 0.24%
05111,17.90%, 58.64%, 40.74%,-, 0.62%
05113,41.70%, 70.15%, 28.45%,-, 1.41%
05115,35.23%, 67.28%, 32.05%,-, 0.67%
05117,25.03%, 62.10%, 37.07%,-, 0.83%
05119,17.55%, 58.20%, 40.65%,-, 1.15%
05121,11.88%, 55.61%, 43.73%,-, 0.66%
05123,4.96%, 52.10%, 47.14%,-, 0.76%
05125,24.52%, 60.68%, 36.16%,-, 0.46%
05127,30.94%, 65.11%, 34.17%,-, 0.72%
05129,35.85%, 67.10%, 31.25%,-, 1.64%
05131,51.35%, 74.95%, 23.60%,-, 1.45%
05133,25.80%, 62.64%, 36.84%,-, 0.51%
05135,27.42%, 63.38%, 35.96%,-, 0.66%
05137,16.59%, 57.48%, 40.89%,-, 1.63%
05139,32.65%, 65.74%, 33.09%,-, 1.16%
05141,22.99%, 60.97%, 37.98%,-, 1.05%
05143,37.26%, 68.10%, 30.84%,-, 1.05%
05145,30.68%, 64.66%, 33.97%,-, 1.37%
05147,10.11%, 44.56%, 54.67%,-, 0.77%
05149,20.17%, 59.56%, 39.39%,-, 1.06%
06001,18.64%, 40.01%, 58.65%,-, 1.34%
06003,15.02%, 56.65%, 41.63%,-, 1.72%
06005,24.62%, 61.48%, 36.86%,-, 1.66%
06007,27.74%, 63.06%, 35.32%,-, 1.61%
06009,29.90%, 64.26%, 34.36%,-, 1.38%
06011,32.05%, 65.30%, 33.25%,-, 1.45%
06013,9.91%, 54.48%, 44.57%,-, 0.95%
06015,19.00%, 58.41%, 39.41%,-, 2.18%
06017,31.24%, 64.93%, 33.69%,-, 1.37%
06019,9.56%, 54.30%, 44.74%,-, 0.97%
06021,40.92%, 69.74%, 28.82%,-, 1.44%
06023,4.85%, 51.64%, 46.79%,-, 1.56%
06025,25.08%, 62.01%, 36.94%,-, 1.05%
06027,42.01%, 70.32%, 28.30%,-, 1.38%
06029,31.02%, 65.03%, 34.01%,-, 0.96%
06031,28.97%, 64.10%, 35.13%,-, 0.77%
06033,11.22%, 54.83%, 43.61%,-, 1.56%
06035,23.95%, 61.09%, 37.14%,-, 1.77%
06037,10.15%, 54.50%, 44.35%,-, 1.14%
06039,21.34%, 60.04%, 38.70%,-, 1.26%
06041,0.56%, 49.02%, 49.58%,-, 1.40%
06043,24.39%, 61.20%, 36.81%,-, 1.99%
06045,6.24%, 52.09%, 45.85%,-, 2.06%
06047,18.80%, 58.85%, 40.05%,-, 1.10%
06049,41.21%, 69.49%, 28.28%,-, 2.23%
06051,46.15%, 72.31%, 26.16%,-, 1.52%
06053,15.37%, 57.16%, 41.79%,-, 1.05%
06055,16.95%, 57.77%, 40.82%,-, 1.40%
06057,27.11%, 62.36%, 35.25%,-, 2.40%
06059,50.44%, 74.70%, 24.27%,-, 1.03%
06061,27.70%, 62.94%, 35.24%,-, 1.82%
06063,15.03%, 56.61%, 41.58%,-, 1.81%
06065,27.95%, 63.48%, 35.53%,-, 0.99%
06067,12.42%, 55.56%, 43.14%,-, 1.30%
06069,22.83%, 60.71%, 37.89%,-, 1.40%
