statecounty,Margin,Reagan,Mondale,Hall,Other
13295,36.44%, 68.22%, 31.78%,-,-
13297,33.63%, 66.81%, 33.19%,-,-
13299,11.14%, 55.57%, 44.43%,-,-
13301,7.29%, 46.35%, 53.65%,-,-
13303,2.48%, 48.76%, 51.24%,-,-
13305,20.61%, 60.31%, 39.69%,-,-
13307,14.10%, 42.95%, 57.05%,-,-
13309,3.67%, 51.84%, 48.16%,-,-
13311,36.98%, 68.49%, 31.51%,-,-
13313,38.70%, 69.35%, 30.65%,-,-
13315,0.25%, 50.12%, 49.88%,-,-
13317,7.33%, 53.67%, 46.33%,-,-
13319,8.97%, 45.52%, 54.48%,-,-
13321,26.66%, 63.33%, 36.67%,-,-
15001,7.26%, 52.90%, 45.64%,-, 1.46%
15003,13.14%, 56.08%, 42.94%,-, 0.99%
15005,0%,-,-,-,-
15007,2.11%, 50.45%, 48.34%,-, 1.21%
15009,6.25%, 52.45%, 46.20%,-, 1.36%
16001,46.16%, 72.40%, 26.24%,-, 1.36%
16003,43.00%, 70.60%, 27.61%,-, 1.79%
16005,32.79%, 65.77%, 32.98%,-, 1.25%
16007,69.76%, 84.48%, 14.72%,-, 0.80%
16009,16.75%, 57.70%, 40.95%,-, 1.36%
16011,58.45%, 78.72%, 20.27%,-, 1.01%
16013,28.85%, 63.69%, 34.84%,-, 1.47%
16015,47.24%, 72.57%, 25.33%,-, 2.09%
16017,19.33%, 58.89%, 39.56%,-, 1.56%
16019,66.17%, 82.71%, 16.54%,-, 0.75%
16021,29.42%, 63.46%, 34.04%,-, 2.50%
16023,48.43%, 73.89%, 25.46%,-, 0.65%
16025,49.08%, 74.13%, 25.05%,-, 0.81%
16027,52.43%, 75.53%, 23.10%,-, 1.37%
16029,69.42%, 84.29%, 14.87%,-, 0.83%
16031,71.96%, 85.60%, 13.64%,-, 0.76%
16033,70.84%, 85.06%, 14.22%,-, 0.72%
16035,14.76%, 56.55%, 41.79%,-, 1.66%
16037,55.60%, 77.10%, 21.50%,-, 1.40%
16039,51.38%, 75.27%, 23.88%,-, 0.85%
16041,75.41%, 87.15%, 11.73%,-, 1.12%
16043,65.69%, 82.55%, 16.86%,-, 0.60%
16045,38.07%, 68.11%, 30.04%,-, 1.85%
16047,50.24%, 74.60%, 24.36%,-, 1.04%
16049,35.01%, 66.45%, 31.44%,-, 2.11%
16051,76.60%, 87.92%, 11.32%,-, 0.76%
16053,57.98%, 78.49%, 20.51%,-, 0.99%
16055,31.20%, 64.93%, 33.74%,-, 1.33%
16057,15.84%, 57.10%, 41.27%,-, 1.63%
16059,52.80%, 75.78%, 22.98%,-, 1.24%
16061,21.13%, 60.02%, 38.90%,-, 1.08%
16063,51.08%, 74.98%, 23.90%,-, 1.11%
16065,86.28%, 92.88%, 6.60%,-, 0.52%
16067,61.19%, 80.03%, 18.84%,-, 1.13%
16069,15.16%, 56.89%, 41.74%,-, 1.37%
16071,61.54%, 80.51%, 18.97%,-, 0.53%
16073,56.88%, 77.71%, 20.83%,-, 1.45%
16075,52.20%, 75.23%, 23.04%,-, 1.73%
16077,53.93%, 76.50%, 22.57%,-, 0.93%
16079,1.96%, 50.22%, 48.27%,-, 1.51%
16081,53.69%, 76.48%, 22.78%,-, 0.74%
16083,56.99%, 77.97%, 20.98%,-, 1.06%
16085,41.21%, 69.96%, 28.76%,-, 1.28%
16087,45.27%, 71.99%, 26.72%,-, 1.29%
17001,32.27%, 65.99%, 33.72%,-, 0.29%
17003,5.45%, 47.08%, 52.53%,-, 0.38%
17005,19.21%, 59.46%, 40.25%,-, 0.29%
17007,33.78%, 66.65%, 32.88%,-, 0.47%
17009,21.22%, 60.43%, 39.21%,-, 0.37%
17011,25.66%, 62.57%, 36.90%,-, 0.53%
17013,6.60%, 53.04%, 46.44%,-, 0.51%
17015,37.07%, 68.39%, 31.31%,-, 0.30%
17017,7.78%, 53.68%, 45.90%,-, 0.42%
17019,17.87%, 58.61%, 40.74%,-, 0.65%
17021,6.15%, 52.84%, 46.69%,-, 0.48%
17023,27.27%, 63.45%, 36.17%,-, 0.38%
17025,28.69%, 64.22%, 35.53%,-, 0.25%
17027,33.13%, 66.43%, 33.30%,-, 0.27%
17029,32.35%, 65.95%, 33.60%,-, 0.45%
17031,2.62%, 48.40%, 51.02%,-, 0.57%
17033,33.22%, 66.44%, 33.21%,-, 0.35%
17035,26.65%, 63.04%, 36.39%,-, 0.57%
17037,29.72%, 64.50%, 34.78%,-, 0.73%
17039,31.55%, 65.57%, 34.01%,-, 0.42%
17041,32.60%, 66.14%, 33.54%,-, 0.31%
17043,51.87%, 75.66%, 23.79%,-, 0.55%
17045,35.45%, 67.54%, 32.09%,-, 0.37%
17047,44.76%, 72.25%, 27.49%,-, 0.26%
17049,42.77%, 71.22%, 28.44%,-, 0.34%
17051,26.38%, 63.09%, 36.70%,-, 0.21%
17053,46.65%, 73.11%, 26.46%,-, 0.44%
17055,4.96%, 47.39%, 52.35%,-, 0.27%
17057,0.09%, 49.77%, 49.69%,-, 0.54%
17059,5.47%, 47.15%, 52.63%,-, 0.22%
17061,22.45%, 60.96%, 38.51%,-, 0.53%
17063,34.37%, 66.98%, 32.61%,-, 0.41%
17065,15.39%, 57.50%, 42.11%,-, 0.39%
17067,25.38%, 62.50%, 37.13%,-, 0.37%
17069,16.70%, 58.26%, 41.57%,-, 0.17%
17071,7.48%, 53.51%, 46.03%,-, 0.47%
17073,15.14%, 57.41%, 42.27%,-, 0.31%
17075,54.66%, 77.13%, 22.47%,-, 0.39%
17077,5.81%, 52.55%, 46.74%,-, 0.70%
17079,35.26%, 67.35%, 32.09%,-, 0.57%
17081,14.46%, 57.10%, 42.64%,-, 0.25%
17083,15.49%, 57.60%, 42.11%,-, 0.29%
17085,27.19%, 63.18%, 35.99%,-, 0.83%
17087,34.96%, 67.36%, 32.40%,-, 0.24%
17089,38.78%, 69.09%, 30.31%,-, 0.60%
17091,21.58%, 60.02%, 38.44%,-, 1.54%
17093,48.09%, 73.81%, 25.72%,-, 0.47%
17095,10.87%, 55.21%, 44.34%,-, 0.45%
17097,37.21%, 68.35%, 31.14%,-, 0.51%
17099,14.24%, 56.89%, 42.65%,-, 0.45%
17101,23.07%, 61.35%, 38.28%,-, 0.37%
17103,47.90%, 73.76%, 25.86%,-, 0.38%
17105,45.65%, 72.65%, 26.99%,-, 0.36%
17107,41.86%, 70.71%, 28.85%,-, 0.44%
17109,34.44%, 67.02%, 32.58%,-, 0.41%
17111,52.97%, 76.21%, 23.24%,-, 0.55%
17113,33.80%, 66.64%, 32.84%,-, 0.51%
17115,8.90%, 54.28%, 45.38%,-, 0.34%
17117,7.32%, 53.51%, 46.19%,-, 0.30%
17119,8.20%, 53.94%, 45.74%,-, 0.32%
17121,19.54%, 59.65%, 40.11%,-, 0.24%
17123,25.78%, 62.53%, 36.75%,-, 0.72%
17125,10.09%, 54.89%, 44.80%,-, 0.31%
17127,8.98%, 54.29%, 45.31%,-, 0.40%
17129,36.40%, 68.07%, 31.67%,-, 0.26%
17131,10.36%, 54.97%, 44.61%,-, 0.43%
17133,36.02%, 67.89%, 31.87%,-, 0.24%
17135,12.54%, 56.08%, 43.55%,-, 0.37%
17137,33.06%, 66.37%, 33.30%,-, 0.33%
17139,18.69%, 59.17%, 40.48%,-, 0.35%
17141,47.29%, 73.40%, 26.11%,-, 0.49%
17143,10.59%, 55.02%, 44.43%,-, 0.56%
17145,12.11%, 55.88%, 43.77%,-, 0.34%
17147,27.41%, 63.46%, 36.05%,-, 0.49%
17149,14.32%, 57.03%, 42.70%,-, 0.27%
17151,24.28%, 62.00%, 37.72%,-, 0.28%
17153,5.43%, 52.48%, 47.05%,-, 0.46%
17155,12.45%, 56.02%, 43.57%,-, 0.41%
17157,19.33%, 59.48%, 40.15%,-, 0.37%
17159,44.23%, 71.95%, 27.71%,-, 0.34%
17161,6.72%, 46.41%, 53.13%,-, 0.45%
17163,1.20%, 49.01%, 50.21%,-, 0.78%
17165,8.59%, 54.15%, 45.57%,-, 0.28%
17167,22.62%, 61.10%, 38.47%,-, 0.43%
17169,24.18%, 61.93%, 37.75%,-, 0.32%
17171,35.20%, 67.33%, 32.13%,-, 0.55%
17173,19.15%, 59.38%, 40.23%,-, 0.38%
17175,34.84%, 67.15%, 32.31%,-, 0.54%
17177,35.56%, 67.37%, 31.82%,-, 0.81%
17179,18.71%, 59.15%, 40.44%,-, 0.42%
17181,10.58%, 55.13%, 44.55%,-, 0.33%
17183,16.16%, 57.89%, 41.73%,-, 0.38%
17185,33.82%, 66.73%, 32.92%,-, 0.35%
17187,27.50%, 63.59%, 36.09%,-, 0.32%
17189,36.80%, 68.24%, 31.44%,-, 0.32%
17191,41.08%, 70.36%, 29.28%,-, 0.36%
17193,22.74%, 61.23%, 38.48%,-, 0.29%
17195,19.64%, 59.59%, 39.96%,-, 0.45%
17197,26.92%, 63.25%, 36.33%,-, 0.42%
17199,12.45%, 56.06%, 43.61%,-, 0.32%
17201,17.88%, 58.66%, 40.78%,-, 0.57%
17203,41.47%, 70.44%, 28.97%,-, 0.58%
18001,33.76%, 66.58%, 32.82%,-, 0.59%
18003,32.22%, 65.67%, 33.45%,-, 0.88%
18005,39.41%, 69.35%, 29.94%,-, 0.71%
18007,41.27%, 70.38%, 29.11%,-, 0.51%
18009,22.34%, 60.79%, 38.44%,-, 0.77%
18011,49.26%, 74.38%, 25.12%,-, 0.49%
18013,13.88%, 56.74%, 42.87%,-, 0.39%
18015,32.93%, 66.09%, 33.17%,-, 0.74%
18017,38.03%, 68.75%, 30.72%,-, 0.53%
18019,15.63%, 57.48%, 41.85%,-, 0.67%
18021,30.30%, 64.87%, 34.56%,-, 0.57%
18023,34.72%, 67.12%, 32.40%,-, 0.49%
18025,7.68%, 53.63%, 45.95%,-, 0.43%
18027,36.92%, 68.26%, 31.34%,-, 0.40%
18029,29.92%, 64.74%, 34.81%,-, 0.45%
18031,40.43%, 69.97%, 29.54%,-, 0.49%
18033,30.69%, 64.82%, 34.13%,-, 1.05%
18035,20.53%, 59.98%, 39.45%,-, 0.57%
18037,26.52%, 62.77%, 36.25%,-, 0.99%
18039,44.45%, 71.98%, 27.53%,-, 0.49%
18041,26.62%, 62.95%, 36.33%,-, 0.72%
18043,18.46%, 58.85%, 40.40%,-, 0.75%
18045,30.40%, 64.90%, 34.50%,-, 0.60%
18047,39.84%, 69.62%, 29.78%,-, 0.60%
18049,40.88%, 70.14%, 29.26%,-, 0.59%
18051,9.74%, 54.62%, 44.89%,-, 0.49%
18053,34.22%, 66.78%, 32.56%,-, 0.67%
18055,22.82%, 60.71%, 37.90%,-, 1.39%
18057,64.99%, 82.30%, 17.31%,-, 0.39%
18059,47.59%, 73.58%, 25.99%,-, 0.42%
18061,21.90%, 60.61%, 38.72%,-, 0.67%
18063,52.06%, 75.73%, 23.67%,-, 0.60%
18065,25.51%, 62.56%, 37.06%,-, 0.38%
18067,36.10%, 67.74%, 31.65%,-, 0.61%
18069,40.08%, 69.77%, 29.69%,-, 0.54%
18071,30.96%, 64.85%, 33.89%,-, 1.26%
18073,39.35%, 69.22%, 29.87%,-, 0.91%
18075,30.42%, 64.90%, 34.47%,-, 0.63%
18077,20.02%, 59.20%, 39.18%,-, 1.62%
18079,31.85%, 65.48%, 33.63%,-, 0.90%
18081,50.26%, 74.86%, 24.60%,-, 0.55%
18083,25.52%, 62.27%, 36.75%,-, 0.97%
18085,56.25%, 77.88%, 21.63%,-, 0.49%
18087,43.16%, 71.31%, 28.15%,-, 0.54%
18089,10.79%, 44.30%, 55.10%,-, 0.60%
18091,18.81%, 59.00%, 40.20%,-, 0.80%
18093,34.01%, 66.71%, 32.70%,-, 0.59%
18095,24.16%, 61.87%, 37.71%,-, 0.42%
18097,17.25%, 58.29%, 41.05%,-, 0.66%
18099,38.21%, 68.76%, 30.54%,-, 0.70%
18101,26.74%, 63.07%, 36.33%,-, 0.60%
18103,38.35%, 68.75%, 30.41%,-, 0.84%
18105,19.15%, 59.12%, 39.97%,-, 0.91%
18107,50.51%, 74.96%, 24.44%,-, 0.60%
18109,52.31%, 75.91%, 23.60%,-, 0.49%
18111,37.81%, 68.54%, 30.73%,-, 0.73%
18113,32.81%, 65.74%, 32.93%,-, 1.33%
18115,16.88%, 58.32%, 41.44%,-, 0.23%
18117,39.20%, 69.40%, 30.19%,-, 0.41%
18119,33.56%, 66.49%, 32.93%,-, 0.59%
18121,39.03%, 69.26%, 30.23%,-, 0.51%
18123,0.26%, 49.91%, 49.65%,-, 0.45%
18125,6.58%, 52.98%, 46.40%,-, 0.62%
18127,28.89%, 64.14%, 35.24%,-, 0.62%
18129,18.44%, 59.07%, 40.63%,-, 0.30%
18131,34.68%, 66.93%, 32.25%,-, 0.82%
18133,39.28%, 69.38%, 30.09%,-, 0.53%
18135,34.17%, 66.77%, 32.60%,-, 0.63%
18137,36.24%, 67.99%, 31.75%,-, 0.26%
18139,40.18%, 69.86%, 29.69%,-, 0.45%
18141,6.72%, 53.08%, 46.36%,-, 0.56%
18143,8.57%, 54.16%, 45.60%,-, 0.24%
18145,34.49%, 66.92%, 32.42%,-, 0.66%
18147,18.39%, 59.07%, 40.68%,-, 0.25%
18149,16.09%, 57.42%, 41.33%,-, 1.25%
18151,44.65%, 72.01%, 27.36%,-, 0.63%
18153,8.68%, 54.14%, 45.46%,-, 0.41%
18155,11.14%, 55.48%, 44.34%,-, 0.18%
18157,30.34%, 64.75%, 34.42%,-, 0.83%
18159,41.63%, 70.48%, 28.85%,-, 0.67%
18161,41.21%, 70.36%, 29.14%,-, 0.50%
18163,13.75%, 56.68%, 42.93%,-, 0.40%
18165,9.35%, 54.30%, 44.96%,-, 0.74%
18167,17.41%, 58.39%, 40.98%,-, 0.63%
18169,41.24%, 70.30%, 29.06%,-, 0.63%
18171,31.49%, 65.38%, 33.89%,-, 0.73%
18173,23.18%, 61.32%, 38.14%,-, 0.54%
18175,27.08%, 62.62%, 35.54%,-, 1.83%
18177,30.02%, 64.80%, 34.78%,-, 0.42%
18179,39.42%, 69.40%, 29.98%,-, 0.61%
18181,39.26%, 69.33%, 30.07%,-, 0.60%
18183,35.26%, 67.21%, 31.95%,-, 0.85%
19001,13.77%, 56.61%, 42.84%,-, 0.54%
19003,16.39%, 57.64%, 41.25%,-, 1.11%
19005,26.99%, 62.91%, 35.91%,-, 1.18%
19007,1.82%, 50.48%, 48.66%,-, 0.86%
19009,10.77%, 54.97%, 44.20%,-, 0.83%
19011,5.37%, 52.13%, 46.76%,-, 1.11%
19013,1.24%, 50.23%, 48.99%,-, 0.78%
19015,6.02%, 46.80%, 52.82%,-, 0.37%
19017,25.43%, 62.37%, 36.94%,-, 0.69%
19019,9.13%, 54.25%, 45.12%,-, 0.63%
19021,11.53%, 55.22%, 43.69%,-, 1.10%
19023,32.45%, 66.00%, 33.55%,-, 0.45%
19025,13.06%, 56.14%, 43.08%,-, 0.78%
19027,0.61%, 49.83%, 49.22%,-, 0.95%
19029,35.00%, 67.10%, 32.09%,-, 0.81%
19031,19.76%, 59.59%, 39.83%,-, 0.58%
19033,1.55%, 48.86%, 50.41%,-, 0.72%
19035,9.33%, 54.16%, 44.83%,-, 1.00%
19037,6.87%, 52.93%, 46.06%,-, 1.01%
19039,5.37%, 52.35%, 46.98%,-, 0.67%
19041,8.13%, 53.51%, 45.38%,-, 1.11%
19043,18.51%, 58.80%, 40.29%,-, 0.91%
19045,10.53%, 54.77%, 44.25%,-, 0.98%
19047,14.35%, 56.53%, 42.17%,-, 1.30%
19049,3.81%, 47.85%, 51.66%,-, 0.50%
19051,5.52%, 46.77%, 52.30%,-, 0.93%
19053,0.14%, 49.60%, 49.46%,-, 0.94%
19055,20.13%, 59.61%, 39.47%,-, 0.92%
19057,7.74%, 45.85%, 53.59%,-, 0.57%
19059,14.49%, 56.68%, 42.19%,-, 1.13%
19061,6.36%, 46.37%, 52.72%,-, 0.91%
19063,3.49%, 51.46%, 47.97%,-, 0.58%
19065,16.17%, 57.56%, 41.38%,-, 1.06%
19067,2.19%, 50.75%, 48.57%,-, 0.68%
19069,14.07%, 56.43%, 42.36%,-, 1.21%
19071,30.38%, 64.77%, 34.39%,-, 0.84%
19073,4.54%, 46.44%, 50.97%,-, 0.47%
19075,40.07%, 69.45%, 29.38%,-, 1.17%
19077,4.96%, 51.89%, 46.93%,-, 1.17%
19079,12.33%, 55.61%, 43.27%,-, 1.12%
19081,13.86%, 56.62%, 42.76%,-, 0.62%
19083,7.38%, 53.38%, 46.00%,-, 0.62%
19085,26.98%, 63.24%, 36.25%,-, 0.51%
19087,14.32%, 56.77%, 42.45%,-, 0.78%
19089,11.90%, 55.49%, 43.59%,-, 0.92%
19091,16.89%, 57.92%, 41.04%,-, 1.04%
19093,25.20%, 62.30%, 37.10%,-, 0.59%
19095,21.20%, 60.02%, 38.82%,-, 1.16%
19097,4.40%, 51.51%, 47.11%,-, 1.38%
19099,3.31%, 51.36%, 48.04%,-, 0.60%
19101,22.86%, 61.19%, 38.33%,-, 0.48%
19103,16.26%, 41.46%, 57.72%,-, 0.81%
19105,12.31%, 55.82%, 43.51%,-, 0.67%
19107,4.67%, 51.50%, 46.84%,-, 1.66%
19109,0.35%, 49.64%, 49.30%,-, 1.06%
19111,0.88%, 49.17%, 50.04%,-, 0.79%
19113,3.15%, 51.12%, 47.97%,-, 0.90%
19115,15.22%, 57.36%, 42.14%,-, 0.50%
19117,4.09%, 51.72%, 47.63%,-, 0.65%
19119,49.22%, 74.05%, 24.83%,-, 1.12%
19121,1.61%, 50.60%, 48.99%,-, 0.42%
19123,19.23%, 59.13%, 39.90%,-, 0.97%
19125,6.94%, 53.24%, 46.30%,-, 0.45%
19127,10.23%, 54.63%, 44.40%,-, 0.97%
19129,46.66%, 72.80%, 26.14%,-, 1.06%
19131,10.67%, 54.74%, 44.07%,-, 1.18%
19133,11.84%, 55.37%, 43.54%,-, 1.09%
19135,9.67%, 44.91%, 54.58%,-, 0.51%
19137,43.22%, 71.23%, 28.01%,-, 0.76%
19139,20.33%, 59.79%, 39.46%,-, 0.74%
19141,33.41%, 66.16%, 32.75%,-, 1.08%
19143,32.89%, 65.98%, 33.09%,-, 0.92%
19145,50.61%, 75.06%, 24.45%,-, 0.49%
19147,5.22%, 46.73%, 51.94%,-, 1.33%
19149,30.10%, 64.65%, 34.55%,-, 0.81%
19151,2.81%, 50.64%, 47.82%,-, 1.54%
19153,2.71%, 48.30%, 51.01%,-, 0.69%
19155,26.96%, 63.11%, 36.14%,-, 0.75%
19157,6.88%, 53.04%, 46.16%,-, 0.80%
19159,2.60%, 48.51%, 51.11%,-, 0.38%
19161,16.32%, 57.57%, 41.25%,-, 1.19%
19163,7.70%, 53.41%, 45.71%,-, 0.88%
19165,29.20%, 64.25%, 35.05%,-, 0.70%
19167,63.53%, 81.61%, 18.09%,-, 0.30%
19169,3.98%, 51.56%, 47.58%,-, 0.86%
19171,9.13%, 54.30%, 45.17%,-, 0.52%
19173,24.79%, 62.06%, 37.27%,-, 0.67%
19175,10.77%, 54.49%, 43.72%,-, 1.79%
19177,14.12%, 56.73%, 42.61%,-, 0.66%
19179,19.37%, 39.88%, 59.24%,-, 0.88%
19181,0.64%, 49.95%, 49.31%,-, 0.74%
19183,19.74%, 59.37%, 39.63%,-, 1.00%
19185,3.33%, 51.26%, 47.92%,-, 0.82%
19187,1.57%, 48.58%, 50.15%,-, 1.28%
19189,15.00%, 57.27%, 42.27%,-, 0.46%
19191,17.06%, 57.96%, 40.90%,-, 1.14%
19193,9.57%, 54.31%, 44.75%,-, 0.94%
19195,6.52%, 46.53%, 53.05%,-, 0.42%
19197,10.37%, 54.81%, 44.44%,-, 0.75%
20001,40.69%, 69.76%, 29.07%,-, 1.18%
20003,35.64%, 67.14%, 31.50%,-, 1.36%
20005,26.13%, 62.54%, 36.40%,-, 1.06%
20007,44.42%, 71.84%, 27.41%,-, 0.75%
20009,52.60%, 75.58%, 22.98%,-, 1.44%
20011,37.78%, 68.40%, 30.63%,-, 0.97%
20013,49.22%, 73.97%, 24.75%,-, 1.27%
20015,33.76%, 66.33%, 32.56%,-, 1.11%
20017,48.98%, 74.01%, 25.03%,-, 0.96%
20019,54.01%, 76.55%, 22.54%,-, 0.91%
20021,22.38%, 60.72%, 38.34%,-, 0.93%
20023,59.54%, 79.06%, 19.52%,-, 1.43%
20025,52.66%, 75.39%, 22.72%,-, 1.89%
20027,58.42%, 78.76%, 20.34%,-, 0.91%
20029,34.07%, 66.43%, 32.35%,-, 1.22%
20031,48.95%, 74.00%, 25.05%,-, 0.94%
20033,54.76%, 76.80%, 22.04%,-, 1.16%
20035,31.27%, 64.99%, 33.72%,-, 1.29%
20037,17.07%, 58.10%, 41.04%,-, 0.86%
20039,57.53%, 78.15%, 20.62%,-, 1.24%
20041,49.24%, 73.96%, 24.72%,-, 1.32%
20043,48.59%, 73.77%, 25.18%,-, 1.05%
20045,18.91%, 58.87%, 39.96%,-, 1.17%
20047,37.26%, 67.53%, 30.27%,-, 2.20%
20049,47.56%, 72.89%, 25.32%,-, 1.79%
20051,36.51%, 67.65%, 31.15%,-, 1.20%
20053,43.91%, 71.35%, 27.44%,-, 1.21%
20055,47.19%, 73.08%, 25.89%,-, 1.03%
20057,40.42%, 69.72%, 29.30%,-, 0.99%
20059,42.26%, 70.61%, 28.35%,-, 1.03%
20061,31.78%, 65.44%, 33.66%,-, 0.89%
20063,49.55%, 73.43%, 23.88%,-, 2.69%
20065,49.04%, 74.00%, 24.96%,-, 1.04%
20067,53.30%, 76.26%, 22.96%,-, 0.78%
20069,50.14%, 74.32%, 24.18%,-, 1.51%
20071,49.48%, 73.27%, 23.79%,-, 2.94%
20073,41.96%, 70.45%, 28.48%,-, 1.07%
20075,42.85%, 70.64%, 27.79%,-, 1.57%
20077,47.20%, 73.09%, 25.89%,-, 1.01%
20079,29.43%, 64.06%, 34.63%,-, 1.31%
20081,59.85%, 79.34%, 19.49%,-, 1.17%
20083,50.00%, 74.17%, 24.17%,-, 1.66%
20085,34.74%, 66.92%, 32.19%,-, 0.89%
20087,38.61%, 68.93%, 30.32%,-, 0.75%
20089,54.11%, 76.50%, 22.39%,-, 1.11%
20091,45.41%, 72.39%, 26.99%,-, 0.62%
20093,57.69%, 78.42%, 20.74%,-, 0.84%
20095,45.35%, 72.04%, 26.69%,-, 1.27%
20097,60.84%, 79.51%, 18.68%,-, 1.81%
20099,28.37%, 63.76%, 35.39%,-, 0.85%
20101,55.59%, 77.18%, 21.59%,-, 1.23%
20103,25.54%, 62.29%, 36.75%,-, 0.96%
20105,51.11%, 75.14%, 24.03%,-, 0.83%
20107,41.34%, 70.33%, 28.99%,-, 0.68%
20109,56.39%, 77.04%, 20.65%,-, 2.31%
20111,39.71%, 69.37%, 29.66%,-, 0.97%
20113,45.36%, 71.89%, 26.53%,-, 1.57%
20115,45.37%, 72.06%, 26.68%,-, 1.26%
20117,38.19%, 68.49%, 30.30%,-, 1.20%
20119,56.16%, 77.16%, 21.00%,-, 1.84%
20121,31.00%, 65.04%, 34.04%,-, 0.92%
20123,52.98%, 75.98%, 23.00%,-, 1.03%
20125,41.40%, 70.20%, 28.80%,-, 1.00%
20127,45.76%, 72.19%, 26.43%,-, 1.39%
20129,64.62%, 81.80%, 17.18%,-, 1.01%
20131,34.49%, 66.60%, 32.11%,-, 1.29%
20133,29.54%, 64.11%, 34.57%,-, 1.32%
20135,52.46%, 75.32%, 22.86%,-, 1.82%
20137,59.95%, 79.19%, 19.24%,-, 1.57%
20139,34.39%, 66.55%, 32.16%,-, 1.29%
20141,51.05%, 74.63%, 23.58%,-, 1.79%
20143,53.17%, 75.74%, 22.58%,-, 1.68%
20145,39.62%, 68.90%, 29.28%,-, 1.82%
20147,62.90%, 80.90%, 18.00%,-, 1.09%
20149,43.29%, 71.09%, 27.80%,-, 1.11%
20151,43.72%, 71.31%, 27.59%,-, 1.10%
20153,58.26%, 78.05%, 19.79%,-, 2.16%
20155,28.06%, 63.34%, 35.28%,-, 1.38%
20157,53.94%, 76.49%, 22.55%,-, 0.97%
20159,38.92%, 68.68%, 29.76%,-, 1.57%
20161,30.55%, 64.77%, 34.22%,-, 1.00%
20163,56.88%, 77.75%, 20.87%,-, 1.37%
20165,41.11%, 69.49%, 28.38%,-, 2.13%
20167,54.87%, 76.99%, 22.11%,-, 0.90%
20169,39.70%, 69.41%, 29.72%,-, 0.87%
20171,63.96%, 81.13%, 17.18%,-, 1.69%
20173,26.49%, 62.53%, 36.05%,-, 1.42%
20175,62.06%, 80.54%, 18.48%,-, 0.99%
20177,24.26%, 61.57%, 37.31%,-, 1.11%
20179,49.57%, 73.86%, 24.29%,-, 1.86%
20181,57.41%, 78.02%, 20.62%,-, 1.36%
20183,53.52%, 75.74%, 22.22%,-, 2.05%
20185,41.18%, 69.71%, 28.53%,-, 1.76%
20187,56.56%, 76.61%, 20.06%,-, 3.33%
20189,65.04%, 82.03%, 17.00%,-, 0.97%
20191,29.96%, 64.32%, 34.36%,-, 1.32%
20193,54.80%, 76.70%, 21.90%,-, 1.41%
20195,42.16%, 70.40%, 28.23%,-, 1.37%
20197,47.00%, 72.72%, 25.72%,-, 1.57%
20199,67.92%, 82.97%, 15.05%,-, 1.98%
20201,53.10%, 75.69%, 22.59%,-, 1.73%
20203,58.91%, 78.90%, 19.98%,-, 1.12%
20205,45.73%, 72.23%, 26.50%,-, 1.26%
20207,40.00%, 69.36%, 29.36%,-, 1.28%
20209,13.38%, 42.81%, 56.20%,-, 0.99%
21001,42.37%, 70.93%, 28.56%,-, 0.50%
21003,38.40%, 69.04%, 30.64%,-, 0.32%
21005,32.94%, 66.06%, 33.11%,-, 0.83%
21007,9.20%, 45.13%, 54.33%,-, 0.54%
21009,26.18%, 62.86%, 36.68%,-, 0.46%
21011,6.26%, 52.88%, 46.62%,-, 0.50%
21013,13.57%, 55.93%, 42.36%,-, 1.71%
21015,44.40%, 71.90%, 27.50%,-, 0.60%
21017,18.11%, 58.54%, 40.42%,-, 1.04%
21019,6.42%, 52.98%, 46.56%,-, 0.46%
21021,25.31%, 62.53%, 37.22%,-, 0.25%
21023,22.72%, 60.89%, 38.17%,-, 0.94%
21025,9.19%, 45.25%, 54.45%,-, 0.30%
21027,24.72%, 62.14%, 37.42%,-, 0.43%
21029,31.01%, 65.11%, 34.10%,-, 0.78%
21031,49.30%, 74.47%, 25.17%,-, 0.36%
21033,13.00%, 55.93%, 42.93%,-, 1.13%
21035,12.28%, 55.94%, 43.66%,-, 0.39%
21037,40.43%, 69.99%, 29.56%,-, 0.45%
21039,1.19%, 50.15%, 48.96%,-, 0.88%
21041,7.65%, 53.65%, 46.00%,-, 0.35%
21043,7.73%, 53.67%, 45.94%,-, 0.39%
21045,58.66%, 79.01%, 20.35%,-, 0.63%
21047,32.55%, 66.06%, 33.51%,-, 0.43%
21049,25.98%, 62.82%, 36.84%,-, 0.34%
21051,48.83%, 74.26%, 25.43%,-, 0.31%
21053,60.64%, 80.03%, 19.39%,-, 0.58%
21055,18.67%, 59.16%, 40.49%,-, 0.35%
21057,55.94%, 77.77%, 21.83%,-, 0.40%
21059,18.58%, 58.92%, 40.34%,-, 0.74%
21061,42.64%, 71.05%, 28.41%,-, 0.54%
21063,47.17%, 26.20%, 73.37%,-, 0.44%
21065,37.47%, 68.57%, 31.10%,-, 0.33%
21067,28.18%, 63.60%, 35.43%,-, 0.97%
21069,27.09%, 63.33%, 36.24%,-, 0.43%
21071,32.43%, 33.57%, 66.00%,-, 0.42%
21073,17.17%, 58.12%, 40.95%,-, 0.93%
21075,7.39%, 53.45%, 46.07%,-, 0.48%
21077,0.00%, 49.78%, 49.78%,-, 0.43%
21079,35.16%, 67.21%, 32.05%,-, 0.74%
