id,margin,mccain,obama,other,hex_color
05017,17.74%, 40.69%, 58.43%, 0.88%,670294
05019,3.75%, 50.67%, 46.92%, 2.41%,810677
05021,14.30%, 55.02%, 40.72%, 1.78%,8c0467
05023,44.20%, 70.22%, 26.03%, 3.75%,b30942
05025,43.94%, 69.93%, 25.99%, 1.94%,b20442
05027,24.14%, 61.32%, 37.18%, 1.50%,9c035e
05029,18.95%, 57.64%, 38.70%, 3.66%,920962
05031,24.50%, 60.97%, 36.47%, 2.56%,9b065c
05033,46.03%, 71.54%, 25.51%, 2.95%,b60741
05035,14.68%, 41.91%, 56.59%, 1.51%,6a0390
05037,25.43%, 61.61%, 36.19%, 2.20%,9d055c
05039,8.62%, 52.95%, 44.33%, 2.71%,870671
05041,12.18%, 42.73%, 54.92%, 2.35%,6c058c
05043,19.09%, 58.40%, 39.30%, 2.30%,940564
05045,25.27%, 61.59%, 36.32%, 2.09%,9d055c
05047,39.26%, 68.12%, 28.86%, 3.01%,ad0749
05049,18.88%, 57.78%, 38.90%, 3.31%,930863
05051,24.99%, 61.36%, 36.37%, 2.28%,9c055c
05053,50.95%, 73.94%, 22.99%, 3.06%,bc073a
05055,29.66%, 63.02%, 33.36%, 1.59%,a00455
05057,19.10%, 58.14%, 39.04%, 2.82%,940763
05059,24.43%, 60.30%, 35.87%, 1.69%,99045b
05061,24.99%, 61.02%, 36.03%, 2.95%,9b075b
05063,37.13%, 67.12%, 29.99%, 2.89%,ab074c
05065,26.85%, 61.19%, 34.34%, 2.45%,9c0657
05067,16.32%, 55.86%, 39.54%, 1.76%,8e0464
05069,26.31%, 35.89%, 62.19%, 1.92%,5b049e
05071,23.08%, 60.17%, 37.09%, 2.74%,99065e
05073,19.02%, 58.06%, 39.04%, 2.89%,940763
05075,20.91%, 57.58%, 36.67%, 2.44%,92065d
05077,21.50%, 38.64%, 60.14%, 1.22%,620399
05079,18.23%, 57.04%, 38.81%, 4.15%,910a62
05081,29.00%, 63.02%, 34.03%, 2.95%,a00756
05083,38.75%, 67.66%, 28.91%, 1.39%,ac0349
05085,47.49%, 72.63%, 25.14%, 2.24%,b90540
05087,28.89%, 62.77%, 33.88%, 3.35%,a00856
05089,29.88%, 63.17%, 33.29%, 3.55%,a10954
05091,33.49%, 65.81%, 32.32%, 1.87%,a70452
05093,2.21%, 49.79%, 47.59%, 2.62%,7e0679
05095,4.03%, 50.86%, 46.83%, 2.32%,810577
05097,35.15%, 65.30%, 30.15%, 2.26%,a6054c
05099,16.18%, 56.73%, 40.55%, 2.72%,900667
05101,35.51%, 65.35%, 29.85%, 2.55%,a6064c
