state_index,county_name,d_percent,d_total,r_percent,r_total,o_percent,o_total
1,Autauga,23.7,4758,75.7,15196,0.6,127
1,Baldwin,22.5,15599,76.4,52971,1.1,750
1,Barbour,44.8,4832,54.7,5899,0.4,46
1,Bibb,27.5,2089,72.0,5472,0.5,39
1,Blount,18.3,3938,80.9,17386,0.8,180
1,Bullock,68.1,3210,31.7,1494,0.3,13
1,Butler,40.6,3413,59.2,4979,0.3,24
1,Calhoun,33.3,15083,65.9,29814,0.8,352
1,Chambers,41.0,5347,58.5,7622,0.5,63
1,Cherokee,33.6,3040,65.5,5923,1.0,86
1,Chilton,22.6,3778,76.9,12829,0.5,86
1,Choctaw,45.7,3303,53.9,3897,0.4,27
1,Clarke,40.6,4627,59.1,6730,0.3,37
1,Clay,28.8,1893,70.3,4624,0.9,59
1,Cleburne,24.0,1391,75.4,4370,0.6,37
1,Coffee,25.4,4480,73.9,13019,0.7,117
1,Colbert,44.3,10598,55.1,13188,0.6,149
1,Conecuh,45.2,2719,54.3,3271,0.5,31
1,Coosa,41.1,2055,58.1,2905,0.8,41
1,Covington,23.4,3423,76.0,11119,0.6,85
1,Crenshaw,30.9,1698,68.7,3777,0.5,25
1,Cullman,22.9,8045,76.2,26818,0.9,328
1,Dale,24.6,4484,74.7,13621,0.7,126
1,Dallas,60.2,11175,39.5,7335,0.3,63
1,DeKalb,29.3,7092,69.9,16904,0.7,173
1,Elmore,22.6,6471,76.9,22056,0.5,153
1,Escambia,30.8,3814,68.7,8513,0.5,68
1,Etowah,35.9,15328,63.3,26999,0.8,353
1,Fayette,30.1,2408,69.2,5534,0.7,60
1,Franklin,36.8,4514,62.7,7690,0.5,65
1,Geneva,20.1,2113,79.3,8342,0.6,65
1,Greene,79.3,3764,20.2,958,0.5,26
1,Hale,58.3,4631,41.3,3281,0.4,33
1,Henry,33.3,2452,66.3,4881,0.4,28
1,Houston,25.3,9144,74.2,26874,0.5,183
1,Jackson,42.5,8635,56.8,11534,0.7,152
1,Jefferson,45.2,132286,54.2,158680,0.7,2001
1,Lamar,28.4,1956,71.1,4894,0.5,35
1,Lauderdale,39.4,14628,59.7,22161,0.9,318
1,Lawrence,44.0,6155,55.2,7730,0.8,116
1,Lee,36.4,16227,62.7,27972,0.9,411
1,Limestone,31.4,9126,67.8,19702,0.8,245
1,Lowndes,70.3,4233,29.7,1786,0.0,2
