id,margin,taft,wilson,other,roosevelt,other2,hex_color
22037,93.18%,-, 95.91%,4.09%, 2.73%,-,000af4
22039,75.82%, 5.68%, 83.70%,2.75%, 2.75%,-,0e07d5
22041,61.82%,-, 76.88%,8.05%, 6.68%,-,0014c4
22043,33.19%, 2.09%, 62.20%,6.69%, 6.69%,-,05119e
22045,24.38%, 17.13%, 51.39%,27.01%, 27.01%,-,2b4483
22047,46.13%, 13.57%, 66.08%,20.36%, 19.95%,-,2233a8
22049,59.19%, 2.48%, 73.14%,10.43%, 10.43%,-,061aba
22051,69.11%,-, 82.25%,14.09%, 13.14%,-,0023d1
22053,0%,-,-,0.0%,-,-,000000
22055,39.45%, 23.95%, 63.40%,5.2%, 5.20%,-,3d0da1
22057,30.06%, 26.90%, 56.96%,16.14%, 14.94%,-,442991
22059,38.74%,-, 65.95%,6.85%, 5.59%,-,0011a8
22061,74.93%,-, 84.51%,5.8999999999999995%, 5.51%,-,000fd7
22063,65.96%,-, 80.13%,14.790000000000001%, 14.16%,-,0025cc
22065,90.85%,-, 95.42%,4.58%, 4.58%,-,000bf3
22067,82.00%,-, 89.15%,3.69%,-,-,0009e3
22069,56.48%, 2.08%, 75.07%,4.25%, 4.25%,-,050abf
22071,65.00%, 2.74%, 80.03%,15.03%, 15.03%,-,0626cc
22073,73.86%,-, 83.91%,6.05%, 4.47%,-,000fd5
22075,73.39%, 9.40%, 82.80%,7.800000000000001%, 6.65%,-,1713d3
22077,47.03%, 12.09%, 66.81%,21.1%, 19.78%,-,1e35aa
22079,68.90%, 2.75%, 79.78%,6.58%, 6.58%,-,0710cb
22081,58.37%,-, 76.61%,5.15%, 3.86%,-,000dc3
22083,84.90%,-, 89.93%,5.04%, 4.58%,-,000ce5
22085,67.04%, 3.13%, 79.89%,4.13%, 4.13%,-,070acb
22087,81.60%, 6.80%, 88.40%,4.800000000000001%, 4.40%,-,110ce1
22089,61.43%, 13.33%, 74.76%,4.29%, 4.29%,-,210abe
22091,83.40%, 5.39%, 88.80%,5.8100000000000005%, 4.15%,-,0d0ee2
22093,20.47%, 33.58%, 54.05%,12.37%, 11.34%,-,551f89
22095,37.42%, 23.87%, 61.29%,2.58%, 2.58%,-,3c069c
22097,64.86%, 8.31%, 77.20%,12.35%, 12.35%,-,151fc4
22099,44.50%, 11.68%, 64.43%,19.93%, 19.93%,-,1d32a4
22101,38.75%, 13.89%, 61.63%,24.48%, 22.87%,-,233e9d
22103,73.65%, 3.69%, 82.27%,8.62%, 8.62%,-,0915d1
22105,68.33%, 3.02%, 80.02%,11.69%, 11.69%,-,071dcc
22107,83.75%,-, 91.67%,8.34%, 7.92%,-,0015e9
22109,25.30%, 10.83%, 55.35%,30.05%, 30.05%,-,1b4c8d
22111,79.97%,-, 87.66%,4.66%, 3.27%,-,000bdf
22113,45.73%, 13.93%, 59.66%,13.37%, 13.37%,-,232298
22115,25.55%, 3.45%, 59.09%,3.92%, 3.92%,-,080996
22117,75.30%, 3.05%, 83.08%,7.78%, 7.78%,-,0713d3
22119,70.57%,-, 83.96%,2.65%,-,-,0006d6
22121,74.02%, 9.31%, 83.33%,7.35%, 7.35%,-,1712d4
22123,32.67%,-, 63.35%,5.98%, 5.58%,-,000fa1
22125,79.94%,-, 89.49%,10.510000000000002%, 9.55%,-,001ae4
22127,22.71%, 2.50%, 57.75%,4.72%, 4.72%,-,060c93
23001,0.90%, 8.44%, 44.38%,44.07%, 43.47%,-,157071
23003,36.80%, 11.49%, 24.63%,63.88%, 61.42%,-,1da23e
23005,9.40%, 24.95%, 41.04%,34.01%, 31.64%,-,3f5668
23007,5.57%, 17.57%, 37.37%,45.07%, 42.94%,-,2c725f
23009,11.73%, 22.70%, 43.09%,31.67%, 31.35%,-,39506d
23011,7.67%, 15.20%, 37.50%,47.3%, 45.16%,-,26785f
23013,24.71%, 19.95%, 50.03%,25.779999999999998%, 25.31%,-,32417f
