id,margin,taft,wilson,other,roosevelt,other2,hex_color
27165,25.07%, 12.22%, 29.74%,58.03%, 54.81%,-,1f934b
27167,1.73%, 14.47%, 40.58%,41.07%, 38.85%, 2.08%,246867
27169,21.08%, 16.54%, 47.68%,27.580000000000002%, 26.60%,-,2a4679
27171,13.55%, 19.42%, 30.94%,47.300000000000004%, 44.49%, 2.46%,31784e
27173,18.85%, 14.24%, 29.81%,52.75%, 48.67%, 3.80%,24864c
28001,33.94%, 4.06%, 64.35%,31.59%, 30.41%,-,0a50a4
28003,86.88%, 3.59%, 90.75%,5.66%, 3.86%,-,090ee7
28005,95.19%,-, 97.08%,2.92%,-,-,0007f7
28007,81.50%, 4.03%, 87.17%,3.13%, 3.13%,-,0a07de
28009,86.32%, 3.33%, 90.39%,4.07%, 4.07%,-,080ae6
28011,87.08%, 2.81%, 91.01%,3.93%, 3.93%,-,070ae8
28013,80.66%,-, 88.82%,3.03%,-,-,0007e2
28015,78.30%, 2.09%, 85.36%,5.49%, 5.49%,-,050dd9
28017,85.13%, 2.00%, 90.30%,5.17%, 5.17%,-,050de6
28019,83.95%, 3.53%, 89.69%,6.7700000000000005%, 5.74%,-,0911e4
28021,98.02%,-, 98.76%,1.24%,-,-,0003fb
28023,77.93%, 2.29%, 85.87%,3.9%, 3.90%,-,0509da
28025,89.88%,-, 93.45%,4.17%, 3.57%,-,000aee
28027,84.09%, 3.64%, 90.00%,6.36%, 5.91%,-,0910e5
28029,92.40%,-, 94.78%,3.15%, 2.38%,-,0008f1
28031,74.27%,-, 83.33%,7.6%, 6.43%,-,0013d4
28033,91.33%,-, 94.63%,5.37%, 3.29%,-,000df1
28035,72.13%,-, 82.57%,6.99%, 5.50%,-,0011d2
28037,72.25%,-, 82.69%,11.54%, 10.44%,-,001dd2
28039,65.29%,-, 79.38%,6.529999999999999%, 4.81%,-,0010ca
28041,79.42%, 4.18%, 86.17%,6.75%, 6.75%,-,0a11db
28043,90.51%,-, 94.75%,5.25%, 4.24%,-,000df1
28045,68.36%, 6.19%, 80.75%,13.05%, 12.39%,-,0f21cd
28047,69.61%, 2.82%, 80.95%,11.34%, 11.34%,-,071cce
28049,88.93%,-, 92.89%,7.109999999999999%, 3.96%,-,0012ec
28051,93.18%,-, 95.32%,2.55%, 2.04%,-,0006f3
28053,0%,-,-,0.0%,-,-,000000
28055,81.98%, 2.70%, 89.19%,8.11%, 7.21%,-,0614e3
28057,82.80%, 2.35%, 89.35%,8.31%, 6.55%,-,0515e3
28059,73.41%, 2.28%, 83.85%,10.44%, 10.44%,-,051ad5
28061,87.15%,-, 91.30%,4.5600000000000005%, 3.29%,-,000be8
28063,90.02%,-, 94.66%,5.34%, 4.64%,-,000df1
28065,75.65%, 6.63%, 83.51%,7.86%, 7.86%,-,1014d4
28067,60.27%, 2.37%, 73.88%,10.13%, 10.13%,-,0619bc
28069,86.15%, 2.20%, 90.99%,6.82%, 4.84%,-,0511e8
28071,86.96%, 2.63%, 91.28%,6.1000000000000005%, 4.32%,-,060fe8
28073,62.57%, 3.17%, 79.01%,17.830000000000002%, 16.44%,-,082dc9
28075,86.48%, 2.05%, 90.33%,3.77%, 3.77%,-,0509e6
28077,83.02%, 2.43%, 89.49%,8.09%, 6.47%,-,0614e4
28079,77.17%,-, 86.91%,3.34%, 2.29%,-,0008dd
28081,90.71%, 2.62%, 93.54%,3.84%, 2.83%,-,0609ee
28083,86.59%,-, 91.80%,8.2%, 5.22%,-,0014ea
28085,72.00%, 4.43%, 83.03%,12.54%, 11.03%,-,0b1fd3
28087,94.18%,-, 95.82%,4.18%,-,-,000af4
28089,85.27%,-, 90.45%,6.68%, 5.18%,-,0011e6
28091,87.06%, 2.51%, 91.44%,6.05%, 4.38%,-,060fe9
28093,87.44%,-, 93.18%,6.82%, 5.74%,-,0011ed
28095,94.02%,-, 95.76%,4.24%,-,-,000af4
28097,90.84%,-, 93.94%,3.64%, 3.10%,-,0009ef
28099,84.00%, 2.43%, 88.96%,3.64%, 3.64%,-,0609e2
28101,90.59%,-, 94.62%,1.34%,-,-,0003f1
28103,95.20%,-, 97.00%,3.0%,-,-,0007f7
28105,90.02%, 3.29%, 93.31%,3.4000000000000004%, 2.74%,-,0808ed
28107,81.22%,-, 89.20%,10.8%, 7.98%,-,001be3
28109,88.78%, 2.24%, 92.95%,4.81%, 4.17%,-,050ced
28111,71.97%,-, 81.85%,8.28%, 7.01%,-,0015d0
28113,80.47%,-, 86.90%,8.379999999999999%, 6.43%,-,0015dd
28115,75.95%, 3.98%, 85.44%,10.58%, 9.48%,-,0a1ad9
28117,63.57%, 7.74%, 76.41%,12.84%, 12.84%,-,1320c2
28119,82.19%,-, 89.04%,8.68%, 6.85%,-,0016e3
28121,90.59%,-, 93.86%,2.88%,-,-,0007ef
28123,95.82%,-, 97.30%,2.7%,-,-,0006f8
28125,88.69%,-, 93.45%,6.55%, 4.76%,-,0010ee
28127,84.16%, 2.79%, 88.86%,4.69%, 4.69%,-,070be2
28129,88.77%,-, 93.13%,6.87%, 4.36%,-,0011ed
28131,0%,-,-,0.0%,-,-,000000
28133,87.80%,-, 92.40%,7.6%, 4.60%,-,0013eb
28135,89.29%, 2.14%, 93.04%,4.82%, 3.75%,-,050ced
28137,78.72%, 3.26%, 86.81%,9.93%, 8.09%,-,0819dd
28139,85.53%, 2.89%, 89.87%,4.34%, 4.34%,-,070be5
28141,66.26%, 7.19%, 77.54%,11.28%, 11.28%,-,121cc5
28143,96.37%,-, 97.41%,2.59%,-,-,0006f8
28145,81.73%, 2.13%, 89.24%,8.62%, 7.51%,-,0515e3
28147,0%,-,-,0.0%,-,-,000000
28149,75.43%, 4.11%, 84.76%,11.129999999999999%, 9.34%,-,0a1cd8
28151,79.69%, 2.42%, 88.39%,9.190000000000001%, 8.71%,-,0617e1
28153,79.85%, 2.29%, 86.87%,3.82%, 3.82%,-,0509dd
28155,65.52%, 3.79%, 77.61%,12.09%, 12.09%,-,091ec5
28157,86.09%,-, 90.89%,4.32%, 2.40%,-,000be7
28159,85.40%,-, 90.39%,6.08%, 4.99%,-,000fe6
28161,87.95%, 2.55%, 91.31%,3.36%, 3.36%,-,0608e8
28163,91.76%,-, 94.97%,5.03%, 3.21%,-,000cf2
29001,7.30%, 29.16%, 36.46%,26.24%, 24.52%,-,4a425c
29003,2.98%, 42.02%, 45.00%,12.989999999999998%, 11.11%,-,6b2172
29005,12.01%, 34.52%, 46.53%,18.95%, 16.04%,-,583076
29007,38.34%, 26.44%, 64.79%,8.77%, 7.33%,-,4316a5
29009,17.94%, 27.71%, 45.65%,22.13%, 20.90%,-,463874
29011,20.55%, 26.57%, 47.12%,18.939999999999998%, 16.81%,-,433078
29013,27.78%, 22.95%, 50.72%,23.83%, 21.59%,-,3a3c81
29015,2.19%, 37.38%, 39.57%,23.05%, 20.23%,-,5f3a64
29017,13.33%, 35.60%, 48.93%,12.17%, 11.26%,-,5a1f7c
29019,51.37%, 18.86%, 70.23%,10.91%, 9.71%,-,301bb3
29021,26.73%, 26.46%, 53.18%,16.63%, 15.83%,-,432a87
29023,2.04%, 39.68%, 41.71%,9.89%, 8.75%,-,65196a
29025,8.06%, 32.31%, 40.36%,27.33%, 26.27%,-,524566
29027,37.38%, 28.23%, 65.61%,6.17%, 5.26%,-,470fa7
29029,13.43%, 49.12%, 35.69%,15.19%, 13.16%,-,7d265b
29031,6.56%, 37.63%, 44.19%,18.18%, 15.36%,-,5f2e70
29033,19.95%, 26.85%, 46.80%,26.35%, 24.05%,-,444377
29035,21.81%, 27.65%, 49.46%,14.469999999999999%, 12.53%,-,46247e
29037,36.77%, 18.38%, 57.70%,23.92%, 20.93%,-,2e3c93
29039,4.36%, 36.06%, 40.42%,19.63%, 18.09%,-,5b3267
29041,28.96%, 27.94%, 56.90%,15.16%, 13.62%,-,472691
29043,12.20%, 39.55%, 26.07%,28.6%, 27.35%,-,644842
29045,11.19%, 36.53%, 47.73%,15.74%, 14.57%,-,5d2879
29047,57.69%, 12.47%, 72.00%,15.530000000000001%, 14.31%,-,1f27b7
29049,34.15%, 22.28%, 56.42%,21.299999999999997%, 19.47%,-,38368f
29051,7.07%, 43.22%, 50.29%,6.5%, 5.18%,-,6e1080
29053,3.44%, 44.84%, 48.28%,6.88%, 5.91%,-,72117b
29055,0.32%, 42.04%, 41.71%,14.08%, 13.15%,-,6b236a
29057,3.46%, 35.35%, 38.81%,25.84%, 22.94%,-,5a4162
29059,7.41%, 43.02%, 35.61%,21.369999999999997%, 19.65%,-,6d365a
29061,24.04%, 23.72%, 49.29%,27.0%, 25.25%,-,3c447d
29063,17.07%, 33.11%, 50.18%,16.71%, 15.16%,-,542a7f
29065,12.89%, 38.50%, 51.38%,6.9399999999999995%, 6.14%,-,621183
29067,8.47%, 30.56%, 20.23%,40.1%, 39.03%,-,4d6633
29069,32.81%, 18.81%, 51.89%,10.23%, 9.41%,-,2f1a84
29071,3.31%, 43.32%, 40.02%,12.85%, 11.99%,-,6e2066
29073,39.10%, 58.94%, 19.84%,21.22%, 18.96%,-,963632
29075,23.92%, 30.33%, 54.25%,15.42%, 12.53%,-,4d278a
29077,5.88%, 34.63%, 40.52%,18.82%, 17.39%,-,582f67
29079,4.44%, 26.83%, 33.44%,39.730000000000004%, 37.89%,-,446555
29081,1.87%, 40.49%, 38.62%,20.89%, 18.77%,-,673562
29083,30.02%, 18.40%, 53.78%,25.73%, 23.75%,-,2e4189
29085,19.58%, 45.82%, 26.25%,24.32%, 23.38%,-,743e42
29087,0.08%, 41.22%, 41.14%,17.63%, 15.79%,-,692c68
29089,46.85%, 23.63%, 70.48%,5.88%, 5.06%,-,3c0eb3
29091,2.33%, 34.12%, 36.45%,20.869999999999997%, 19.47%,-,57355c
29093,10.81%, 40.22%, 51.03%,5.44%, 3.93%,-,660d82
29095,14.33%, 8.89%, 50.97%,37.46%, 36.64%,-,165f81
29097,13.28%, 27.36%, 40.64%,21.959999999999997%, 19.81%,-,453767
29099,4.63%, 40.84%, 45.47%,9.850000000000001%, 9.31%,-,681973
29101,25.86%, 27.02%, 52.87%,20.11%, 17.40%,-,443386
29103,18.26%, 34.73%, 52.99%,12.28%, 9.45%,-,581f87
29105,4.20%, 39.83%, 44.03%,13.1%, 12.48%,-,652170
29107,17.20%, 31.73%, 48.93%,17.23%, 16.64%,-,502b7c
29109,15.10%, 23.36%, 42.45%,28.650000000000002%, 27.35%,-,3b496c
29111,35.55%, 26.72%, 62.27%,11.02%, 8.89%,-,441c9e
29113,28.16%, 33.17%, 61.32%,5.510000000000001%, 4.40%,-,540e9c
29115,23.95%, 24.18%, 48.13%,25.5%, 23.88%,-,3d417a
29117,16.86%, 18.37%, 48.04%,33.59%, 31.18%,-,2e557a
29119,14.24%, 31.82%, 46.06%,16.669999999999998%, 15.35%,-,512a75
29121,25.48%, 18.44%, 51.68%,27.43%, 26.20%,-,2f4583
29123,13.59%, 37.59%, 51.18%,8.82%, 7.77%,-,5f1682
29125,37.48%, 25.91%, 63.39%,8.440000000000001%, 7.40%,-,4215a1
29127,30.09%, 28.65%, 58.74%,10.5%, 8.99%,-,491a95
29129,0.04%, 34.88%, 27.34%,37.779999999999994%, 34.91%,-,586045
29131,0.53%, 38.98%, 39.52%,17.01%, 16.10%,-,632b64
29133,12.71%, 39.49%, 52.20%,3.83%, 2.93%,-,640985
29135,7.17%, 41.59%, 48.76%,7.62%, 6.50%,-,6a137c
29137,67.18%, 13.04%, 80.22%,6.74%, 4.88%,-,2111cc
29139,4.80%, 43.75%, 48.54%,7.710000000000001%, 5.65%,-,6f137b
29141,2.79%, 45.47%, 42.68%,11.85%, 10.35%,-,731e6c
29143,7.48%, 35.56%, 43.04%,8.92%, 7.61%,-,5a166d
29145,17.61%, 27.23%, 44.84%,21.619999999999997%, 19.13%, 2.30%,453772
29147,19.16%, 30.33%, 49.49%,20.17%, 18.53%,-,4d337e
29149,44.82%, 18.12%, 62.94%,12.83%, 12.42%,-,2e20a0
29151,14.13%, 33.56%, 47.69%,18.75%, 16.59%,-,552f79
29153,4.33%, 32.69%, 27.05%,37.910000000000004%, 37.02%,-,536044
29155,20.35%, 30.75%, 51.11%,9.95%, 8.94%,-,4e1982
29157,5.01%, 50.86%, 45.85%,3.2800000000000002%, 2.52%,-,810874
29159,16.84%, 30.28%, 47.12%,19.98%, 18.89%,-,4d3278
29161,27.81%, 27.77%, 55.58%,14.420000000000002%, 13.46%,-,46248d
29163,16.87%, 39.15%, 56.01%,4.83%, 3.62%,-,630c8e
29165,58.78%, 14.80%, 73.58%,11.620000000000001%, 10.89%,-,251dbb
29167,2.88%, 39.04%, 41.92%,19.04%, 16.33%,-,63306a
29169,28.46%, 28.19%, 56.66%,15.15%, 11.93%,-,472690
29171,27.75%, 55.71%, 27.96%,16.34%, 12.59%,-,8e2947
29173,44.25%, 22.88%, 67.13%,9.989999999999998%, 9.29%,-,3a19ab
29175,49.84%, 18.34%, 68.18%,13.489999999999998%, 10.44%,-,2e22ad
29177,37.53%, 24.18%, 61.70%,14.120000000000001%, 11.38%,-,3d249d
29179,40.08%, 22.19%, 62.27%,10.89%, 10.22%,-,381b9e
29181,24.50%, 26.67%, 51.17%,15.73%, 14.46%,-,442882
29183,11.63%, 49.00%, 37.36%,11.45%, 10.95%,-,7c1d5f
29185,17.86%, 28.14%, 46.00%,20.74%, 19.56%,-,473475
29186,1.64%, 47.58%, 49.22%,3.1999999999999997%, 2.03%,-,79087d
29187,7.73%, 37.03%, 44.76%,6.46%, 5.53%,-,5e1072
29189,4.95%, 39.78%, 34.84%,19.39%, 18.38%,-,653158
29195,36.07%, 20.94%, 57.01%,22.05%, 20.50%,-,353891
29197,20.17%, 34.18%, 54.35%,11.469999999999999%, 8.61%,-,571d8a
29199,23.26%, 30.08%, 53.34%,14.31%, 13.26%,-,4c2488
29201,16.96%, 29.50%, 46.45%,8.55%, 7.24%,-,4b1576
29203,34.61%, 18.38%, 52.98%,19.43%, 17.95%,-,2e3187
29205,42.54%, 22.97%, 65.51%,11.52%, 8.85%,-,3a1da7
29207,23.60%, 25.94%, 49.54%,12.18%, 11.15%,-,421f7e
29209,13.33%, 41.47%, 22.18%,29.11%, 28.15%,-,694a38
29211,8.66%, 38.69%, 47.35%,13.95%, 12.25%,-,622378
29213,14.81%, 47.78%, 32.98%,15.2%, 14.53%,-,792654
29215,20.72%, 30.58%, 51.30%,14.92%, 13.73%,-,4d2682
29217,29.38%, 26.57%, 55.94%,12.299999999999999%, 10.52%,-,431f8e
29219,27.79%, 52.20%, 21.09%,26.71%, 24.41%,-,854435
29221,2.42%, 41.27%, 43.69%,12.97%, 11.96%,-,69216f
29223,12.81%, 35.46%, 48.26%,11.16%, 10.25%,-,5a1c7b
29225,6.69%, 35.43%, 42.12%,20.35%, 19.00%,-,5a336b
29227,10.38%, 39.11%, 49.49%,11.4%, 9.31%,-,631d7e
29229,5.47%, 32.97%, 38.45%,26.15%, 25.38%,-,544262
29510,8.79%, 33.14%, 41.93%,18.39%, 17.63%,-,542e6a
30001,0.27%, 38.23%, 38.50%,17.330000000000002%, 17.28%,-,612c62
30003,0%,-,-,0.0%,-,-,000000
30005,16.62%, 17.94%, 27.97%,44.59%, 44.59%,-,2d7147
30007,26.37%, 21.97%, 48.34%,21.11%, 21.11%,-,38357b
30009,1.16%, 24.88%, 30.66%,29.51%, 29.51%,-,3f4b4e
30011,0%,-,-,0.0%,-,-,000000
30013,12.18%, 23.72%, 35.90%,21.96%, 21.96%,-,3c375b
30015,11.74%, 41.43%, 29.69%,19.349999999999998%, 19.13%,-,69314b
30017,3.87%, 21.70%, 33.34%,37.25%, 37.22%,-,375e55
30019,0%,-,-,0.0%,-,-,000000
30021,16.03%, 24.37%, 25.84%,41.88%, 41.88%,-,3e6a41
30023,4.79%, 37.06%, 41.85%,16.22%, 16.22%,-,5e296a
30025,0%,-,-,0.0%,-,-,000000
30027,7.89%, 20.34%, 38.03%,30.14%, 30.14%,-,334c60
30029,4.54%, 14.93%, 33.50%,38.05%, 38.05%,-,266155
30031,14.75%, 21.07%, 43.41%,28.97%, 28.66%,-,35496e
30033,0%,-,-,0.0%,-,-,000000
30035,0%,-,-,0.0%,-,-,000000
30037,0%,-,-,0.0%,-,-,000000
30039,10.12%, 21.93%, 38.92%,28.8%, 28.80%,-,374963
30041,3.90%, 26.43%, 30.77%,26.87%, 26.87%,-,43444e
30043,15.09%, 20.03%, 40.15%,25.06%, 25.06%,-,333f66
30045,0%,-,-,0.0%,-,-,000000
30047,0%,-,-,0.0%,-,-,000000
30049,3.00%, 24.50%, 34.72%,31.77%, 31.72%,-,3e5158
30051,0%,-,-,0.0%,-,-,000000
30053,11.04%, 21.69%, 34.43%,20.5%, 20.50%,-,373457
30055,0%,-,-,0.0%,-,-,000000
30057,16.96%, 27.16%, 44.12%,24.53%, 24.53%,-,453e70
30059,12.18%, 26.77%, 39.45%,27.52%, 27.27%,-,444664
30061,0%,-,-,0.0%,-,-,000000
30063,5.37%, 12.64%, 32.70%,38.06%, 38.06%,-,206153
30065,0.83%, 30.80%, 29.97%,25.51%, 25.51%,-,4e414c
30067,0.95%, 27.59%, 30.18%,31.13%, 31.13%,-,464f4c
30069,0%,-,-,0.0%,-,-,000000
30071,0%,-,-,0.0%,-,-,000000
30073,0%,-,-,0.0%,-,-,000000
30075,0%,-,-,0.0%,-,-,000000
30077,8.79%, 23.18%, 37.72%,28.93%, 28.93%,-,3b4960
30079,0%,-,-,0.0%,-,-,000000
30081,1.61%, 13.39%, 36.36%,38.31%, 37.97%,-,22615c
30083,0%,-,-,0.0%,-,-,000000
30085,0%,-,-,0.0%,-,-,000000
30087,2.08%, 33.91%, 27.08%,32.089999999999996%, 31.83%,-,565145
30089,3.23%, 21.29%, 34.30%,31.07%, 31.07%,-,364f57
30091,0%,-,-,0.0%,-,-,000000
30093,10.27%, 18.76%, 38.18%,15.15%, 15.15%,-,2f2661
30095,0%,-,-,0.0%,-,-,000000
30097,15.61%, 19.21%, 29.41%,45.01%, 45.01%,-,30724a
30099,1.71%, 30.74%, 32.45%,22.4%, 22.40%,-,4e3952
30101,0%,-,-,0.0%,-,-,000000
30103,0%,-,-,0.0%,-,-,000000
30105,6.27%, 25.84%, 26.92%,33.23%, 33.19%,-,415444
30107,0%,-,-,0.0%,-,-,000000
30109,0%,-,-,0.0%,-,-,000000
30111,5.04%, 26.23%, 31.17%,36.21%, 36.21%,-,425c4f
31001,28.17%, 19.10%, 50.79%,25.6%, 22.62%, 2.98%,304181
31003,9.29%, 27.90%, 39.39%,32.71%, 30.10%,-,475364
31005,0%,-,-,0.0%,-,-,000000
31007,26.37%, 19.41%, 20.51%,47.62%, 46.89%,-,317934
31009,8.53%, 29.03%, 37.56%,26.029999999999998%, 24.65%,-,4a425f
31011,14.26%, 19.30%, 46.05%,34.64%, 31.80%,-,315875
31013,7.40%, 17.68%, 40.34%,34.419999999999995%, 32.94%,-,2d5766
31015,0.00%, 16.90%, 39.15%,40.53%, 39.15%,-,2b6763
31017,5.37%, 22.64%, 37.07%,33.31%, 31.70%,-,39545e
31019,17.08%, 22.93%, 43.72%,27.85%, 26.64%,-,3a476f
31021,1.25%, 29.13%, 35.03%,35.83%, 33.78%,-,4a5b59
31023,28.81%, 25.41%, 54.21%,20.38%, 18.06%,-,40338a
31025,20.26%, 22.41%, 46.41%,27.669999999999998%, 26.15%,-,394676
31027,14.18%, 21.74%, 45.87%,32.39%, 31.69%,-,375274
31029,0.26%, 25.13%, 33.42%,36.6%, 33.67%, 2.93%,405d55
31031,14.04%, 25.90%, 39.93%,25.400000000000002%, 24.03%,-,424065
31033,6.98%, 24.27%, 36.25%,31.35%, 29.27%, 2.08%,3d4f5c
31035,10.99%, 15.23%, 46.31%,38.46%, 35.32%,-,266276
31037,18.00%, 29.52%, 47.52%,19.19%, 18.67%,-,4b3079
31039,26.30%, 27.53%, 53.83%,18.65%, 17.27%,-,462f89
31041,8.60%, 18.20%, 41.46%,34.23%, 32.86%,-,2e5769
31043,14.27%, 28.53%, 42.80%,25.25%, 24.48%,-,48406d
31045,1.72%, 18.97%, 37.11%,39.78%, 38.83%,-,30655e
31047,11.95%, 13.22%, 47.48%,37.120000000000005%, 35.53%,-,215e79
31049,5.76%, 16.75%, 35.34%,41.36%, 41.10%,-,2a695a
31051,5.45%, 24.04%, 33.99%,41.970000000000006%, 39.45%,-,3d6b56
31053,14.49%, 29.33%, 43.81%,22.25%, 20.62%,-,4a386f
31055,17.07%, 21.12%, 44.08%,27.44%, 27.02%,-,354570
31057,4.89%, 16.82%, 34.55%,40.57%, 39.43%,-,2a6758
31059,21.13%, 26.89%, 48.02%,22.96%, 21.77%,-,443a7a
31061,15.72%, 14.15%, 48.91%,34.47%, 33.19%,-,24577c
31063,4.63%, 17.38%, 38.97%,36.53%, 34.34%, 2.19%,2c5d63
31065,17.80%, 13.79%, 49.32%,33.66%, 31.52%, 2.14%,23557d
31067,6.84%, 21.05%, 40.85%,35.379999999999995%, 34.01%,-,355a68
31069,10.20%, 15.94%, 33.06%,45.37%, 43.26%, 2.11%,287354
31071,1.36%, 23.67%, 28.85%,30.830000000000002%, 30.21%,-,3c4e49
31073,25.10%, 13.44%, 54.58%,31.98%, 29.48%,-,22518b
31075,4.66%, 34.75%, 39.41%,22.880000000000003%, 22.03%,-,583a64
31077,30.76%, 21.25%, 52.29%,22.73%, 21.53%,-,363985
31079,23.53%, 23.73%, 47.26%,23.36%, 22.05%,-,3c3b78
31081,12.24%, 14.57%, 46.41%,36.199999999999996%, 34.16%, 2.04%,255c76
31083,14.91%, 15.78%, 44.58%,32.78%, 29.67%, 3.11%,285371
31085,9.81%, 17.94%, 31.98%,43.14%, 41.79%,-,2d6e51
31087,9.56%, 12.11%, 44.56%,37.65%, 35.00%, 2.65%,1e6071
31089,7.31%, 21.62%, 40.47%,34.33%, 33.16%,-,375767
31091,5.98%, 34.22%, 40.20%,19.27%, 18.94%,-,573166
31093,26.16%, 19.57%, 50.77%,25.7%, 24.61%,-,314181
31095,5.42%, 18.58%, 39.60%,35.4%, 34.18%,-,2f5a64
31097,9.66%, 29.77%, 39.43%,30.79%, 28.75%,-,4b4e64
31099,17.07%, 16.15%, 48.65%,33.18%, 31.59%,-,29547c
31101,8.58%, 23.04%, 37.25%,29.29%, 28.68%,-,3a4a5e
31103,1.61%, 32.09%, 27.39%,31.84%, 30.48%,-,515145
31105,23.72%, 17.85%, 26.65%,51.099999999999994%, 50.37%,-,2d8243
31107,20.04%, 26.58%, 46.61%,24.71%, 24.04%,-,433f76
31109,18.15%, 18.16%, 47.47%,31.22%, 29.32%,-,2e4f79
31111,6.83%, 21.63%, 35.39%,30.439999999999998%, 28.56%,-,374d5a
31113,11.23%, 25.33%, 39.95%,30.29%, 28.72%,-,404d65
31115,3.71%, 28.60%, 24.67%,33.84%, 32.31%,-,48563e
31117,8.84%, 19.76%, 31.20%,41.24%, 40.03%,-,32694f
31119,13.40%, 29.47%, 42.87%,27.65%, 25.33%,-,4b466d
31121,11.03%, 22.66%, 40.93%,36.4%, 29.90%, 4.78%,395c68
31123,0.81%, 20.30%, 34.97%,38.02%, 35.78%, 2.24%,336059
31125,4.46%, 32.69%, 37.16%,30.150000000000002%, 27.71%,-,534c5e
31127,17.81%, 22.50%, 46.00%,31.5%, 28.19%,-,395075
31129,15.28%, 24.46%, 43.49%,29.470000000000002%, 28.21%,-,3e4b6e
31131,22.08%, 22.82%, 48.14%,29.029999999999998%, 26.06%,-,3a4a7a
31133,10.44%, 25.06%, 40.49%,32.21%, 30.05%, 2.16%,3f5267
31135,10.88%, 17.44%, 43.70%,33.34%, 32.82%,-,2c556f
31137,4.12%, 10.56%, 40.42%,45.86%, 44.53%,-,1a7467
31139,11.90%, 32.52%, 44.42%,23.05%, 21.60%,-,523a71
31141,21.01%, 15.18%, 51.93%,32.89%, 30.93%,-,265384
31143,8.49%, 19.43%, 39.90%,37.1%, 31.41%, 5.69%,315e65
31145,6.48%, 11.76%, 42.40%,37.11%, 35.92%,-,1d5e6c
31147,14.10%, 21.70%, 44.45%,31.520000000000003%, 30.35%,-,375071
31149,1.15%, 26.47%, 32.11%,34.989999999999995%, 33.26%,-,435951
31151,19.00%, 29.74%, 48.73%,21.53%, 18.34%,-,4b367c
31153,23.31%, 22.53%, 47.80%,25.76%, 24.48%,-,394179
31155,12.44%, 18.79%, 45.23%,35.99%, 32.79%,-,2f5b73
31157,9.38%, 18.18%, 28.66%,39.839999999999996%, 38.04%,-,2e6549
31159,17.94%, 23.29%, 46.48%,30.23%, 28.55%,-,3b4d76
31161,7.06%, 22.56%, 37.70%,32.44%, 30.64%,-,395260
31163,4.35%, 24.45%, 36.16%,32.78%, 31.81%,-,3e535c
31165,2.02%, 15.14%, 37.84%,40.67%, 39.86%,-,266760
31167,16.73%, 31.15%, 47.88%,20.96%, 19.64%,-,4f357a
31169,16.02%, 21.37%, 45.29%,30.759999999999998%, 29.27%,-,364e73
31171,17.88%, 22.28%, 44.56%,27.46%, 26.68%,-,384671
31173,18.61%, 23.78%, 45.38%,27.419999999999998%, 26.77%,-,3c4573
31175,10.99%, 26.73%, 38.16%,29.25%, 27.17%, 2.08%,444a61
31177,9.81%, 21.44%, 42.23%,33.07%, 32.43%,-,36546b
31179,3.99%, 27.80%, 37.44%,34.76%, 33.46%,-,46585f
31181,9.15%, 19.25%, 42.26%,35.63%, 33.10%, 2.53%,315a6b
31183,3.11%, 14.49%, 40.17%,37.68%, 37.06%,-,246066
31185,19.48%, 23.40%, 45.88%,28.630000000000003%, 26.39%, 2.24%,3b4974
32001,4.41%, 15.38%, 34.18%,29.77%, 29.77%,-,274b57
32003,11.59%, 13.14%, 42.77%,31.18%, 31.18%,-,214f6d
32005,6.95%, 19.18%, 34.29%,41.25%, 41.25%,-,306957
32007,16.38%, 19.82%, 41.98%,25.6%, 25.60%,-,32416b
32009,12.71%, 13.81%, 39.07%,26.36%, 26.36%,-,234363
32011,20.05%, 16.51%, 49.29%,29.25%, 29.25%,-,2a4a7d
32013,10.34%, 11.51%, 39.99%,29.64%, 29.64%,-,1d4b65
32015,0.58%, 13.13%, 38.03%,38.61%, 38.61%,-,216260
32017,23.95%, 18.28%, 50.27%,26.33%, 26.33%,-,2e4380
32019,7.11%, 11.64%, 37.50%,30.39%, 30.39%,-,1d4d5f
32021,13.15%, 10.63%, 39.46%,26.31%, 26.31%,-,1b4364
32023,6.40%, 14.62%, 36.84%,18.1%, 18.10%,-,252e5d
32027,0%,-,-,0.0%,-,-,000000
32029,21.86%, 19.30%, 46.51%,24.65%, 24.65%,-,313e76
32031,8.22%, 17.88%, 40.14%,31.93%, 31.93%,-,2d5166
32033,5.53%, 16.92%, 34.24%,28.71%, 28.71%,-,2b4957
32510,18.96%, 22.22%, 43.56%,24.59%, 24.59%,-,383e6f
33001,2.56%, 36.82%, 39.38%,21.619999999999997%, 19.97%,-,5d3764
33003,8.67%, 34.45%, 43.12%,22.43%, 20.87%,-,57396d
33005,10.30%, 43.74%, 33.44%,20.349999999999998%, 19.81%,-,6f3355
33007,5.29%, 35.23%, 40.52%,20.810000000000002%, 20.05%,-,593567
33009,2.42%, 36.70%, 39.12%,24.18%, 22.58%,-,5d3d63
33011,4.05%, 35.92%, 39.96%,20.990000000000002%, 20.57%,-,5b3565
33013,0.92%, 39.08%, 40.00%,18.66%, 17.88%,-,632f66
33015,0.67%, 37.54%, 38.21%,24.25%, 21.87%,-,5f3d61
33017,6.43%, 37.66%, 44.09%,18.25%, 16.08%,-,602e70
33019,3.57%, 38.85%, 35.28%,25.88%, 23.49%,-,634159
34001,3.32%, 31.67%, 34.99%,33.339999999999996%, 30.40%,-,505559
34003,5.57%, 20.46%, 40.12%,35.61%, 34.56%,-,345a66
