id,1924,1928,1932,1936,1940,1944,1948,1956,1964,1968,1972,1992
1001,2707d0,6f008f,1702e4,0d01f0,0e01ee,1500e8,15e900,5f1d81,da2400,13b532,bf0638,8e1f4e
1003,463483,82017b,3100c0,2503c8,2c02c3,4002bb,38c600,820775,ce3000,1dc419,d10428,902942
1005,0d07e9,5a02a1,0700f7,0501f8,0901f4,0700f2,0ef000,390abb,cb3300,0cb03c,b40742,6d1876
1007,2e2ea2,740089,1404e6,1700e6,1502e6,2802d4,17e700,630a91,d62800,0ecc23,c80432,761a6e
1009,68078f,84007a,3304c6,3502c7,3b02c1,5001ad,4cb200,71038a,a45a00,38b709,ca0331,891e53
1011,0002fc,4200bc,0003fb,0001fd,0003fb,0500f9,00fe00,3d1ba5,926c00,0b7e73,780580,420eac
1013,1317d4,5c00a2,0701f5,0800f5,0005f9,0a00f4,10ee00,5f128d,cd3100,11c22a,c2013a,691a78
1015,450dac,8a0073,2201db,1d02de,2000dd,2301da,34ca00,5206a6,a05e00,1db627,c40238,7a1c62
1017,1105e8,a1005d,1e00df,0700f7,0600f7,0d00f0,1fdf00,3604c3,a45a00,19bd20,c90430,6e1b73
1019,5e059a,a0005e,2803d3,2601d7,2001dd,2f02cd,2ad400,3d00c1,7e8000,0fd614,b70344,581b88
1021,a10855,b0004d,780482,5c01a1,6b0093,680095,718d00,9b055d,c13d00,2dbd10,d30426,8f1857
1023,0005f9,4100bd,0700f7,0b00f3,0800f6,1000ed,00fe00,410ab3,da2400,07b144,9a0262,671084
1025,1103ea,5b00a3,0500f9,0500f9,0003fb,0f00ef,05f900,62009b,d32b00,0eb632,b40445,77126d
1027,610598,a70056,4d02af,3b01b7,4801b5,5201aa,41bd00,7a0380,b24c00,23cc0c,e1011c,7e1c5b
1029,820774,94006a,3800c5,4e01af,3d00c1,5801a5,4eb000,6d0091,c23c00,1ed30a,d90024,761e68
1031,2a03d1,63009b,0800f6,0801f5,0f00ef,0900f4,0df100,2f06c9,cc3200,10d219,cc0230,7c215e
1033,4016a8,5000a7,1801e4,1100ec,1500e9,2000de,27d700,3303c7,7b8300,1cb925,ac084a,5b178a
