id,margin,nixon,mcgovern,other,other2,hex_color
04021,23.81%, 60.28%,36.47,3.25%, 3.16%,99085c
04023,6.64%, 52.39%,45.75,1.86%,0,850474
04025,44.46%, 65.77%,29.159999999999997,5.07%, 5.07%,a70c4a
04027,32.05%, 63.52%,31.47999999999999,5.0%, 4.98%,a10c50
05001,47.46%, 73.46%,25.99000000000001,0.55%,0,bb0142
05003,53.12%, 76.44%,23.320000000000007,0.24%,0,c2003b
05005,42.65%, 70.65%,28.0,1.35%,0,b40347
05007,56.12%, 77.86%,21.75,0.39%,0,c60037
05009,49.20%, 74.49%,25.290000000000006,0.22%,0,bd0040
05011,40.10%, 69.74%,29.650000000000006,0.61%,0,b1014b
05013,29.26%, 64.26%,35.0,0.74%,0,a30159
05015,42.55%, 70.09%,27.549999999999997,2.36%, 2.36%,b20646
05017,32.06%, 65.96%,33.900000000000006,0.14%,0,a80056
05019,20.57%, 59.96%,39.38,0.66%,0,980164
05021,38.77%, 69.39%,30.61,0.0%,0,b0004e
05023,34.39%, 67.15%,32.75999999999999,0.09%,0,ab0053
05025,42.90%, 71.45%,28.549999999999997,0.0%,0,b60048
05027,44.97%, 72.30%,27.340000000000003,0.36%,0,b80045
05029,16.35%, 58.11%,41.77,0.12%,0,94006a
05031,31.88%, 65.94%,34.06,0.0%,0,a80056
05033,63.67%, 81.41%,17.75,0.84%,0,cf022d
05035,42.12%, 71.06%,28.939999999999998,0.0%,0,b50049
05037,49.04%, 72.78%,23.739999999999995,3.48%, 3.48%,b9083c
05039,21.10%, 60.55%,39.45,0.0%,0,9a0064
05041,34.01%, 66.92%,32.92,0.16%,0,aa0053
05043,48.11%, 74.06%,25.939999999999998,0.0%,0,bc0042
05045,18.87%, 59.44%,40.56,0.0%,0,970067
05047,49.21%, 74.60%,25.400000000000006,0.0%,0,be0040
05049,35.79%, 67.89%,32.11,0.0%,0,ad0051
05051,49.24%, 73.90%,24.659999999999997,1.44%,0,bc033e
05053,35.38%, 67.41%,32.03,0.56%,0,ab0151
05055,46.06%, 73.03%,26.97,0.0%,0,ba0044
05057,41.60%, 70.80%,29.200000000000003,0.0%,0,b4004a
05059,30.07%, 64.54%,34.459999999999994,1.0%,0,a40257
05061,43.00%, 71.50%,28.5,0.0%,0,b60048
05063,31.68%, 65.74%,34.07000000000001,0.19%,0,a70056
05065,28.68%, 64.26%,35.58,0.16%,0,a3005a
05067,33.46%, 66.73%,33.269999999999996,0.0%,0,aa0054
05069,24.00%, 61.95%,37.949999999999996,0.1%,0,9d0060
05071,33.52%, 66.76%,33.239999999999995,0.0%,0,aa0054
05073,44.08%, 71.91%,27.83,0.26%,0,b70046
05075,38.90%, 69.45%,30.549999999999997,0.0%,0,b1004d
05077,29.79%, 64.59%,34.78999999999999,0.62%,0,a40158
05079,35.04%, 67.52%,32.480000000000004,0.0%,0,ac0052
05081,40.07%, 70.04%,29.959999999999994,0.0%,0,b2004c
05083,43.28%, 71.42%,28.14999999999999,0.43%,0,b60147
05085,35.66%, 67.62%,31.959999999999994,0.42%,0,ac0151
05087,28.19%, 64.09%,35.91,0.0%,0,a3005b
05089,34.97%, 66.66%,31.680000000000007,1.66%,0,a90450
05091,49.06%, 74.53%,25.47,0.0%,0,be0040
05093,50.50%, 74.73%,24.22999999999999,1.04%,0,be023d
05095,28.89%, 63.45%,34.56,1.99%,0,a10558
05097,38.01%, 68.17%,30.159999999999997,1.67%,0,ad044c
05099,36.13%, 68.07%,31.930000000000007,0.0%,0,ad0051
05101,39.67%, 69.84%,30.159999999999997,0.0%,0,b2004c
05103,25.46%, 62.68%,37.22,0.1%,0,9f005e
05105,28.07%, 63.88%,35.81,0.31%,0,a2005b
05107,18.44%, 58.90%,40.46,0.64%,0,960167
05109,48.30%, 73.69%,25.39,0.92%,0,bb0240
05111,56.70%, 77.91%,21.200000000000003,0.89%,0,c60236
05113,51.61%, 74.83%,23.22,1.95%,0,be043b
05115,35.29%, 67.52%,32.24000000000001,0.24%,0,ac0052
05117,42.92%, 71.46%,28.540000000000006,0.0%,0,b60048
05119,26.20%, 62.95%,36.739999999999995,0.31%,0,a0005d
05121,25.66%, 62.83%,37.17,0.0%,0,a0005e
05123,34.97%, 65.95%,30.980000000000004,3.07%, 3.07%,a8074e
05125,27.69%, 63.64%,35.94,0.42%,0,a2015b
05127,51.74%, 75.87%,24.129999999999995,0.0%,0,c1003d
05129,57.52%, 78.76%,21.239999999999995,0.0%,0,c80036
05131,62.64%, 81.23%,18.58,0.19%,0,cf002f
05133,40.91%, 69.91%,29.010000000000005,1.08%,0,b20249
