statecounty,Margin,McCain,Obama,Other
05053,50.95%, 73.94%, 22.99%, 3.06%
05055,29.66%, 63.02%, 33.36%, 1.59%
05057,19.10%, 58.14%, 39.04%, 2.82%
05059,24.43%, 60.30%, 35.87%, 1.69%
05061,24.99%, 61.02%, 36.03%, 2.95%
05063,37.13%, 67.12%, 29.99%, 2.89%
05065,26.85%, 61.19%, 34.34%, 2.45%
05067,16.32%, 55.86%, 39.54%, 1.76%
05069,26.31%, 35.89%, 62.19%, 1.92%
05071,23.08%, 60.17%, 37.09%, 2.74%
05073,19.02%, 58.06%, 39.04%, 2.89%
05075,20.91%, 57.58%, 36.67%, 2.44%
05077,21.50%, 38.64%, 60.14%, 1.22%
05079,18.23%, 57.04%, 38.81%, 4.15%
05081,29.00%, 63.02%, 34.03%, 2.95%
05083,38.75%, 67.66%, 28.91%, 1.39%
05085,47.49%, 72.63%, 25.14%, 2.24%
05087,28.89%, 62.77%, 33.88%, 3.35%
05089,29.88%, 63.17%, 33.29%, 3.55%
05091,33.49%, 65.81%, 32.32%, 1.87%
05093,2.21%, 49.79%, 47.59%, 2.62%
05095,4.03%, 50.86%, 46.83%, 2.32%
05097,35.15%, 65.30%, 30.15%, 2.26%
05099,16.18%, 56.73%, 40.55%, 2.72%
05101,35.51%, 65.35%, 29.85%, 2.55%
05103,10.85%, 54.49%, 43.63%, 1.88%
05105,32.51%, 64.10%, 31.60%, 2.06%
05107,28.97%, 34.53%, 63.50%, 1.97%
05109,41.30%, 68.76%, 27.46%, 3.78%
05111,27.26%, 61.84%, 34.59%, 1.03%
05113,45.78%, 71.25%, 25.48%, 3.27%
05115,43.33%, 70.51%, 27.18%, 2.31%
05117,34.75%, 65.75%, 31.00%, 3.25%
05119,11.55%, 43.52%, 55.07%, 1.41%
05121,18.14%, 57.21%, 39.07%, 3.72%
05123,16.51%, 41.21%, 57.72%, 1.07%
05125,40.95%, 69.38%, 28.43%, 2.19%
05127,43.50%, 69.86%, 26.36%, 3.78%
05129,45.88%, 70.86%, 24.98%, 4.16%
05131,34.63%, 66.27%, 31.64%, 2.09%
05133,40.04%, 68.23%, 28.19%, 1.51%
05135,28.94%, 62.53%, 33.59%, 1.67%
05137,36.36%, 66.38%, 30.02%, 3.61%
05139,26.12%, 62.15%, 36.03%, 1.82%
05141,31.70%, 63.79%, 32.09%, 1.97%
05143,13.08%, 55.52%, 42.44%, 2.04%
05145,47.25%, 72.22%, 24.97%, 2.80%
05147,7.46%, 43.68%, 51.14%, 2.57%
05149,29.90%, 63.09%, 33.18%, 3.73%
06001,59.33%, 19.19%, 78.52%, 2.29%
06003,24.50%, 36.31%, 60.81%, 2.88%
06005,14.56%, 55.94%, 41.38%, 2.67%
06007,2.34%, 47.32%, 49.66%, 3.03%
06009,12.90%, 54.80%, 41.90%, 3.30%
06011,18.05%, 57.89%, 39.84%, 2.26%
06013,37.63%, 30.10%, 67.73%, 2.17%
06015,6.76%, 52.11%, 45.36%, 2.53%
06017,10.49%, 53.92%, 43.44%, 2.64%
06019,2.08%, 47.91%, 49.99%, 2.10%
06021,22.03%, 59.82%, 37.80%, 2.38%
06023,28.11%, 33.94%, 62.05%, 4.01%
06025,26.16%, 36.08%, 62.24%, 1.67%
06027,9.12%, 52.88%, 43.76%, 3.37%
06029,17.68%, 57.65%, 39.97%, 2.38%
06031,14.14%, 56.14%, 42.00%, 1.85%
06033,19.19%, 38.76%, 57.96%, 3.28%
06035,34.09%, 65.45%, 31.37%, 3.18%
06037,40.37%, 28.82%, 69.19%, 1.99%
06039,13.26%, 55.52%, 42.27%, 2.21%
06041,57.58%, 20.19%, 77.77%, 2.04%
06043,12.38%, 54.75%, 42.37%, 2.88%
06045,42.61%, 26.68%, 69.29%, 4.03%
06047,8.32%, 44.81%, 53.13%, 2.05%
06049,37.74%, 67.44%, 29.71%, 2.85%
06051,13.27%, 42.25%, 55.52%, 2.23%
06053,38.26%, 29.89%, 68.15%, 1.95%
06055,32.47%, 32.67%, 65.14%, 2.19%
06057,5.31%, 46.12%, 51.43%, 2.46%
06059,2.56%, 50.19%, 47.63%, 2.17%
06061,11.24%, 54.45%, 43.21%, 2.33%
06063,11.97%, 54.72%, 42.75%, 2.52%
06065,2.31%, 47.90%, 50.21%, 1.89%
06067,18.96%, 39.34%, 58.30%, 2.35%
06069,22.70%, 37.52%, 60.22%, 2.25%
06071,6.32%, 45.75%, 52.07%, 2.18%
06073,10.16%, 43.79%, 53.95%, 2.26%
06075,70.33%, 13.62%, 83.96%, 2.42%
06077,10.64%, 43.56%, 54.19%, 2.25%
06079,5.35%, 45.85%, 51.20%, 2.95%
06081,48.72%, 24.75%, 73.47%, 1.78%
06083,22.82%, 37.39%, 60.21%, 2.40%
06085,40.90%, 28.55%, 69.45%, 2.00%
06087,57.54%, 19.76%, 77.30%, 2.93%
06089,25.78%, 61.68%, 35.91%, 2.41%
06091,20.84%, 58.16%, 37.32%, 4.52%
06093,10.33%, 53.42%, 43.09%, 3.49%
06095,28.50%, 34.68%, 63.18%, 2.14%
06097,49.60%, 24.04%, 73.64%, 2.33%
06099,1.72%, 47.98%, 49.70%, 2.31%
06101,16.65%, 57.27%, 40.62%, 2.11%
06103,24.01%, 60.44%, 36.42%, 3.14%
06105,4.56%, 45.72%, 50.28%, 4.00%
06107,15.29%, 56.64%, 41.35%, 2.01%
06109,12.66%, 54.90%, 42.24%, 2.87%
06111,12.24%, 42.77%, 55.01%, 2.22%
06113,36.23%, 30.84%, 67.07%, 2.09%
06115,14.68%, 56.10%, 41.43%, 2.47%
08001,18.36%, 39.86%, 58.22%, 1.92%
08003,14.09%, 41.92%, 56.01%, 2.07%
08005,12.91%, 42.78%, 55.69%, 1.53%
08007,12.11%, 54.91%, 42.81%, 2.28%
08009,47.63%, 72.28%, 24.64%, 3.08%
08011,14.48%, 56.09%, 41.61%, 2.29%
08013,46.14%, 26.14%, 72.29%, 1.57%
08014,11.58%, 43.31%, 54.89%, 1.79%
08015,0.11%, 49.12%, 49.01%, 1.87%
08017,62.29%, 80.11%, 17.82%, 2.07%
08019,17.89%, 39.88%, 57.78%, 2.34%
08021,12.93%, 42.67%, 55.60%, 1.73%
08023,48.91%, 24.45%, 73.36%, 2.18%
08025,27.21%, 62.64%, 35.43%, 1.93%
08027,28.91%, 63.60%, 34.69%, 1.71%
08029,32.29%, 65.23%, 32.94%, 1.83%
08031,52.41%, 23.04%, 75.45%, 1.50%
08033,36.89%, 67.21%, 30.32%, 2.47%
08035,17.22%, 58.03%, 40.81%, 1.15%
08037,23.13%, 37.77%, 60.91%, 1.32%
08039,40.05%, 68.97%, 28.92%, 2.11%
08041,18.82%, 58.69%, 39.86%, 1.45%
08043,29.24%, 63.60%, 34.36%, 2.04%
08045,0.01%, 49.21%, 49.20%, 1.59%
08047,20.99%, 38.08%, 59.07%, 2.85%
08049,1.10%, 49.68%, 48.59%, 1.73%
08051,27.35%, 35.29%, 62.64%, 2.06%
08053,17.36%, 57.43%, 40.07%, 2.50%
08055,11.23%, 43.37%, 54.60%, 2.03%
08057,37.96%, 68.27%, 30.31%, 1.42%
08059,8.99%, 44.61%, 53.60%, 1.79%
08061,55.40%, 76.29%, 20.89%, 2.82%
08063,44.83%, 71.32%, 26.50%, 2.18%
08065,26.02%, 35.91%, 61.93%, 2.17%
08067,16.28%, 41.11%, 57.39%, 1.50%
08069,9.73%, 44.26%, 53.99%, 1.75%
08071,7.04%, 45.64%, 52.68%, 1.67%
08073,50.82%, 74.52%, 23.70%, 1.78%
08075,35.16%, 66.86%, 31.70%, 1.44%
08077,29.54%, 64.02%, 34.48%, 1.50%
08079,10.27%, 53.61%, 43.34%, 3.05%
08081,43.48%, 70.43%, 26.95%, 2.62%
08083,19.45%, 58.87%, 39.42%, 1.72%
08085,29.78%, 63.69%, 33.91%, 2.40%
08087,24.03%, 61.29%, 37.26%, 1.46%
08089,10.49%, 54.47%, 43.98%, 1.55%
08091,8.79%, 44.67%, 53.46%, 1.86%
08093,6.88%, 52.18%, 45.29%, 2.53%
08095,43.83%, 71.34%, 27.51%, 1.15%
08097,48.82%, 24.92%, 73.74%, 1.33%
08099,33.72%, 65.94%, 32.22%, 1.84%
08101,14.97%, 41.78%, 56.74%, 1.48%
08103,56.63%, 77.44%, 20.81%, 1.75%
08105,8.85%, 53.82%, 44.97%, 1.21%
08107,26.86%, 35.80%, 62.66%, 1.55%
08109,28.15%, 34.76%, 62.91%, 2.33%
08111,9.27%, 43.95%, 53.23%, 2.82%
08113,55.54%, 21.45%, 76.99%, 1.56%
08115,28.79%, 63.43%, 34.64%, 1.92%
