statecounty,Margin,McCain,Obama,Other
15009,55.17%, 21.54%, 76.71%, 1.75%
16001,6.14%, 51.63%, 45.49%, 2.87%
16003,34.01%, 65.39%, 31.38%, 3.23%
16005,12.88%, 54.62%, 41.74%, 3.64%
16007,63.71%, 80.77%, 17.06%, 2.17%
16009,29.76%, 63.54%, 33.79%, 2.67%
16011,45.50%, 71.29%, 25.79%, 2.93%
16013,33.18%, 32.53%, 65.71%, 1.77%
16015,31.62%, 64.48%, 32.87%, 2.65%
16017,16.91%, 57.01%, 40.10%, 2.89%
16019,42.96%, 70.34%, 27.38%, 2.28%
16021,33.67%, 65.02%, 31.35%, 3.63%
16023,52.34%, 74.89%, 22.55%, 2.55%
16025,38.03%, 68.28%, 30.26%, 1.46%
16027,34.93%, 66.07%, 31.14%, 2.79%
16029,63.69%, 80.44%, 16.75%, 2.82%
16031,63.06%, 79.93%, 16.88%, 3.19%
16033,64.27%, 81.33%, 17.07%, 1.60%
16035,34.77%, 65.77%, 31.00%, 3.23%
16037,46.03%, 71.99%, 25.97%, 2.04%
16039,36.22%, 66.76%, 30.53%, 2.71%
16041,71.86%, 83.68%, 11.82%, 1.69%
16043,61.81%, 79.92%, 18.11%, 1.97%
16045,43.02%, 70.27%, 27.25%, 2.48%
16047,42.22%, 69.84%, 27.62%, 2.54%
16049,47.22%, 71.79%, 24.56%, 1.62%
16051,66.08%, 81.79%, 15.72%, 2.49%
16053,45.32%, 71.52%, 26.20%, 2.28%
16055,26.01%, 61.38%, 35.37%, 3.24%
16057,6.74%, 44.59%, 51.32%, 4.09%
16059,45.72%, 71.57%, 25.85%, 2.58%
16061,44.12%, 70.68%, 26.55%, 2.77%
16063,36.74%, 65.88%, 29.14%, 0.86%
16065,72.78%, 85.24%, 12.46%, 2.30%
16067,50.17%, 73.83%, 23.66%, 2.51%
16069,18.15%, 58.11%, 39.97%, 1.92%
16071,62.12%, 79.74%, 17.62%, 2.64%
16073,51.26%, 74.52%, 23.26%, 2.22%
16075,41.10%, 68.88%, 27.78%, 3.34%
16077,25.58%, 61.72%, 36.14%, 2.15%
16079,7.62%, 52.11%, 44.49%, 3.41%
16081,0.84%, 48.57%, 49.41%, 2.02%
16083,36.39%, 66.52%, 30.13%, 3.36%
16085,6.93%, 52.33%, 45.40%, 2.27%
16087,42.77%, 70.31%, 27.54%, 2.15%
17001,22.38%, 60.55%, 38.17%, 1.28%
17003,12.59%, 42.87%, 55.46%, 1.67%
17005,1.31%, 49.59%, 48.28%, 2.14%
17007,4.18%, 46.78%, 50.96%, 2.26%
17009,21.65%, 59.91%, 38.26%, 1.82%
17011,5.70%, 46.12%, 51.82%, 2.06%
17013,7.46%, 45.12%, 52.59%, 2.29%
17015,4.80%, 46.74%, 51.54%, 1.72%
17017,1.34%, 48.18%, 49.52%, 2.30%
17019,17.45%, 40.13%, 57.57%, 2.30%
17021,6.29%, 51.94%, 45.65%, 2.41%
17023,8.02%, 53.04%, 45.02%, 1.94%
17025,23.21%, 60.72%, 37.50%, 1.78%
17027,9.82%, 54.04%, 44.22%, 1.73%
17029,3.19%, 47.42%, 50.60%, 1.98%
17031,53.39%, 22.82%, 76.21%, 0.97%
17033,12.97%, 55.39%, 42.42%, 2.19%
17035,20.62%, 59.11%, 38.49%, 2.40%
17037,16.72%, 40.61%, 57.33%, 2.05%
17039,13.28%, 55.52%, 42.24%, 2.23%
17041,21.21%, 59.73%, 38.52%, 1.74%
17043,10.78%, 43.93%, 54.72%, 1.35%
17045,7.91%, 53.09%, 45.18%, 1.73%
17047,29.65%, 63.56%, 33.91%, 2.53%
17049,35.91%, 67.08%, 31.17%, 1.75%
17051,15.78%, 56.64%, 40.86%, 2.49%
17053,28.94%, 63.73%, 34.80%, 1.47%
17055,2.80%, 50.25%, 47.45%, 2.30%
17057,21.27%, 38.19%, 59.45%, 2.36%
17059,13.06%, 42.20%, 55.26%, 2.54%
17061,7.45%, 52.40%, 44.95%, 2.64%
17063,1.69%, 48.07%, 49.76%, 2.17%
17065,13.00%, 54.93%, 41.92%, 3.15%
17067,10.77%, 54.50%, 43.73%, 1.76%
17069,19.36%, 58.80%, 39.43%, 1.77%
17071,17.60%, 40.25%, 57.85%, 1.91%
17073,7.72%, 45.33%, 53.04%, 1.63%
17075,29.74%, 63.82%, 34.08%, 2.10%
17077,21.71%, 37.81%, 59.52%, 2.66%
17079,17.52%, 57.64%, 40.12%, 2.24%
17081,10.68%, 54.02%, 43.33%, 2.65%
17083,2.70%, 50.20%, 47.50%, 2.30%
17085,10.49%, 44.00%, 54.49%, 1.51%
17087,34.51%, 66.15%, 31.64%, 2.22%
17089,11.79%, 43.42%, 55.21%, 1.37%
17091,4.62%, 46.80%, 51.41%, 1.79%
17093,7.19%, 45.75%, 52.95%, 1.30%
17095,19.80%, 39.09%, 58.89%, 2.03%
17097,19.57%, 39.53%, 59.10%, 1.37%
17099,11.07%, 43.47%, 54.55%, 1.98%
17101,5.90%, 51.89%, 45.99%, 2.12%
17103,3.01%, 50.49%, 47.47%, 2.04%
17105,19.16%, 58.66%, 39.50%, 1.84%
17107,16.84%, 57.41%, 40.57%, 2.02%
17109,5.57%, 46.32%, 51.89%, 1.79%
17111,5.33%, 46.44%, 51.77%, 1.79%
17113,1.22%, 48.46%, 49.67%, 1.87%
17115,1.05%, 48.55%, 49.60%, 1.86%
17117,9.80%, 44.07%, 53.87%, 2.06%
17119,9.17%, 44.43%, 53.60%, 1.97%
17121,1.99%, 49.92%, 47.93%, 2.15%
17123,1.01%, 49.54%, 48.53%, 1.92%
17125,5.87%, 45.98%, 51.85%, 2.17%
17127,23.28%, 60.63%, 37.36%, 2.01%
17129,14.91%, 56.69%, 41.78%, 1.53%
17131,11.88%, 43.21%, 55.10%, 1.69%
17133,10.63%, 54.50%, 43.87%, 1.63%
17135,2.64%, 47.64%, 50.28%, 2.08%
17137,0.81%, 49.31%, 48.51%, 2.18%
17139,12.80%, 55.33%, 42.53%, 2.14%
17141,7.58%, 52.72%, 45.13%, 2.15%
17143,13.86%, 42.32%, 56.19%, 1.49%
17145,3.85%, 50.89%, 47.03%, 2.08%
17147,12.55%, 55.34%, 42.79%, 1.86%
17149,18.75%, 58.31%, 39.57%, 2.12%
17151,22.32%, 60.20%, 37.88%, 1.93%
17153,1.38%, 48.72%, 50.09%, 1.19%
17155,15.62%, 41.23%, 56.85%, 1.92%
17157,0.94%, 49.59%, 48.64%, 1.77%
17159,14.96%, 56.42%, 41.46%, 2.12%
17161,24.55%, 36.97%, 61.52%, 1.51%
17163,22.37%, 38.05%, 60.42%, 1.54%
17165,8.85%, 53.15%, 44.29%, 2.56%
17167,4.35%, 46.90%, 51.25%, 1.86%
17169,1.75%, 47.75%, 49.49%, 2.76%
17171,14.00%, 55.81%, 41.81%, 2.38%
17173,19.73%, 58.67%, 38.94%, 2.39%
17175,5.34%, 51.83%, 46.49%, 1.68%
17177,6.65%, 45.75%, 52.40%, 1.84%
17179,6.03%, 51.90%, 45.87%, 2.23%
17181,11.85%, 54.65%, 42.80%, 2.55%
17183,0.58%, 48.62%, 49.21%, 2.17%
17185,13.67%, 56.16%, 42.49%, 1.35%
17187,8.05%, 45.12%, 53.17%, 1.71%
17189,14.26%, 56.39%, 42.13%, 1.48%
17191,35.22%, 66.78%, 31.56%, 1.66%
17193,9.02%, 53.50%, 44.48%, 2.03%
17195,17.50%, 40.32%, 57.82%, 1.87%
17197,13.17%, 42.69%, 55.86%, 1.45%
17199,14.70%, 56.30%, 41.59%, 2.11%
17201,12.74%, 42.53%, 55.27%, 2.20%
17203,26.57%, 62.39%, 35.82%, 1.79%
18001,25.67%, 62.07%, 36.40%, 1.53%
18003,4.34%, 51.67%, 47.34%, 0.99%
18005,11.26%, 54.90%, 43.64%, 1.46%
18007,16.24%, 57.19%, 40.95%, 1.86%
18009,0.24%, 49.36%, 49.12%, 1.52%
18011,25.74%, 62.27%, 36.54%, 1.19%
18013,2.56%, 50.40%, 47.85%, 1.75%
18015,12.84%, 55.61%, 42.77%, 1.63%
18017,8.53%, 53.32%, 44.79%, 1.89%
18019,7.04%, 52.89%, 45.85%, 1.26%
18021,11.52%, 55.00%, 43.48%, 1.53%
18023,13.00%, 55.79%, 42.79%, 1.41%
18025,2.26%, 50.44%, 48.19%, 1.37%
18027,35.22%, 67.05%, 31.83%, 1.11%
18029,34.94%, 67.00%, 32.06%, 0.94%
18031,24.35%, 61.40%, 37.06%, 1.54%
18033,15.17%, 56.95%, 41.78%, 1.28%
18035,14.94%, 41.85%, 56.80%, 1.35%
18037,4.18%, 51.23%, 47.05%, 1.72%
18039,11.17%, 55.00%, 43.83%, 1.17%
18041,5.57%, 51.87%, 46.30%, 1.83%
18043,10.07%, 54.43%, 44.35%, 1.22%
18045,14.33%, 55.99%, 41.66%, 0.22%
18047,33.96%, 65.95%, 31.99%, 2.07%
18049,16.04%, 57.15%, 41.11%, 1.74%
18051,13.15%, 55.72%, 42.57%, 1.71%
18053,13.06%, 55.93%, 42.87%, 1.20%
18055,14.52%, 56.34%, 41.82%, 1.83%
18057,22.20%, 60.64%, 38.45%, 0.91%
18059,29.59%, 64.25%, 34.67%, 1.08%
18061,17.95%, 58.06%, 40.10%, 1.84%
18063,23.33%, 61.07%, 37.73%, 1.20%
18065,3.93%, 51.11%, 47.18%, 1.71%
18067,6.12%, 52.14%, 46.02%, 1.84%
18069,27.19%, 62.91%, 35.72%, 1.36%
18071,13.60%, 55.77%, 42.17%, 2.06%
18073,20.33%, 59.39%, 39.06%, 1.55%
18075,7.85%, 52.88%, 45.03%, 2.09%
18077,5.91%, 52.21%, 46.30%, 1.50%
18079,8.02%, 52.88%, 44.87%, 0.04%
18081,25.40%, 62.07%, 36.66%, 1.27%
18083,6.51%, 52.60%, 46.08%, 1.32%
18085,37.28%, 67.87%, 30.60%, 1.53%
18087,21.38%, 59.80%, 38.42%, 1.78%
18089,34.23%, 32.41%, 66.64%, 0.95%
18091,21.99%, 38.11%, 60.10%, 1.79%
18093,20.56%, 59.45%, 38.89%, 1.66%
18095,6.53%, 45.96%, 52.49%, 1.55%
18097,28.33%, 35.34%, 63.67%, 1.00%
18099,13.55%, 56.03%, 42.48%, 1.49%
18101,28.88%, 63.68%, 34.80%, 1.53%
18103,19.41%, 58.72%, 39.30%, 1.98%
18105,32.08%, 33.32%, 65.39%, 1.29%
18107,19.93%, 59.27%, 39.34%, 1.39%
18109,27.07%, 62.92%, 35.85%, 1.22%
18111,11.17%, 54.53%, 43.36%, 2.11%
18113,15.34%, 56.88%, 41.54%, 1.59%
18115,19.02%, 58.70%, 39.68%, 1.61%
18117,14.13%, 55.94%, 41.81%, 2.24%
18119,10.34%, 54.04%, 43.70%, 2.26%
18121,14.09%, 55.92%, 41.83%, 2.25%
18123,22.84%, 37.71%, 60.55%, 1.73%
18125,8.64%, 53.43%, 44.79%, 1.78%
18127,7.17%, 45.60%, 52.77%, 1.63%
18129,7.64%, 53.28%, 45.63%, 1.09%
18131,15.46%, 56.81%, 41.35%, 1.84%
18133,11.94%, 55.10%, 43.16%, 1.74%
18135,8.77%, 53.48%, 44.71%, 1.80%
18137,29.48%, 63.71%, 34.22%, 2.07%
18139,13.66%, 55.98%, 42.33%, 1.69%
18141,17.01%, 40.85%, 57.87%, 1.28%
18143,1.95%, 49.75%, 47.80%, 2.45%
18145,19.01%, 58.70%, 39.69%, 1.60%
18147,0.37%, 49.05%, 49.42%, 1.53%
18149,3.22%, 47.19%, 50.41%, 0.35%
18151,9.80%, 54.09%, 44.29%, 1.62%
18153,0.67%, 49.45%, 48.78%, 1.76%
18155,8.30%, 53.30%, 45.00%, 1.70%
18157,11.60%, 43.45%, 55.05%, 1.51%
18159,15.34%, 56.80%, 41.46%, 1.74%
18161,24.95%, 61.43%, 36.48%, 2.09%
18163,2.45%, 48.15%, 50.60%, 1.26%
18165,13.92%, 42.19%, 56.10%, 1.71%
18167,15.77%, 41.29%, 57.06%, 1.65%
18169,20.03%, 59.30%, 39.27%, 1.43%
18171,10.28%, 54.18%, 43.90%, 1.93%
18173,12.83%, 55.75%, 42.93%, 1.32%
18175,17.24%, 57.43%, 40.19%, 2.39%
18177,3.84%, 50.83%, 46.99%, 2.18%
18179,31.33%, 64.98%, 33.64%, 1.38%
18181,8.26%, 53.04%, 44.78%, 2.17%
18183,21.45%, 59.99%, 38.55%, 1.46%
19001,3.36%, 50.83%, 47.47%, 1.70%
19003,3.26%, 47.42%, 50.68%, 1.90%
19005,14.25%, 41.99%, 56.23%, 1.78%
19007,1.88%, 49.94%, 48.07%, 1.99%
19009,3.06%, 47.56%, 50.61%, 1.83%
19011,4.45%, 47.00%, 51.45%, 1.55%
19013,22.41%, 38.07%, 60.48%, 1.45%
19015,7.63%, 45.17%, 52.80%, 2.02%
19017,9.31%, 44.60%, 53.92%, 1.48%
19019,18.48%, 40.02%, 58.50%, 1.48%
19021,1.76%, 50.15%, 48.40%, 1.45%
19023,4.69%, 51.63%, 46.94%, 1.42%
19025,7.70%, 52.76%, 45.06%, 2.18%
19027,3.66%, 47.35%, 51.01%, 1.65%
19029,10.81%, 54.49%, 43.68%, 1.84%
19031,9.64%, 44.38%, 54.02%, 1.60%
19033,20.83%, 38.83%, 59.67%, 1.50%
19035,7.57%, 52.95%, 45.38%, 1.66%
19037,20.74%, 38.82%, 59.57%, 1.61%
19039,2.25%, 47.65%, 49.90%, 2.45%
19041,5.12%, 51.83%, 46.72%, 1.45%
19043,17.17%, 40.61%, 57.79%, 1.60%
19045,23.03%, 37.72%, 60.75%, 1.54%
19047,5.15%, 46.52%, 51.66%, 1.82%
19049,5.53%, 51.94%, 46.41%, 1.65%
19051,9.14%, 53.14%, 44.00%, 2.85%
19053,0.83%, 49.20%, 48.37%, 2.44%
19055,6.02%, 46.20%, 52.22%, 1.58%
19057,23.04%, 37.53%, 60.57%, 1.90%
19059,5.42%, 52.10%, 46.68%, 1.21%
19061,20.77%, 38.89%, 59.65%, 1.46%
19063,3.93%, 47.32%, 51.25%, 1.44%
19065,16.60%, 40.98%, 57.57%, 1.45%
19067,21.88%, 37.70%, 59.58%, 2.72%
19069,1.44%, 48.57%, 50.01%, 1.42%
19071,3.62%, 51.05%, 47.43%, 1.51%
19073,0.46%, 48.90%, 49.35%, 1.75%
19075,16.91%, 57.77%, 40.86%, 1.38%
19077,7.68%, 52.56%, 44.88%, 2.56%
19079,1.30%, 48.42%, 49.72%, 1.86%
19081,3.56%, 50.86%, 47.30%, 1.84%
19083,0.88%, 48.70%, 49.58%, 1.73%
19085,4.67%, 51.55%, 46.88%, 1.57%
19087,5.04%, 51.41%, 46.36%, 2.23%
19089,25.78%, 36.41%, 62.19%, 1.40%
19091,14.35%, 56.51%, 42.16%, 1.33%
19093,16.41%, 57.40%, 40.99%, 1.61%
19095,0.16%, 48.99%, 49.16%, 1.85%
19097,24.39%, 36.89%, 61.28%, 1.83%
19099,7.50%, 45.28%, 52.78%, 1.95%
19101,20.23%, 38.51%, 58.73%, 2.76%
19103,41.51%, 28.40%, 69.91%, 1.69%
19105,10.40%, 44.01%, 54.42%, 1.57%
19107,3.62%, 50.58%, 46.96%, 2.46%
19109,3.25%, 47.57%, 50.82%, 1.60%
19111,16.01%, 40.99%, 57.00%, 2.01%
19113,21.53%, 38.48%, 60.01%, 1.50%
19115,4.25%, 47.02%, 51.27%, 1.71%
19117,6.72%, 52.06%, 45.33%, 2.61%
19119,44.95%, 71.88%, 26.93%, 1.19%
19121,9.98%, 53.99%, 44.02%, 1.99%
19123,16.53%, 57.35%, 40.83%, 1.82%
19125,10.77%, 54.34%, 43.57%, 2.08%
19127,9.35%, 44.36%, 53.71%, 1.94%
19129,16.57%, 57.44%, 40.86%, 1.70%
19131,12.31%, 42.82%, 55.13%, 2.05%
19133,2.42%, 50.26%, 47.84%, 1.90%
19135,5.21%, 51.63%, 46.41%, 1.96%
19137,10.61%, 54.58%, 43.98%, 1.44%
19139,15.64%, 41.47%, 57.11%, 1.42%
19141,34.86%, 66.74%, 31.88%, 1.38%
19143,31.64%, 64.78%, 33.14%, 2.08%
19145,19.72%, 59.12%, 39.41%, 1.47%
19147,2.79%, 47.71%, 50.50%, 1.79%
19149,25.06%, 62.05%, 36.99%, 0.97%
19151,8.42%, 53.29%, 44.87%, 1.84%
19153,14.61%, 41.82%, 56.43%, 1.75%
19155,1.89%, 50.18%, 48.28%, 1.54%
19157,11.75%, 43.26%, 55.01%, 1.73%
19159,6.14%, 52.10%, 45.97%, 1.93%
19161,8.89%, 53.53%, 44.65%, 1.82%
19163,14.54%, 42.10%, 56.64%, 1.26%
19165,9.68%, 54.04%, 44.35%, 1.61%
19167,62.77%, 80.95%, 18.18%, 0.87%
19169,16.21%, 40.78%, 56.99%, 2.23%
19171,12.19%, 43.15%, 55.34%, 1.50%
19173,8.59%, 53.11%, 44.51%, 2.38%
19175,3.70%, 47.02%, 50.73%, 2.25%
19177,12.18%, 54.98%, 42.80%, 2.21%
19179,13.53%, 41.80%, 55.33%, 2.87%
19181,0.62%, 48.79%, 49.42%, 1.79%
19183,0.72%, 49.36%, 48.64%, 1.99%
19185,6.98%, 52.50%, 45.52%, 1.98%
19187,8.51%, 44.93%, 53.44%, 1.63%
19189,8.61%, 44.86%, 53.48%, 1.66%
19191,22.65%, 37.87%, 60.52%, 1.61%
19193,0.53%, 49.58%, 49.05%, 1.37%
19195,22.42%, 37.85%, 60.27%, 1.88%
19197,1.50%, 50.01%, 48.51%, 1.49%
20001,23.28%, 60.67%, 37.39%, 1.95%
20003,32.74%, 65.14%, 32.40%, 2.45%
20005,7.65%, 52.72%, 45.07%, 2.21%
20007,50.16%, 74.45%, 24.29%, 1.26%
20009,43.19%, 70.56%, 27.38%, 2.06%
20011,27.22%, 62.53%, 35.30%, 2.17%
20013,38.12%, 68.21%, 30.10%, 1.69%
20015,32.27%, 65.13%, 32.86%, 2.01%
20017,42.85%, 70.52%, 27.67%, 1.81%
20019,54.91%, 76.57%, 21.65%, 1.78%
20021,23.71%, 60.90%, 37.19%, 1.91%
20023,55.07%, 76.64%, 21.56%, 1.80%
20025,56.26%, 77.39%, 21.14%, 1.47%
20027,49.06%, 73.95%, 24.89%, 1.16%
20029,42.42%, 70.12%, 27.70%, 2.18%
20031,45.68%, 72.16%, 26.49%, 1.35%
20033,58.62%, 78.54%, 19.92%, 1.54%
20035,25.24%, 61.59%, 36.35%, 2.05%
20037,1.38%, 48.12%, 49.50%, 2.38%
20039,54.65%, 76.81%, 22.16%, 1.03%
20041,42.22%, 70.16%, 27.95%, 1.89%
20043,35.27%, 66.55%, 31.29%, 2.16%
20045,30.70%, 33.42%, 64.13%, 2.45%
20047,48.78%, 73.32%, 24.54%, 2.14%
20049,47.35%, 72.66%, 25.31%, 2.02%
20051,33.72%, 65.94%, 32.22%, 1.85%
20053,39.82%, 68.79%, 28.97%, 2.25%
20055,35.26%, 66.89%, 31.63%, 1.48%
20057,30.90%, 64.64%, 33.74%, 1.61%
20059,22.44%, 60.04%, 37.60%, 2.37%
20061,12.37%, 55.50%, 43.13%, 1.37%
20063,61.71%, 80.11%, 18.41%, 1.48%
20065,51.65%, 74.49%, 22.84%, 2.67%
20067,51.11%, 74.97%, 23.86%, 1.16%
20069,56.96%, 77.54%, 20.58%, 1.89%
20071,59.06%, 79.33%, 20.27%, 0.40%
20073,43.75%, 71.04%, 27.29%, 1.67%
20075,55.75%, 77.01%, 21.26%, 1.73%
20077,45.17%, 71.49%, 26.32%, 2.18%
20079,17.13%, 57.40%, 40.27%, 2.34%
20081,63.63%, 81.34%, 17.71%, 0.96%
20083,59.67%, 78.92%, 19.25%, 1.82%
20085,24.04%, 60.95%, 36.91%, 2.14%
20087,18.75%, 58.32%, 39.58%, 2.10%
20089,57.95%, 77.71%, 19.76%, 2.53%
20091,8.98%, 53.70%, 44.72%, 1.58%
20093,57.35%, 78.21%, 20.85%, 0.94%
20095,44.76%, 71.04%, 26.28%, 2.67%
20097,62.73%, 80.35%, 17.62%, 2.03%
20099,12.87%, 55.38%, 42.51%, 2.11%
20101,60.47%, 79.26%, 18.79%, 1.95%
20103,11.56%, 54.89%, 43.33%, 1.78%
20105,54.04%, 75.91%, 21.88%, 2.21%
20107,35.98%, 66.84%, 30.86%, 2.30%
20109,66.81%, 82.43%, 15.63%, 1.94%
20111,5.99%, 51.88%, 45.88%, 2.24%
20113,35.25%, 66.76%, 31.51%, 1.73%
20115,38.92%, 68.64%, 29.72%, 1.63%
20117,27.26%, 62.69%, 35.42%, 1.89%
20119,61.26%, 79.75%, 18.49%, 1.76%
20121,23.67%, 61.01%, 37.34%, 1.65%
20123,54.29%, 76.18%, 21.89%, 1.94%
20125,35.74%, 66.94%, 31.19%, 1.87%
20127,34.07%, 66.00%, 31.93%, 2.08%
20129,65.91%, 82.24%, 16.33%, 1.43%
20131,44.50%, 71.23%, 26.72%, 2.05%
20133,26.56%, 62.19%, 35.64%, 2.17%
20135,60.20%, 79.15%, 18.95%, 1.90%
20137,57.18%, 77.76%, 20.58%, 1.66%
20139,30.30%, 63.89%, 33.59%, 2.52%
20141,56.32%, 77.20%, 20.88%, 1.92%
20143,52.46%, 75.28%, 22.81%, 1.91%
20145,36.96%, 67.59%, 30.64%, 1.77%
20147,59.24%, 78.93%, 19.69%, 1.39%
20149,43.84%, 70.15%, 26.31%, 3.53%
20151,36.47%, 67.35%, 30.88%, 1.77%
20153,62.88%, 80.50%, 17.62%, 1.87%
20155,23.29%, 60.57%, 37.28%, 2.16%
20157,50.09%, 74.05%, 23.96%, 1.98%
20159,40.21%, 69.14%, 28.92%, 1.94%
20161,7.00%, 52.43%, 45.43%, 2.14%
20163,61.82%, 79.91%, 18.08%, 2.01%
20165,40.48%, 68.78%, 28.30%, 2.92%
20167,53.84%, 76.19%, 22.35%, 1.46%
20169,26.24%, 62.16%, 35.92%, 1.92%
20171,68.93%, 83.66%, 14.73%, 1.61%
20173,12.65%, 55.15%, 42.50%, 2.35%
20175,43.07%, 71.05%, 27.98%, 0.97%
20177,0.29%, 49.05%, 48.77%, 2.18%
20179,62.06%, 80.52%, 18.46%, 1.02%
20181,47.00%, 72.45%, 25.44%, 2.11%
20183,57.60%, 77.78%, 20.18%, 2.04%
20185,45.95%, 72.08%, 26.13%, 1.78%
20187,53.20%, 75.94%, 22.73%, 1.33%
20189,72.03%, 85.33%, 13.31%, 1.36%
20191,32.74%, 65.17%, 32.44%, 2.39%
20193,55.81%, 77.24%, 21.43%, 1.33%
20195,48.17%, 73.31%, 25.13%, 1.56%
20197,38.60%, 68.02%, 29.42%, 2.56%
20199,73.88%, 85.82%, 11.94%, 2.24%
20201,53.32%, 75.44%, 22.11%, 2.45%
20203,66.44%, 82.43%, 16.00%, 1.57%
20205,40.77%, 69.16%, 28.39%, 2.45%
20207,33.96%, 65.98%, 32.02%, 2.00%
20209,40.69%, 28.75%, 69.44%, 1.81%
21001,52.67%, 75.53%, 22.86%, 1.62%
21003,43.76%, 71.15%, 27.39%, 1.46%
21005,32.44%, 65.25%, 32.81%, 1.94%
21007,27.34%, 62.49%, 35.15%, 2.36%
21009,33.91%, 66.24%, 32.33%, 1.43%
21011,0.53%, 49.17%, 48.65%, 2.18%
21013,40.62%, 69.61%, 28.99%, 1.41%
21015,34.51%, 66.59%, 32.09%, 1.32%
21017,17.23%, 57.86%, 40.64%, 1.50%
21019,12.31%, 55.30%, 42.99%, 1.71%
21021,23.21%, 60.95%, 37.74%, 1.31%
21023,24.27%, 60.78%, 36.51%, 2.71%
21025,9.26%, 53.10%, 43.84%, 3.06%
21027,25.48%, 61.97%, 36.49%, 1.54%
21029,32.30%, 65.42%, 33.12%, 1.45%
21031,40.34%, 69.64%, 29.30%, 1.06%
21033,26.68%, 62.36%, 35.68%, 1.95%
21035,18.35%, 58.37%, 40.02%, 1.61%
21037,20.90%, 59.67%, 38.77%, 1.56%
21039,31.33%, 64.92%, 33.59%, 1.49%
21041,8.24%, 52.99%, 44.75%, 2.27%
21043,9.54%, 53.52%, 43.98%, 2.50%
21045,58.08%, 78.55%, 20.46%, 0.99%
21047,21.16%, 60.14%, 38.98%, 0.87%
21049,25.05%, 61.84%, 36.79%, 1.38%
21051,56.46%, 77.54%, 21.08%, 1.39%
21053,62.44%, 80.68%, 18.24%, 1.08%
21055,34.35%, 66.26%, 31.91%, 1.83%
21057,48.59%, 73.51%, 24.92%, 1.57%
21059,10.11%, 54.31%, 44.20%, 1.49%
21061,36.24%, 67.59%, 31.35%, 1.06%
21063,25.17%, 35.86%, 61.03%, 0.99%
21065,40.08%, 69.35%, 29.26%, 1.39%
21067,4.82%, 46.91%, 51.74%, 1.35%
21069,19.77%, 58.85%, 39.08%, 2.07%
21071,1.35%, 49.43%, 48.09%, 2.48%
21073,0.60%, 49.47%, 48.87%, 1.67%
21075,10.34%, 54.16%, 43.82%, 2.02%
21077,17.60%, 57.63%, 40.03%, 2.35%
21079,43.08%, 70.98%, 27.91%, 1.11%
21081,27.39%, 62.94%, 35.55%, 1.51%
21083,26.08%, 62.25%, 36.17%, 1.58%
21085,34.85%, 66.70%, 31.85%, 1.45%
21087,50.82%, 74.52%, 23.71%, 1.77%
21089,14.10%, 56.01%, 41.91%, 2.08%
21091,5.00%, 46.53%, 51.52%, 1.95%
21093,20.62%, 59.75%, 39.13%, 1.11%
21095,46.19%, 72.27%, 26.08%, 1.64%
21097,21.13%, 59.55%, 38.42%, 2.03%
21099,30.90%, 64.49%, 33.59%, 1.92%
21101,2.65%, 47.95%, 50.60%, 1.46%
21103,19.60%, 58.98%, 39.38%, 1.63%
21105,26.40%, 62.49%, 36.09%, 1.42%
21107,24.87%, 61.59%, 36.72%, 1.70%
21109,70.14%, 84.36%, 14.22%, 1.42%
21111,11.97%, 43.38%, 55.34%, 1.28%
21113,36.98%, 67.83%, 30.85%, 1.32%
21115,41.58%, 69.84%, 28.26%, 1.90%
21117,20.87%, 59.69%, 38.82%, 1.49%
21119,7.87%, 52.75%, 44.88%, 2.37%
21121,44.57%, 71.56%, 26.99%, 1.45%
21123,36.26%, 67.22%, 30.96%, 1.81%
21125,57.96%, 78.49%, 20.52%, 0.99%
21127,25.97%, 62.01%, 36.04%, 1.95%
21129,44.21%, 71.33%, 27.12%, 1.55%
21131,63.86%, 81.28%, 17.42%, 1.30%
21133,33.32%, 65.17%, 31.85%, 2.98%
21135,35.55%, 67.06%, 31.52%, 1.42%
21137,38.48%, 68.55%, 30.07%, 1.38%
21139,27.61%, 62.92%, 35.31%, 1.76%
21141,28.60%, 63.59%, 35.00%, 1.41%
21143,16.68%, 57.59%, 40.91%, 1.50%
21145,25.23%, 61.92%, 36.69%, 1.39%
21147,52.15%, 75.42%, 23.27%, 1.31%
21149,9.57%, 53.96%, 44.39%, 1.65%
21151,22.44%, 60.53%, 38.09%, 1.39%
21153,7.07%, 52.33%, 45.26%, 2.41%
21155,3.23%, 50.45%, 47.22%, 2.32%
21157,24.72%, 61.42%, 36.70%, 1.89%
21159,54.60%, 76.49%, 21.89%, 1.63%
21161,17.01%, 57.60%, 40.60%, 1.80%
21163,20.95%, 59.71%, 38.76%, 1.53%
21165,4.86%, 46.40%, 51.27%, 2.33%
21167,36.00%, 67.41%, 31.40%, 1.19%
21169,32.96%, 65.11%, 32.15%, 2.74%
21171,52.95%, 75.82%, 22.87%, 1.31%
21173,16.58%, 57.56%, 40.98%, 1.45%
21175,11.81%, 54.72%, 42.91%, 2.37%
21177,1.75%, 50.02%, 48.27%, 1.71%
21179,13.69%, 55.87%, 42.18%, 1.95%
21181,12.19%, 55.02%, 42.83%, 2.15%
21183,16.38%, 57.22%, 40.84%, 1.93%
21185,30.69%, 64.80%, 34.11%, 1.09%
21187,26.84%, 62.49%, 35.66%, 1.85%
