id,margin,wh
1001,45.949999999999996,75.6
1003,55.67,83.0
1005,-3.1400000000000006,46.6
1007,46.68,74.5
1009,73.92999999999999,87.8
1011,-52.8,22.1
1013,7.509999999999998,53.1
1015,31.849999999999994,72.9
1017,5.160000000000004,56.8
1019,54.88000000000001,91.6
1021,60.25000000000001,80.3
1023,4.590000000000003,56.1
1025,8.199999999999996,53.1
1027,45.510000000000005,79.7
1029,68.06,92.3
1031,49.13999999999999,71.3
1033,20.339999999999996,78.8
1035,-1.6499999999999986,51.1
1037,16.240000000000002,64.8
1039,58.269999999999996,83.1
1041,35.510000000000005,70.6
1043,69.3,92.1
1045,42.05,70.2
1047,-39.71000000000001,28.5
1049,54.67,80.6
1051,48.67,73.7
1053,25.5,60.6
1055,38.300000000000004,78.4
1057,53.239999999999995,85.0
1059,40.400000000000006,78.0
1061,62.980000000000004,84.1
1063,-69.57000000000001,17.9
1065,-25.46,40.0
1067,29.03,68.4
1069,40.26,67.3
1071,41.760000000000005,89.4
1073,-5.969999999999999,50.8
1075,53.11,85.8
1077,30.789999999999992,84.7
1079,26.89,76.4
1081,19.85,67.7
1083,43.510000000000005,77.2
1085,-53.05,25.3
1087,-74.2,16.2
1089,18.57,65.5
1091,-7.200000000000003,45.6
1093,61.410000000000004,91.7
1095,59.94,82.3
1097,9.21,57.8
1099,7.719999999999999,54.7
1101,-24.25,36.3
1103,44.39,76.6
1105,-50.190000000000005,30.3
1107,6.960000000000001,54.7
1109,13.650000000000006,57.1
1111,39.779999999999994,75.0
1113,-11.75,49.5
1115,65.93,85.9
1117,55.41,78.5
1119,-54.55,24.8
1121,15.990000000000002,63.4
1123,32.24,68.9
1125,17.4,63.2
1127,52.8,89.4
1129,31.690000000000005,65.1
1131,-48.650000000000006,27.6
1133,72.22,94.0
2000,,61.9
2013,0.0,11.5
2016,0.0,26.9
2020,0.0,59.7
2050,0.0,11.5
2060,0.0,44.1
2068,0.0,82.7
2070,0.0,17.6
2090,0.0,71.3
2100,0.0,77.5
2105,0.0,47.2
2110,0.0,65.5
2122,0.0,81.4
2130,0.0,65.2
2150,0.0,50.8
2164,0.0,23.6
2170,0.0,80.3
2180,0.0,16.5
2185,0.0,32.1
2188,0.0,12.1
2195,0.0,73.6
2198,0.0,45.5
2220,0.0,63.6
2230,0.0,86.2
2240,0.0,76.2
2261,0.0,70.7
2270,0.0,4.9
2275,0.0,69.2
2282,0.0,37.2
2290,0.0,22.0
4000,,56.2
4001,-34.33,19.0
4003,22.260000000000005,56.1
4005,-15.459999999999994,54.9
4007,26.67,63.2
4009,37.53,51.4
4011,9.450000000000003,47.8
4012,31.980000000000004,59.3
4013,10.689999999999998,57.0
4015,42.14,78.0
4017,7.840000000000003,42.2
4019,-6.910000000000004,53.3
4021,16.349999999999994,57.9
4023,-37.75,15.6
4025,30.35000000000001,80.9
4027,12.579999999999998,32.9
5000,,73.4
5001,22.21,70.2
5003,25.349999999999994,67.7
5005,44.040000000000006,95.2
5007,40.39,74.9
5009,47.989999999999995,94.3
5011,18.75,56.3
5013,36.709999999999994,72.3
5015,23.85,81.1
5017,-22.450000000000003,39.2
5019,6.329999999999998,69.6
5021,29.1,95.7
5023,52.14,94.8
5025,44.94999999999999,84.7
5027,23.620000000000005,59.4
5029,19.53,81.5
5031,30.990000000000002,78.0
5033,49.849999999999994,85.6
5035,-14.89,44.1
5037,29.79,73.3
5039,10.64,54.1
5041,-12.370000000000005,46.6
5043,18.950000000000003,67.0
5045,31.6,81.1
5047,44.42,92.5
5049,33.099999999999994,95.8
5051,29.979999999999997,82.9
5053,51.870000000000005,92.7
5055,36.85,94.5
5057,26.240000000000002,55.3
5059,29.020000000000003,82.7
5061,31.840000000000003,65.7
5063,43.93000000000001,89.3
5065,38.86,93.8
5067,18.270000000000003,77.1
5069,-29.029999999999994,40.3
5071,27.97,81.1
5073,18.43,59.7
5075,31.559999999999995,96.0
5077,-24.159999999999997,41.0
5079,20.78,64.8
5081,36.28999999999999,73.3
5083,41.88,91.4
5085,50.82000000000001,86.8
5087,32.949999999999996,90.4
5089,38.81999999999999,94.6
5091,39.82000000000001,69.3
5093,1.019999999999996,59.4
5095,0.060000000000002274,55.1
5097,42.56,92.3
5099,20.15,64.1
5101,41.39,94.0
5103,8.600000000000001,55.4
5105,35.400000000000006,92.4
5107,-32.839999999999996,35.6
5109,52.69,87.6
5111,34.18000000000001,87.5
5113,56.94,88.6
5115,47.150000000000006,84.8
5117,40.53,85.7
5119,-11.46,54.0
5121,27.79,95.2
5123,-18.439999999999998,41.1
5125,42.7,86.6
5127,47.64,84.3
5129,51.02,93.7
5131,37.08,71.1
5133,48.36,58.6
5135,38.849999999999994,94.0
5137,45.2,95.0
5139,26.22,61.5
5141,39.39,93.5
5143,16.259999999999998,72.2
5145,53.730000000000004,88.4
5147,-4.209999999999994,69.5
5149,38.839999999999996,76.1
6000,,38.5
6001,-60.56999999999999,32.8
6003,-23.389999999999993,64.7
6005,19.509999999999998,79.6
6007,1.9899999999999949,73.5
6009,16.900000000000006,82.1
6011,21.29,36.7
6013,-35.14,45.6
6015,9.380000000000003,63.3
6017,17.760000000000005,78.7
6019,-1.7800000000000011,30.9
6021,25.240000000000002,53.0
6023,-27.099999999999994,75.5
6025,-32.050000000000004,12.3
6027,11.43,64.3
6029,16.71,36.2
6031,14.93,33.7
6033,-16.940000000000005,72.1
6035,39.56,66.0
6037,-41.86,26.8
6039,17.119999999999997,35.8
6041,-51.22,72.2
6043,18.169999999999995,81.4
6045,-38.52000000000001,66.2
6047,-8.71,29.5
6049,41.459999999999994,77.6
6051,-8.649999999999999,65.8
6053,-36.86,31.2
6055,-28.689999999999998,53.7
6057,0.6200000000000045,85.6
6059,6.219999999999999,42.0
6061,19.28,74.2
6063,16.82,84.0
6065,-1.6499999999999986,37.4
6067,-18.93,46.6
6069,-20.620000000000005,36.0
6071,-7.330000000000005,30.6
6073,-7.559999999999995,46.7
6075,-70.39,41.2
6077,-13.660000000000004,34.0
6079,-1.0200000000000031,69.5
6081,-46.669999999999995,40.4
6083,-18.019999999999996,45.9
6085,-42.83,33.3
6087,-55.45,58.2
6089,29.08,80.9
6091,22.400000000000006,86.2
6093,15.159999999999997,77.5
6095,-29.240000000000002,39.6
6097,-45.72999999999999,64.6
6099,-2.740000000000002,44.3
6101,19.08,47.8
6103,27.42,69.4
6105,0.7399999999999949,82.6
6107,15.020000000000003,30.3
6109,15.68,81.1
6111,-7.009999999999998,46.6
6113,-33.949999999999996,48.3
6115,18.04,56.6
8000,,69.0
8001,-16.78,51.9
8003,-16.47,49.5
8005,-9.909999999999997,62.1
8007,17.72,76.9
8009,51.86,85.5
8011,13.39,58.0
8013,-41.849999999999994,78.3
8014,-5.949999999999996,78.0
8015,-0.14999999999999858,85.4
8017,65.60000000000001,84.3
8019,-12.0,90.7
8021,-9.21,43.5
8023,-48.67,32.0
8025,25.900000000000006,56.4
8027,33.89,91.2
8029,39.52000000000001,82.2
8031,-49.23,53.4
8033,42.17,88.6
8035,25.759999999999998,83.9
8037,-14.909999999999997,67.1
8039,47.0,89.7
8041,20.369999999999997,70.3
8043,31.689999999999998,79.4
8045,5.039999999999999,68.8
8047,-16.36,87.4
8049,6.950000000000003,88.8
8051,-19.650000000000006,87.5
8053,20.659999999999997,92.6
8055,-8.25,61.7
8057,45.28,86.3
8059,-4.850000000000001,78.8
8061,68.08999999999999,91.4
8063,52.59,76.1
8065,-24.370000000000005,59.2
8067,-9.200000000000003,79.2
8069,-5.75,83.5
8071,-2.6500000000000057,52.7
8073,49.620000000000005,78.4
8075,38.0,76.9
8077,32.39,82.0
8079,8.149999999999999,92.8
8081,54.56,82.2
8083,23.21,73.2
8085,36.83,76.5
8087,24.96,60.1
8089,8.969999999999999,55.4
8091,-5.159999999999997,91.9
8093,14.670000000000002,89.5
8095,46.309999999999995,76.6
8097,-37.97,86.5
8099,35.18000000000001,61.0
8101,-13.939999999999998,52.9
8103,63.989999999999995,84.1
8105,7.950000000000003,53.0
8107,-15.600000000000001,90.1
8109,-30.729999999999997,57.4
8111,-10.670000000000002,82.1
8113,-43.19,87.1
8115,34.52,82.1
8117,-24.659999999999997,82.3
8119,32.43000000000001,89.6
8121,62.06,88.0
8123,12.660000000000004,66.7
8125,54.69,76.6
9000,,68.8
9001,-10.630000000000003,63.8
9003,-25.849999999999994,63.4
9005,3.6199999999999974,89.9
9007,-15.880000000000003,84.6
9009,-22.33,65.0
9011,-18.259999999999998,76.3
9013,-12.560000000000002,86.2
9015,-13.29,83.8
10000,,63.7
10001,-4.939999999999998,63.3
10003,-34.07,59.5
10005,13.019999999999996,75.0
11000,,35.8
11001,-83.63,35.8
12000,,55.8
12001,-17.310000000000002,62.6
12003,58.51,81.9
12005,43.480000000000004,77.7
12007,41.94999999999999,74.9
12009,12.68,75.8
12011,-34.89000000000001,39.8
12013,43.7,76.8
12015,14.240000000000002,84.7
12017,21.85,88.7
12019,45.72,74.8
12021,30.020000000000003,64.3
12023,36.61,73.1
12027,14.29,55.2
12029,46.75999999999999,85.1
12031,3.6000000000000014,55.0
12033,20.489999999999995,65.5
12035,7.419999999999995,75.3
12037,31.400000000000006,78.0
12039,-40.580000000000005,33.2
12041,50.8,87.1
12043,18.509999999999998,60.4
12045,41.83999999999999,73.4
12047,16.79,55.0
12049,30.83,47.5
12051,5.910000000000004,33.9
12053,8.469999999999999,80.2
12055,22.96,68.7
12057,-6.670000000000002,51.6
12059,68.21,87.0
12061,22.290000000000006,76.3
12063,28.979999999999997,65.7
12065,-1.75,58.8
12067,58.16,71.0
12069,17.1,72.4
