1,Autauga,28.7,4942,69.7,11993,0.9,160,0.7,113
1,Baldwin,24.8,13997,72.4,40872,1.8,1033,1.0,578
1,Barbour,49.9,5188,49.0,5096,0.4,46,0.6,65
1,Bibb,38.2,2710,60.2,4273,0.7,52,0.9,66
1,Blount,27.7,4977,70.5,12667,0.9,154,1.0,175
1,Bullock,69.2,3395,29.2,1433,0.5,24,1.1,52
1,Butler,46.2,3606,52.9,4127,0.5,36,0.4,34
1,Calhoun,40.6,15781,57.3,22306,1.2,481,0.9,341
1,Chambers,47.5,5616,51.0,6037,0.8,95,0.7,86
1,Cherokee,44.7,3497,53.1,4154,1.0,77,1.2,95
1,Chilton,31.8,4806,66.7,10066,0.6,92,0.8,128
1,Choctaw,50.3,3707,48.8,3600,0.4,33,0.5,34
1,Clarke,43.5,4679,55.7,5988,0.3,33,0.5,52
1,Clay,34.8,2045,63.2,3719,0.9,52,1.1,67
1,Cleburne,32.7,1664,65.5,3333,0.8,39,1.1,56
1,Coffee,33.8,5220,64.4,9938,1.0,155,0.8,121
1,Colbert,49.0,10543,48.8,10518,1.0,208,1.2,263
1,Conecuh,50.1,2783,48.6,2699,0.6,35,0.6,34
1,Coosa,46.1,2104,52.2,2382,0.7,34,1.0,47
1,Covington,32.6,4440,65.8,8961,0.9,123,0.7,89
1,Crenshaw,40.3,1934,58.2,2793,0.8,40,0.6,28
1,Cullman,33.0,9758,64.9,19157,1.0,282,1.1,328
1,Dale,31.0,4906,67.0,10593,1.2,188,0.8,119
1,Dallas,59.4,10967,39.9,7360,0.3,63,0.4,74
1,DeKalb,34.8,7056,63.2,12827,0.9,175,1.1,227
1,Elmore,27.9,6652,70.5,16777,0.9,212,0.7,163
1,Escambia,38.8,4523,59.8,6975,0.7,78,0.7,84
1,Etowah,44.3,17433,53.6,21087,1.1,435,1.0,393
1,Fayette,39.2,3064,58.7,4582,0.8,60,1.3,102
1,Franklin,43.2,4793,55.1,6119,0.6,72,1.1,119
1,Geneva,29.0,2769,68.9,6588,1.0,97,1.1,105
1,Greene,79.7,3504,19.3,850,0.5,24,0.4,18
1,Hale,60.2,4652,38.6,2984,0.6,43,0.7,52
1,Henry,40.1,2782,58.5,4054,0.7,48,0.7,48
1,Houston,29.4,9412,69.1,22150,0.8,257,0.7,238
1,Jackson,50.6,9066,47.3,8475,1.0,184,1.0,181
1,Jefferson,47.4,129889,50.6,138491,1.2,3393,0.7,1990
1,Lamar,36.6,2653,61.7,4470,0.8,57,1.0,69
1,Lauderdale,43.2,13875,54.4,17478,1.1,354,1.3,430
1,Lawrence,51.7,6296,46.5,5671,0.5,63,1.3,155
1,Lee,38.1,14574,58.6,22433,2.3,895,0.9,362
1,Limestone,38.0,8992,60.1,14204,0.8,193,1.0,245
1,Lowndes,73.0,4557,26.2,1638,0.3,18,0.5,30
1,Macon,86.8,7665,12.4,1091,0.4,31,0.5,44
1,Madison,42.5,48199,54.8,62151,1.7,1885,1.0,1083
1,Marengo,50.4,4841,48.8,4690,0.4,40,0.4,37
1,Marion,39.1,4600,58.8,6910,1.1,125,1.0,121
1,Marshall,37.1,10381,61.0,17084,0.9,256,1.0,268
1,Mobile,42.0,58640,55.9,78162,1.1,1585,1.0,1358
1,Monroe,41.8,3741,57.6,5153,0.3,25,0.4,32
1,Montgomery,50.3,40371,48.3,38827,0.8,677,0.6,453
1,Morgan,37.6,16060,60.4,25774,1.1,450,0.9,397
1,Perry,69.5,4020,29.9,1732,0.3,18,0.3,17
1,Pickens,48.5,4143,50.4,4306,0.5,39,0.6,52
1,Pike,41.3,4357,57.5,6058,0.7,75,0.5,54
1,Randolph,39.1,3094,58.9,4666,0.8,60,1.3,99
1,Russell,56.8,8396,41.9,6198,0.7,109,0.5,72
1,St. Clair,26.9,6485,71.1,17117,0.9,221,1.1,267
1,Shelby,21.2,13183,76.7,47651,1.3,812,0.8,482
1,Sumter,72.5,4415,26.8,1629,0.3,20,0.4,24
1,Talladega,44.3,11264,54.2,13807,0.7,184,0.8,196
1,Tallapoosa,38.0,6183,60.3,9805,0.9,153,0.7,112
1,Tuscaloosa,40.9,24614,56.6,34003,1.7,1007,0.8,490
1,Walker,45.3,11621,52.6,13486,1.0,264,1.1,270
1,Washington,44.6,3386,54.2,4117,0.3,26,0.9,67
1,Wilcox,67.2,3444,32.4,1661,0.1,6,0.3,15
1,Winston,28.9,2692,68.8,6413,0.9,88,1.3,125
2,District 1,19.3,1284,70.3,4681,7.1,475,3.2,216
2,District 2,28.2,2081,57.3,4235,11.5,846,3.1,226
2,District 3,44.9,3693,38.1,3135,14.1,1161,2.9,236
2,District 4,34.7,2715,52.8,4127,9.8,768,2.7,213
2,District 5,30.0,1931,55.1,3545,11.7,751,3.3,210
2,District 6,25.3,1542,63.3,3862,8.1,494,3.3,202
2,District 7,21.8,1893,56.1,4868,18.0,1563,4.1,353
2,District 8,18.8,1498,67.3,5371,10.1,809,3.8,300
2,District 9,17.7,1203,70.4,4789,7.0,478,4.9,330
2,District 10,24.7,2194,63.9,5673,9.0,803,2.4,214
2,District 11,29.3,2043,56.7,3960,10.6,743,3.4,234
2,District 12,27.0,2051,60.9,4626,9.1,691,3.1,233
2,District 13,33.4,2661,48.3,3853,15.4,1230,2.9,229
2,District 14,27.7,1626,63.9,3750,5.8,342,2.6,150
2,District 15,35.9,2106,41.8,2453,18.2,1068,4.1,243
2,District 16,42.0,1969,42.3,1980,11.3,530,4.4,206
2,District 17,28.9,2230,59.2,4564,8.3,641,3.5,269
2,District 18,27.7,2739,54.9,5421,15.0,1484,2.4,238
2,District 19,29.6,2350,58.1,4619,9.2,728,3.2,254
2,District 20,32.4,2259,52.4,3648,12.0,839,3.1,217
