statecounty,margin,bush,clinton,perot
15009,21.13%, 30.17%, 51.31%, 17.94%
16001,15.48%, 44.48%, 28.99%, 25.59%
16003,3.05%, 38.93%, 23.59%, 35.88%
16005,2.87%, 37.30%, 34.43%, 25.20%
16007,25.75%, 49.72%, 19.69%, 23.97%
16009,1.27%, 33.03%, 34.30%, 31.46%
16011,19.94%, 45.86%, 22.29%, 25.91%
16013,0.42%, 27.96%, 35.71%, 35.29%
16015,6.81%, 39.31%, 26.85%, 32.50%
16017,2.53%, 28.49%, 36.14%, 33.61%
16019,17.85%, 46.80%, 19.83%, 28.95%
16021,9.09%, 39.19%, 29.01%, 30.10%
16023,11.24%, 40.05%, 28.81%, 26.08%
16025,11.73%, 41.56%, 27.57%, 29.84%
16027,26.75%, 50.78%, 24.03%, 23.71%
16029,8.10%, 41.72%, 17.37%, 33.62%
16031,29.74%, 53.16%, 17.73%, 23.42%
16033,17.97%, 46.10%, 22.46%, 28.13%
16035,7.53%, 30.87%, 38.40%, 29.42%
16037,4.62%, 38.31%, 26.06%, 33.69%
16039,17.71%, 44.80%, 26.97%, 27.10%
16041,30.25%, 52.22%, 12.94%, 21.98%
16043,19.86%, 47.09%, 18.23%, 27.23%
16045,14.78%, 42.90%, 28.11%, 27.17%
16047,10.55%, 39.14%, 27.50%, 28.59%
16049,10.91%, 40.23%, 29.31%, 28.22%
16051,18.37%, 48.78%, 13.74%, 30.41%
16053,17.92%, 44.23%, 25.88%, 26.31%
16055,4.16%, 35.96%, 31.80%, 31.00%
16057,11.51%, 32.78%, 44.29%, 22.06%
16059,9.55%, 40.30%, 26.07%, 30.75%
16061,4.56%, 33.35%, 37.91%, 27.62%
16063,8.36%, 38.61%, 30.25%, 25.96%
16065,34.41%, 59.14%, 9.55%, 24.73%
16067,19.27%, 44.55%, 24.47%, 25.28%
16069,9.65%, 32.00%, 41.65%, 25.70%
16071,6.59%, 38.21%, 18.81%, 31.62%
16073,19.76%, 47.82%, 22.33%, 28.06%
16075,12.45%, 42.92%, 24.55%, 30.47%
16077,17.30%, 45.41%, 28.12%, 23.41%
16079,19.91%, 22.01%, 48.59%, 28.68%
16081,8.03%, 39.73%, 24.61%, 31.70%
16083,15.92%, 43.97%, 28.05%, 25.71%
16085,5.66%, 37.27%, 30.32%, 31.62%
16087,13.97%, 42.09%, 26.21%, 28.12%
17001,5.64%, 42.84%, 37.20%, 19.50%
17003,29.00%, 29.83%, 58.83%, 10.87%
17005,9.45%, 35.97%, 45.42%, 18.19%
17007,3.49%, 41.01%, 37.53%, 21.13%
17009,4.35%, 38.27%, 42.62%, 18.74%
17011,3.99%, 38.18%, 42.17%, 19.35%
17013,27.61%, 26.58%, 54.19%, 18.98%
17015,5.77%, 42.94%, 37.17%, 19.56%
17017,16.10%, 33.53%, 49.64%, 16.63%
17019,10.39%, 35.61%, 46.00%, 17.83%
17021,22.48%, 28.92%, 51.40%, 19.33%
17023,2.04%, 39.79%, 41.83%, 18.17%
17025,7.38%, 37.15%, 44.53%, 17.93%
17027,5.78%, 36.47%, 42.26%, 20.95%
17029,5.85%, 36.31%, 42.16%, 21.11%
17031,30.01%, 28.20%, 58.21%, 13.14%
17033,3.70%, 37.29%, 40.99%, 21.32%
17035,4.83%, 35.76%, 40.58%, 23.24%
17037,3.18%, 36.97%, 40.15%, 22.44%
17039,2.00%, 40.78%, 38.78%, 19.89%
17041,0.39%, 39.98%, 40.37%, 19.33%
17043,17.17%, 48.05%, 30.88%, 20.71%
17045,2.29%, 38.77%, 41.06%, 19.74%
17047,8.50%, 45.07%, 36.57%, 17.85%
17049,7.40%, 42.25%, 34.85%, 22.39%
17051,13.10%, 34.67%, 47.77%, 17.10%
17053,13.44%, 47.00%, 33.56%, 18.86%
17055,33.70%, 25.62%, 59.33%, 14.80%
17057,26.34%, 28.60%, 54.94%, 16.24%
17059,35.02%, 25.10%, 60.12%, 14.40%
17061,10.99%, 34.00%, 44.99%, 20.78%
17063,1.38%, 39.02%, 37.64%, 22.90%
17065,21.33%, 30.58%, 51.91%, 17.33%
17067,4.96%, 36.89%, 41.84%, 20.77%
17069,21.43%, 31.04%, 52.47%, 16.23%
17071,17.37%, 32.36%, 49.73%, 17.66%
17073,8.57%, 36.88%, 45.45%, 17.36%
17075,17.26%, 47.82%, 30.56%, 21.15%
17077,26.50%, 28.24%, 54.73%, 16.35%
17079,5.26%, 36.42%, 41.68%, 21.17%
17081,18.00%, 31.24%, 49.24%, 19.34%
17083,17.99%, 29.06%, 47.05%, 23.41%
17085,1.96%, 40.64%, 38.68%, 20.11%
17087,3.25%, 39.40%, 42.65%, 17.51%
17089,8.69%, 43.52%, 34.84%, 21.24%
17091,4.54%, 38.46%, 43.00%, 18.13%
17093,16.83%, 46.29%, 29.46%, 23.87%
17095,16.58%, 32.93%, 49.51%, 17.22%
17097,7.73%, 44.20%, 36.47%, 18.92%
17099,14.42%, 32.20%, 46.62%, 20.90%
17101,7.87%, 35.80%, 43.67%, 20.01%
17103,7.28%, 43.15%, 35.87%, 20.70%
17105,11.68%, 46.81%, 35.13%, 17.72%
17107,9.85%, 46.26%, 36.41%, 17.05%
17109,3.71%, 38.05%, 41.76%, 19.90%
17111,18.77%, 46.84%, 28.07%, 24.71%
17113,4.45%, 43.39%, 38.95%, 17.34%
17115,15.77%, 33.62%, 49.39%, 16.62%
17117,23.38%, 27.55%, 50.93%, 21.21%
17119,23.07%, 28.19%, 51.26%, 20.26%
17121,20.68%, 30.52%, 51.20%, 18.04%
17123,5.05%, 38.35%, 43.40%, 18.00%
17125,19.42%, 32.11%, 51.53%, 16.16%
17127,8.40%, 39.03%, 47.43%, 12.64%
17129,9.05%, 44.99%, 35.94%, 18.72%
17131,11.79%, 34.93%, 46.72%, 17.97%
17133,0.69%, 38.33%, 39.02%, 22.43%
17135,20.33%, 29.70%, 50.04%, 19.92%
17137,1.32%, 40.29%, 38.97%, 20.35%
17139,15.33%, 31.94%, 47.27%, 20.45%
17141,12.41%, 44.80%, 32.38%, 22.15%
17143,9.08%, 37.77%, 46.85%, 14.99%
17145,26.20%, 28.01%, 54.20%, 17.63%
17147,5.26%, 36.42%, 41.67%, 21.57%
17149,7.46%, 36.98%, 44.44%, 18.18%
17151,4.65%, 39.44%, 44.09%, 16.22%
17153,23.05%, 32.94%, 55.99%, 10.68%
17155,18.29%, 29.29%, 47.58%, 22.73%
17157,21.91%, 29.57%, 51.49%, 18.67%
17159,2.89%, 37.87%, 40.76%, 20.95%
17161,19.71%, 32.22%, 51.93%, 14.46%
17163,23.87%, 29.71%, 53.58%, 16.36%
17165,27.09%, 27.67%, 54.76%, 17.37%
17167,0.42%, 40.93%, 41.35%, 17.41%
17169,3.45%, 37.85%, 41.30%, 20.40%
17171,2.69%, 40.68%, 37.98%, 21.13%
17173,13.15%, 32.49%, 45.65%, 21.49%
17175,1.43%, 41.30%, 39.87%, 18.65%
17177,5.11%, 41.58%, 36.47%, 21.60%
17179,4.93%, 39.12%, 44.05%, 16.55%
17181,18.47%, 33.06%, 51.54%, 15.12%
17183,17.37%, 30.43%, 47.80%, 21.22%
17185,0.79%, 39.82%, 39.04%, 20.87%
17187,3.98%, 39.37%, 43.35%, 17.00%
17189,0.23%, 39.75%, 39.52%, 20.41%
17191,5.38%, 42.93%, 37.56%, 19.18%
17193,14.20%, 34.70%, 48.89%, 16.21%
17195,8.04%, 37.37%, 45.41%, 16.90%
17197,0.85%, 38.35%, 39.20%, 21.55%
17199,17.03%, 32.90%, 49.93%, 16.62%
17201,5.42%, 37.63%, 43.04%, 18.92%
17203,15.59%, 49.26%, 33.67%, 16.76%
18001,18.65%, 47.83%, 29.18%, 22.54%
18003,12.65%, 45.24%, 32.60%, 21.23%
18005,17.72%, 47.91%, 30.19%, 21.44%
18007,18.71%, 46.96%, 28.24%, 24.43%
18009,4.48%, 40.62%, 36.14%, 22.83%
18011,31.70%, 54.64%, 22.94%, 22.04%
18013,9.55%, 41.63%, 32.08%, 25.85%
18015,14.47%, 44.38%, 29.91%, 25.38%
18017,16.41%, 45.70%, 29.30%, 24.29%
18019,11.25%, 36.34%, 47.58%, 15.41%
18021,13.68%, 46.20%, 32.53%, 21.00%
18023,21.69%, 50.24%, 28.55%, 20.74%
18025,7.15%, 38.11%, 45.25%, 16.40%
18027,22.72%, 53.15%, 30.43%, 16.11%
18029,11.94%, 44.80%, 32.86%, 21.74%
18031,23.53%, 50.48%, 26.96%, 22.34%
18033,13.51%, 44.48%, 30.97%, 23.66%
18035,1.81%, 40.36%, 38.56%, 20.61%
18037,5.67%, 42.44%, 36.76%, 19.98%
18039,25.41%, 53.50%, 28.09%, 18.11%
18041,3.80%, 40.86%, 37.06%, 21.47%
18043,4.16%, 40.24%, 44.40%, 14.91%
18045,6.68%, 40.32%, 33.64%, 25.71%
18047,16.84%, 46.91%, 30.07%, 22.75%
18049,16.77%, 46.70%, 29.93%, 23.02%
18051,11.74%, 34.95%, 46.68%, 18.11%
18053,15.99%, 48.04%, 32.05%, 19.48%
18055,0.15%, 39.76%, 39.91%, 19.18%
18057,43.76%, 62.46%, 18.43%, 18.70%
18059,30.62%, 53.65%, 23.02%, 23.02%
18061,2.67%, 39.52%, 42.19%, 18.06%
18063,32.76%, 55.45%, 21.34%, 22.69%
18065,9.64%, 43.62%, 33.99%, 22.09%
18067,14.61%, 44.57%, 29.96%, 24.97%
18069,32.71%, 56.79%, 24.07%, 18.53%
18071,9.79%, 44.81%, 35.02%, 19.47%
18073,17.96%, 48.62%, 30.67%, 20.41%
18075,4.54%, 40.84%, 36.31%, 22.57%
18077,4.34%, 37.43%, 41.77%, 19.45%
18079,8.95%, 42.66%, 33.72%, 23.02%
18081,31.09%, 54.36%, 23.27%, 22.03%
18083,0.20%, 38.67%, 38.87%, 21.52%
18085,35.94%, 57.44%, 21.50%, 20.72%
18087,20.03%, 48.15%, 28.12%, 23.32%
18089,26.25%, 28.91%, 55.17%, 15.37%
18091,6.49%, 35.24%, 41.72%, 22.70%
18093,12.84%, 45.96%, 33.11%, 20.57%
18095,2.04%, 39.76%, 37.72%, 22.18%
18097,5.91%, 43.66%, 37.75%, 17.88%
18099,18.93%, 48.58%, 29.65%, 21.26%
18101,9.29%, 46.40%, 37.11%, 16.24%
18103,17.60%, 46.10%, 28.50%, 24.63%
18105,7.00%, 38.22%, 45.22%, 15.93%
18107,28.09%, 52.20%, 23.15%, 24.11%
18109,26.36%, 51.83%, 22.22%, 25.47%
18111,10.07%, 42.95%, 32.88%, 23.84%
18113,10.73%, 42.90%, 32.17%, 24.27%
18115,1.55%, 40.14%, 38.58%, 20.96%
18117,9.86%, 46.64%, 36.78%, 16.17%
18119,8.33%, 42.00%, 33.67%, 23.84%
18121,7.38%, 41.60%, 34.22%, 23.89%
18123,19.78%, 31.69%, 51.47%, 16.63%
18125,12.62%, 33.84%, 46.46%, 19.43%
18127,2.84%, 39.68%, 36.84%, 22.95%
18129,1.72%, 38.72%, 40.44%, 20.58%
18131,12.88%, 45.84%, 32.96%, 20.52%
18133,15.39%, 44.33%, 28.94%, 26.34%
18135,9.05%, 41.90%, 32.84%, 24.94%
18137,14.20%, 46.02%, 31.82%, 22.00%
18139,21.29%, 48.36%, 27.07%, 24.33%
18141,6.96%, 37.27%, 44.23%, 18.02%
18143,18.27%, 33.71%, 51.98%, 13.89%
18145,21.68%, 49.81%, 28.13%, 21.72%
18147,5.35%, 39.56%, 44.90%, 15.28%
18149,6.79%, 35.40%, 42.19%, 21.52%
18151,10.79%, 42.44%, 31.65%, 25.25%
18153,12.64%, 33.29%, 45.93%, 20.26%
18155,9.56%, 35.74%, 45.31%, 18.77%
18157,11.34%, 45.79%, 34.46%, 19.24%
18159,22.59%, 49.55%, 26.96%, 23.04%
18161,16.71%, 46.97%, 30.26%, 22.37%
18163,4.59%, 39.39%, 43.99%, 16.28%
18165,16.50%, 30.13%, 46.63%, 22.91%
18167,5.26%, 37.56%, 42.81%, 19.31%
18169,16.85%, 46.77%, 29.92%, 22.67%
18171,5.85%, 40.00%, 34.15%, 25.48%
18173,2.55%, 39.23%, 41.78%, 18.73%
18175,0.49%, 40.20%, 40.69%, 18.36%
18177,8.27%, 44.69%, 36.42%, 18.63%
18179,20.91%, 48.17%, 27.26%, 24.01%
18181,15.99%, 45.22%, 29.23%, 25.26%
18183,13.67%, 43.27%, 29.60%, 26.50%
19001,1.38%, 40.84%, 39.46%, 19.41%
19003,6.59%, 33.24%, 39.83%, 26.16%
19005,3.97%, 39.33%, 35.36%, 23.10%
19007,7.28%, 36.81%, 44.09%, 18.22%
19009,5.58%, 35.45%, 41.03%, 22.90%
19011,9.56%, 33.23%, 42.79%, 23.51%
19013,13.30%, 34.77%, 48.06%, 16.54%
19015,14.44%, 33.95%, 48.39%, 16.94%
19017,2.49%, 38.26%, 40.75%, 19.96%
19019,8.84%, 34.32%, 43.15%, 22.02%
19021,5.28%, 41.73%, 36.45%, 21.12%
19023,9.26%, 44.96%, 35.70%, 18.68%
19025,0.55%, 41.13%, 40.58%, 17.94%
19027,3.81%, 36.30%, 40.11%, 23.13%
19029,13.39%, 45.00%, 31.61%, 22.78%
19031,4.02%, 35.98%, 40.00%, 23.60%
19033,13.03%, 33.96%, 46.99%, 18.52%
19035,2.58%, 40.16%, 37.57%, 21.80%
19037,11.81%, 32.06%, 43.87%, 23.58%
19039,11.83%, 33.26%, 45.09%, 21.10%
19041,4.00%, 35.93%, 39.93%, 23.44%
19043,7.60%, 33.12%, 40.72%, 25.13%
19045,11.77%, 35.04%, 46.81%, 17.68%
19047,4.05%, 35.10%, 39.16%, 24.83%
19049,6.51%, 37.60%, 44.10%, 17.93%
19051,15.29%, 33.26%, 48.55%, 17.77%
19053,13.80%, 33.02%, 46.81%, 19.72%
19055,1.20%, 37.62%, 36.42%, 25.25%
19057,23.27%, 30.10%, 53.37%, 15.98%
19059,1.08%, 38.49%, 37.40%, 23.77%
19061,15.20%, 32.60%, 47.80%, 19.10%
19063,9.74%, 34.76%, 44.50%, 20.07%
19065,4.91%, 35.71%, 40.62%, 22.95%
19067,16.57%, 31.02%, 47.59%, 20.79%
19069,1.67%, 40.58%, 38.91%, 19.84%
19071,0.95%, 37.31%, 36.36%, 25.65%
19073,8.78%, 36.47%, 45.25%, 17.86%
19075,20.55%, 51.33%, 30.78%, 17.37%
19077,4.99%, 35.98%, 40.97%, 22.30%
19079,3.01%, 39.46%, 42.47%, 17.55%
19081,4.36%, 41.82%, 37.46%, 20.15%
19083,2.25%, 39.98%, 42.23%, 17.23%
19085,6.03%, 40.23%, 34.20%, 24.62%
19087,1.26%, 39.81%, 41.08%, 17.64%
19089,11.99%, 31.18%, 43.17%, 24.54%
19091,10.30%, 44.34%, 34.04%, 21.08%
19093,6.25%, 40.43%, 34.18%, 25.03%
19095,1.38%, 38.13%, 36.76%, 24.54%
19097,18.79%, 28.73%, 47.51%, 22.53%
19099,6.96%, 38.12%, 45.08%, 16.50%
19101,0.25%, 30.46%, 30.72%, 14.88%
19103,28.23%, 27.12%, 55.35%, 16.66%
19105,4.91%, 34.51%, 39.42%, 25.91%
19107,6.24%, 35.52%, 41.76%, 22.20%
19109,2.16%, 38.24%, 40.40%, 21.04%
19111,26.75%, 27.85%, 54.61%, 17.02%
19113,9.40%, 33.99%, 43.39%, 22.10%
19115,8.26%, 34.91%, 43.17%, 21.55%
19117,7.23%, 37.10%, 44.33%, 18.14%
19119,33.90%, 57.14%, 23.24%, 18.65%
19121,1.69%, 39.37%, 41.06%, 18.99%
19123,12.09%, 48.34%, 36.24%, 14.72%
19125,3.92%, 44.79%, 40.87%, 14.01%
19127,8.31%, 37.09%, 45.40%, 16.95%
19129,14.61%, 43.77%, 29.16%, 26.57%
19131,4.56%, 36.15%, 40.71%, 22.42%
19133,5.75%, 34.23%, 39.99%, 25.39%
19135,13.38%, 34.98%, 48.36%, 16.18%
19137,14.99%, 44.78%, 29.78%, 24.98%
19139,5.94%, 36.09%, 42.04%, 21.25%
19141,23.05%, 51.06%, 28.00%, 20.55%
19143,21.28%, 48.78%, 27.50%, 22.58%
19145,23.52%, 50.21%, 26.69%, 22.83%
19147,10.88%, 33.26%, 44.13%, 22.05%
19149,19.32%, 49.56%, 30.25%, 19.45%
19151,3.77%, 37.33%, 41.10%, 20.18%
19153,8.89%, 38.09%, 46.98%, 14.44%
19155,6.58%, 42.22%, 35.64%, 21.65%
19157,8.96%, 35.87%, 44.83%, 18.57%
19159,13.04%, 33.71%, 46.74%, 19.21%
19161,4.64%, 41.00%, 36.36%, 22.19%
19163,6.59%, 38.63%, 45.22%, 15.30%
19165,10.93%, 42.92%, 32.00%, 24.66%
19167,57.10%, 72.21%, 15.11%, 12.02%
19169,12.16%, 34.98%, 47.14%, 17.28%
19171,7.50%, 35.39%, 42.89%, 20.98%
19173,6.48%, 33.79%, 40.27%, 25.63%
19175,5.59%, 36.45%, 42.04%, 20.98%
19177,1.24%, 38.22%, 39.46%, 21.86%
19179,23.74%, 30.17%, 53.91%, 15.63%
19181,7.15%, 37.80%, 44.95%, 16.79%
19183,2.13%, 39.65%, 37.52%, 22.11%
19185,9.29%, 36.24%, 45.54%, 17.91%
19187,8.30%, 36.95%, 45.25%, 17.29%
19189,1.40%, 39.60%, 38.20%, 21.87%
19191,4.78%, 34.61%, 39.39%, 25.10%
19193,1.75%, 42.34%, 40.59%, 16.76%
19195,14.10%, 31.07%, 45.17%, 23.47%
19197,1.02%, 40.63%, 41.65%, 17.27%
20001,0.61%, 36.56%, 35.96%, 27.15%
20003,1.74%, 33.03%, 31.95%, 34.77%
20005,5.82%, 33.48%, 39.30%, 26.83%
20007,11.52%, 42.52%, 26.35%, 31.00%
20009,3.97%, 37.65%, 28.32%, 33.68%
20011,5.13%, 40.17%, 35.05%, 24.63%
20013,11.33%, 41.61%, 27.88%, 30.28%
20015,7.66%, 38.79%, 29.75%, 31.13%
20017,0.59%, 36.20%, 27.89%, 35.61%
20019,11.87%, 41.15%, 28.85%, 29.28%
20021,5.06%, 36.78%, 41.85%, 21.18%
20023,21.99%, 49.17%, 23.19%, 27.18%
20025,25.51%, 51.49%, 22.32%, 25.97%
20027,16.64%, 47.89%, 20.63%, 31.24%
20029,7.54%, 39.12%, 31.57%, 28.96%
20031,8.86%, 42.44%, 23.76%, 33.57%
20033,24.20%, 49.49%, 25.29%, 25.21%
20035,0.11%, 34.35%, 34.24%, 31.11%
20037,11.44%, 32.96%, 44.40%, 22.34%
20039,17.42%, 45.00%, 27.57%, 27.05%
20041,11.04%, 41.76%, 27.31%, 30.72%
20043,9.54%, 39.74%, 29.62%, 30.20%
20045,15.36%, 30.64%, 45.99%, 22.78%
20047,9.61%, 39.95%, 29.45%, 30.34%
20049,14.06%, 42.94%, 27.84%, 28.87%
20051,4.49%, 32.00%, 36.49%, 31.21%
20053,5.46%, 36.96%, 31.18%, 31.49%
20055,20.74%, 48.28%, 23.89%, 27.54%
20057,9.67%, 41.93%, 25.44%, 32.26%
20059,5.21%, 37.43%, 30.03%, 32.22%
20061,4.88%, 38.75%, 33.87%, 27.22%
20063,15.24%, 46.42%, 22.22%, 31.18%
20065,7.79%, 39.33%, 28.97%, 31.54%
20067,24.05%, 51.71%, 20.50%, 27.66%
20069,16.24%, 47.81%, 20.39%, 31.57%
20071,35.85%, 57.73%, 21.88%, 20.05%
20073,3.87%, 36.62%, 32.75%, 30.29%
20075,23.95%, 51.96%, 28.01%, 19.67%
20077,6.51%, 40.59%, 25.01%, 34.07%
20079,8.08%, 41.71%, 33.63%, 24.34%
20081,30.72%, 56.02%, 18.40%, 25.30%
20083,22.95%, 50.85%, 20.99%, 27.91%
20085,0.77%, 35.48%, 29.52%, 34.71%
20087,0.94%, 33.02%, 32.62%, 33.96%
20089,15.30%, 45.65%, 23.74%, 30.35%
20091,13.26%, 43.83%, 30.57%, 25.22%
20093,32.71%, 55.18%, 22.47%, 22.00%
20095,7.45%, 40.36%, 26.42%, 32.91%
20097,30.78%, 55.90%, 18.77%, 25.12%
20099,8.14%, 33.09%, 41.23%, 25.32%
20101,24.48%, 51.89%, 20.40%, 27.41%
20103,1.46%, 33.39%, 34.86%, 31.53%
20105,10.87%, 41.11%, 28.18%, 30.25%
20107,1.33%, 34.20%, 32.75%, 32.87%
20109,26.86%, 52.95%, 20.77%, 26.10%
20111,1.90%, 34.73%, 32.83%, 32.18%
20113,16.17%, 44.22%, 28.06%, 27.41%
20115,23.85%, 49.47%, 25.62%, 24.52%
20117,0.14%, 34.65%, 34.52%, 30.49%
20119,25.09%, 52.45%, 19.87%, 27.36%
20121,1.21%, 31.80%, 34.56%, 33.35%
20123,13.78%, 43.86%, 25.70%, 30.08%
20125,8.77%, 43.04%, 34.27%, 22.44%
20127,0.00%, 34.43%, 30.76%, 34.43%
20129,30.96%, 54.79%, 23.83%, 20.96%
20131,7.40%, 39.51%, 28.12%, 32.11%
20133,1.61%, 37.07%, 35.46%, 27.06%
20135,13.03%, 43.60%, 25.47%, 30.57%
20137,21.32%, 47.88%, 25.39%, 26.56%
20139,0.39%, 34.51%, 30.95%, 34.12%
20141,7.06%, 38.47%, 29.88%, 31.42%
20143,18.44%, 45.53%, 27.09%, 27.02%
20145,6.67%, 37.85%, 31.19%, 30.60%
20147,18.42%, 46.61%, 24.88%, 28.19%
20149,4.34%, 38.87%, 26.27%, 34.53%
20151,5.24%, 37.17%, 30.63%, 31.93%
20153,26.15%, 52.87%, 20.31%, 26.72%
20155,7.47%, 40.10%, 32.63%, 26.91%
20157,17.95%, 46.43%, 24.67%, 28.48%
20159,11.44%, 40.94%, 29.50%, 29.27%
20161,2.11%, 38.51%, 36.39%, 24.71%
20163,6.02%, 40.42%, 24.95%, 34.40%
20165,3.17%, 35.74%, 32.58%, 31.44%
20167,0.97%, 35.72%, 29.34%, 34.74%
20169,2.86%, 36.26%, 33.40%, 30.09%
20171,31.77%, 56.27%, 18.94%, 24.51%
20173,6.92%, 40.53%, 33.61%, 25.33%
20175,24.38%, 51.09%, 21.86%, 26.71%
20177,3.19%, 35.66%, 38.86%, 25.10%
20179,11.80%, 45.17%, 21.21%, 33.37%
20181,24.47%, 49.73%, 24.71%, 25.26%
20183,14.73%, 43.34%, 27.66%, 28.61%
20185,5.58%, 38.55%, 28.15%, 32.97%
20187,33.27%, 55.71%, 22.44%, 21.44%
20189,29.63%, 56.84%, 15.74%, 27.21%
20191,1.73%, 35.27%, 30.76%, 33.54%
20193,18.36%, 47.14%, 23.76%, 28.79%
20195,6.22%, 38.02%, 31.80%, 30.02%
20197,0.12%, 37.17%, 25.22%, 37.29%
20199,43.15%, 63.70%, 15.38%, 20.54%
20201,18.53%, 47.00%, 24.12%, 28.47%
20203,30.73%, 55.37%, 19.59%, 24.63%
20205,12.08%, 41.53%, 28.72%, 29.45%
20207,3.11%, 35.48%, 31.62%, 32.37%
20209,33.99%, 21.06%, 56.27%, 22.28%
21001,26.40%, 58.22%, 31.82%, 9.60%
21003,13.06%, 50.73%, 37.67%, 11.19%
21005,3.71%, 42.20%, 38.49%, 18.83%
21007,29.90%, 28.56%, 58.45%, 12.89%
21009,1.70%, 42.14%, 43.84%, 13.71%
21011,23.07%, 29.95%, 53.02%, 16.51%
21013,10.75%, 38.89%, 49.63%, 10.31%
21015,24.57%, 52.20%, 27.63%, 19.83%
21017,2.72%, 39.12%, 41.84%, 18.64%
21019,14.70%, 34.93%, 49.63%, 15.11%
21021,1.35%, 43.32%, 41.97%, 14.39%
21023,3.31%, 39.63%, 42.94%, 17.05%
21025,41.10%, 24.42%, 65.52%, 9.65%
21027,2.45%, 41.94%, 44.39%, 13.47%
21029,0.45%, 40.83%, 41.28%, 17.57%
21031,26.24%, 56.78%, 30.55%, 12.40%
21033,18.30%, 34.79%, 53.09%, 11.86%
21035,11.99%, 36.53%, 48.52%, 14.54%
21037,17.38%, 49.88%, 32.50%, 17.23%
21039,21.18%, 33.16%, 54.34%, 12.14%
21041,28.64%, 27.92%, 56.57%, 15.11%
21043,10.74%, 38.61%, 49.35%, 11.55%
21045,35.99%, 62.56%, 26.57%, 10.22%
21047,6.31%, 47.50%, 41.19%, 10.98%
21049,2.32%, 40.16%, 42.48%, 16.97%
21051,36.83%, 63.92%, 27.09%, 8.72%
21053,35.82%, 63.80%, 27.98%, 7.84%
21055,4.29%, 41.26%, 45.55%, 12.96%
21057,31.00%, 60.96%, 29.96%, 8.76%
21059,4.48%, 40.45%, 44.93%, 13.84%
21061,18.17%, 54.22%, 36.05%, 9.55%
21063,53.54%, 17.58%, 71.13%, 10.81%
21065,12.22%, 48.68%, 36.46%, 14.61%
21067,3.77%, 43.87%, 40.10%, 14.88%
21069,4.13%, 39.82%, 43.95%, 15.87%
21071,52.54%, 18.96%, 71.50%, 9.23%
21073,10.96%, 36.09%, 47.05%, 15.88%
21075,23.10%, 33.49%, 56.59%, 9.55%
21077,20.27%, 30.01%, 50.28%, 19.11%
21079,13.11%, 49.18%, 36.06%, 14.53%
21081,0.57%, 39.44%, 38.87%, 21.30%
21083,17.53%, 34.62%, 52.15%, 12.67%
21085,19.09%, 53.29%, 34.20%, 11.67%
21087,19.03%, 54.33%, 35.30%, 10.03%
21089,15.53%, 34.52%, 50.05%, 15.18%
21091,12.57%, 34.98%, 47.55%, 15.28%
21093,11.10%, 47.38%, 36.28%, 15.51%
21095,23.16%, 32.53%, 55.69%, 11.40%
21097,10.45%, 34.71%, 45.16%, 19.79%
21099,7.70%, 40.99%, 48.69%, 9.88%
21101,19.50%, 31.78%, 51.28%, 16.61%
21103,22.95%, 31.42%, 54.38%, 13.80%
21105,17.70%, 35.04%, 52.75%, 11.97%
21107,16.25%, 34.41%, 50.66%, 14.63%
21109,57.84%, 74.96%, 17.12%, 7.52%
21111,11.67%, 37.63%, 49.30%, 12.85%
21113,21.96%, 52.47%, 30.50%, 16.69%
21115,0.65%, 42.84%, 43.49%, 13.25%
21117,20.55%, 51.31%, 30.76%, 17.57%
21119,58.09%, 16.96%, 75.05%, 7.64%
21121,12.46%, 51.00%, 38.54%, 9.89%
21123,0.73%, 43.69%, 44.42%, 11.81%
21125,26.73%, 57.03%, 30.30%, 12.35%
21127,6.25%, 41.21%, 47.46%, 11.01%
21129,14.15%, 51.20%, 37.05%, 11.27%
21131,26.09%, 58.33%, 32.23%, 9.12%
21133,27.81%, 29.84%, 57.65%, 11.95%
21135,15.91%, 50.84%, 34.93%, 13.72%
21137,1.55%, 44.13%, 42.58%, 12.82%
21139,24.28%, 31.05%, 55.33%, 13.40%
21141,4.00%, 41.93%, 45.93%, 11.79%
21143,28.23%, 30.34%, 58.56%, 10.84%
21145,9.88%, 39.25%, 49.13%, 11.33%
21147,26.63%, 57.78%, 31.14%, 10.05%
21149,21.02%, 32.82%, 53.84%, 12.81%
21151,3.60%, 43.94%, 40.35%, 15.31%
21153,22.22%, 34.88%, 57.10%, 7.70%
21155,20.75%, 33.06%, 53.81%, 12.73%
21157,17.32%, 34.26%, 51.58%, 13.91%
21159,6.01%, 47.89%, 41.88%, 9.60%
21161,3.73%, 40.34%, 44.07%, 15.19%
21163,10.13%, 35.86%, 45.99%, 17.62%
21165,35.15%, 25.97%, 61.12%, 11.84%
21167,2.63%, 41.96%, 39.33%, 16.96%
21169,0.52%, 44.14%, 44.66%, 10.73%
21171,38.96%, 65.07%, 26.11%, 8.27%
21173,14.40%, 34.03%, 48.43%, 17.19%
21175,32.10%, 28.09%, 60.19%, 11.29%
21177,33.17%, 27.08%, 60.25%, 12.38%
21179,8.07%, 38.51%, 46.58%, 14.03%
21181,16.03%, 32.05%, 48.08%, 18.39%
21183,7.19%, 38.18%, 45.37%, 16.05%
21185,16.86%, 49.66%, 32.80%, 17.16%
21187,20.23%, 31.05%, 51.27%, 17.18%
